time,signal_default,signal_max_1,signal_max_2,signal_min
01-Oct-2019 08:00:00,35.5,90,90.0,10.0
01-Oct-2019 08:01:00,34.4,90,90.0,10.0
01-Oct-2019 08:02:00,34.9,90,90.0,10.0
01-Oct-2019 08:03:00,34.2,90,90.0,10.0
01-Oct-2019 08:04:00,35.2,90,90.0,10.0
01-Oct-2019 08:05:00,35.3,90,90.0,10.0
01-Oct-2019 08:06:00,34.4,90,90.0,10.0
01-Oct-2019 08:07:00,34.8,90,90.0,10.0
01-Oct-2019 08:08:00,34.3,90,90.0,10.0
01-Oct-2019 08:09:00,34.9,90,90.0,10.0
01-Oct-2019 08:10:00,35.5,90,90.0,10.0
01-Oct-2019 08:11:00,35.0,90,90.0,10.0
01-Oct-2019 08:12:00,34.4,90,90.0,10.0
01-Oct-2019 08:13:00,34.2,90,90.0,10.0
01-Oct-2019 08:14:00,35.1,90,90.0,10.0
01-Oct-2019 08:15:00,35.1,90,90.0,10.0
01-Oct-2019 08:16:00,35.8,90,90.0,10.0
01-Oct-2019 08:17:00,34.9,90,90.0,10.0
01-Oct-2019 08:18:00,35.6,90,90.0,10.0
01-Oct-2019 08:19:00,35.6,90,90.0,10.0
01-Oct-2019 08:20:00,35.7,90,90.0,10.0
01-Oct-2019 08:21:00,35.8,90,90.0,10.0
01-Oct-2019 08:22:00,36.0,90,90.0,10.0
01-Oct-2019 08:23:00,36.0,90,90.0,10.0
01-Oct-2019 08:24:00,36.1,90,90.0,10.0
01-Oct-2019 08:25:00,36.2,90,90.0,10.0
01-Oct-2019 08:26:00,35.8,90,90.0,10.0
01-Oct-2019 08:27:00,35.8,90,90.0,10.0
01-Oct-2019 08:28:00,35.8,90,90.0,10.0
01-Oct-2019 08:29:00,36.4,90,90.0,10.0
01-Oct-2019 08:30:00,36.0,90,90.0,10.0
01-Oct-2019 08:31:00,35.5,90,90.0,10.0
01-Oct-2019 08:32:00,35.4,90,90.0,10.0
01-Oct-2019 08:33:00,35.7,90,90.0,10.0
01-Oct-2019 08:34:00,36.2,90,90.0,10.0
01-Oct-2019 08:35:00,36.2,90,90.0,10.0
01-Oct-2019 08:36:00,35.7,90,90.0,10.0
01-Oct-2019 08:37:00,35.8,90,90.0,10.0
01-Oct-2019 08:38:00,35.8,90,90.0,10.0
01-Oct-2019 08:39:00,35.7,90,90.0,10.0
01-Oct-2019 08:40:00,35.6,90,90.0,10.0
01-Oct-2019 08:41:00,35.6,90,90.0,10.0
01-Oct-2019 08:42:00,36.1,90,90.0,10.0
01-Oct-2019 08:43:00,35.7,90,90.0,10.0
01-Oct-2019 08:44:00,35.7,90,90.0,10.0
