"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-01T08:00:17+02:00";40.8;90;90;10
"2019-10-01T08:00:47+02:00";41.3;90;90;10
"2019-10-01T08:01:17+02:00";40.4;90;90;10
"2019-10-01T08:01:47+02:00";41.4;90;90;10
"2019-10-01T08:02:17+02:00";40.9;90;90;10
"2019-10-01T08:02:47+02:00";42;90;90;10
"2019-10-01T08:03:17+02:00";41.6;90;90;10
"2019-10-01T08:03:47+02:00";42.2;90;90;10
"2019-10-01T08:04:17+02:00";42.4;90;90;10
"2019-10-01T08:04:47+02:00";41.6;90;90;10
"2019-10-01T08:05:17+02:00";41.6;90;90;10
"2019-10-01T08:05:47+02:00";42.1;90;90;10
"2019-10-01T08:06:17+02:00";42.2;90;90;10
"2019-10-01T08:06:47+02:00";42.9;90;90;10
"2019-10-01T08:07:17+02:00";42.5;90;90;10
"2019-10-01T08:07:47+02:00";42.1;90;90;10
"2019-10-01T08:08:17+02:00";42.1;90;90;10
"2019-10-01T08:08:47+02:00";41.6;90;90;10
"2019-10-01T08:09:17+02:00";41.5;90;90;10
"2019-10-01T08:09:47+02:00";41.4;90;90;10
"2019-10-01T08:10:17+02:00";40.9;90;90;10
"2019-10-01T08:10:47+02:00";41.2;90;90;10
"2019-10-01T08:11:17+02:00";41.1;90;90;10
"2019-10-01T08:11:47+02:00";41;90;90;10
"2019-10-01T08:12:17+02:00";42;90;90;10
"2019-10-01T08:12:47+02:00";42.2;90;90;10
"2019-10-01T08:13:17+02:00";42.3;90;90;10
"2019-10-01T08:13:47+02:00";41.8;90;90;10
"2019-10-01T08:14:17+02:00";41.8;90;90;10
"2019-10-01T08:14:47+02:00";41.8;90;90;10
"2019-10-01T08:15:17+02:00";42.3;90;90;10
"2019-10-01T08:15:47+02:00";41.4;90;90;10
"2019-10-01T08:16:17+02:00";41.3;90;90;10
"2019-10-01T08:16:47+02:00";41.6;90;90;10
"2019-10-01T08:17:17+02:00";41.6;90;90;10
"2019-10-01T08:17:47+02:00";41;90;90;10
"2019-10-01T08:18:17+02:00";40.5;90;90;10
"2019-10-01T08:18:47+02:00";40.8;90;90;10
"2019-10-01T08:19:17+02:00";41.2;90;90;10
"2019-10-01T08:19:47+02:00";40.7;90;90;10
"2019-10-01T08:20:17+02:00";41.1;90;90;10
"2019-10-01T08:20:47+02:00";40.6;90;90;10
"2019-10-01T08:21:17+02:00";41.5;90;90;10
"2019-10-01T08:21:47+02:00";40.5;90;90;10
"2019-10-01T08:22:17+02:00";40.5;90;90;10
"2019-10-01T08:22:47+02:00";40.9;90;90;10
"2019-10-01T08:23:17+02:00";41;90;90;10
"2019-10-01T08:23:47+02:00";41.5;90;90;10
"2019-10-01T08:24:17+02:00";42;90;90;10
"2019-10-01T08:24:47+02:00";41.6;90;90;10
"2019-10-01T08:25:17+02:00";41.2;90;90;10
"2019-10-01T08:25:47+02:00";41.8;90;90;10
"2019-10-01T08:26:17+02:00";41.4;90;90;10
