time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
2019-10-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 08:01:00,19.4346,0.828556,21.8632,0.756194,19.3742,0.773791,22.3126,0.724053,20.1395,0.944163,21.7951,0.842323,19.5599,0.850393,22.1323,0.820032,17.9482,0.0204563,19.1888,0.022027,19.9472,0.0103651,19.4894,0.0210208,19.486,0.0226401,19.9111,0.00498906,18.9054,0.0193105,18.9045,0.0182911,19.5754,0.00562225,20.1798,0.0219306,25.3582,0.0157324,25.8153,0.0150639,16.4827,0.0197349,19.0516,0.0228252,20.0979,0.00807966,23.3919,0.0244009,25.6374,0.0168228,24.9229,0.00407279,22.4197,0.0271405,25.6855,0.0217671,25.9597,0.0092206,25.0277,0.0277904,25.7863,0.0203268,26.3329,0.00538368
2019-10-01 08:02:00,19.4304,0.803941,22.3233,0.727348,19.3503,0.795098,22.4354,0.743303,20.1161,0.945203,22.1987,0.847806,19.5144,0.855673,22.259,0.821684,17.9414,0.0207113,19.1879,0.0232803,19.8312,0.00864348,19.403,0.0212523,19.507,0.0228568,19.7194,0.00455531,18.7575,0.0193316,19.0317,0.0170672,19.5017,0.00317969,19.4552,0.0221819,25.1747,0.0162471,25.7801,0.0154324,16.0252,0.020463,19.0184,0.0238264,19.9923,0.00773705,22.827,0.0246461,25.5114,0.0172249,24.759,0.00383551,22.0753,0.0273017,25.6802,0.0221888,25.9318,0.00871759,24.9187,0.0279676,25.8439,0.0206514,26.5305,0.00535638
2019-10-01 08:03:00,19.4322,0.814549,22.1827,0.73609,19.3425,0.772309,22.3857,0.729792,20.1063,0.958352,21.9946,0.85664,19.5124,0.843277,22.116,0.810601,17.8309,0.0206984,19.1934,0.0232012,19.8346,0.00870122,19.4134,0.0212966,19.5,0.0230729,19.5396,0.00529329,18.7676,0.0193576,18.984,0.0171322,19.5761,0.00399617,18.9782,0.022237,24.9959,0.0162104,25.6633,0.0152217,15.6655,0.0201791,19.0379,0.0235644,19.9786,0.00726302,22.4534,0.0246242,25.297,0.0172142,24.5713,0.00384591,21.7828,0.0272995,25.576,0.0221807,25.7972,0.00877714,24.8027,0.0279772,25.7803,0.0206603,26.5675,0.00535427
2019-10-01 08:04:00,19.4293,0.800324,22.1033,0.723272,19.341,0.752,22.3429,0.714693,20.2186,0.963238,21.8452,0.858846,19.5047,0.851889,21.9263,0.817457,17.8815,0.0207203,19.1843,0.0233449,19.8062,0.00863141,19.5226,0.0213103,19.6073,0.0230717,19.4252,0.00556006,18.7413,0.0193206,19.0299,0.0169217,19.4361,0.00378564,18.584,0.022152,24.8644,0.0161965,25.5544,0.0155223,15.3214,0.019882,19.0642,0.0233318,19.954,0.00669301,22.1274,0.024662,25.1109,0.0172442,24.3825,0.00383187,21.5272,0.0273042,25.4897,0.0221861,25.6767,0.00864923,24.498,0.0279742,25.6559,0.0206599,26.4959,0.00545308
2019-10-01 08:05:00,19.4167,0.820358,21.9414,0.743054,19.3345,0.778444,22.0808,0.735551,20.2154,0.949805,21.7495,0.850995,19.4967,0.851152,21.7738,0.817811,17.8179,0.0207472,19.1856,0.0232537,19.8108,0.00868215,19.5139,0.0212733,19.6188,0.0228517,19.3154,0.00452951,18.7768,0.019391,18.9488,0.0172892,19.3195,0.00406463,18.2398,0.0222486,24.7402,0.0162308,25.4415,0.0154405,15.6973,0.0202188,19.0353,0.0234824,19.901,0.00709888,21.8727,0.0246187,24.9197,0.0171967,24.2193,0.00390311,21.31,0.0272796,25.3648,0.0221735,25.5405,0.00879396,24.2577,0.0279639,25.5327,0.0206459,26.4412,0.00532996
2019-10-01 08:06:00,19.4053,0.822714,21.8582,0.744586,19.326,0.745654,22.0561,0.709244,20.2142,0.961032,21.5949,0.857392,19.4922,0.85128,21.6376,0.817558,17.8008,0.0207452,19.1846,0.0232385,19.8029,0.00867841,19.5171,0.021319,19.6129,0.0231356,19.2289,0.00546008,18.7812,0.0194013,18.93,0.0173931,19.2253,0.00419962,17.8636,0.0221392,24.6125,0.016154,25.36,0.0155031,15.0642,0.0197613,19.0507,0.02346,19.9784,0.00671468,21.604,0.0246526,24.7579,0.0172447,24.0681,0.00384988,21.1391,0.0272797,25.2085,0.022185,25.4095,0.00882008,24.0252,0.0279616,25.5288,0.0206685,26.4836,0.00534454
2019-10-01 08:07:00,19.4149,0.804018,21.8205,0.72851,19.3275,0.753657,21.9372,0.715841,20.2128,0.977624,21.4366,0.869512,19.4856,0.8535,21.4946,0.819121,17.8104,0.0207768,19.1787,0.0234109,19.7858,0.00865779,19.549,0.0213606,19.6078,0.0231894,19.172,0.00668471,18.7432,0.019349,18.9941,0.0170248,19.1372,0.00389384,17.5732,0.0222442,24.4787,0.0162357,25.2519,0.0155393,15.4439,0.0199463,19.0622,0.0232412,19.8619,0.00624952,21.3051,0.0246154,24.6278,0.017188,23.9314,0.00391826,21.0463,0.0272673,25.1011,0.0221759,25.3069,0.00867048,23.8012,0.0279531,25.5501,0.0206662,26.4998,0.00547714
2019-10-01 08:08:00,19.4065,0.81272,21.7306,0.735186,19.3183,0.729573,21.8776,0.695636,20.2147,0.96173,21.3627,0.856906,19.4823,0.855815,21.3889,0.820035,17.809,0.0207696,19.177,0.0233793,19.7773,0.00866914,19.5102,0.0213249,19.6081,0.0231801,19.0378,0.00566506,18.7601,0.0193627,18.9567,0.0171709,19.0855,0.00406589,17.2607,0.0221459,24.3131,0.0161541,25.1668,0.0155205,14.9129,0.019576,19.0567,0.02337,19.975,0.00620727,21.0008,0.0246565,24.5697,0.0172366,23.823,0.00386251,21.0016,0.0272731,25.0243,0.0221901,25.1652,0.00888845,23.6532,0.0279634,25.5481,0.0206579,26.4196,0.005375
2019-10-01 08:09:00,19.4081,0.80247,21.6788,0.72638,19.3121,0.75619,21.66,0.715598,20.2113,0.950732,21.3002,0.849851,19.4753,0.856078,21.2882,0.820206,17.7946,0.0207923,19.173,0.0234745,19.7671,0.00866105,19.4952,0.0212961,19.6154,0.0230485,18.9601,0.00491345,18.7376,0.0193273,19.0032,0.0169645,19.0585,0.00398258,17.0555,0.0222551,24.1656,0.0162499,25.0505,0.0156658,15.1152,0.0199004,19.0286,0.0235997,19.95,0.00680662,20.7317,0.0246316,24.4919,0.0171919,23.7407,0.00394994,20.9546,0.0272696,24.9879,0.0221878,25.0533,0.00885968,23.5539,0.0279635,25.5218,0.0206528,26.3402,0.00540892
