time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
2019-10-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 08:01:00,19.6367,0.804675,22.0706,0.739382,19.5386,0.745175,22.7606,0.671864,20.2851,0.917398,21.4229,0.826387,19.7265,0.830692,23.2958,0.747383,17.7047,0.0269108,20.7553,0.0267645,23.3099,0.00185896,18.9672,0.0332038,22.0631,0.0318069,24.28,0.00251543,18.464,0.0303923,22.0472,0.0281477,24.2382,0.00272761,24.1441,0.0267455,25.9752,0.0181079,25.9813,0.0341854,17.626,0.0272481,21.1802,0.0272809,23.2517,0.00089891,25.0355,0.0308801,26.0556,0.0185612,25.9749,0.0289148,24.4907,0.027968,26.1362,0.0195015,26.0812,0.0341252,25.3529,0.0286404,26.3603,0.017767,26.3454,0.0309432
2019-10-01 08:02:00,19.6404,0.779512,22.2602,0.720539,19.5128,0.766932,22.8853,0.69289,20.2798,0.917424,21.5661,0.829191,19.7117,0.835791,23.4319,0.753719,17.4653,0.0269686,20.758,0.0269245,23.4256,0.00181044,18.8749,0.033261,22.1718,0.0319057,24.5508,0.00234742,18.3527,0.030435,22.3773,0.0281839,24.5793,0.00270432,23.5937,0.0268535,25.7851,0.0181746,26.0233,0.03408,17.3412,0.0273154,21.1235,0.0275005,23.3164,0.000778654,24.5327,0.0309812,25.8662,0.0186356,25.9729,0.0287791,24.1075,0.028078,26.102,0.0195736,26.2309,0.0340158,25.0833,0.0287437,26.4336,0.0178168,26.631,0.0308955
2019-10-01 08:03:00,19.6314,0.790337,22.1292,0.729363,19.5149,0.743289,22.6932,0.672738,20.2719,0.930631,21.411,0.839354,19.7084,0.822869,23.2197,0.742576,17.4385,0.026955,20.7529,0.0268929,23.2472,0.00181782,18.8739,0.033266,22.0595,0.0319329,24.4507,0.00230979,18.3392,0.0304389,22.2526,0.028191,24.5124,0.00266601,23.1288,0.0268536,25.5805,0.0181747,25.9543,0.0341134,17.3187,0.0273052,21.1469,0.0274378,23.1347,0.000798051,24.0806,0.030981,25.6559,0.0186353,25.8868,0.0288001,23.7667,0.0280779,25.9756,0.0195733,26.2452,0.0340385,24.8103,0.0287433,26.3781,0.0178158,26.7377,0.0309303
2019-10-01 08:04:00,19.6318,0.775498,21.9787,0.716759,19.5169,0.721964,22.516,0.654189,20.3807,0.93532,21.2651,0.842589,19.6971,0.831712,23.0028,0.749862,17.4369,0.0269629,20.6852,0.026914,23.0465,0.00180288,18.9718,0.033267,22.0422,0.031937,24.3472,0.0023021,18.3388,0.0304115,22.2568,0.0281663,24.4451,0.00271374,22.7274,0.026854,25.4166,0.0181769,25.8778,0.034114,17.3124,0.0272804,21.1679,0.0273769,22.9637,0.000832631,23.6711,0.0309899,25.4688,0.0186357,25.7814,0.0287986,23.486,0.0280784,25.849,0.0195929,26.2473,0.034043,24.487,0.028748,26.3214,0.0178263,26.7885,0.0309262
2019-10-01 08:05:00,19.62,0.796508,21.878,0.734906,19.5006,0.749711,22.3224,0.678137,20.3817,0.921958,21.1249,0.832455,19.6901,0.831272,22.8087,0.750178,17.4195,0.0269602,20.6319,0.0269168,22.8721,0.00185806,18.9621,0.0332625,22.0274,0.0319119,24.2739,0.00233398,18.3182,0.0304446,22.0784,0.0282136,24.357,0.00264326,22.3741,0.0268524,25.2385,0.0181745,25.7828,0.03412,17.3107,0.0273052,21.01,0.0274494,22.7662,0.000792616,23.3129,0.0309799,25.284,0.0186351,25.6818,0.0287704,23.2475,0.0280767,25.7245,0.0195733,26.2364,0.0340451,24.2151,0.028742,26.2618,0.0178183,26.8389,0.0309267
2019-10-01 08:06:00,19.6153,0.798793,21.7756,0.736668,19.5072,0.715458,22.1767,0.648581,20.3754,0.933121,21.0007,0.840782,19.6829,0.831385,22.6251,0.750178,17.4039,0.0269571,20.5909,0.0269199,22.704,0.00186959,18.9621,0.0332667,21.9494,0.0319281,24.1776,0.00231658,18.3163,0.0304455,22.0115,0.0282193,24.3151,0.00263322,22.0634,0.0268522,25.0796,0.0181746,25.7099,0.0341417,17.2895,0.027276,21.0709,0.0273629,22.6219,0.000845305,22.9848,0.0309797,25.0954,0.0186351,25.5686,0.0287703,23.0538,0.0280765,25.5971,0.0195718,26.1943,0.034069,23.9887,0.0287417,26.248,0.0178178,26.9123,0.0309256
2019-10-01 08:07:00,19.6186,0.77957,21.6577,0.72046,19.4991,0.723715,22.0245,0.656188,20.3679,0.950146,20.8992,0.854771,19.6763,0.833636,22.4516,0.751789,17.4018,0.0269589,20.5617,0.026924,22.5402,0.00182838,18.9616,0.0332877,21.8303,0.0319829,24.0834,0.00223826,18.3172,0.0304352,22.0664,0.0281891,24.2684,0.00269725,21.779,0.026852,24.9192,0.0181743,25.6189,0.0341184,17.278,0.0272941,20.9825,0.027381,22.4836,0.000812711,22.677,0.030979,24.9234,0.0186344,25.4613,0.0287994,22.8868,0.0280761,25.476,0.0195717,26.1468,0.0340486,23.7755,0.0287238,26.233,0.0177994,26.9753,0.0309579
2019-10-01 08:08:00,19.612,0.788282,21.5768,0.727644,19.5022,0.69849,21.8909,0.633634,20.3692,0.933473,20.7699,0.840579,19.6694,0.835944,22.3022,0.7537,17.3954,0.026956,20.5136,0.0269277,22.4073,0.00185509,18.9607,0.0332635,21.8396,0.031926,24.0035,0.00232676,18.3122,0.0304364,21.9708,0.0281923,24.2037,0.00266789,21.524,0.0268522,24.7782,0.0181746,25.5262,0.034151,17.2714,0.0272651,21.0219,0.0273104,22.3387,0.00088296,22.3852,0.0309797,24.7754,0.018635,25.3868,0.0287768,22.7536,0.0280764,25.3844,0.0195718,26.1234,0.0341098,23.577,0.0287413,26.1868,0.0177994,26.9829,0.0309589
2019-10-01 08:09:00,19.6127,0.777675,21.4832,0.718599,19.4876,0.726406,21.7448,0.657633,20.3695,0.922494,20.6682,0.832152,19.6644,0.836048,22.1652,0.753548,17.3803,0.0269558,20.494,0.0269269,22.2799,0.00183204,18.9524,0.0332585,21.8342,0.0319037,23.9396,0.00234985,18.312,0.0304108,21.9991,0.0281664,24.1485,0.00270412,21.3108,0.026852,24.6373,0.0181745,25.4151,0.0341496,17.2557,0.0272728,20.8836,0.0273777,22.1782,0.000831647,22.1295,0.0309797,24.6462,0.0186348,25.3174,0.0287983,22.6247,0.0280762,25.2964,0.0195717,26.0799,0.0341055,23.4223,0.0287238,26.1386,0.017799,26.9937,0.0309844
