time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
2019-10-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 08:01:00,17.2006,0.80999,20.4094,0.710506,17.0614,0.755566,20.7547,0.798858,17.7547,0.919018,20.2491,0.815847,17.2258,0.840418,20.1717,0.793901,16.9768,0.0279913,18.4208,0.0329621,19.8712,0.00899309,17.4169,0.0305904,18.9234,0.0365673,20.8927,0.0133541,16.7996,0.0274709,20.4524,0.0318847,20.4834,0.00763458,23.2432,0.0239775,22.6967,0.0112441,23.1243,0.0326414,16.9756,0.0271993,17.1274,0.0320156,20.3503,0.00750197,23.5669,0.0233618,23.024,0.014235,23.1243,0.0247994,23.2124,0.0320251,22.9431,0.0226408,23.0562,0.0309937,23.6933,0.0296714,23.5031,0.0201994,23.4814,0.0289492
2019-10-01 08:02:00,17.2115,0.787896,20.7068,0.694342,17.0508,0.779058,20.8635,0.816341,17.7484,0.920862,20.487,0.825286,17.2203,0.846556,20.3268,0.797706,16.8921,0.028135,18.4767,0.0333996,19.9727,0.0105982,17.3428,0.0305671,18.9746,0.0371215,21.2938,0.0189884,16.7019,0.0272641,20.861,0.0312844,20.7716,0.00923124,22.8888,0.0242138,22.3682,0.0113621,23.2366,0.0324975,16.8593,0.0273168,17.0406,0.0327014,20.8205,0.00860609,23.2692,0.023516,22.8183,0.0143709,23.2034,0.0245051,22.8899,0.0322019,22.826,0.0228204,23.1395,0.0307398,23.5113,0.0297957,23.6581,0.0202335,23.6048,0.02908
2019-10-01 08:03:00,17.2014,0.798473,20.5975,0.702954,17.0649,0.755643,20.8034,0.795627,17.7484,0.932611,20.3079,0.83316,17.2235,0.833802,20.2276,0.785205,16.8928,0.0280219,18.3044,0.0330947,20.0548,0.0107632,17.3445,0.0306567,18.8585,0.0369215,21.1861,0.016816,16.7024,0.0273141,20.7439,0.0319064,20.6076,0.00855108,22.5881,0.024138,22.1179,0.0114295,23.2781,0.032605,16.8688,0.0273557,17.0869,0.0326419,20.7937,0.00866114,22.9715,0.0234759,22.5901,0.0144014,23.2401,0.0247116,22.5916,0.0321563,22.6942,0.0228158,23.153,0.0308735,23.3214,0.0297585,23.7476,0.0201265,23.6719,0.0293929
2019-10-01 08:04:00,17.2043,0.784522,20.5653,0.691685,17.0781,0.734945,20.7454,0.776335,17.8541,0.935887,20.1729,0.831728,17.2151,0.842578,20.0882,0.789393,16.8899,0.0279873,18.1231,0.0326149,20.0551,0.0108325,17.4482,0.0307414,18.7356,0.036595,21.0615,0.0151271,16.7066,0.0272539,20.6664,0.0317638,20.5818,0.00868408,22.3548,0.0240787,21.9437,0.0114516,23.314,0.0327129,16.8725,0.0273921,17.134,0.0327522,20.5774,0.00890291,22.7224,0.0234484,22.373,0.0144356,23.3042,0.0249048,22.3334,0.0321215,22.5782,0.0228071,23.1596,0.0310243,22.9971,0.0297152,23.766,0.0200607,23.6902,0.0294629
2019-10-01 08:05:00,17.191,0.804133,20.4475,0.711414,17.0603,0.76302,20.6178,0.794991,17.854,0.923742,20.1532,0.824355,17.2132,0.841105,19.9763,0.792561,16.8904,0.0279336,17.8539,0.0319798,20.1321,0.0110096,17.4498,0.0307198,18.735,0.0365595,21.1137,0.0180682,16.713,0.0273658,20.5359,0.0323148,20.1518,0.00869528,22.1304,0.0239969,21.7705,0.0114595,23.3389,0.0327628,16.8626,0.0273791,17.0834,0.0325281,20.4395,0.00908347,22.5322,0.0233941,22.1493,0.0144563,23.3549,0.0250644,22.1177,0.0320638,22.4316,0.0227934,23.1533,0.0310555,22.7529,0.0296425,23.7499,0.0199831,23.7313,0.0296344
2019-10-01 08:06:00,17.1854,0.806624,20.3944,0.713591,17.0804,0.729671,20.5979,0.763313,17.8573,0.933154,20.0027,0.827496,17.2093,0.841243,19.873,0.790859,16.8902,0.0278812,17.6856,0.0315732,20.1251,0.0109779,17.4539,0.0308029,18.6255,0.0364504,20.9392,0.0162649,16.7058,0.0273863,20.4617,0.0324338,19.8766,0.0089764,21.9218,0.0239599,21.6244,0.0114755,23.3611,0.0328538,16.8722,0.0274358,17.1721,0.0327309,20.3987,0.00899475,22.3285,0.0233652,21.932,0.0145006,23.3235,0.0250895,21.9312,0.0320394,22.2493,0.0228282,23.0936,0.0311531,22.5694,0.0296216,23.823,0.0199212,23.8093,0.029861
2019-10-01 08:07:00,17.1924,0.788403,20.4015,0.697105,17.0724,0.737761,20.5263,0.768569,17.8459,0.950511,19.9046,0.842497,17.2075,0.843693,19.7755,0.786213,16.8876,0.0278344,17.6449,0.0315789,20.1017,0.0108689,17.4521,0.0309027,18.5093,0.0361198,20.9139,0.0171385,16.7137,0.0273102,20.4434,0.0319934,20.0241,0.00887683,21.7524,0.023906,21.4479,0.0115248,23.3749,0.0328765,16.8731,0.027403,17.1912,0.0325484,20.5431,0.00888316,22.1044,0.0233148,21.7785,0.0144949,23.2875,0.0251757,21.8239,0.0320068,22.1138,0.0228388,23.0579,0.0310509,22.3789,0.0295615,23.9012,0.0198457,23.8659,0.0301655
2019-10-01 08:08:00,17.1829,0.797223,20.3393,0.704205,17.0856,0.714274,20.5036,0.741402,17.8614,0.932684,19.8288,0.822408,17.2019,0.846172,19.6935,0.787062,16.887,0.0278125,17.4904,0.0311822,20.0496,0.0107789,17.4555,0.0308721,18.638,0.0367234,20.7416,0.01573,16.7089,0.0273443,20.3626,0.0322508,19.8107,0.00906141,21.6022,0.0238727,21.26,0.0115953,23.3941,0.0330425,16.875,0.0275344,17.2188,0.0326046,20.4015,0.00860541,21.8624,0.0232919,21.6598,0.0145043,23.2777,0.0251464,21.7688,0.0319899,22.0213,0.0228466,22.9914,0.0311573,22.1907,0.0295477,23.9519,0.0198287,23.869,0.0303002
2019-10-01 08:09:00,17.1865,0.787236,20.3267,0.694445,17.0635,0.742221,20.406,0.760331,17.8607,0.922954,19.8298,0.817384,17.201,0.846512,19.6191,0.781717,16.8867,0.0277888,17.4646,0.0311787,20.0293,0.0106315,17.4533,0.0308156,18.7014,0.0368732,20.7657,0.016976,16.7135,0.0273065,20.333,0.0322768,19.872,0.00897117,21.4958,0.0238265,21.0723,0.0116579,23.3831,0.0330473,16.8728,0.0275408,17.0965,0.0319491,20.4199,0.00884653,21.6509,0.0232507,21.5485,0.0144853,23.2986,0.0252833,21.706,0.031969,21.9614,0.0228264,22.9614,0.0311419,22.0722,0.0295107,23.9839,0.0197817,23.8715,0.030458
