time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
01-Oct-2019 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-2019 08:01:00,17.4505,0.7548,25.1336,0.640325,17.4975,0.706782,26.8928,0.610762,17.923,0.875117,24.418,0.701636,17.6362,0.770239,26.4254,0.675484,21.1133,0.0139254,22.8713,0.0114368,25.1694,0.0117242,21.3776,0.014514,22.614,0.0117699,23.7847,0.00831696,21.3863,0.0142961,22.7715,0.0109083,24.0183,0.00843911,31.708,0.00920251,34.4211,0.0094584,35.609,0.00488863,21.5433,0.0141639,23.5434,0.0115271,25.8243,0.0124122,31.6238,0.00897905,33.6012,0.00994139,34.3111,0.00451262,31.8011,0.00880982,34.1531,0.0105229,34.0668,0.00840847,33.755,0.00882017,35.4415,0.0109335,35.4596,0.00949737
01-Oct-2019 08:02:00,17.5617,0.732031,27.8217,0.624182,17.5731,0.728874,29.1051,0.632726,17.9888,0.877114,26.5625,0.702959,17.7364,0.775126,28.8013,0.683816,21.3422,0.013599,23.3709,0.0112354,26.5638,0.012146,21.5855,0.0145052,22.957,0.0115168,24.8048,0.00978449,21.6616,0.0142395,23.2651,0.0106095,25.4767,0.0096644,32.4522,0.00923193,35.2647,0.00879575,37.4335,0.00643915,21.6871,0.0144204,23.9847,0.0112443,27.2155,0.0130633,32.4223,0.008899,34.6387,0.0110649,36.293,0.00571131,32.5013,0.00890081,34.9046,0.00927808,35.5784,0.00993921,34.8514,0.00899223,35.9494,0.0153991,37.0298,0.00822877
01-Oct-2019 08:03:00,17.5529,0.742282,27.7204,0.632592,17.6009,0.706603,29.2619,0.616003,17.981,0.889432,26.5574,0.711536,17.7606,0.762942,29.0565,0.677252,21.4602,0.0136871,23.5118,0.0111854,26.8242,0.0129954,21.5268,0.0141836,22.8863,0.0116285,24.793,0.00977688,21.602,0.014101,23.1697,0.0108178,25.3583,0.00998398,33.0137,0.00925028,35.7793,0.00875457,37.6061,0.00660474,21.885,0.01437,24.2248,0.0113066,27.4026,0.0129175,32.5245,0.0089934,34.8726,0.0109148,36.4641,0.00606833,32.4192,0.008956,34.6601,0.00894716,35.5904,0.00948486,34.7971,0.00889815,35.8458,0.0154391,36.8774,0.00852428
01-Oct-2019 08:04:00,17.5638,0.729127,27.82,0.62219,17.6347,0.686951,29.4519,0.600345,18.0802,0.894396,26.6166,0.713186,17.7444,0.772585,28.9227,0.680117,21.4082,0.013604,23.397,0.0112626,26.7002,0.0121073,21.618,0.0148829,22.9363,0.011613,24.7545,0.00997379,21.7365,0.0140047,23.3159,0.0104445,25.4425,0.00987138,33.3967,0.00883698,36.0581,0.00851167,37.656,0.00678165,22.0139,0.0145055,24.388,0.0113193,27.6,0.0125628,32.5102,0.00894904,34.7928,0.0105696,36.4435,0.00467177,32.551,0.00911378,34.4875,0.00898839,35.6214,0.00958306,33.977,0.00913212,36.0239,0.013797,36.6247,0.00949329
01-Oct-2019 08:05:00,17.551,0.747227,27.6541,0.635315,17.595,0.712165,29.2508,0.620102,18.0888,0.881908,26.6846,0.706484,17.7505,0.770923,28.9249,0.679981,21.4018,0.0136955,23.4643,0.0113163,26.7192,0.0126688,21.7273,0.0148908,23.0676,0.0115206,24.8729,0.00960089,21.6244,0.0143751,23.1464,0.0107208,25.3021,0.0105981,33.2774,0.00869576,35.7796,0.00892718,37.4952,0.00549516,21.8311,0.0146286,24.162,0.0112939,27.3745,0.0131269,32.6467,0.00896527,34.7462,0.011474,36.4443,0.00535044,32.8928,0.00895933,34.3912,0.0093781,35.611,0.0107769,33.7678,0.00864067,35.95,0.0124334,36.5158,0.00898458
01-Oct-2019 08:06:00,17.5378,0.750907,27.5824,0.639117,17.645,0.680586,29.6289,0.597164,18.081,0.891786,26.6671,0.713366,17.7386,0.771922,28.8715,0.681121,21.3908,0.0137347,23.4206,0.0113011,26.6687,0.0126151,21.5886,0.0140401,22.9621,0.0116696,24.9066,0.00965684,21.5627,0.014477,23.1018,0.0107366,25.2549,0.0101997,33.4875,0.00933753,35.9796,0.00847945,37.704,0.00576653,22.084,0.0143924,24.5071,0.0112399,27.711,0.0134871,32.582,0.00885015,34.4544,0.0115698,36.3349,0.00526938,33.0082,0.00858121,34.1595,0.00952292,35.6051,0.00827045,33.5501,0.00906171,36.128,0.0154244,36.7604,0.00702894
01-Oct-2019 08:07:00,17.5704,0.730328,27.8042,0.625027,17.6434,0.688867,29.6032,0.60397,18.0663,0.907677,26.4025,0.721297,17.7542,0.772806,29.0546,0.681854,21.4263,0.0137715,23.5158,0.0111786,26.8396,0.0130942,21.5049,0.0143006,22.8248,0.011742,24.6759,0.00942704,21.7237,0.0142529,23.2656,0.0106482,25.5026,0.0112237,33.4231,0.00871307,35.8523,0.00827171,37.7844,0.00754959,22.0901,0.0144279,24.5144,0.0113755,27.7576,0.013657,32.2984,0.00909073,34.5548,0.0115837,36.4437,0.00430821,33.1466,0.00901253,34.1282,0.008319,35.5629,0.00949211,33.6378,0.00893585,36.3958,0.0156523,36.8937,0.00811008
01-Oct-2019 08:08:00,17.5598,0.740449,27.748,0.628045,17.6764,0.664763,29.8401,0.58502,18.0813,0.892178,26.7061,0.712253,17.7366,0.776037,28.9023,0.685195,21.3675,0.0136551,23.4249,0.0112031,26.7629,0.0131529,21.6268,0.0141164,22.9579,0.0115581,24.9,0.00960363,21.6543,0.0141243,23.2168,0.0107106,25.3649,0.0105685,33.4956,0.00907771,35.8262,0.00890143,37.8852,0.00537206,22.2483,0.0144995,24.6746,0.0112756,27.9358,0.0135636,32.0311,0.00875449,34.5543,0.00962074,36.6154,0.00649222,33.48,0.00896031,34.1856,0.00952873,35.4448,0.0105013,33.742,0.00860066,36.0076,0.0133588,36.7368,0.0115176
01-Oct-2019 08:09:00,17.5743,0.730053,27.9673,0.623311,17.6418,0.691246,29.6086,0.604298,18.0848,0.882103,26.7188,0.706241,17.7361,0.77557,28.934,0.684131,21.3866,0.0139948,23.4194,0.0111305,26.6942,0.0129759,21.6191,0.0141799,23.0252,0.01148,24.9305,0.00995429,21.729,0.0141604,23.3268,0.0105189,25.5308,0.0109573,33.4999,0.00909077,35.646,0.00890276,37.628,0.00507909,22.1005,0.0142577,24.4823,0.0111987,27.7303,0.0138618,32.0541,0.0086247,34.6231,0.0100167,36.7137,0.00550474,33.6085,0.00884343,34.3724,0.0101362,35.6155,0.0104617,33.9698,0.00875311,35.9809,0.0130083,36.8457,0.00956323
