time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
2019-10-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 08:01:00,17.2881,0.798691,21.9032,0.790078,17.1962,0.740051,22.0933,0.772638,17.8908,0.922727,21.7404,0.878164,17.3752,0.816423,21.8608,0.863953,17.4635,0.0195518,17.4845,0.0179343,21.3468,0.0067468,18.04,0.0212865,17.8997,0.0215507,21.31,0.00158577,17.5009,0.0193997,17.8101,0.0201197,21.8346,0.00459009,23.0895,0.0181012,22.0012,0.00855671,23.137,0.0233456,17.4337,0.018947,17.3431,0.0180694,20.842,0.00639186,23.165,0.0176169,23.0308,0.0102547,23.6256,0.019049,23.4674,0.023701,22.5355,0.0165137,23.1638,0.0223535,23.2899,0.0220835,23.1404,0.0146474,24.4436,0.0213092
2019-10-01 08:02:00,17.287,0.775034,22.5037,0.772172,17.1827,0.764859,22.5521,0.794167,17.8846,0.924847,22.2376,0.884163,17.3661,0.823649,22.3088,0.866877,17.3462,0.019802,17.373,0.0178262,22.5246,0.00578431,17.9427,0.0213645,17.8174,0.0214073,22.3161,0.00284746,17.3644,0.0193256,18.0511,0.020542,22.7778,0.00485952,22.8936,0.0183181,21.7977,0.00865968,23.4334,0.0230504,17.2899,0.0193022,17.2138,0.0180054,21.5619,0.00651942,23.0961,0.0177545,22.8732,0.0104322,23.8891,0.01867,23.322,0.0239028,22.508,0.0166714,23.5249,0.0222753,23.4089,0.0222327,23.2576,0.0147273,25.1157,0.0217327
2019-10-01 08:03:00,17.2838,0.785984,22.5674,0.781436,17.187,0.740842,22.6262,0.775176,17.8816,0.938112,22.2233,0.895716,17.3694,0.810456,22.3203,0.853436,17.3461,0.019759,17.3722,0.0177002,22.7597,0.00510284,17.9424,0.0214098,17.813,0.0214189,22.2857,0.00279562,17.3578,0.0193694,17.6858,0.020104,22.5978,0.00622846,22.7624,0.0183057,21.6861,0.00866612,23.6741,0.023105,17.3036,0.0192481,17.2135,0.0179496,21.5601,0.00701793,22.9611,0.0177446,22.7092,0.0104886,24.1301,0.0188901,23.1525,0.02389,22.4621,0.0166737,23.7628,0.0224347,23.434,0.0222347,23.3052,0.0146643,25.653,0.0222373
2019-10-01 08:04:00,17.2876,0.770695,22.6409,0.76835,17.1918,0.71922,22.7062,0.758061,17.9835,0.942719,22.2298,0.898755,17.3667,0.819371,22.2961,0.857788,17.3454,0.019771,17.373,0.0177227,22.7088,0.00596775,18.0549,0.0214491,17.9251,0.0215005,22.3781,0.0028311,17.3516,0.0193133,17.8462,0.0201999,22.7181,0.00602601,22.7084,0.0182998,21.6623,0.00861952,23.9445,0.0232089,17.3041,0.0191584,17.2157,0.0179513,21.5772,0.00722557,22.8538,0.0177425,22.5721,0.0105392,24.3684,0.0190417,23.0251,0.0238818,22.4569,0.0166516,23.986,0.0226316,23.2298,0.0222051,23.2642,0.0146182,26.0952,0.0225103
2019-10-01 08:05:00,17.2815,0.792071,22.677,0.787646,17.1872,0.747807,22.7023,0.781906,17.9863,0.929076,22.2599,0.884783,17.3669,0.818876,22.2716,0.85648,17.3462,0.0197931,17.3734,0.0177069,22.6161,0.00638236,18.0592,0.0214028,17.9344,0.021624,22.5207,0.00313025,17.3521,0.0194074,17.5001,0.0197825,22.5507,0.00692037,22.6063,0.0182849,21.6268,0.0085544,24.2243,0.0233566,17.2894,0.0192112,17.2689,0.0185327,22.1839,0.00584109,22.8176,0.0177508,22.4221,0.0105969,24.5541,0.0191485,22.9194,0.0238736,22.3648,0.0166653,24.1343,0.0227706,23.1301,0.0221961,23.1813,0.0145851,26.5151,0.0228206
2019-10-01 08:06:00,17.281,0.79412,22.7451,0.790017,17.1965,0.712589,22.7581,0.759662,17.9836,0.94033,22.2303,0.888663,17.3671,0.818765,22.247,0.855306,17.3462,0.0197898,17.3731,0.0176813,22.6008,0.00630669,18.0596,0.0214538,17.9362,0.0219025,22.8027,0.00267447,17.3519,0.0194129,17.4145,0.0195967,22.5514,0.00695297,22.5075,0.0182704,21.6771,0.00840985,24.5242,0.0236263,17.2822,0.0189911,18.0957,0.0206534,23.3474,0.00719048,22.7301,0.0177427,22.2988,0.0106413,24.6681,0.0192104,22.8406,0.0238674,22.2209,0.0167101,24.2226,0.02283,23.0885,0.0221981,23.2378,0.01453,26.9736,0.0232278
2019-10-01 08:07:00,17.2861,0.774709,22.8375,0.773278,17.1939,0.721153,22.8016,0.767042,17.9802,0.95773,22.2042,0.903548,17.3668,0.821171,22.2278,0.855531,17.3452,0.0197532,17.372,0.0176339,22.6595,0.00634745,18.0589,0.0215317,17.9361,0.0219624,22.7804,0.00258204,17.3514,0.0193351,17.6604,0.0198602,22.7931,0.00566414,22.44,0.0182631,21.5913,0.00838199,24.7623,0.0237885,17.2834,0.0190718,17.825,0.0202842,23.5989,0.00703815,22.5951,0.017731,22.2684,0.0106489,24.7317,0.0192736,22.8501,0.0238661,22.1416,0.0167268,24.3197,0.0228188,23.0121,0.0221656,23.3409,0.0144686,27.3672,0.0236421
2019-10-01 08:08:00,17.2833,0.78351,22.8827,0.780725,17.2002,0.695444,22.8869,0.74738,17.9839,0.940794,22.2086,0.888959,17.3659,0.823438,22.2256,0.853573,17.3452,0.0197687,17.3717,0.017634,22.6511,0.00644998,18.0603,0.021463,17.9402,0.021889,22.7924,0.00259829,17.3516,0.0193657,17.4628,0.0195513,22.7308,0.00625857,22.3961,0.018266,21.5457,0.00836789,25.0217,0.0239935,17.2831,0.0189124,18.4074,0.0206608,23.6485,0.00733526,22.4097,0.0177144,22.3085,0.0106378,24.8433,0.0193414,22.9261,0.0238746,22.109,0.0167467,24.4043,0.0228954,22.9089,0.0221581,23.3998,0.0144456,27.6431,0.023899
2019-10-01 08:09:00,17.2859,0.772784,22.946,0.771838,17.1931,0.724078,22.8917,0.767824,17.9864,0.929722,22.2271,0.879391,17.3662,0.823626,22.2264,0.851097,17.3449,0.0197381,17.368,0.0175813,22.7348,0.00602408,18.0605,0.021407,17.9414,0.0218808,22.4632,0.00458309,17.3505,0.0193166,17.6099,0.0197399,22.8498,0.00568454,22.3949,0.0182614,21.452,0.00836649,25.2092,0.0241074,17.2776,0.0190288,18.1046,0.0206676,23.7856,0.00740768,22.2422,0.0176854,22.3116,0.0106242,25.0124,0.0195014,22.9704,0.0238748,22.1099,0.016748,24.5214,0.0229664,22.8953,0.0221549,23.429,0.0144107,27.8959,0.0241158
