time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
01-Oct-2019 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-2019 09:01:00,17.299,0.814077,22.2161,0.798924,17.1993,0.754591,22.1019,0.797349,17.8915,0.932668,21.4282,0.873875,17.3775,0.833198,21.2464,0.867447,17.3489,0.0233339,17.4229,0.022387,21.582,0.00779979,17.9857,0.0263544,18.0007,0.0277428,21.3331,0.0154508,17.3959,0.0235106,20.4516,0.0252551,22.4501,0.00252944,20.4215,0.0222404,19.763,0.0110119,24.8326,0.0299003,17.355,0.0229679,17.8453,0.0247865,22.0836,0.00489074,21.5391,0.021815,20.5032,0.0135437,25.0347,0.0247737,21.4569,0.0294095,21.1199,0.0214467,24.3372,0.0284253,23.0094,0.0273835,24.5039,0.0182071,28.1062,0.0290371
01-Oct-2019 09:02:00,17.3025,0.791117,22.949,0.79559,17.1857,0.77969,22.6601,0.824323,17.8914,0.935202,21.9092,0.878964,17.3749,0.841805,21.875,0.866018,17.2751,0.0235974,17.3149,0.0220411,23.3162,0.00704984,17.9128,0.0262366,18.0166,0.0282559,21.6529,0.020458,17.2753,0.0233166,21.9484,0.0238228,22.3973,0.00941456,20.2866,0.0224938,20.2032,0.0106815,25.5345,0.0299386,17.2395,0.0231168,18.4627,0.026535,22.795,0.00930267,21.4356,0.0219405,20.4189,0.0136921,26.1688,0.0257381,21.3735,0.0296054,21.1329,0.0216096,25.0153,0.028258,22.9407,0.0275496,25.9247,0.018082,28.761,0.0293193
01-Oct-2019 09:03:00,17.3002,0.801979,22.88,0.807632,17.1951,0.755622,22.8179,0.805493,17.8884,0.948138,21.8324,0.891301,17.3784,0.829012,21.9553,0.857811,17.2759,0.0236174,17.3159,0.0219779,22.9971,0.00656744,17.911,0.02632,17.9301,0.0280535,21.7924,0.0201616,17.2766,0.0233475,21.8421,0.0241046,22.3752,0.00998298,20.7183,0.022477,20.502,0.0105401,25.663,0.0299743,17.2456,0.023067,18.16,0.0257002,22.8128,0.0093364,21.1863,0.0219076,20.4977,0.0136263,26.608,0.0259075,21.2959,0.0296047,21.2106,0.0215736,25.0713,0.02844,22.747,0.027545,26.0627,0.0179994,28.7144,0.029065
01-Oct-2019 09:04:00,17.3065,0.787216,22.8444,0.786628,17.2029,0.734161,22.9239,0.787643,17.9919,0.952617,21.8687,0.890876,17.3732,0.837131,21.8681,0.86804,17.2759,0.0237034,17.3364,0.0221365,23.3565,0.00725708,18.0181,0.0264722,17.9648,0.0277272,22.3558,0.0175378,17.276,0.0232733,21.9738,0.0238941,22.3863,0.0087485,21.1414,0.0224721,20.6332,0.0105793,25.442,0.0297716,17.2485,0.0230953,17.5672,0.0241815,22.006,0.00863572,21.2691,0.0219245,20.5683,0.0136472,26.8294,0.0257247,21.308,0.0296628,21.3863,0.021451,25.353,0.0288094,21.3429,0.0274485,25.7519,0.018039,28.6258,0.0287051
01-Oct-2019 09:05:00,17.2991,0.808278,22.7146,0.804454,17.194,0.762284,22.8321,0.807123,17.9954,0.939345,21.8781,0.877791,17.3713,0.83605,21.7998,0.876488,17.2777,0.0237244,17.3427,0.0221457,22.8515,0.0087429,18.0239,0.0263752,17.9653,0.027608,22.5658,0.0166763,17.276,0.0233704,21.6629,0.024963,23.2033,0.00726051,21.0562,0.0224713,20.3454,0.0107225,25.2349,0.0295025,17.2503,0.0232165,17.2098,0.0228196,21.6408,0.00869345,21.5555,0.0219322,20.5046,0.0136623,26.9492,0.0259648,21.3792,0.0296562,20.959,0.0215486,25.1893,0.0288404,21.3163,0.0274533,25.2065,0.0181383,28.7394,0.0288608
01-Oct-2019 09:06:00,17.2971,0.810711,22.8917,0.805863,17.2065,0.727935,22.9201,0.77872,17.9932,0.950945,21.884,0.879467,17.3699,0.836183,21.7708,0.87899,17.2764,0.0236493,17.3404,0.0221645,22.9783,0.00831015,18.0223,0.0264157,17.9713,0.0278273,22.233,0.0182601,17.275,0.0234025,21.5303,0.024706,22.4465,0.00868053,20.9556,0.0225432,20.4849,0.0105569,25.5782,0.0297036,17.2542,0.0231178,17.3766,0.0232613,22.2629,0.0100525,21.3547,0.0219125,20.5602,0.0136873,26.3294,0.0256346,21.457,0.029642,20.5186,0.0216986,24.7123,0.0284144,21.616,0.0274699,25.7387,0.0181063,29.084,0.0294698
01-Oct-2019 09:07:00,17.3031,0.79165,23,0.786464,17.1992,0.736722,22.8709,0.787242,17.9891,0.968423,21.8795,0.896087,17.3702,0.838579,21.7968,0.87097,17.2762,0.0235799,17.339,0.0220963,23.158,0.00811593,18.0174,0.026429,17.9901,0.0278817,21.7864,0.019024,17.2773,0.0233258,21.6603,0.0242465,22.0926,0.00918575,21.0788,0.0225547,20.6377,0.0104672,25.4458,0.0297975,17.2495,0.0230839,18.16,0.0259654,22.6664,0.00879838,20.8766,0.0218627,20.9277,0.0135546,25.8548,0.0253906,22.0346,0.0296672,20.7371,0.0216369,24.5353,0.0281367,21.4518,0.0274253,26.1935,0.0180774,29.0752,0.029772
01-Oct-2019 09:08:00,17.2996,0.801025,22.9279,0.782496,17.2092,0.711162,22.9354,0.761456,17.9929,0.951792,21.8215,0.882405,17.3677,0.841259,21.8446,0.864919,17.2768,0.0236719,17.3221,0.0219385,22.6639,0.00916623,18.024,0.0264078,18.0234,0.027883,22.2596,0.0160467,17.2749,0.0233272,21.5554,0.0253986,23.3863,0.00689627,21.2249,0.0225117,19.7794,0.0109416,26.0762,0.0301189,17.2667,0.0231736,17.6437,0.0251537,22.1972,0.00991885,20.4369,0.0218317,21.4244,0.0133929,26.2704,0.0254333,22.6038,0.0297116,20.9813,0.0216005,24.7291,0.0284097,21.3568,0.0274444,26.2194,0.0181145,28.8083,0.0293045
01-Oct-2019 09:09:00,17.3068,0.790428,22.9646,0.766146,17.1981,0.73925,22.7671,0.78868,17.9946,0.940991,21.9205,0.877642,17.3664,0.841184,21.8967,0.863696,17.2773,0.0236619,17.3136,0.0218858,22.1132,0.00848058,18.0229,0.0263178,18.052,0.0278028,22.4116,0.0126352,17.2736,0.023274,21.5841,0.0264492,24.2227,0.00788322,21.4348,0.0224947,19.4585,0.0110777,25.6902,0.0298087,17.2548,0.0232568,17.3917,0.0245124,21.8689,0.00972462,20.374,0.0218328,21.4167,0.0133333,26.8216,0.025825,22.6066,0.0297132,21.2094,0.0215442,24.9787,0.0287426,21.7297,0.027474,26.1006,0.018081,28.9677,0.0292322
