time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
01-Oct-2019 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Oct-2019 09:01:00,17.324,0.784941,22.1625,0.786814,17.2383,0.728585,22.4665,0.736115,17.9137,0.9116,21.8167,0.84432,17.4305,0.797985,22.0469,0.840373,17.5042,0.0227779,17.8007,0.0227305,23.2886,0.00674022,17.9212,0.0260927,17.8964,0.027467,21.1455,0.00449432,17.3593,0.0237131,17.2888,0.0232583,22.2379,0.00809807,20.4095,0.0233512,20.6209,0.0116669,27.0683,0.0288978,17.4417,0.0230392,19.1865,0.0251782,23.9083,0.00541306,21.5874,0.0231215,20.8136,0.0138372,26.082,0.023717,21.4193,0.0305212,20.8644,0.0225896,23.2316,0.0134654,22.9918,0.0284152,21.8551,0.0201748,26.4307,0.0183901
01-Oct-2019 09:02:00,17.325,0.763235,23.1351,0.773453,17.2238,0.754201,23.0963,0.760715,17.9121,0.914089,22.5435,0.851977,17.4222,0.808471,23.1858,0.845616,17.3145,0.0229435,17.9488,0.0231958,26.3046,0.00940278,17.857,0.0260047,17.7708,0.0267763,22.1373,0.00458309,17.2486,0.0235338,17.4352,0.0238814,23.4315,0.00722237,20.2256,0.0235201,20.5472,0.011623,29.5311,0.0295877,17.2867,0.0234121,19.1515,0.0256055,25.5702,0.00794902,21.3516,0.0232409,21.0411,0.0138862,28.549,0.0255634,21.33,0.0306531,20.7264,0.022743,24.1684,0.013406,22.9171,0.0285455,21.9682,0.0202306,28.5024,0.0204512
01-Oct-2019 09:03:00,17.3219,0.77427,23.1572,0.781254,17.2321,0.729838,23.2396,0.744067,17.9095,0.927213,22.4919,0.863223,17.4249,0.795414,23.2458,0.836658,17.3167,0.0229291,18.046,0.0232673,26.2579,0.0104036,17.857,0.0260488,17.7686,0.0269102,22.0514,0.00454269,17.2484,0.0235572,17.4018,0.0240657,23.4973,0.00781541,20.6472,0.0235303,21.438,0.0112741,29.4116,0.0296645,17.2904,0.0233684,19.6313,0.0257256,25.6196,0.00748182,21.0999,0.0232201,21.1933,0.0138104,28.9213,0.0255948,21.2504,0.0306624,20.8591,0.0227444,24.0517,0.0134951,22.705,0.0285245,22.1532,0.0201981,28.5372,0.020428
01-Oct-2019 09:04:00,17.3263,0.758808,23.1164,0.770766,17.2409,0.70779,23.5563,0.724299,18.0125,0.931686,22.5262,0.866848,17.4214,0.804241,23.1352,0.843591,17.3133,0.0229723,17.7337,0.0228905,25.9347,0.0111391,17.9481,0.0260775,17.8604,0.0271547,22.0583,0.00408839,17.2494,0.0234939,17.5464,0.0243706,23.4129,0.00854187,21.0799,0.0235437,22.2595,0.0109563,29.0106,0.0297729,17.2859,0.023206,20.0442,0.0255844,25.5107,0.00599924,21.182,0.0232273,20.9454,0.0139083,29.1668,0.0254416,21.2687,0.0307143,21.0911,0.0227181,23.9648,0.0135313,21.3137,0.0284472,21.6987,0.0204156,28.3008,0.0200104
01-Oct-2019 09:05:00,17.3203,0.78049,23.0162,0.786441,17.2345,0.735559,23.6349,0.734716,18.0154,0.918043,22.4427,0.855043,17.4218,0.803781,22.9409,0.846427,17.3015,0.0229606,17.598,0.0228335,25.4303,0.0107736,17.9391,0.0260438,17.8497,0.0273978,21.7198,0.00296045,17.2442,0.0235747,17.2234,0.0241063,23.4868,0.0120116,20.976,0.0235153,21.3894,0.0112495,28.0443,0.0290857,17.2792,0.023111,18.8212,0.0249513,25.5542,0.00606022,21.4466,0.0232171,20.7049,0.0138709,28.8543,0.0253414,21.3512,0.030722,20.6894,0.0229035,23.5587,0.013408,21.3083,0.0284312,21.1447,0.020557,28.2101,0.0199549
01-Oct-2019 09:06:00,17.3194,0.782789,22.9721,0.788871,17.2456,0.701066,23.7389,0.712067,18.0137,0.929011,22.5292,0.863148,17.4234,0.803155,23.0245,0.845388,17.2949,0.0228846,17.8236,0.0233213,25.4164,0.00957909,17.9355,0.0260674,17.8533,0.0274603,21.5604,0.00409774,17.2426,0.0236216,17.1098,0.0236043,23.702,0.014059,20.8728,0.0235568,22.3713,0.0109956,28.2182,0.0293191,17.2799,0.0230885,20.0851,0.0253936,25.7345,0.00607378,21.2517,0.0232086,20.9146,0.0138282,28.37,0.0250118,21.4175,0.0307383,20.2467,0.0230131,23.2768,0.0131757,21.6671,0.0284578,21.8254,0.0205446,28.3893,0.0196849
01-Oct-2019 09:07:00,17.324,0.762809,23.009,0.779141,17.2413,0.709847,23.5267,0.721077,18.0092,0.946547,22.4814,0.876823,17.4248,0.805188,23.0784,0.845164,17.3,0.0228771,17.8817,0.023341,25.583,0.00953539,17.9356,0.0261244,17.8657,0.0273796,21.4341,0.00669219,17.2382,0.0235529,17.4197,0.0238697,23.6813,0.0118348,21.0028,0.0235662,21.5411,0.0113499,28.0387,0.0290624,17.2811,0.0231414,19.5432,0.0251005,25.5014,0.006905,20.7749,0.0231823,21.3336,0.0137056,28.0991,0.0250501,21.9875,0.0307613,20.4493,0.0228647,23.0523,0.0127602,21.495,0.0284341,22.5128,0.0203841,28.4179,0.019956
01-Oct-2019 09:08:00,17.321,0.772304,22.9742,0.784864,17.2505,0.683982,23.726,0.697724,18.011,0.929453,22.4298,0.863725,17.4215,0.808624,23.1778,0.843815,17.3077,0.0229194,17.8075,0.0231061,25.9559,0.00841465,17.9383,0.0260941,17.8697,0.0272966,21.7364,0.00735556,17.2322,0.0235496,17.4473,0.0242605,23.7984,0.012642,21.1384,0.0235622,21.6391,0.0114874,27.6249,0.0289876,17.2875,0.0230857,20.1973,0.0250308,25.4735,0.00671545,20.3321,0.0231682,21.7868,0.0136524,28.5038,0.025161,22.5584,0.030788,20.6827,0.0227778,23.3864,0.0129838,21.3244,0.0284002,22.6088,0.0201738,28.6206,0.0204233
01-Oct-2019 09:09:00,17.3247,0.761436,23.087,0.775775,17.2419,0.712294,23.6285,0.718752,18.0132,0.918629,22.4568,0.854958,17.4215,0.808643,23.2111,0.840232,17.3035,0.0229082,17.6936,0.0230186,25.824,0.00887061,17.9412,0.0260528,17.8714,0.0271282,22.0136,0.00612826,17.2318,0.0235101,17.4693,0.0243883,24.0222,0.0120982,21.3615,0.0235774,21.2417,0.0115492,27.3542,0.0286433,17.2836,0.0230666,19.7778,0.0249951,25.4433,0.00760948,20.2874,0.0231677,21.6656,0.0136337,28.961,0.0255479,22.5603,0.0307802,20.8748,0.0227586,23.6196,0.0131077,21.7004,0.0284375,22.4986,0.0201739,28.8023,0.0206212
