time,Thermal power (out),Electrical power (in),Electrical IT power
2019-10-01 08:00:00,28233.334333333332,29921.0,27398.333333333332
2019-10-01 08:01:00,28066.667,30473.0,27279.0
2019-10-01 08:02:00,28200.001,30445.0,27409.666666666668
2019-10-01 08:03:00,28066.666666666668,30296.0,27545.0
2019-10-01 08:04:00,28133.334,30220.0,27419.0
2019-10-01 08:05:00,28266.667666666668,29665.0,27552.0
2019-10-01 08:06:00,28100.000333333333,30169.0,27634.333333333332
2019-10-01 08:07:00,28100.0,30118.0,27589.666666666668
2019-10-01 08:08:00,27966.666666666668,29598.0,27260.666666666668
2019-10-01 08:09:00,27766.667666666668,29818.0,27632.0
2019-10-01 08:10:00,27800.001,30291.0,27619.666666666668
2019-10-01 08:11:00,27966.666666666668,30744.0,27640.666666666668
2019-10-01 08:12:00,27933.333333333332,30638.0,27475.0
2019-10-01 08:13:00,27900.0,29274.0,27651.0
2019-10-01 08:14:00,27900.0,29008.0,27743.666666666668
2019-10-01 08:15:00,28066.666666666668,30772.0,27928.0
2019-10-01 08:16:00,28100.0,30593.0,27837.0
2019-10-01 08:17:00,28033.333333333332,30009.0,27635.333333333332
2019-10-01 08:18:00,28000.0,30989.0,27355.333333333332
2019-10-01 08:19:00,28000.0,29837.0,27539.666666666668
2019-10-01 08:20:00,28000.0,29387.0,27566.0
2019-10-01 08:21:00,28000.0,30752.0,27919.666666666668
2019-10-01 08:22:00,28366.667333333335,29406.0,27633.666666666668
2019-10-01 08:23:00,28366.667333333335,30335.0,27765.666666666668
2019-10-01 08:24:00,28100.0,29388.0,27704.333333333332
2019-10-01 08:25:00,28433.333666666666,30924.0,27772.333333333332
2019-10-01 08:26:00,28466.666666666668,31021.0,27801.333333333332
2019-10-01 08:27:00,28533.333333333332,30234.0,27548.333333333332
2019-10-01 08:28:00,28133.334,30811.0,27563.0
2019-10-01 08:29:00,28400.000666666667,30725.0,27744.0
2019-10-01 08:30:00,28366.667,31726.0,27389.0
2019-10-01 08:31:00,28233.334333333332,29976.0,27589.666666666668
2019-10-01 08:32:00,28266.667666666668,29563.0,27610.0
2019-10-01 08:33:00,28166.667333333335,30018.0,27664.0
2019-10-01 08:34:00,28266.667666666668,29894.0,27504.333333333332
2019-10-01 08:35:00,28033.333333333332,30330.0,27285.666666666668
2019-10-01 08:36:00,28200.001,30361.0,27705.333333333332
2019-10-01 08:37:00,28133.334,31495.0,27784.333333333332
2019-10-01 08:38:00,28233.334,31154.0,27710.0
2019-10-01 08:39:00,28100.000333333333,29619.0,27485.333333333332
2019-10-01 08:40:00,28200.001,30511.0,27635.666666666668
2019-10-01 08:41:00,28166.667333333335,30116.0,27804.0
2019-10-01 08:42:00,28166.667333333335,30195.0,27673.0
2019-10-01 08:43:00,27900.0,28629.0,27408.666666666668
2019-10-01 08:44:00,28166.667333333335,30007.0,27625.0
2019-10-01 08:45:00,28133.333666666666,29920.0,27524.0
2019-10-01 08:46:00,28200.001,30597.0,27462.0
2019-10-01 08:47:00,28200.001,31056.0,27641.333333333332
2019-10-01 08:48:00,28200.001,29200.0,27562.0
2019-10-01 08:49:00,28200.000666666667,29785.0,27526.0
2019-10-01 08:50:00,28233.334333333332,30459.0,27573.333333333332
2019-10-01 08:51:00,28200.001,31720.0,27628.333333333332
2019-10-01 08:52:00,28100.0,30190.0,27970.333333333332
2019-10-01 08:53:00,6266.666666666667,30384.0,27546.666666666668
2019-10-01 08:54:00,50699.99933333333,29454.0,27741.0
2019-10-01 08:55:00,46300.00066666667,30712.0,27536.0
2019-10-01 08:56:00,44366.668666666665,30151.0,27590.333333333332
2019-10-01 08:57:00,40166.666666666664,30388.0,27462.666666666668
2019-10-01 08:58:00,36333.333333333336,30470.0,27503.0
2019-10-01 08:59:00,33033.335333333336,30295.0,27445.0
2019-10-01 09:00:00,31133.333333333332,71571.0,36157.0
2019-10-01 09:01:00,30300.000333333333,72326.0,69033.66666666667
2019-10-01 09:02:00,30500.000666666667,72626.0,69577.33333333333
2019-10-01 09:03:00,32400.001,73089.0,69996.0
2019-10-01 09:04:00,36366.66766666667,72819.0,70150.33333333333
2019-10-01 09:05:00,38866.66733333333,73074.0,70006.66666666667
2019-10-01 09:06:00,43333.335,73390.0,70441.33333333333
2019-10-01 09:07:00,46133.335,73570.0,70842.0
2019-10-01 09:08:00,50133.33233333334,73559.0,70979.33333333333
2019-10-01 09:09:00,52533.33433333333,73410.0,70914.0
2019-10-01 09:10:00,55566.668,73706.0,70722.0
2019-10-01 09:11:00,57366.668666666665,74026.0,70995.0
2019-10-01 09:12:00,58500.001000000004,73996.0,70902.0
2019-10-01 09:13:00,59533.33266666667,73849.0,71008.66666666667
2019-10-01 09:14:00,60100.002,73463.0,71013.33333333333
2019-10-01 09:15:00,59666.66666666667,74097.0,71042.0
2019-10-01 09:16:00,60099.99966666667,73832.0,70936.66666666667
2019-10-01 09:17:00,61233.33466666667,73636.0,70849.33333333333
2019-10-01 09:18:00,61733.333666666666,73722.0,70992.33333333333
2019-10-01 09:19:00,62700.00066666667,73526.0,70795.0
2019-10-01 09:20:00,62800.00066666667,73733.0,70735.0
2019-10-01 09:21:00,63066.668,73806.0,70886.33333333333
2019-10-01 09:22:00,63566.66666666667,73793.0,70923.66666666667
2019-10-01 09:23:00,63500.0,73890.0,70950.0
2019-10-01 09:24:00,63566.667,73537.0,70861.0
2019-10-01 09:25:00,63866.67033333333,74089.0,70994.33333333333
2019-10-01 09:26:00,64366.666,73936.0,70968.0
2019-10-01 09:27:00,65066.668333333335,73817.0,70987.33333333333
2019-10-01 09:28:00,64500.00266666667,73926.0,70983.0
2019-10-01 09:29:00,64766.66766666667,73945.0,70774.66666666667
2019-10-01 09:30:00,65500.0,73950.0,70993.0
2019-10-01 09:31:00,65300.003333333334,73621.0,71020.66666666667
2019-10-01 09:32:00,65466.666999999994,73844.0,71026.66666666667
2019-10-01 09:33:00,65566.66833333333,74059.0,70896.33333333333
2019-10-01 09:34:00,65900.00200000001,74031.0,70838.0
2019-10-01 09:35:00,66333.33333333333,73755.0,70924.0
