time,power_p02r03c01srv01,power_p02r03c01srv02,power_p02r03c01srv03,power_p02r03c02srv01,power_p02r03c02srv02,power_p02r03c02srv03,power_p02r03c03srv01,power_p02r03c03srv02,power_p02r03c03srv03,power_p02r03c04srv01,power_p02r03c04srv02,power_p02r03c04srv03,power_p02r03c05srv01,power_p02r03c05srv02,power_p02r03c05srv03,power_p02r03c06srv01,power_p02r03c06srv02,power_p02r03c06srv03,power_p02r03c07srv01,power_p02r03c07srv02,power_p02r03c07srv03,power_p02r03c08srv01,power_p02r03c08srv02,power_p02r03c08srv03,power_p02r03c09srv01,power_p02r03c09srv02,power_p02r03c09srv03,power_p02r03c10srv01,power_p02r03c10srv02,power_p02r03c10srv03
01-Oct-2019 08:00:00,60.0,75.0,63.2,75.0,75.8,46.2,72.0,75.0,75.0,61.0,50.0,72.0,49.8,72.0,62.0,65.7,59.4,66.6,45.0,75.0,72.0,72.0,72.0,71.4,47.5,75.0,56.61290322580645,78.0,67.8,72.0
01-Oct-2019 08:01:00,60.0,75.0,63.2,75.0,75.8,46.2,72.0,75.0,75.0,61.0,50.0,69.1,49.8,72.0,62.0,65.7,59.4,66.6,45.0,75.0,72.0,72.0,72.0,71.4,47.5,75.0,56.61290322580645,78.0,67.8,72.0
01-Oct-2019 08:02:00,59.0,75.0,63.0,75.0,75.9,45.8,72.0,75.0,75.0,60.5,51.0,69.0,50.7,72.0,61.0,64.8,60.3,65.7,45.0,75.0,72.0,71.0,72.0,70.5,47.6,75.0,55.64516129032258,77.9,68.7,72.0
01-Oct-2019 08:03:00,63.0,75.0,54.4,75.0,77.2,45.0,72.0,51.0,75.0,46.0,75.0,74.8,75.0,53.099999999999994,45.0,51.3,72.0,50.4,62.1,75.0,72.0,48.0,72.0,49.2,70.5,75.9,63.0,75.0,75.0,72.0
01-Oct-2019 08:04:00,64.2,75.0,54.0,75.0,77.1,45.0,72.0,50.0,75.0,45.5,75.0,75.0,75.0,52.2,45.0,52.2,72.0,51.3,63.0,75.0,72.0,49.0,72.0,49.5,71.4,76.0,64.0,75.0,75.0,72.0
01-Oct-2019 08:05:00,63.0,65.1,46.6,75.0,75.0,47.7,74.6,66.6,75.0,73.0,76.5,75.0,75.0,66.0,46.3,72.7,72.0,66.6,54.9,75.0,54.0,75.0,61.2,55.4,50.0,77.1,62.4,75.0,75.0,72.0
01-Oct-2019 08:06:00,61.8,64.2,46.5,75.0,75.0,47.8,74.7,67.5,75.0,74.0,76.8,75.0,75.0,67.0,46.4,72.8,72.0,65.7,54.0,75.0,53.099999999999994,75.0,60.3,55.0,49.0,77.0,61.7,75.0,75.0,72.0
01-Oct-2019 08:07:00,60.0,59.0,57.6,75.0,67.0,45.3,72.4,72.0,75.0,75.0,82.5,46.0,73.2,72.9,59.7,74.3,72.0,50.4,62.1,75.0,47.0,72.0,55.8,49.0,45.0,75.0,48.6,75.0,75.0,72.0
01-Oct-2019 08:08:00,61.0,60.0,58.5,75.0,66.0,45.2,72.3,72.0,75.0,75.0,82.2,45.0,72.3,72.8,60.6,74.2,72.0,51.3,63.0,75.0,47.1,71.0,56.7,50.0,45.0,75.0,48.3,74.0,75.0,72.0
01-Oct-2019 08:09:00,60.0,76.82142857142857,59.4,75.0,47.4,45.0,48.599999999999994,74.4,75.0,75.0,70.16129032258064,71.1,47.8,72.0,62.41935483870968,72.7,73.6,72.0,54.9,75.0,66.0,48.0,72.0,70.71428571428571,45.0,75.0,63.0,45.0,75.0,71.1
