"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-01T08:00:02+02:00";33;90;90;10
"2019-10-01T08:00:32+02:00";32.9;90;90;10
"2019-10-01T08:01:02+02:00";33.9;90;90;10
"2019-10-01T08:01:32+02:00";34;90;90;10
"2019-10-01T08:02:02+02:00";33;90;90;10
"2019-10-01T08:02:32+02:00";32.9;90;90;10
"2019-10-01T08:03:02+02:00";32;90;90;10
"2019-10-01T08:03:32+02:00";31.9;90;90;10
"2019-10-01T08:04:02+02:00";31.7;90;90;10
"2019-10-01T08:04:32+02:00";33.2;90;90;10
"2019-10-01T08:05:02+02:00";32.2;90;90;10
"2019-10-01T08:05:32+02:00";31.6;90;90;10
"2019-10-01T08:06:02+02:00";32;90;90;10
"2019-10-01T08:06:32+02:00";32;90;90;10
"2019-10-01T08:07:02+02:00";32.5;90;90;10
"2019-10-01T08:07:32+02:00";30.8;90;90;10
"2019-10-01T08:08:02+02:00";31.2;90;90;10
"2019-10-01T08:08:32+02:00";32.1;90;90;10
"2019-10-01T08:09:02+02:00";33.1;90;90;10
"2019-10-01T08:09:32+02:00";31.1;90;90;10
"2019-10-01T08:10:02+02:00";33.6;90;90;10
"2019-10-01T08:10:32+02:00";33.2;90;90;10
"2019-10-01T08:11:02+02:00";33.1;90;90;10
"2019-10-01T08:11:32+02:00";32.8;90;90;10
"2019-10-01T08:12:02+02:00";31.8;90;90;10
"2019-10-01T08:12:32+02:00";32.3;90;90;10
"2019-10-01T08:13:02+02:00";32.2;90;90;10
"2019-10-01T08:13:32+02:00";31.3;90;90;10
"2019-10-01T08:14:02+02:00";32.2;90;90;10
"2019-10-01T08:14:32+02:00";32.2;90;90;10
"2019-10-01T08:15:02+02:00";31.3;90;90;10
"2019-10-01T08:15:32+02:00";33.2;90;90;10
"2019-10-01T08:16:02+02:00";32.9;90;90;10
"2019-10-01T08:16:32+02:00";34.1;90;90;10
"2019-10-01T08:17:02+02:00";35.3;90;90;10
"2019-10-01T08:17:32+02:00";33.1;90;90;10
"2019-10-01T08:18:02+02:00";34.1;90;90;10
"2019-10-01T08:18:32+02:00";33.8;90;90;10
"2019-10-01T08:19:02+02:00";33.3;90;90;10
"2019-10-01T08:19:32+02:00";33.3;90;90;10
"2019-10-01T08:20:02+02:00";32.8;90;90;10
"2019-10-01T08:20:32+02:00";32.8;90;90;10
"2019-10-01T08:21:02+02:00";33.3;90;90;10
"2019-10-01T08:21:32+02:00";33.8;90;90;10
"2019-10-01T08:22:02+02:00";33.3;90;90;10
"2019-10-01T08:22:32+02:00";32.7;90;90;10
"2019-10-01T08:23:02+02:00";33.2;90;90;10
"2019-10-01T08:23:32+02:00";33.1;90;90;10
"2019-10-01T08:24:02+02:00";31.1;90;90;10
"2019-10-01T08:24:32+02:00";33.3;90;90;10
"2019-10-01T08:25:02+02:00";33.8;90;90;10
"2019-10-01T08:25:32+02:00";32.9;90;90;10
"2019-10-01T08:26:02+02:00";32;90;90;10
"2019-10-01T08:26:32+02:00";32.2;90;90;10
