"Time";"temperature_front_bottom";"temperature_front_middle";"temperature_front_top";"temperature_rear_bottom";"temperature_rear_middle";"temperature_rear_top"
"2019-10-01T08:00:05+02:00";19.75;18.39;24.19;null;null;null
"2019-10-01T08:00:11+02:00";null;null;null;null;23.27;null
"2019-10-01T08:00:11+02:00";null;null;null;23.69;null;28.13
"2019-10-01T08:00:35+02:00";null;18.37;null;null;null;null
"2019-10-01T08:00:35+02:00";19.75;null;24.19;null;null;null
"2019-10-01T08:00:40+02:00";null;null;null;23.69;null;null
"2019-10-01T08:00:40+02:00";null;null;null;null;23.29;28.13
"2019-10-01T08:01:05+02:00";19.75;18.33;null;null;null;null
"2019-10-01T08:01:05+02:00";null;null;24.19;null;null;null
"2019-10-01T08:01:10+02:00";null;null;null;null;23.26;28.13
"2019-10-01T08:01:11+02:00";null;null;null;23.69;null;null
"2019-10-01T08:01:35+02:00";19.75;null;24.19;null;null;null
"2019-10-01T08:01:35+02:00";null;18.35;null;null;null;null
"2019-10-01T08:01:40+02:00";null;null;null;23.69;23.25;null
"2019-10-01T08:01:40+02:00";null;null;null;null;null;28.13
"2019-10-01T08:02:05+02:00";null;18.35;24.19;null;null;null
"2019-10-01T08:02:05+02:00";19.75;null;null;null;null;null
"2019-10-01T08:02:11+02:00";null;null;null;null;23.25;28.06
"2019-10-01T08:02:11+02:00";null;null;null;23.63;null;null
"2019-10-01T08:02:35+02:00";19.69;null;null;null;null;null
"2019-10-01T08:02:35+02:00";null;18.37;24.25;null;null;null
"2019-10-01T08:02:40+02:00";null;null;null;23.69;23.26;null
"2019-10-01T08:02:40+02:00";null;null;null;null;null;28.13
"2019-10-01T08:03:05+02:00";19.75;null;null;null;null;null
"2019-10-01T08:03:05+02:00";null;18.37;24.19;null;null;null
"2019-10-01T08:03:10+02:00";null;null;null;null;23.27;null
"2019-10-01T08:03:11+02:00";null;null;null;23.69;null;28.13
"2019-10-01T08:03:35+02:00";19.75;null;null;null;null;null
"2019-10-01T08:03:35+02:00";null;18.36;24.25;null;null;null
"2019-10-01T08:03:40+02:00";null;null;null;null;23.3;28.13
"2019-10-01T08:03:40+02:00";null;null;null;23.75;null;null
"2019-10-01T08:04:05+02:00";19.75;null;null;null;null;null
"2019-10-01T08:04:05+02:00";null;18.36;24.19;null;null;null
"2019-10-01T08:04:10+02:00";null;null;null;23.69;23.32;null
"2019-10-01T08:04:11+02:00";null;null;null;null;null;28.06
"2019-10-01T08:04:35+02:00";19.75;null;null;null;null;null
"2019-10-01T08:04:35+02:00";null;18.37;24.19;null;null;null
"2019-10-01T08:04:40+02:00";null;null;null;23.75;23.34;null
"2019-10-01T08:04:40+02:00";null;null;null;null;null;28.13
"2019-10-01T08:05:05+02:00";19.75;null;null;null;null;null
"2019-10-01T08:05:05+02:00";null;18.36;24.25;null;null;null
"2019-10-01T08:05:11+02:00";null;null;null;23.75;null;null
"2019-10-01T08:05:11+02:00";null;null;null;null;23.37;28.13
"2019-10-01T08:05:35+02:00";19.81;null;24.19;null;null;null
"2019-10-01T08:05:35+02:00";null;18.35;null;null;null;null
