time,temperature_front_bottom,temperature_front_middle,temperature_front_top,temperature_rear_bottom,temperature_rear_middle,temperature_rear_top
2019-10-01 08:00:00,20.75,18.517500000000002,24.25,23.38,23.299999999999997,28.19
2019-10-01 08:01:00,20.705000000000002,18.515,24.25,23.44,23.286,28.19
2019-10-01 08:02:00,20.75,18.5,24.19,23.41,23.29,28.235
2019-10-01 08:03:00,20.75,18.5075,24.265,23.44,23.259999999999998,28.23
2019-10-01 08:04:00,20.81,18.495,24.25,23.38,23.25,28.205000000000002
2019-10-01 08:05:00,20.81,18.495,24.25,23.395,23.2425,28.22
2019-10-01 08:06:00,20.81,18.47,24.294999999999998,23.38,23.24,28.214000000000002
2019-10-01 08:07:00,20.94,18.48,24.31,23.38,23.23333333333333,28.21
2019-10-01 08:08:00,20.9,18.473333333333333,24.19,23.31,23.232499999999998,28.21
2019-10-01 08:09:00,20.94,18.48,24.265,23.38,23.25,28.19
2019-10-01 08:10:00,20.94,18.4675,24.25,23.337999999999997,23.2475,28.25
2019-10-01 08:11:00,20.925,18.47,24.25,23.31,23.2475,28.22
2019-10-01 08:12:00,20.955000000000002,18.47,24.25,23.31,23.235,28.205000000000002
2019-10-01 08:13:00,21.0,18.47,24.294999999999998,23.265,23.225,28.22
2019-10-01 08:14:00,20.988,18.46,24.31,23.25,23.21,28.25
2019-10-01 08:15:00,20.94,18.46,24.27,23.29,23.226666666666667,28.21
2019-10-01 08:16:00,20.88,18.47,24.25,23.31,23.2125,28.25
2019-10-01 08:17:00,20.81,18.47,24.25,23.31,23.238,28.235
2019-10-01 08:18:00,20.75,18.4675,24.25,23.31,23.244999999999997,28.25
2019-10-01 08:19:00,20.735,18.48,24.294999999999998,23.3275,23.244,28.25
2019-10-01 08:20:00,20.75,18.48,24.25,23.4,23.28,28.25
2019-10-01 08:21:00,20.69,18.5,24.25,23.3275,23.275,28.25
2019-10-01 08:22:00,20.75,18.5,24.25,23.352,23.27,28.25
2019-10-01 08:23:00,20.75,18.5025,24.25,23.337999999999997,23.265,28.28
2019-10-01 08:24:00,20.81,18.485,24.25,23.38,23.246,28.19
2019-10-01 08:25:00,20.765,18.5,24.25,23.38,23.2425,28.19
2019-10-01 08:26:00,20.81,18.48,24.205000000000002,23.38,23.255,28.21
2019-10-01 08:27:00,20.81,18.4725,24.29,23.38,23.286666666666665,28.25
2019-10-01 08:28:00,20.75,18.48,24.294999999999998,23.395,23.3025,28.25
2019-10-01 08:29:00,20.75,18.4875,24.25,23.42,23.31,28.22
2019-10-01 08:30:00,20.794999999999998,18.53,24.25,23.44,23.31,28.25
2019-10-01 08:31:00,20.81,18.525000000000002,24.25,23.44,23.306666666666665,28.205000000000002
2019-10-01 08:32:00,20.81,18.51,24.298,23.44,23.31,28.25
2019-10-01 08:33:00,20.88,18.48,24.31,23.44,23.3175,28.22
2019-10-01 08:34:00,20.88,18.5,24.265,23.485,23.3175,28.19
2019-10-01 08:35:00,20.94,18.51,24.31,23.46,23.333333333333332,28.22
2019-10-01 08:36:00,20.94,18.53,24.31,23.5,23.34,28.214000000000002
2019-10-01 08:37:00,20.895,18.54,24.25,23.5,23.344,28.235
2019-10-01 08:38:00,20.88,18.555,24.25,23.5,23.33,28.25
2019-10-01 08:39:00,20.895,18.57,24.25,23.5,23.346,28.19
2019-10-01 08:40:00,20.925,18.57,24.25,23.5,23.3525,28.25
2019-10-01 08:41:00,20.88,18.595,24.25,23.47,23.333333333333332,28.226
2019-10-01 08:42:00,20.88,18.565,24.31,23.47,23.3425,28.25
2019-10-01 08:43:00,20.856666666666666,18.57,24.265,23.5,23.326666666666668,28.19
2019-10-01 08:44:00,20.8275,18.55,24.265,23.44,23.33,28.25
2019-10-01 08:45:00,20.81,18.57,24.25,23.455000000000002,23.346666666666668,28.25
2019-10-01 08:46:00,20.8275,18.6,24.31,23.395,23.34,28.214000000000002
2019-10-01 08:47:00,20.88,18.57,24.25,23.38,23.34,28.25
2019-10-01 08:48:00,20.794999999999998,18.55,24.235,23.38,23.30333333333333,28.21
2019-10-01 08:49:00,20.88,18.57,24.25,23.38,23.296666666666667,28.29
2019-10-01 08:50:00,20.94,18.57,24.31,23.31,23.28,28.21
2019-10-01 08:51:00,20.88,18.5475,24.25,23.31,23.259999999999998,28.25
2019-10-01 08:52:00,20.8275,18.5325,24.31,23.3275,23.259999999999998,28.25
2019-10-01 08:53:00,20.88,18.54,24.25,23.416,23.2825,28.25
2019-10-01 08:54:00,20.862499999999997,18.54,24.31,23.3275,23.29,28.22
2019-10-01 08:55:00,20.88,18.5225,24.25,23.38,23.296,28.25
2019-10-01 08:56:00,20.88,18.46,24.25,23.416,23.275,28.29
2019-10-01 08:57:00,20.81,18.369999999999997,24.25,23.38,23.2725,28.205000000000002
2019-10-01 08:58:00,20.895,18.33,24.25,23.337999999999997,23.24,28.28
2019-10-01 08:59:00,20.88,18.2,24.25,23.31,23.2,28.25
2019-10-01 09:00:00,20.892,18.15,24.205000000000002,23.31,23.175,28.25
2019-10-01 09:01:00,20.94,18.0825,24.25,23.265,23.259999999999998,28.235
2019-10-01 09:02:00,20.81,18.045,24.25,23.22,23.402500000000003,28.25
2019-10-01 09:03:00,20.63,18.06,24.25,23.145,23.53,28.31
2019-10-01 09:04:00,20.2475,18.08,24.25,23.06,23.72,28.362499999999997
2019-10-01 09:05:00,19.97,18.1,24.235,23.0,23.9,28.425
2019-10-01 09:06:00,19.735,18.177500000000002,24.13,22.955000000000002,24.06,28.44
2019-10-01 09:07:00,19.56,18.2175,24.044999999999998,22.939999999999998,24.22,28.38
2019-10-01 09:08:00,19.44,18.294999999999998,23.988,22.9,24.35,28.44
2019-10-01 09:09:00,19.25,18.3475,23.94,22.8275,24.535,28.425
2019-10-01 09:10:00,19.19,18.4,23.88,22.845,24.72,28.44
2019-10-01 09:11:00,19.0975,18.43,23.75,22.88,24.875,28.41
2019-10-01 09:12:00,19.0,18.46,23.81,22.88,24.936666666666667,28.44
2019-10-01 09:13:00,18.88,18.46,23.75,22.92,25.035,28.48
2019-10-01 09:14:00,18.75,18.48,23.69,22.833333333333332,25.136666666666667,28.44
2019-10-01 09:15:00,18.735,18.51,23.69,22.833333333333332,25.18,28.44
2019-10-01 09:16:00,18.67,18.51,23.63,22.81,25.246666666666666,28.44
2019-10-01 09:17:00,18.56,18.51,23.5775,22.81,25.285,28.5
2019-10-01 09:18:00,18.56,18.54,23.63,22.856666666666666,25.356666666666666,28.5
2019-10-01 09:19:00,18.485,18.5325,23.56,22.81,25.405,28.46
2019-10-01 09:20:00,18.44,18.535,23.63,22.81,25.43,28.5
2019-10-01 09:21:00,18.425,18.53,23.5,22.88,25.445,28.544999999999998
2019-10-01 09:22:00,18.38,18.535,23.44,22.81,25.49,28.56
2019-10-01 09:23:00,18.31,18.5475,23.5,22.81,25.526666666666667,28.56
2019-10-01 09:24:00,18.29,18.54,23.5,22.8275,25.53666666666667,28.56
2019-10-01 09:25:00,18.25,18.5325,23.5,22.845,25.5275,28.56
2019-10-01 09:26:00,18.23,18.54,23.5,22.88,25.506666666666668,28.583333333333332
2019-10-01 09:27:00,18.19,18.56,23.5,22.92,25.5525,28.63
2019-10-01 09:28:00,18.175,18.5475,23.56,22.904,25.585,28.63
2019-10-01 09:29:00,18.22,18.565,23.5,22.94,25.605,28.63
2019-10-01 09:30:00,18.175,18.5475,23.5,22.88,25.61,28.63
2019-10-01 09:31:00,18.13,18.57,23.53,22.92,25.6,28.63
2019-10-01 09:32:00,18.13,18.555,23.455000000000002,22.94,25.605,28.69
2019-10-01 09:33:00,18.13,18.58,23.44,22.94,25.63,28.65
2019-10-01 09:34:00,18.13,18.58,23.44,23.0,25.705,28.63
2019-10-01 09:35:00,18.13,18.595,23.38,23.0,25.66,28.67
2019-10-01 09:36:00,18.13,18.6,23.38,22.98,25.68,28.67
2019-10-01 09:37:00,18.06,18.57,23.38,23.035999999999998,25.666666666666668,28.645
2019-10-01 09:38:00,18.0775,18.6,23.425,23.0,25.6825,28.735
2019-10-01 09:39:00,18.06,18.6,23.38,23.0,25.72,28.69
2019-10-01 09:40:00,18.06,18.57,23.38,23.0,25.73,28.69
2019-10-01 09:41:00,18.06,18.6,23.44,22.96,25.736666666666668,28.65
2019-10-01 09:42:00,18.04,18.593333333333334,23.38,22.98,25.77,28.69
2019-10-01 09:43:00,18.044999999999998,18.595,23.38,23.0,25.775,28.69
2019-10-01 09:44:00,18.06,18.58,23.38,22.97,25.775,28.69
2019-10-01 09:45:00,18.044999999999998,18.58,23.395,23.0,25.765,28.66
2019-10-01 09:46:00,18.06,18.6,23.44,22.97,25.765,28.69
2019-10-01 09:47:00,18.015,18.58,23.425,23.0,25.745,28.69
2019-10-01 09:48:00,17.94,18.6,23.38,22.98,25.81,28.69
2019-10-01 09:49:00,18.06,18.6025,23.44,23.0,25.825,28.69
2019-10-01 09:50:00,18.0,18.625,23.425,23.0,25.89,28.72
2019-10-01 09:51:00,18.0,18.634,23.38,22.97,25.91,28.75
2019-10-01 09:52:00,18.06,18.61,23.38,23.0,25.9,28.69
2019-10-01 09:53:00,18.0,18.64,23.38,23.06,25.89,28.75
2019-10-01 09:54:00,18.06,18.63,23.38,23.06,25.895,28.75
2019-10-01 09:55:00,18.0,18.65,23.366,23.06,25.9,28.774
2019-10-01 09:56:00,18.0,18.61,23.294999999999998,23.03,25.9,28.71
2019-10-01 09:57:00,18.0,18.64333333333333,23.333333333333332,23.06,25.89,28.75
2019-10-01 09:58:00,18.06,18.65,23.38,23.0775,25.9025,28.75
2019-10-01 09:59:00,18.06,18.6325,23.38,23.035999999999998,25.93,28.75
2019-10-01 10:00:00,18.06,18.64,23.395,23.03,25.93,28.714000000000002
2019-10-01 10:01:00,18.015,18.645,23.44,23.06,25.95,28.72
2019-10-01 10:02:00,18.0,18.65,23.44,23.03,25.94,28.73
2019-10-01 10:03:00,18.06,18.65,23.44,23.0,25.94,28.75
2019-10-01 10:04:00,18.0,18.64,23.38,22.98,25.973333333333333,28.75
2019-10-01 10:05:00,17.988,18.63,23.44,23.06,25.968,28.774
2019-10-01 10:06:00,18.0,18.64,23.44,23.03,25.97,28.794999999999998
2019-10-01 10:07:00,17.94,18.65,23.38,23.06,25.98,28.75
2019-10-01 10:08:00,17.955000000000002,18.63,23.38,23.015,25.975,28.765
2019-10-01 10:09:00,18.0,18.6475,23.38,23.0,25.948,28.78
2019-10-01 10:10:00,18.0,18.65,23.38,23.0,25.976666666666667,28.75
2019-10-01 10:11:00,18.0,18.65,23.44,23.0,25.96,28.75
2019-10-01 10:12:00,18.0,18.64,23.44,23.015,25.955000000000002,28.78
2019-10-01 10:13:00,18.0,18.63,23.44,23.02,25.965,28.75
2019-10-01 10:14:00,17.94,18.63,23.38,23.02,25.97,28.78
2019-10-01 10:15:00,18.0,18.650000000000002,23.38,23.0,25.933333333333334,28.75
2019-10-01 10:16:00,18.0,18.65,23.395,23.015,25.93,28.8275
2019-10-01 10:17:00,18.0,18.67,23.44,23.035999999999998,25.93,28.81
2019-10-01 10:18:00,18.0,18.654,23.44,23.04,25.93,28.81
2019-10-01 10:19:00,17.955000000000002,18.67,23.44,23.015,25.92,28.774
2019-10-01 10:20:00,18.0,18.643333333333334,23.38,23.044999999999998,25.99,28.81
2019-10-01 10:21:00,17.94,18.63,23.38,23.02,26.03,28.88
2019-10-01 10:22:00,18.0,18.61,23.38,23.04,26.043333333333333,28.81
2019-10-01 10:23:00,18.0,18.58,23.42,23.015,25.9725,28.81
2019-10-01 10:24:00,17.91,18.57,23.44,23.0,25.963333333333335,28.81
2019-10-01 10:25:00,17.94,18.55,23.395,23.044999999999998,25.955000000000002,28.81
2019-10-01 10:26:00,17.94,18.58,23.44,23.06,25.96,28.81
2019-10-01 10:27:00,17.94,18.58,23.44,23.0,25.96,28.81
2019-10-01 10:28:00,17.94,18.57,23.5,23.044999999999998,25.925,28.862499999999997
2019-10-01 10:29:00,17.94,18.55,23.5,23.02,25.948,28.81
2019-10-01 10:30:00,17.94,18.5425,23.56,23.0,25.92,28.8275
2019-10-01 10:31:00,17.94,18.5575,23.63,23.0,25.903333333333332,28.81
2019-10-01 10:32:00,17.925,18.58,23.63,23.0,25.91,28.81
2019-10-01 10:33:00,17.94,18.595,23.56,23.015,25.884999999999998,28.88
2019-10-01 10:34:00,17.88,18.6025,23.612499999999997,22.955000000000002,25.93,28.88
2019-10-01 10:35:00,17.94,18.61,23.612499999999997,23.0,25.93,28.916
2019-10-01 10:36:00,17.94,18.615,23.56,23.06,25.93,28.88
2019-10-01 10:37:00,17.94,18.6325,23.612499999999997,23.044999999999998,25.916,28.91
2019-10-01 10:38:00,17.88,18.63,23.544999999999998,23.02,25.9225,28.91
2019-10-01 10:39:00,17.895,18.6475,23.56,23.0,25.9475,28.895
2019-10-01 10:40:00,17.94,18.65,23.5,23.06,25.98,28.925
2019-10-01 10:41:00,17.88,18.6725,23.5,23.03,25.966,28.88
2019-10-01 10:42:00,17.94,18.68,23.544999999999998,23.024,25.9475,28.9
2019-10-01 10:43:00,17.94,18.67,23.5,23.0,25.945,28.91
2019-10-01 10:44:00,17.94,18.68,23.5,23.015,25.965,28.88
2019-10-01 10:45:00,18.0,18.678,23.452,23.06,25.96,28.88
2019-10-01 10:46:00,17.94,18.67,23.56,23.06,25.935000000000002,28.88
2019-10-01 10:47:00,18.0,18.68,23.56,23.03,25.88,28.845
2019-10-01 10:48:00,17.94,18.63,23.56,23.0,25.799999999999997,28.75
2019-10-01 10:49:00,17.88,18.6,23.5,22.97,25.6175,28.645
2019-10-01 10:50:00,17.88,18.55666666666667,23.5,22.92,25.403333333333332,28.60333333333333
2019-10-01 10:51:00,17.88,18.485,23.44,22.91,25.16,28.56
2019-10-01 10:52:00,17.862499999999997,18.415,23.44,22.845,24.966666666666665,28.419999999999998
2019-10-01 10:53:00,17.88,18.3525,23.38,22.794999999999998,24.78,28.395
