time,temperature_p02r08c01srv01_inlet,temperature_p02r08c01srv02_inlet,temperature_p02r08c01srv03_inlet,temperature_p02r08c02srv01_inlet,temperature_p02r08c02srv02_inlet,temperature_p02r08c02srv03_inlet,temperature_p02r08c03srv01_inlet,temperature_p02r08c03srv02_inlet,temperature_p02r08c03srv03_inlet,temperature_p02r08c04srv01_inlet,temperature_p02r08c04srv02_inlet,temperature_p02r08c04srv03_inlet,temperature_p02r08c05srv01_inlet,temperature_p02r08c05srv02_inlet,temperature_p02r08c05srv03_inlet,temperature_p02r08c06srv01_inlet,temperature_p02r08c06srv02_inlet,temperature_p02r08c06srv03_inlet,temperature_p02r08c07srv01_inlet,temperature_p02r08c07srv02_inlet,temperature_p02r08c07srv03_inlet,temperature_p02r08c08srv01_inlet,temperature_p02r08c08srv02_inlet,temperature_p02r08c08srv03_inlet,temperature_p02r08c09srv01_inlet,temperature_p02r08c09srv02_inlet,temperature_p02r08c09srv03_inlet,temperature_p02r08c10srv01_inlet,temperature_p02r08c10srv02_inlet,temperature_p02r08c10srv03_inlet,temperature_p02r08srv17_inlet,temperature_p02r08srv18_inlet,temperature_p02r08srv19_inlet,temperature_p02r08srv20_inlet
2019-10-01 08:00:00,21.0,21.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,20.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.57894736842105,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:01:00,21.0,21.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,20.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.57894736842105,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:02:00,21.0,21.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,20.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.684210526315788,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:03:00,21.0,21.0,20.0,18.157894736842106,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,20.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.42105263157895,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:04:00,21.0,21.0,20.0,18.05263157894737,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,20.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.315789473684212,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:05:00,21.0,21.0,20.0,18.842105263157894,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,20.289473684210527,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:06:00,21.0,21.0,20.0,18.94736842105263,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,20.394736842105264,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:07:00,21.0,20.36842105263158,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.81578947368421,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.57894736842105,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:08:00,21.0,20.263157894736842,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.92105263157895,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.684210526315788,24.0,24.0,23.0,21.0,21.0,20.0
2019-10-01 08:09:00,21.0,20.63157894736842,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,25.0,24.0,24.0,23.0,21.0,21.0,20.0
