time,temperature_p02r08c01srv01_outlet,temperature_p02r08c01srv02_outlet,temperature_p02r08c01srv03_outlet,temperature_p02r08c02srv01_outlet,temperature_p02r08c02srv02_outlet,temperature_p02r08c02srv03_outlet,temperature_p02r08c03srv01_outlet,temperature_p02r08c03srv02_outlet,temperature_p02r08c03srv03_outlet,temperature_p02r08c04srv01_outlet,temperature_p02r08c04srv02_outlet,temperature_p02r08c04srv03_outlet,temperature_p02r08c05srv01_outlet,temperature_p02r08c05srv02_outlet,temperature_p02r08c05srv03_outlet,temperature_p02r08c06srv01_outlet,temperature_p02r08c06srv02_outlet,temperature_p02r08c06srv03_outlet,temperature_p02r08c07srv01_outlet,temperature_p02r08c07srv02_outlet,temperature_p02r08c07srv03_outlet,temperature_p02r08c08srv01_outlet,temperature_p02r08c08srv02_outlet,temperature_p02r08c08srv03_outlet,temperature_p02r08c09srv01_outlet,temperature_p02r08c09srv02_outlet,temperature_p02r08c09srv03_outlet,temperature_p02r08c10srv01_outlet,temperature_p02r08c10srv02_outlet,temperature_p02r08c10srv03_outlet,temperature_p02r08srv17_outlet,temperature_p02r08srv18_outlet,temperature_p02r08srv19_outlet,temperature_p02r08srv20_outlet
2019-10-01 08:00:00,27.0,27.0,27.0,25.0,26.0,25.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,28.0,33.13157894736842,31.0,30.0,31.0,31.0,31.0,36.0,33.05714285714286,36.0,35.0
2019-10-01 08:01:00,27.0,27.0,27.0,25.0,26.0,25.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,28.0,33.13157894736842,31.0,30.0,31.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:02:00,27.0,27.0,27.0,25.0,26.0,25.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,28.0,33.23684210526316,31.0,30.0,31.0,31.0,31.0,36.0,33.94117647058823,36.0,35.0
2019-10-01 08:03:00,27.0,26.36842105263158,27.0,25.0,26.0,25.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,26.236842105263158,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,31.57894736842105,31.0,31.0,36.0,33.5,36.0,35.0
2019-10-01 08:04:00,27.0,26.263157894736842,27.0,25.0,26.0,25.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,26.13157894736842,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,31.684210526315788,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:05:00,27.0,26.63157894736842,27.0,25.0,26.0,25.0,24.105263157894736,24.0,24.53846153846154,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,26.0,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:06:00,27.0,26.736842105263158,27.0,25.0,26.0,25.0,24.210526315789473,24.0,24.641025641025642,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,26.0,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:07:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,24.55263157894737,25.0,25.0,24.0,25.0,25.0,26.0,26.763157894736842,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:08:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,24.657894736842106,25.0,25.0,24.0,25.0,25.0,26.0,26.86842105263158,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:09:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,24.44736842105263,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,31.42105263157895,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:10:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,24.342105263157894,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,31.315789473684212,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:11:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.285714285714285,27.0,28.0,28.2,28.0,34.0,31.0,30.0,31.6,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:12:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.34285714285714,27.0,28.0,28.257142857142856,28.0,34.0,31.0,30.0,31.65714285714286,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:13:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.47222222222222,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,28.0,27.0,28.0,28.805555555555557,28.0,34.0,31.0,30.428571428571427,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:14:00,27.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.38888888888889,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,28.0,27.0,28.0,28.72222222222222,28.0,34.0,31.0,30.514285714285712,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:15:00,26.305555555555557,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.342105263157894,25.0,25.0,26.0,27.0,26.0,28.0,27.0,28.0,28.0,28.0,34.0,31.0,31.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:16:00,26.194444444444443,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.44736842105263,25.0,25.0,26.0,27.0,26.0,28.0,27.0,28.0,28.0,28.0,34.0,31.0,31.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:17:00,26.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,24.63157894736842,25.0,26.0,27.0,26.0,27.710526315789473,27.0,28.0,28.0,28.0,34.0,31.0,30.55263157894737,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:18:00,26.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,24.526315789473685,25.0,26.0,27.0,26.0,27.605263157894736,27.0,28.0,28.0,28.0,34.0,31.0,30.44736842105263,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:19:00,26.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,24.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:20:00,26.0,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,24.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,28.0,34.0,31.0,30.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
2019-10-01 08:21:00,26.710526315789473,27.0,27.0,25.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.657894736842106,24.0,25.0,26.0,26.236842105263158,26.0,27.0,27.0,28.0,28.0,28.0,33.86842105263158,31.0,30.0,32.0,31.0,31.0,36.0,34.0,36.0,35.0
