"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-02T09:00:17+02:00";37.9;90;90;10
"2019-10-02T09:00:47+02:00";37.5;90;90;10
"2019-10-02T09:01:17+02:00";37.5;90;90;10
"2019-10-02T09:01:47+02:00";37.5;90;90;10
"2019-10-02T09:02:17+02:00";37;90;90;10
"2019-10-02T09:02:47+02:00";36.9;90;90;10
"2019-10-02T09:03:17+02:00";36.8;90;90;10
"2019-10-02T09:03:47+02:00";37.2;90;90;10
"2019-10-02T09:04:17+02:00";36.7;90;90;10
"2019-10-02T09:04:47+02:00";37.1;90;90;10
"2019-10-02T09:05:17+02:00";37.1;90;90;10
"2019-10-02T09:05:47+02:00";36.6;90;90;10
"2019-10-02T09:06:17+02:00";36.6;90;90;10
"2019-10-02T09:06:47+02:00";36.5;90;90;10
"2019-10-02T09:07:17+02:00";36.9;90;90;10
"2019-10-02T09:07:47+02:00";36.9;90;90;10
"2019-10-02T09:08:17+02:00";36.4;90;90;10
"2019-10-02T09:08:47+02:00";36.8;90;90;10
"2019-10-02T09:09:17+02:00";36.7;90;90;10
"2019-10-02T09:09:47+02:00";36.7;90;90;10
"2019-10-02T09:10:17+02:00";36.7;90;90;10
"2019-10-02T09:10:47+02:00";36.6;90;90;10
"2019-10-02T09:11:17+02:00";36.6;90;90;10
"2019-10-02T09:11:47+02:00";36.7;90;90;10
"2019-10-02T09:12:17+02:00";36.7;90;90;10
"2019-10-02T09:12:47+02:00";36.7;90;90;10
"2019-10-02T09:13:17+02:00";37.2;90;90;10
"2019-10-02T09:13:47+02:00";36.7;90;90;10
"2019-10-02T09:14:17+02:00";36.8;90;90;10
"2019-10-02T09:14:47+02:00";36.7;90;90;10
"2019-10-02T09:15:17+02:00";37.2;90;90;10
"2019-10-02T09:15:47+02:00";36.8;90;90;10
"2019-10-02T09:16:17+02:00";37.3;90;90;10
"2019-10-02T09:16:47+02:00";36.8;90;90;10
"2019-10-02T09:17:17+02:00";37.3;90;90;10
"2019-10-02T09:17:47+02:00";37.3;90;90;10
"2019-10-02T09:18:17+02:00";36.8;90;90;10
"2019-10-02T09:18:47+02:00";36.8;90;90;10
"2019-10-02T09:19:17+02:00";36.3;90;90;10
"2019-10-02T09:19:47+02:00";36.8;90;90;10
"2019-10-02T09:20:17+02:00";36.3;90;90;10
"2019-10-02T09:20:47+02:00";36.2;90;90;10
"2019-10-02T09:21:17+02:00";36.6;90;90;10
"2019-10-02T09:21:47+02:00";36.1;90;90;10
"2019-10-02T09:22:17+02:00";36.5;90;90;10
"2019-10-02T09:22:47+02:00";36.5;90;90;10
"2019-10-02T09:23:17+02:00";36.4;90;90;10
"2019-10-02T09:23:47+02:00";36.4;90;90;10
"2019-10-02T09:24:17+02:00";35.9;90;90;10
"2019-10-02T09:24:47+02:00";36.9;90;90;10
"2019-10-02T09:25:17+02:00";36.4;90;90;10
"2019-10-02T09:25:47+02:00";36.4;90;90;10
"2019-10-02T09:26:17+02:00";36.9;90;90;10
"2019-10-02T09:26:47+02:00";36;90;90;10
