time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,sensors_racks_04_to_06_in_b_T,sensors_racks_04_to_06_in_b_Q,sensors_racks_04_to_06_in_m_T,sensors_racks_04_to_06_in_m_Q,sensors_racks_04_to_06_in_t_T,sensors_racks_04_to_06_in_t_Q,sensors_racks_10_to_12_in_b_T,sensors_racks_10_to_12_in_b_Q,sensors_racks_10_to_12_in_m_T,sensors_racks_10_to_12_in_m_Q,sensors_racks_10_to_12_in_t_T,sensors_racks_10_to_12_in_t_Q,sensors_racks_01_to_03_in_b_T,sensors_racks_01_to_03_in_b_Q,sensors_racks_01_to_03_in_m_T,sensors_racks_01_to_03_in_m_Q,sensors_racks_01_to_03_in_t_T,sensors_racks_01_to_03_in_t_Q,sensors_racks_07_to_09_out_b_T,sensors_racks_07_to_09_out_b_Q,sensors_racks_07_to_09_out_m_T,sensors_racks_07_to_09_out_m_Q,sensors_racks_07_to_09_out_t_T,sensors_racks_07_to_09_out_t_Q,sensors_racks_07_to_09_in_b_T,sensors_racks_07_to_09_in_b_Q,sensors_racks_07_to_09_in_m_T,sensors_racks_07_to_09_in_m_Q,sensors_racks_07_to_09_in_t_T,sensors_racks_07_to_09_in_t_Q,sensors_racks_04_to_06_out_b_T,sensors_racks_04_to_06_out_b_Q,sensors_racks_04_to_06_out_m_T,sensors_racks_04_to_06_out_m_Q,sensors_racks_04_to_06_out_t_T,sensors_racks_04_to_06_out_t_Q,sensors_racks_10_to_12_out_b_T,sensors_racks_10_to_12_out_b_Q,sensors_racks_10_to_12_out_m_T,sensors_racks_10_to_12_out_m_Q,sensors_racks_10_to_12_out_t_T,sensors_racks_10_to_12_out_t_Q,sensors_racks_01_to_03_out_b_T,sensors_racks_01_to_03_out_b_Q,sensors_racks_01_to_03_out_m_T,sensors_racks_01_to_03_out_m_Q,sensors_racks_01_to_03_out_t_T,sensors_racks_01_to_03_out_t_Q
2019-10-02 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-02 09:01:00,17.2942,0.774403,21.9526,0.766936,17.1967,0.737891,22.1048,0.771188,17.9943,0.920493,21.761,0.875525,17.4697,0.847221,21.8215,0.886001,17.557,0.0196954,17.5942,0.0182241,20.9426,0.00821497,18.1434,0.0212895,18.0059,0.0216198,21.3094,0.00172858,17.5097,0.0190613,18.0618,0.0201677,21.782,0.00465543,23.2541,0.0181141,22.2219,0.00851814,23.0716,0.0232386,17.4335,0.0189183,17.3431,0.0180303,20.8241,0.00627313,23.0797,0.0176033,23.2487,0.010212,23.6414,0.0189282,23.523,0.0237129,22.5268,0.0165305,23.2358,0.022304,23.2744,0.0214093,23.0806,0.0146142,24.4458,0.0211405
2019-10-02 09:02:00,17.2899,0.764019,22.5654,0.7582,17.1858,0.747564,22.5818,0.78037,17.9906,0.911852,22.2974,0.870545,17.4617,0.847878,22.2667,0.884115,17.4417,0.0199394,17.4945,0.018069,22.2033,0.00778412,18.0592,0.0213194,17.9348,0.0214358,22.2617,0.0034458,17.3731,0.0190482,18.1909,0.0205622,22.6854,0.00525551,23.1756,0.0183487,22.1645,0.00856426,23.3477,0.0229675,17.2897,0.0191944,17.2134,0.0179435,21.5717,0.00686617,22.9524,0.0177286,23.2535,0.0103435,23.8541,0.0184761,23.4174,0.0239089,22.4799,0.0167004,23.6398,0.0222709,23.4079,0.0215554,23.1447,0.0146896,25.1373,0.0214737
2019-10-02 09:03:00,17.2909,0.759911,22.6644,0.753541,17.1854,0.750079,22.609,0.780894,17.9892,0.913912,22.3204,0.871875,17.4642,0.834916,22.2708,0.869101,17.4416,0.0198656,17.4917,0.0179235,22.422,0.00762309,18.0592,0.0213304,17.9359,0.0215142,22.2997,0.00383588,17.372,0.0190192,18.1522,0.0204561,22.6834,0.00575582,23.0237,0.0183323,22.074,0.00859308,23.6208,0.0230714,17.2892,0.0192247,17.2108,0.0179408,21.4225,0.00639953,22.8972,0.0177302,23.1948,0.0103685,24.0023,0.0186032,23.3359,0.0239026,22.4427,0.0167089,23.8708,0.0224192,23.4956,0.0215642,23.1282,0.0146454,25.6755,0.0219258
2019-10-02 09:04:00,17.2887,0.766112,22.7306,0.760408,17.1978,0.706519,22.6884,0.74724,17.987,0.927402,22.2805,0.875249,17.4632,0.841215,22.2442,0.871882,17.4417,0.0198711,17.4917,0.0179204,22.3333,0.00751013,18.0595,0.0213964,17.9359,0.0217347,22.5438,0.00222526,17.3719,0.0190489,17.9186,0.0202384,22.6041,0.00626908,22.8624,0.0183147,22.037,0.00853895,24.0081,0.0233835,17.2891,0.0189743,17.8347,0.020076,22.9201,0.0065701,22.8802,0.0177355,23.1412,0.0103786,24.1408,0.0186114,23.3153,0.0239006,22.4354,0.0167184,24.0514,0.0225094,23.4559,0.0215579,23.2442,0.0145891,26.128,0.022279
2019-10-02 09:05:00,17.2888,0.764045,22.8015,0.759416,17.1951,0.715704,22.7196,0.754748,17.9914,0.905651,22.3162,0.854541,17.4638,0.839059,22.2264,0.86812,17.4416,0.0198371,17.4915,0.0178704,22.3016,0.0076386,18.0605,0.0213112,17.9565,0.0218447,21.6898,0.00896232,17.3683,0.0190447,17.8939,0.0201398,22.6252,0.00625932,22.7052,0.0182966,21.966,0.00849728,24.3118,0.0236264,17.283,0.0189582,18.2145,0.0209128,23.17,0.00701976,22.8345,0.0177363,23.0833,0.0103967,24.2743,0.0186568,23.3144,0.0239007,22.339,0.0167596,24.2595,0.0226542,23.4359,0.0215379,23.3688,0.0145385,26.5563,0.0226448
2019-10-02 09:06:00,17.2875,0.768554,22.8697,0.764653,17.1958,0.715537,22.7669,0.753924,17.9889,0.916569,22.3198,0.863844,17.4664,0.828097,22.2227,0.858325,17.4416,0.0197762,17.4769,0.017777,22.3273,0.00768971,18.061,0.0213513,17.9571,0.0219116,21.533,0.0100419,17.3685,0.0190568,17.7718,0.0199715,22.6094,0.00653014,22.5234,0.018273,21.8229,0.00848549,24.5923,0.0238171,17.2835,0.018975,18.2367,0.0207586,23.2861,0.00727136,22.7194,0.0177277,23.0188,0.0104207,24.4098,0.0187917,23.3512,0.0239,22.2156,0.0168289,24.4705,0.0227797,23.4509,0.0215341,23.5327,0.0144737,26.9836,0.023081
2019-10-02 09:07:00,17.2874,0.768644,22.9458,0.766163,17.186,0.75717,22.7588,0.784293,17.9916,0.900825,22.3613,0.851006,17.4673,0.825917,22.2197,0.854861,17.4431,0.0197409,17.4763,0.0177196,22.1736,0.00745942,18.0602,0.0212916,17.9572,0.0219216,21.4552,0.01194,17.368,0.0190505,17.7623,0.0199312,22.6359,0.00633455,22.4187,0.0182549,21.7278,0.00845178,24.8068,0.0239483,17.2779,0.0191433,17.6355,0.0201348,23.6242,0.00717842,22.5705,0.0177153,22.9544,0.0104498,24.5303,0.0188788,23.2718,0.0238924,22.153,0.0168454,24.6958,0.0229253,23.4971,0.0215334,23.6568,0.0144169,27.3465,0.0234326
2019-10-02 09:08:00,17.2807,0.794162,22.9641,0.790714,17.1887,0.747972,22.8086,0.777783,17.9869,0.922575,22.3388,0.870628,17.4658,0.834001,22.2014,0.859156,17.4427,0.0198008,17.4762,0.0177733,21.7288,0.00721927,18.0597,0.0213814,17.9417,0.0219443,21.762,0.00873231,17.3691,0.0191853,17.2938,0.0192133,22.2729,0.0079908,22.3799,0.0182319,21.7368,0.00837015,25.0049,0.0240581,17.2821,0.019132,17.6477,0.0201279,23.6721,0.00728495,22.4791,0.0177055,22.8936,0.0104859,24.5371,0.0187884,23.1902,0.0238811,22.1454,0.0168343,24.9172,0.0230843,23.5128,0.0215139,23.6807,0.0143981,27.6247,0.0236069
2019-10-02 09:09:00,17.2839,0.779349,23.022,0.778919,17.1926,0.73082,22.854,0.764002,17.9879,0.91857,22.3499,0.867454,17.4664,0.832346,22.1981,0.855911,17.4416,0.0197731,17.4758,0.017709,21.9148,0.00759636,18.0597,0.0213575,17.9413,0.0218678,21.6118,0.00970563,17.3694,0.0191102,17.4887,0.019586,22.6045,0.00636233,22.3664,0.0182344,21.6524,0.00834833,25.231,0.0241887,17.2822,0.0190658,17.8623,0.0203866,23.495,0.00743068,22.4902,0.0177051,22.781,0.0105283,24.5521,0.018781,23.1761,0.0238795,22.1671,0.016816,25.046,0.0231958,23.4983,0.0215174,23.7342,0.0143702,27.8853,0.0237982
2019-10-02 09:10:00,17.2862,0.768711,23.081,0.770673,17.1962,0.717914,22.891,0.753312,17.9878,0.921012,22.3564,0.869988,17.3636,0.830461,22.1909,0.851818,17.3441,0.019716,17.3768,0.0176287,22.0556,0.00761615,18.0604,0.0213616,17.9423,0.0218504,21.5109,0.0104134,17.3677,0.0190776,17.6836,0.0198496,22.782,0.00539465,22.3739,0.0182179,21.534,0.00835849,25.4626,0.0243229,17.2828,0.0190165,17.9708,0.0204478,23.4272,0.00743807,22.4207,0.017697,22.5929,0.0106034,24.6147,0.0188196,23.1858,0.0238799,22.219,0.0168153,25.1038,0.0232643,23.4992,0.0215407,23.6309,0.0143645,28.1287,0.024011
2019-10-02 09:11:00,17.2838,0.77727,23.1078,0.780794,17.1875,0.750774,22.8687,0.77785,17.9902,0.907531,22.3783,0.859946,17.3645,0.828126,22.1843,0.848859,17.3448,0.0197243,17.3717,0.0176052,22.118,0.00755879,18.0597,0.0213226,17.9426,0.0218419,21.4385,0.0118859,17.368,0.0191072,17.5081,0.019615,22.7562,0.00558589,22.3344,0.0182121,21.4642,0.0083584,25.6384,0.0244154,17.2776,0.0191491,17.5915,0.0199416,23.6384,0.0071943,22.2853,0.0176828,22.4802,0.010654,24.7506,0.0189052,23.1312,0.0238701,22.2454,0.016812,25.186,0.0233262,23.5031,0.0215438,23.5042,0.0143823,28.3421,0.024208
2019-10-02 09:12:00,17.2826,0.779398,23.1323,0.786254,17.1875,0.752945,22.8722,0.779804,17.9905,0.905326,22.3804,0.858687,17.3644,0.830301,22.1803,0.850988,17.3398,0.0197297,17.3681,0.0175838,22.2505,0.00743777,18.0595,0.0212985,17.9426,0.0218369,21.4844,0.0119449,17.368,0.0191299,17.4412,0.0195364,22.8004,0.00544429,22.2774,0.018208,21.4424,0.00833251,25.7958,0.0244983,17.2771,0.0191521,17.5435,0.0198229,23.7458,0.00714206,22.2117,0.0176793,22.4426,0.0106692,24.8887,0.0190921,23.0356,0.0238577,22.2873,0.0168121,25.276,0.0233484,23.4979,0.0215243,23.3162,0.0144164,28.5445,0.0244039
2019-10-02 09:13:00,17.2821,0.779531,23.1714,0.789491,17.199,0.709196,22.9524,0.747227,17.9877,0.923329,22.3556,0.873744,17.468,0.830453,22.1872,0.851174,17.4368,0.0197472,17.4598,0.0175596,22.378,0.0072474,18.0604,0.0213653,17.9416,0.0218531,21.6204,0.0101905,17.368,0.0191307,17.4398,0.0195642,22.9026,0.00495656,22.1661,0.0181945,21.4822,0.00829676,25.9636,0.0245938,17.2826,0.0189797,17.9207,0.020293,23.6383,0.00732346,22.2464,0.0176882,22.4351,0.010673,25.0171,0.0192366,23.0049,0.023852,22.3046,0.0168128,25.3458,0.0233916,23.4938,0.0215251,23.1729,0.0144521,28.7459,0.0245937
