time,Thermal power (out),Electrical power (in),Electrical IT power
2019-10-02 09:00:00,28100.000666666667,30266.0,27406.666666666668
2019-10-02 09:01:00,27866.667333333335,29961.0,27144.333333333332
2019-10-02 09:02:00,28133.334,29527.0,27429.666666666668
2019-10-02 09:03:00,28000.0,30482.0,27726.333333333332
2019-10-02 09:04:00,28266.667666666668,30277.0,27812.333333333332
2019-10-02 09:05:00,27900.0,30456.0,27318.0
2019-10-02 09:06:00,28133.334,30477.0,27500.0
2019-10-02 09:07:00,28000.000333333333,29817.0,27546.333333333332
2019-10-02 09:08:00,27900.000333333333,30076.0,27347.666666666668
2019-10-02 09:09:00,28033.333333333332,31068.0,27114.666666666668
2019-10-02 09:10:00,28000.0,31032.0,27356.666666666668
2019-10-02 09:11:00,27933.334333333332,29957.0,27707.333333333332
2019-10-02 09:12:00,28000.000333333333,30069.0,27681.0
2019-10-02 09:13:00,27700.001,30110.0,27202.666666666668
2019-10-02 09:14:00,27900.000666666667,30095.0,27688.0
2019-10-02 09:15:00,27800.001,29016.0,27742.0
2019-10-02 09:16:00,27866.667333333335,30608.0,27487.0
2019-10-02 09:17:00,28033.333333333332,30191.0,27390.666666666668
2019-10-02 09:18:00,27966.666666666668,31035.0,28020.333333333332
2019-10-02 09:19:00,27800.001,31085.0,27451.333333333332
2019-10-02 09:20:00,27766.667333333335,31360.0,27388.0
2019-10-02 09:21:00,27700.001,30506.0,27499.666666666668
2019-10-02 09:22:00,27866.667,29718.0,27699.333333333332
2019-10-02 09:23:00,28200.001,29998.0,27250.666666666668
2019-10-02 09:24:00,27866.667,31359.0,27417.666666666668
2019-10-02 09:25:00,27833.334,30110.0,27556.0
2019-10-02 09:26:00,28066.666666666668,30325.0,27416.333333333332
2019-10-02 09:27:00,28166.667333333335,31174.0,27426.666666666668
2019-10-02 09:28:00,28033.333333333332,30694.0,27485.333333333332
2019-10-02 09:29:00,28200.001,29978.0,27642.333333333332
2019-10-02 09:30:00,28000.000333333333,30182.0,27606.0
2019-10-02 09:31:00,28133.334,29954.0,27157.333333333332
2019-10-02 09:32:00,28000.000333333333,31316.0,27515.333333333332
2019-10-02 09:33:00,28033.333333333332,29983.0,27375.666666666668
2019-10-02 09:34:00,27866.667333333335,30120.0,27429.0
