time,power_p02r05c01srv01,power_p02r05c01srv02,power_p02r05c01srv03,power_p02r05c02srv01,power_p02r05c02srv02,power_p02r05c02srv03,power_p02r05c03srv01,power_p02r05c03srv02,power_p02r05c03srv03,power_p02r05c04srv01,power_p02r05c04srv02,power_p02r05c04srv03,power_p02r05c05srv01,power_p02r05c05srv02,power_p02r05c05srv03,power_p02r05c06srv01,power_p02r05c06srv02,power_p02r05c06srv03,power_p02r05c07srv01,power_p02r05c07srv02,power_p02r05c07srv03,power_p02r05c08srv01,power_p02r05c08srv02,power_p02r05c08srv03,power_p02r05c09srv01,power_p02r05c09srv02,power_p02r05c09srv03,power_p02r05c10srv01,power_p02r05c10srv02,power_p02r05c10srv03
02-Oct-2019 09:00:00,46.0,46.7,43.8,44.1,55.2,60.0,47.4,55.5,53.0,46.2,60.0,45.2,52.6,62.2,60.8,59.8,60.0,58.6,53.1,41.1,58.7,45.0,57.0,55.0,63.0,59.4,46.2,50.2,60.0,60.0
02-Oct-2019 09:01:00,46.0,46.7,43.8,57.4,55.2,60.0,47.4,55.5,39.7,46.2,60.0,60.400000000000006,52.6,62.2,62.7,59.8,60.0,58.6,70.2,41.1,58.7,64.0,57.0,55.0,63.0,48.0,59.5,42.6,60.0,60.0
02-Oct-2019 09:02:00,53.7,54.4,52.6,60.6,58.5,60.0,39.7,58.8,46.0,52.8,60.0,65.2,43.8,61.1,63.0,57.6,60.0,59.7,72.0,48.8,59.8,75.0,57.0,50.6,59.5,42.6,63.0,39.0,60.0,60.0
02-Oct-2019 09:03:00,61.0,58.9,58.2,45.4,58.6,60.0,51.6,60.0,59.3,57.9,60.0,61.4,48.1,54.4,63.0,54.2,60.0,58.4,72.0,60.0,58.3,56.0,57.0,44.0,46.2,54.0,63.0,39.0,58.8,60.0
02-Oct-2019 09:04:00,62.1,57.8,49.4,39.0,57.5,60.0,59.3,60.0,54.0,54.6,60.0,57.6,55.8,46.7,62.2,56.4,60.0,57.3,72.0,60.0,57.2,45.0,57.7,41.8,44.5,60.0,63.0,40.4,57.7,60.0
02-Oct-2019 09:05:00,63.0,50.4,39.0,39.0,58.4,53.7,60.0,60.0,42.6,53.8,60.0,46.2,62.6,39.0,60.3,59.4,60.0,50.6,72.0,58.2,57.0,64.0,59.6,39.0,54.0,60.0,63.0,53.7,58.2,60.0
02-Oct-2019 09:06:00,63.0,43.8,39.0,39.3,59.5,46.0,60.0,60.0,48.0,58.2,60.0,43.6,64.8,39.0,60.8,52.8,60.0,46.2,72.0,51.6,57.0,75.0,59.3,39.0,54.5,60.0,63.0,60.0,59.3,60.0
02-Oct-2019 09:07:00,56.0,46.7,39.0,41.2,60.0,45.3,60.0,60.0,59.4,62.3,60.0,51.2,60.8,39.0,62.7,42.0,57.2,49.8,72.0,43.5,57.0,78.8,57.4,39.0,45.0,60.0,63.0,60.0,51.6,60.0
02-Oct-2019 09:08:00,48.3,54.4,39.0,42.0,60.0,53.0,60.0,60.0,60.0,61.2,60.0,53.2,56.4,39.0,63.0,42.0,49.5,53.1,72.0,49.0,57.0,81.0,57.0,39.0,42.0,60.0,63.0,60.0,43.900000000000006,60.0
02-Oct-2019 09:09:00,48.0,52.3,39.0,42.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,49.4,54.0,44.6,63.0,42.6,40.6,55.6,72.0,55.2,46.8,60.099999999999994,57.0,39.0,42.0,60.0,63.0,60.0,47.4,60.0
