"Time";"power_p02r08c01srv01";"power_p02r08c01srv02";"power_p02r08c01srv03";"power_p02r08c02srv01";"power_p02r08c02srv02";"power_p02r08c02srv03";"power_p02r08c03srv01";"power_p02r08c03srv02";"power_p02r08c03srv03";"power_p02r08c04srv01";"power_p02r08c04srv02";"power_p02r08c04srv03";"power_p02r08c05srv01";"power_p02r08c05srv02";"power_p02r08c05srv03";"power_p02r08c06srv01";"power_p02r08c06srv02";"power_p02r08c06srv03";"power_p02r08c07srv01";"power_p02r08c07srv02";"power_p02r08c07srv03";"power_p02r08c08srv01";"power_p02r08c08srv02";"power_p02r08c08srv03";"power_p02r08c09srv01";"power_p02r08c09srv02";"power_p02r08c09srv03";"power_p02r08c10srv01";"power_p02r08c10srv02";"power_p02r08c10srv03"
"2019-10-02T09:01:06+02:00";null;null;null;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:07+02:00";null;null;null;57;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:08+02:00";null;null;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:08+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:09+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:10+02:00";null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:12+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:12+02:00";60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:13+02:00";null;null;null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:14+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:15+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;42;null;null
"2019-10-02T09:01:16+02:00";null;42;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:17+02:00";null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:18+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:19+02:00";null;null;null;null;null;null;null;null;57;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
