"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-02T09:00:07+02:00";null;null;2020.1802;null;null;null;null;null;null;null;null
"2019-10-02T09:00:13+02:00";null;null;null;null;null;null;null;null;null;null;2543.8108
"2019-10-02T09:00:19+02:00";null;null;null;null;null;null;null;null;2547.3521;null;null
"2019-10-02T09:00:30+02:00";null;null;null;null;null;2488.988;null;null;null;null;null
"2019-10-02T09:00:40+02:00";null;2113.104;null;null;null;null;null;null;null;null;null
"2019-10-02T09:00:46+02:00";null;null;null;null;null;null;null;null;null;2052.3389;null
"2019-10-02T09:00:50+02:00";null;null;null;null;null;null;2128.7312;null;null;null;null
"2019-10-02T09:00:52+02:00";null;null;null;null;null;null;null;2091.6042;null;null;null
"2019-10-02T09:00:58+02:00";null;null;null;null;2139.6958;null;null;null;null;null;null
"2019-10-02T09:00:59+02:00";4626.8193;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:07+02:00";null;null;2060.9595;null;null;null;null;null;null;null;null
"2019-10-02T09:01:13+02:00";null;null;null;null;null;null;null;null;null;null;2415.6465
"2019-10-02T09:01:19+02:00";null;null;null;null;null;null;null;null;2411.4153;null;null
"2019-10-02T09:01:30+02:00";null;null;null;null;null;2619.1099;null;null;null;null;null
"2019-10-02T09:01:40+02:00";null;2060.1834;null;null;null;null;null;null;null;null;null
"2019-10-02T09:01:46+02:00";null;null;null;null;null;null;null;null;null;2014.8433;null
"2019-10-02T09:01:50+02:00";null;null;null;null;null;null;2085.094;null;null;null;null
"2019-10-02T09:01:52+02:00";null;null;null;null;null;null;null;2072.6885;null;null;null
"2019-10-02T09:01:58+02:00";null;null;null;null;2123.1201;null;null;null;null;null;null
"2019-10-02T09:01:59+02:00";4630.1113;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:02:07+02:00";null;null;2078.3298;null;null;null;null;null;null;null;null
"2019-10-02T09:02:13+02:00";null;null;null;null;null;null;null;null;null;null;2560.2415
"2019-10-02T09:02:19+02:00";null;null;null;null;null;null;null;null;2560.0154;null;null
"2019-10-02T09:02:30+02:00";null;null;null;null;null;2534.9241;null;null;null;null;null
"2019-10-02T09:02:40+02:00";null;2182.9182;null;null;null;null;null;null;null;null;null
"2019-10-02T09:02:46+02:00";null;null;null;null;null;null;null;null;null;2055.8931;null
"2019-10-02T09:02:50+02:00";null;null;null;null;null;null;2121.9395;null;null;null;null
"2019-10-02T09:02:52+02:00";null;null;null;null;null;null;null;2261.0081;null;null;null
"2019-10-02T09:02:58+02:00";null;null;null;null;2105.0454;null;null;null;null;null;null
"2019-10-02T09:02:59+02:00";4712.3081;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:03:07+02:00";null;null;2151.5049;null;null;null;null;null;null;null;null
"2019-10-02T09:03:13+02:00";null;null;null;null;null;null;null;null;null;null;2503.0657
