time,temperature_front_bottom,temperature_front_middle,temperature_front_top,temperature_rear_bottom,temperature_rear_middle,temperature_rear_top
02-Oct-2019 09:00:00,21.0,18.38,24.19,23.5,23.28,28.13
02-Oct-2019 09:01:00,21.015,18.38,24.25,23.56,23.3125,28.145
02-Oct-2019 09:02:00,21.0,18.38,24.19,23.56,23.29,28.13
02-Oct-2019 09:03:00,21.06,18.38,24.25,23.52,23.28,28.13
02-Oct-2019 09:04:00,21.06,18.4025,24.205000000000002,23.515,23.285,28.13
02-Oct-2019 09:05:00,21.06,18.38,24.238,23.5,23.2725,28.13
02-Oct-2019 09:06:00,21.19,18.395,24.25,23.5,23.258,28.13
02-Oct-2019 09:07:00,21.0775,18.4,24.19,23.56,23.285,28.16
02-Oct-2019 09:08:00,21.145,18.4,24.19,23.5,23.2425,28.13
02-Oct-2019 09:09:00,21.13,18.41,24.19,23.44,23.226666666666667,28.19
02-Oct-2019 09:10:00,21.13,18.41,24.25,23.5,23.244999999999997,28.13
02-Oct-2019 09:11:00,21.13,18.4,24.19,23.5,23.23,28.13
02-Oct-2019 09:12:00,21.06,18.4,24.19,23.44,23.195,28.16
02-Oct-2019 09:13:00,21.13,18.4,24.202,23.455000000000002,23.195,28.112499999999997
02-Oct-2019 09:14:00,21.19,18.37,24.19,23.44,23.19666666666667,28.13
02-Oct-2019 09:15:00,21.142,18.372,24.19,23.44,23.205,28.0925
02-Oct-2019 09:16:00,21.19,18.395999999999997,24.19,23.485,23.205,28.13
02-Oct-2019 09:17:00,21.235,18.37,24.19,23.464000000000002,23.263333333333332,28.13
02-Oct-2019 09:18:00,21.25,18.36,24.25,23.56,23.259999999999998,28.13
02-Oct-2019 09:19:00,21.25,18.37,24.25,23.515,23.31,28.13
02-Oct-2019 09:20:00,21.25,18.37,24.19,23.606666666666666,23.29,28.16
02-Oct-2019 09:21:00,21.25,18.37,24.25,23.595,23.285,28.13
02-Oct-2019 09:22:00,21.19,18.4,24.294999999999998,23.612499999999997,23.29,28.13
02-Oct-2019 09:23:00,21.205000000000002,18.36,24.235,23.63,23.29,28.0775
02-Oct-2019 09:24:00,21.25,18.3775,24.19,23.583333333333332,23.262,28.13
02-Oct-2019 09:25:00,21.25,18.3975,24.19,23.595,23.24,28.13
02-Oct-2019 09:26:00,21.25,18.38,24.19,23.56,23.22,28.16
02-Oct-2019 09:27:00,21.25,18.41,24.205000000000002,23.535999999999998,23.22,28.13
02-Oct-2019 09:28:00,21.25,18.38,24.205000000000002,23.56,23.24,28.175
02-Oct-2019 09:29:00,21.25,18.395,24.25,23.56,23.263333333333332,28.13
02-Oct-2019 09:30:00,21.13,18.395,24.19,23.583333333333332,23.244,28.19
02-Oct-2019 09:31:00,21.19,18.4,24.19,23.583333333333332,23.224999999999998,28.13
02-Oct-2019 09:32:00,21.19,18.37,24.235,23.5,23.22,28.154
02-Oct-2019 09:33:00,21.145,18.38,24.25,23.485,23.215,28.145
02-Oct-2019 09:34:00,21.25,18.41,24.25,23.47,23.23,28.13
02-Oct-2019 09:35:00,21.19,18.373333333333335,24.19,23.44,23.24,28.13
02-Oct-2019 09:36:00,21.19,18.401999999999997,24.19,23.5,23.23,28.13
02-Oct-2019 09:37:00,21.205000000000002,18.3925,24.25,23.5,23.27,28.095
02-Oct-2019 09:38:00,21.205000000000002,18.36,24.25,23.56,23.28,28.13
02-Oct-2019 09:39:00,21.175,18.24,24.25,23.53,23.255,28.166
02-Oct-2019 09:40:00,21.19,18.176666666666666,24.25,23.606666666666666,23.27,28.13
02-Oct-2019 09:41:00,21.19,18.1225,24.25,23.9,23.445,28.314999999999998
02-Oct-2019 09:42:00,21.13,18.064999999999998,24.235,24.405,23.79,28.564999999999998
02-Oct-2019 09:43:00,21.06,18.08,24.235,25.049999999999997,24.185000000000002,28.9075
02-Oct-2019 09:44:00,20.94,18.08,24.25,25.546666666666667,24.623333333333335,29.25
02-Oct-2019 09:45:00,20.6575,18.105,24.19,26.0675,25.16,29.595
02-Oct-2019 09:46:00,20.5,18.17,24.19,26.313333333333333,25.5,29.89666666666667
02-Oct-2019 09:47:00,20.25,18.24,24.19,26.689999999999998,25.906666666666666,30.186666666666667
02-Oct-2019 09:48:00,19.985,18.29,24.0775,27.0,26.3475,30.39666666666667
02-Oct-2019 09:49:00,19.81,18.34,24.044999999999998,27.28,26.63,30.56
02-Oct-2019 09:50:00,19.612499999999997,18.36,24.0,27.476,26.933333333333334,30.735
02-Oct-2019 09:51:00,19.44,18.4025,24.0,27.71,27.16,30.92
02-Oct-2019 09:52:00,19.31,18.415,23.94,27.862499999999997,27.375,31.0
02-Oct-2019 09:53:00,19.13,18.415,23.94,27.98,27.61,31.13
02-Oct-2019 09:54:00,19.0,18.43,23.94,28.106666666666666,27.753333333333334,31.15
02-Oct-2019 09:55:00,18.88,18.4475,23.94,28.25,27.886666666666667,31.294999999999998
02-Oct-2019 09:56:00,18.81,18.41,23.88,28.356666666666666,28.025,31.375
02-Oct-2019 09:57:00,18.72,18.41,23.81,28.485,28.14,31.44
02-Oct-2019 09:58:00,18.63,18.377499999999998,23.794999999999998,28.544999999999998,28.234,31.44
02-Oct-2019 09:59:00,18.44,18.3625,23.75,28.56,28.328,31.56
02-Oct-2019 10:00:00,18.5,18.37,23.75,28.66,28.392,31.606666666666666
02-Oct-2019 10:01:00,18.38,18.33,23.794999999999998,28.69,28.44,31.705000000000002
02-Oct-2019 10:02:00,18.294999999999998,18.31,23.75,28.75,28.515,31.735
02-Oct-2019 10:03:00,18.19,18.31,23.78,28.75,28.55,31.735
02-Oct-2019 10:04:00,18.19,18.294999999999998,23.69,28.81,28.585,31.856666666666666
02-Oct-2019 10:05:00,18.112499999999997,18.2925,23.75,28.774,28.630000000000003,31.856666666666666
02-Oct-2019 10:06:00,18.06,18.2675,23.75,28.856666666666666,28.6625,31.88
02-Oct-2019 10:07:00,18.13,18.26,23.75,28.88,28.71333333333333,31.92
02-Oct-2019 10:08:00,18.0,18.24,23.75,28.852,28.7525,31.88
02-Oct-2019 10:09:00,17.94,18.24,23.735,28.904,28.7775,31.88
02-Oct-2019 10:10:00,17.985,18.21,23.735,28.91,28.7925,31.94
02-Oct-2019 10:11:00,17.895,18.19,23.69,28.925,28.83,31.97
02-Oct-2019 10:12:00,17.94,18.2,23.75,29.0,28.834,32.0
02-Oct-2019 10:13:00,17.88,18.19,23.69,28.96,28.87,31.97
02-Oct-2019 10:14:00,17.81,18.16,23.69,29.0,28.9,32.0
02-Oct-2019 10:15:00,17.88,18.17,23.645,29.06,28.935000000000002,31.985
02-Oct-2019 10:16:00,17.81,18.19,23.67,29.106666666666666,28.943333333333335,31.98
02-Oct-2019 10:17:00,17.81,18.196666666666665,23.69,29.106666666666666,28.976666666666667,32.02
02-Oct-2019 10:18:00,17.81,18.1675,23.63,29.095,29.0025,32.0
02-Oct-2019 10:19:00,17.81,18.15,23.63,29.13,29.0,32.02
02-Oct-2019 10:20:00,17.81,18.15,23.63,29.13,29.025,32.04
02-Oct-2019 10:21:00,17.75,18.17,23.63,29.166,29.0425,32.095
02-Oct-2019 10:22:00,17.794999999999998,18.15,23.63,29.175,29.0425,32.0
02-Oct-2019 10:23:00,17.88,18.1625,23.63,29.16,29.065,32.112500000000004
02-Oct-2019 10:24:00,17.81,18.15,23.63,29.166,29.08,32.06
02-Oct-2019 10:25:00,17.81,18.165,23.63,29.205000000000002,29.085,32.095
02-Oct-2019 10:26:00,17.794999999999998,18.17,23.63,29.22,29.1325,32.0775
02-Oct-2019 10:27:00,17.88,18.19,23.63,29.19,29.136666666666667,32.06
02-Oct-2019 10:28:00,17.794999999999998,18.19,23.63,29.28,29.146,32.083333333333336
02-Oct-2019 10:29:00,17.794999999999998,18.21,23.675,29.25,29.17,32.112500000000004
02-Oct-2019 10:30:00,17.81,18.21,23.69,29.29,29.184,32.13
02-Oct-2019 10:31:00,17.88,18.206666666666667,23.67,29.29,29.19,32.083333333333336
02-Oct-2019 10:32:00,17.81,18.2,23.69,29.31,29.215,32.175
02-Oct-2019 10:33:00,17.81,18.197499999999998,23.69,29.362499999999997,29.225,32.175
02-Oct-2019 10:34:00,17.81,18.185000000000002,23.63,29.31,29.22,32.0775
02-Oct-2019 10:35:00,17.81,18.17,23.63,29.31,29.244999999999997,32.16
02-Oct-2019 10:36:00,17.81,18.19,23.63,29.345,29.2575,32.13
02-Oct-2019 10:37:00,17.81,18.183333333333334,23.63,29.38,29.253333333333334,32.15
02-Oct-2019 10:38:00,17.81,18.192500000000003,23.63,29.352,29.25,32.19
02-Oct-2019 10:39:00,17.88,18.168000000000003,23.69,29.38,29.27,32.235
02-Oct-2019 10:40:00,17.88,18.17,23.69,29.38,29.26,32.22
02-Oct-2019 10:41:00,17.862499999999997,18.19,23.69,29.38,29.26,32.22
02-Oct-2019 10:42:00,17.81,18.2,23.69,29.38,29.270000000000003,32.25
02-Oct-2019 10:43:00,17.81,18.17666666666667,23.69,29.38,29.2575,32.27
