time,temperature_p02r03c01srv01_inlet,temperature_p02r03c01srv02_inlet,temperature_p02r03c01srv03_inlet,temperature_p02r03c02srv01_inlet,temperature_p02r03c02srv02_inlet,temperature_p02r03c02srv03_inlet,temperature_p02r03c03srv01_inlet,temperature_p02r03c03srv02_inlet,temperature_p02r03c03srv03_inlet,temperature_p02r03c04srv01_inlet,temperature_p02r03c04srv02_inlet,temperature_p02r03c04srv03_inlet,temperature_p02r03c05srv01_inlet,temperature_p02r03c05srv02_inlet,temperature_p02r03c05srv03_inlet,temperature_p02r03c06srv01_inlet,temperature_p02r03c06srv02_inlet,temperature_p02r03c06srv03_inlet,temperature_p02r03c07srv01_inlet,temperature_p02r03c07srv02_inlet,temperature_p02r03c07srv03_inlet,temperature_p02r03c08srv01_inlet,temperature_p02r03c08srv02_inlet,temperature_p02r03c08srv03_inlet,temperature_p02r03c09srv01_inlet,temperature_p02r03c09srv02_inlet,temperature_p02r03c09srv03_inlet,temperature_p02r03c10srv01_inlet,temperature_p02r03c10srv02_inlet,temperature_p02r03c10srv03_inlet
02-Oct-2019 09:01:00,22.0,22.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.233333333333334,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:02:00,22.0,22.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.616666666666667,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:03:00,22.0,22.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,21.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:04:00,22.0,21.78333333333333,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.866666666666667,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:05:00,22.0,21.566666666666666,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.733333333333334,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:06:00,22.0,21.28333333333333,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.366666666666667,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:07:00,22.0,21.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:08:00,22.0,21.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:09:00,22.0,21.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:10:00,22.0,21.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
02-Oct-2019 09:11:00,22.0,21.0,22.0,20.0,21.0,21.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0
