time,temperature_p02r08c01srv01_inlet,temperature_p02r08c01srv02_inlet,temperature_p02r08c01srv03_inlet,temperature_p02r08c02srv01_inlet,temperature_p02r08c02srv02_inlet,temperature_p02r08c02srv03_inlet,temperature_p02r08c03srv01_inlet,temperature_p02r08c03srv02_inlet,temperature_p02r08c03srv03_inlet,temperature_p02r08c04srv01_inlet,temperature_p02r08c04srv02_inlet,temperature_p02r08c04srv03_inlet,temperature_p02r08c05srv01_inlet,temperature_p02r08c05srv02_inlet,temperature_p02r08c05srv03_inlet,temperature_p02r08c06srv01_inlet,temperature_p02r08c06srv02_inlet,temperature_p02r08c06srv03_inlet,temperature_p02r08c07srv01_inlet,temperature_p02r08c07srv02_inlet,temperature_p02r08c07srv03_inlet,temperature_p02r08c08srv01_inlet,temperature_p02r08c08srv02_inlet,temperature_p02r08c08srv03_inlet,temperature_p02r08c09srv01_inlet,temperature_p02r08c09srv02_inlet,temperature_p02r08c09srv03_inlet,temperature_p02r08c10srv01_inlet,temperature_p02r08c10srv02_inlet,temperature_p02r08c10srv03_inlet,temperature_p02r08srv17_inlet,temperature_p02r08srv18_inlet,temperature_p02r08srv19_inlet,temperature_p02r08srv20_inlet
02-Oct-2019 09:00:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.236842105263158,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.058823529411764,21.0,20.0
02-Oct-2019 09:01:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.236842105263158,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,22.0,21.0,20.0
02-Oct-2019 09:02:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.13157894736842,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,22.0,21.0,20.0
02-Oct-2019 09:03:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.763157894736842,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.5,21.0,20.0
02-Oct-2019 09:04:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.86842105263158,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
02-Oct-2019 09:05:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.236842105263158,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
02-Oct-2019 09:06:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,20.0,20.13157894736842,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
02-Oct-2019 09:07:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.210526315789473,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
02-Oct-2019 09:08:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.105263157894736,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
02-Oct-2019 09:09:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
02-Oct-2019 09:10:00,21.0,20.0,20.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,24.0,23.0,21.0,21.0,20.0
02-Oct-2019 09:11:00,21.0,20.0,20.0,19.0,19.0,19.0,17.11111111111111,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,18.0,19.833333333333332,20.0,19.0,21.0,21.0,21.0,21.0,21.0,25.0,23.0,23.0,24.0,24.0,23.77777777777778,23.0,21.0,21.0,20.0
