time,temperature_p02r08c01srv01_outlet,temperature_p02r08c01srv02_outlet,temperature_p02r08c01srv03_outlet,temperature_p02r08c02srv01_outlet,temperature_p02r08c02srv02_outlet,temperature_p02r08c02srv03_outlet,temperature_p02r08c03srv01_outlet,temperature_p02r08c03srv02_outlet,temperature_p02r08c03srv03_outlet,temperature_p02r08c04srv01_outlet,temperature_p02r08c04srv02_outlet,temperature_p02r08c04srv03_outlet,temperature_p02r08c05srv01_outlet,temperature_p02r08c05srv02_outlet,temperature_p02r08c05srv03_outlet,temperature_p02r08c06srv01_outlet,temperature_p02r08c06srv02_outlet,temperature_p02r08c06srv03_outlet,temperature_p02r08c07srv01_outlet,temperature_p02r08c07srv02_outlet,temperature_p02r08c07srv03_outlet,temperature_p02r08c08srv01_outlet,temperature_p02r08c08srv02_outlet,temperature_p02r08c08srv03_outlet,temperature_p02r08c09srv01_outlet,temperature_p02r08c09srv02_outlet,temperature_p02r08c09srv03_outlet,temperature_p02r08c10srv01_outlet,temperature_p02r08c10srv02_outlet,temperature_p02r08c10srv03_outlet,temperature_p02r08srv17_outlet,temperature_p02r08srv18_outlet,temperature_p02r08srv19_outlet,temperature_p02r08srv20_outlet
02-Oct-2019 09:00:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,29.0,34.0,31.0,30.0,31.0,31.0,31.0,36.0,34.0,36.0,35.0
02-Oct-2019 09:01:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,29.0,34.0,31.0,30.0,31.0,31.0,31.0,36.0,34.0,36.0,35.0
02-Oct-2019 09:02:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.0,27.0,27.0,28.0,28.0,29.0,34.0,31.0,30.0,31.0,31.0,31.0,36.0,34.0,36.0,35.0
02-Oct-2019 09:03:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.5,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.63157894736842,27.0,27.0,28.0,28.0,29.0,33.86842105263158,31.0,30.0,31.0,31.0,31.0,36.0,34.0,36.0,35.0
02-Oct-2019 09:04:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.394736842105264,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.736842105263158,27.0,27.0,28.0,28.0,29.0,33.76315789473684,31.0,30.0,31.0,31.0,31.0,36.0,33.94285714285714,36.0,35.0
02-Oct-2019 09:05:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,33.0,31.0,30.0,31.0,31.0,31.0,36.0,33.0,36.0,35.0
02-Oct-2019 09:06:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,33.0,31.0,30.0,31.0,31.0,31.0,36.0,33.03030303030303,36.0,35.0
02-Oct-2019 09:07:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,33.0,31.0,30.0,31.0,31.0,31.0,36.0,34.0,36.0,35.0
02-Oct-2019 09:08:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,33.0,31.0,30.0,31.0,31.0,31.0,36.0,34.0,36.0,35.0
02-Oct-2019 09:09:00,27.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0,27.0,26.36842105263158,27.31578947368421,27.0,28.0,28.0,28.710526315789473,33.0,31.0,30.0,31.0,31.0,31.0,36.0,33.6,36.0,35.0
