time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,P02R10_in_b_T,P02R10_in_b_Q,P02R10_out_b_T,P02R10_out_b_Q,P02R10_in_m_T,P02R10_in_m_Q,P02R10_out_m_T,P02R10_out_m_Q,P02R10_in_t_T,P02R10_in_t_Q,P02R10_out_t_T,P02R10_out_t_Q,P02R08_in_b_T,P02R08_in_b_Q,P02R08_out_b_T,P02R08_out_b_Q,P02R08_in_m_T,P02R08_in_m_Q,P02R08_out_m_T,P02R08_out_m_Q,P02R08_in_t_T,P02R08_in_t_Q,P02R08_out_t_T,P02R08_out_t_Q,P02R01_in_b_T,P02R01_in_b_Q,P02R01_out_b_T,P02R01_out_b_Q,P02R01_in_m_T,P02R01_in_m_Q,P02R01_out_m_T,P02R01_out_m_Q,P02R01_in_t_T,P02R01_in_t_Q,P02R01_out_t_T,P02R01_out_t_Q,P02R06_in_b_T,P02R06_in_b_Q,P02R06_out_b_T,P02R06_out_b_Q,P02R06_in_m_T,P02R06_in_m_Q,P02R06_out_m_T,P02R06_out_m_Q,P02R06_in_t_T,P02R06_in_t_Q,P02R06_out_t_T,P02R06_out_t_Q,P02R07_in_b_T,P02R07_in_b_Q,P02R07_out_b_T,P02R07_out_b_Q,P02R07_in_m_T,P02R07_in_m_Q,P02R07_out_m_T,P02R07_out_m_Q,P02R07_in_t_T,P02R07_in_t_Q,P02R07_out_t_T,P02R07_out_t_Q,P02R04_in_b_T,P02R04_in_b_Q,P02R04_out_b_T,P02R04_out_b_Q,P02R04_in_m_T,P02R04_in_m_Q,P02R04_out_m_T,P02R04_out_m_Q,P02R04_in_t_T,P02R04_in_t_Q,P02R04_out_t_T,P02R04_out_t_Q,P02R05_in_b_T,P02R05_in_b_Q,P02R05_out_b_T,P02R05_out_b_Q,P02R05_in_m_T,P02R05_in_m_Q,P02R05_out_m_T,P02R05_out_m_Q,P02R05_in_t_T,P02R05_in_t_Q,P02R05_out_t_T,P02R05_out_t_Q,P02R02_in_b_T,P02R02_in_b_Q,P02R02_out_b_T,P02R02_out_b_Q,P02R02_in_m_T,P02R02_in_m_Q,P02R02_out_m_T,P02R02_out_m_Q,P02R02_in_t_T,P02R02_in_t_Q,P02R02_out_t_T,P02R02_out_t_Q,P02R09_in_b_T,P02R09_in_b_Q,P02R09_out_b_T,P02R09_out_b_Q,P02R09_in_m_T,P02R09_in_m_Q,P02R09_out_m_T,P02R09_out_m_Q,P02R09_in_t_T,P02R09_in_t_Q,P02R09_out_t_T,P02R09_out_t_Q,P02R03_in_b_T,P02R03_in_b_Q,P02R03_out_b_T,P02R03_out_b_Q,P02R03_in_m_T,P02R03_in_m_Q,P02R03_out_m_T,P02R03_out_m_Q,P02R03_in_t_T,P02R03_in_t_Q,P02R03_out_t_T,P02R03_out_t_Q
23-Jan-2018 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan-2018 10:01:00,18.8299,0.917167,28.3315,0.923298,18.3953,0.801152,29.7185,0.808351,18.2697,0.69377,29.2184,0.714899,19.1276,1.03211,28.7357,1.0534,18.3215,0.00874426,30.4662,0.00342629,18.4586,0.00832903,31.1072,0.0053769,21.4245,0.00425267,33.425,0.0137877,18.344,0.00379729,32.2258,0.00355257,18.4008,0.00470078,32.7588,0.00347593,21.4374,0.0058032,35.2728,0.00915264,18.1582,0.0221745,35.2133,0.0274349,19.2345,0.0213171,35.6131,0.0231658,25.1057,0.0246967,41.6919,0.0272879,18.3224,0.00959899,29.725,0.00937308,19.6039,0.0109988,30.8249,0.00780139,25.8861,0.00627238,36.9148,0.00959498,18.3322,0.00837371,28.4082,0.00968822,18.3584,0.00858918,28.2039,0.00807115,24.1912,0.0069275,33.8502,0.00989049,19.0513,0.00698497,32.0341,0.00869832,19.06,0.00750089,31.9715,0.00723017,21.5767,0.00825944,34.4016,0.00901898,18.982,0.0117154,28.7632,0.00935443,19.6886,0.0127749,29.2592,0.00774531,24.1847,0.00650234,33.5627,0.00969502,18.7412,0.0077769,35.5225,0.00906061,18.754,0.00822959,35.6832,0.0080164,20.823,0.00717956,37.652,0.00992879,18.348,0.00364495,32.6964,0.00353693,18.3145,0.00394468,32.7047,0.0037585,20.6834,0.00420947,34.9554,0.00854471,18.8604,0.0136595,36.0048,0.0171131,18.9313,0.0133545,35.6872,0.014107,23.3387,0.0136183,40.0662,0.0167757
23-Jan-2018 10:02:00,18.8446,0.918993,33.8512,0.934271,18.4165,0.803158,33.4273,0.809394,18.2907,0.696643,34.1908,0.711765,19.1417,1.03278,32.285,1.05713,18.362,0.0106668,31.0103,0.00411596,19.2407,0.0109442,32.3499,0.00591985,27.2917,0.00365526,38.0902,0.0152643,18.3878,0.00728413,32.459,0.00359768,19.0105,0.00651659,33.2287,0.00347146,25.2811,0.0058452,38.5447,0.00949518,18.8323,0.0240465,35.8992,0.0276318,20.3827,0.0215662,36.7246,0.0233763,32.7245,0.0241018,49.2226,0.0273921,18.3666,0.00948863,29.9058,0.00960249,21.0385,0.012175,32.2501,0.00778726,29.6376,0.00711068,40.6563,0.00954725,18.3747,0.00819191,28.5115,0.00967117,18.6591,0.00896034,28.5442,0.00806337,28.4011,0.00897118,38.0873,0.00989584,19.1259,0.00700638,32.2552,0.0086985,19.1115,0.00760381,32.0698,0.00724238,25.0701,0.00978046,37.9326,0.00905191,19.1215,0.0122938,28.9876,0.00936311,20.2772,0.0145771,29.8838,0.00769201,27.6118,0.0073484,37.0372,0.0097482,18.8509,0.00776141,35.7387,0.00911439,18.7941,0.00845684,35.7799,0.00814008,26.5593,0.0073692,43.1052,0.0101176,18.4117,0.00559622,32.8216,0.00351784,18.7809,0.00509226,33.033,0.00367115,25.2174,0.00447745,38.7173,0.00887681,19.0232,0.0149247,36.2197,0.0172521,19.1526,0.0140448,35.9531,0.0142634,27.7442,0.0138603,44.3751,0.0168992
23-Jan-2018 10:03:00,18.8496,0.919181,34.4983,0.931274,18.4176,0.803231,33.7592,0.808622,18.2948,0.697092,34.8213,0.712164,19.1452,1.03264,32.6237,1.05936,18.3712,0.0112623,30.7989,0.00302059,19.347,0.011089,32.4181,0.00577233,27.5592,0.00522024,38.237,0.0155746,18.3822,0.00752693,32.5556,0.00351138,19.12,0.00759281,33.4316,0.00350361,26.0016,0.00491322,39.1975,0.00949219,18.8112,0.0241625,35.8993,0.0276491,20.3027,0.0215903,36.6603,0.0233709,33.7338,0.0246994,50.2292,0.027438,18.3681,0.00961111,29.9283,0.00945556,21.0008,0.0122537,32.2468,0.00779258,30.3855,0.00722508,41.4891,0.00962266,18.3751,0.00812079,28.5138,0.00971276,18.7984,0.00896882,28.6905,0.00808388,28.5313,0.00931406,38.2338,0.00990359,19.1242,0.00696115,32.2526,0.00884219,19.1212,0.00769245,32.0672,0.00723699,25.9621,0.00868649,38.7477,0.00907493,19.124,0.0121705,29.0005,0.0094041,20.5498,0.0145331,30.1446,0.00773155,28.1188,0.00758359,37.5434,0.00976841,18.8661,0.00764907,35.8169,0.00921823,18.7956,0.00853895,35.7864,0.0081283,27.2602,0.0071917,43.8567,0.0102013,18.4249,0.00636228,32.8661,0.00359788,18.8423,0.00522344,33.1212,0.00369108,25.6787,0.00495695,39.0923,0.00885512,19.0157,0.0155006,36.2039,0.0173314,19.2143,0.0144722,36.0105,0.0143648,28.953,0.0145535,45.5568,0.0170116
23-Jan-2018 10:04:00,18.9971,0.917628,34.4525,0.93122,18.418,0.803153,33.7906,0.808916,18.2947,0.697014,34.8632,0.710586,19.2368,1.05827,32.64,1.08272,18.3818,0.0112184,30.8382,0.00307862,19.4212,0.0111136,32.5007,0.00573006,27.9362,0.00562677,38.6264,0.0152796,18.3768,0.00770497,32.5287,0.00365434,19.0678,0.0078819,33.3936,0.003423,25.8759,0.00585647,39.074,0.0095073,18.9501,0.0241462,36.0147,0.027747,20.4447,0.0216242,36.792,0.0234535,33.5834,0.0244001,50.0607,0.0274298,18.364,0.00972984,29.9257,0.00941639,21.0754,0.0118691,32.3014,0.00780525,30.1926,0.00768417,41.2662,0.00959754,18.3781,0.00809675,28.5259,0.00973953,18.7409,0.00899187,28.6098,0.00806722,29.0035,0.00993659,38.6713,0.00990294,19.231,0.00696987,32.3326,0.00874369,19.1975,0.00766362,32.2213,0.00724443,25.2697,0.00897682,38.0893,0.00902408,19.225,0.0124017,29.0499,0.0093734,20.5204,0.0145498,30.125,0.0077301,27.6672,0.0072624,37.0999,0.0097298,18.9948,0.00757698,35.9279,0.00922711,18.9778,0.00850492,35.9702,0.0081459,27.1666,0.00714081,43.7118,0.0101005,18.4224,0.00641014,32.8647,0.00361241,18.8868,0.00520964,33.1555,0.00360502,26.1913,0.00532058,39.5815,0.00887289,19.1161,0.0158408,36.2897,0.0173806,19.3438,0.0141626,36.1299,0.0143669,28.2924,0.0135486,44.983,0.0170269
23-Jan-2018 10:05:00,18.997,0.918031,34.4587,0.929449,18.5107,0.809861,33.7561,0.814963,18.4034,0.712426,34.8964,0.723972,19.3266,1.07935,32.5034,1.09857,18.4353,0.0111637,31.1184,0.00399203,19.3393,0.0111588,32.5012,0.00606104,26.8784,0.00569049,37.7792,0.0150473,18.4802,0.00758839,32.5379,0.00364265,19.2272,0.00701329,33.4441,0.00364784,25.5858,0.00559548,38.8275,0.00965613,18.9677,0.0241664,36.0393,0.0277965,20.6618,0.0215359,36.9951,0.0234347,33.176,0.0238803,49.7028,0.0274455,18.4417,0.00949045,29.9813,0.00942242,20.9781,0.0124865,32.2126,0.00781224,30.1876,0.00718158,41.2526,0.00964922,18.486,0.00790353,28.5911,0.00968956,18.8695,0.00897285,28.7269,0.00805858,28.9336,0.0101156,38.5893,0.0099011,19.3222,0.0070113,32.4126,0.00871007,19.2643,0.00761588,32.2457,0.00723485,24.9704,0.00887336,37.7197,0.00902756,19.2927,0.0131242,29.1692,0.00938285,20.4276,0.0149187,29.9976,0.00774682,27.811,0.0071008,37.1751,0.0097317,19.0002,0.00766513,35.9517,0.00925838,18.9761,0.00853334,35.967,0.00820096,27.379,0.00751887,43.8767,0.0100726,18.4951,0.00639484,32.8571,0.00366299,18.9559,0.00511301,33.1435,0.00363381,25.2608,0.00430375,38.6952,0.00874928,19.2193,0.016135,36.4208,0.017684,19.3508,0.0147874,36.1469,0.0145323,28.1286,0.0141647,44.8218,0.0172064
23-Jan-2018 10:06:00,19.1414,0.925945,34.5157,0.941516,18.5149,0.80328,33.8302,0.807169,18.4017,0.720972,34.8896,0.731453,19.4248,1.09087,32.4139,1.11166,18.4743,0.0114773,31.1914,0.00451758,19.2992,0.0112793,32.5422,0.00608536,26.9237,0.00605178,37.9523,0.0154991,18.493,0.00718761,32.6454,0.00350984,19.2299,0.00718837,33.5686,0.00373154,25.548,0.00527791,38.9186,0.00956921,19.0861,0.0242769,36.1676,0.0278861,20.8019,0.02173,37.1266,0.0235743,33.1866,0.0242837,49.6903,0.0276617,18.4755,0.00951685,30.006,0.00959008,21.4475,0.011839,32.6589,0.00782221,29.9088,0.00761664,40.9777,0.00959414,18.4921,0.00821437,28.6468,0.00968778,18.8366,0.00898521,28.7068,0.00807422,28.5869,0.0103938,38.2356,0.00991185,19.3955,0.00704489,32.5077,0.00873965,19.3743,0.00763461,32.3316,0.00726933,24.7461,0.00907193,37.515,0.00904281,19.3942,0.0132873,29.2333,0.00941059,20.3601,0.0149862,29.9325,0.00770988,27.5131,0.00694615,36.8987,0.00979022,19.1334,0.0076598,36.0496,0.00918633,19.1055,0.00848929,36.067,0.0082037,27.586,0.00715841,44.0538,0.0102089,18.5222,0.00595056,32.8902,0.00361119,18.9307,0.00511534,33.1304,0.00368218,25.8658,0.00448708,39.2102,0.008807,19.3049,0.0161745,36.4873,0.0176513,19.4518,0.0145378,36.2436,0.0146248,27.8037,0.0151568,44.5316,0.0173263
23-Jan-2018 10:07:00,19.2369,0.94579,34.4663,0.958779,18.5176,0.795278,33.9027,0.80107,18.504,0.705005,34.9768,0.720578,19.5669,1.10977,32.4324,1.13024,18.5142,0.0110918,31.2786,0.00366279,19.4029,0.0110438,32.7391,0.00671782,27.2273,0.00557552,38.0935,0.0154312,18.4954,0.00746149,32.6292,0.00361492,19.2644,0.00708407,33.606,0.00354009,25.844,0.00560559,39.0795,0.00969449,19.1728,0.0243273,36.2407,0.027893,20.7714,0.0218945,37.1035,0.0235698,33.7381,0.0246697,50.2126,0.0275947,18.4624,0.00955961,29.9894,0.00947553,21.5946,0.0117869,32.7752,0.00780121,30.2942,0.00712145,41.3646,0.00962161,18.4942,0.00803829,28.5816,0.00970245,18.9751,0.00909725,28.8166,0.00809109,29.6218,0.00994685,39.2843,0.00996393,19.5418,0.00708762,32.6193,0.00881494,19.5009,0.00763532,32.4889,0.00726239,24.4201,0.00970535,37.1644,0.00905458,19.5256,0.0133564,29.3096,0.00936892,20.4973,0.0150502,30.052,0.00771745,27.3641,0.0066951,36.7123,0.0097633,19.2433,0.00772597,36.1255,0.00915523,19.1986,0.0084777,36.1893,0.00822767,27.1999,0.00730717,43.6753,0.0101166,18.5576,0.00678967,32.9737,0.00357617,19.0025,0.00509558,33.2558,0.00359365,25.9295,0.00469732,39.3369,0.00895975,19.4387,0.0162557,36.5818,0.0176362,19.5502,0.0145783,36.3393,0.0146356,27.537,0.0147774,44.2552,0.017327
23-Jan-2018 10:08:00,19.3372,0.919264,34.6121,0.934513,18.6022,0.812967,33.9709,0.818922,18.591,0.700556,35.0788,0.714496,19.7148,1.12111,32.4035,1.13899,18.6053,0.0112125,31.392,0.00464341,19.5975,0.0110892,32.8202,0.00605513,27.2728,0.00437318,38.2845,0.0157831,18.5806,0.00835129,32.5808,0.00372639,19.4061,0.00723038,33.5682,0.00356291,25.9622,0.00553144,39.1584,0.00970728,19.2785,0.0242472,36.3578,0.0279235,21.1175,0.02165,37.4199,0.0235698,33.192,0.0240039,49.6871,0.0275773,18.509,0.00938726,30.0399,0.00946775,21.4339,0.012139,32.6301,0.00782441,30.5055,0.0076394,41.5851,0.00965728,18.5974,0.00789722,28.7003,0.00972457,18.976,0.00907566,28.8271,0.00808862,29.2804,0.0106331,38.8975,0.00997157,19.7169,0.00709425,32.7739,0.00884334,19.6468,0.00766154,32.6337,0.0072837,24.2035,0.00958922,36.9435,0.00902818,19.7065,0.0134954,29.4874,0.00946902,20.4608,0.0156313,30.0047,0.00776008,27.861,0.00686946,37.1921,0.00976654,19.3543,0.00765875,36.2838,0.00922524,19.2927,0.00848256,36.2752,0.0081136,26.642,0.00690911,43.2297,0.0103212,18.6354,0.00748946,33.0082,0.00361553,19.1335,0.00510575,33.333,0.00371825,25.747,0.00439112,39.1731,0.00885178,19.6084,0.0165266,36.7625,0.0176705,19.7094,0.015182,36.4982,0.0146549,27.005,0.0160247,43.8006,0.0173508
23-Jan-2018 10:09:00,19.4317,0.936245,34.558,0.949038,18.6938,0.837526,33.8675,0.840456,18.5886,0.710211,35.0604,0.722623,19.8576,1.13248,32.3976,1.14766,18.67,0.0113051,31.3135,0.00374765,19.4539,0.0112551,32.6632,0.00587024,28.1255,0.00511485,38.6075,0.0154444,18.6596,0.00786959,32.6077,0.00365252,19.358,0.0077876,33.5136,0.00363148,25.7444,0.00582516,38.8509,0.0100797,19.3965,0.0244229,36.4551,0.0279559,20.8953,0.0217719,37.2268,0.0236577,33.058,0.0242755,49.537,0.0276764,18.6197,0.00971696,30.166,0.00942631,21.2138,0.0127591,32.4106,0.00780511,30.3276,0.00775735,41.3635,0.0096396,18.6597,0.00806586,28.7472,0.0097301,18.9816,0.00898998,28.7953,0.00810009,28.9838,0.00970149,38.656,0.0099437,19.855,0.00712248,32.9323,0.00884957,19.7993,0.00765499,32.7401,0.00727978,24.0059,0.00920977,36.7195,0.00903364,19.842,0.0136634,29.5954,0.00942332,20.5795,0.015646,30.1154,0.00775254,27.6171,0.00684253,36.9386,0.00980467,19.4338,0.00771423,36.3683,0.00922472,19.376,0.00845787,36.3887,0.00822032,26.6137,0.00724106,43.1966,0.0101259,18.7085,0.00658683,33.0492,0.00360463,19.1232,0.00488262,33.3106,0.00354976,25.8546,0.00515172,39.2037,0.00889251,19.7441,0.0164791,36.9049,0.0177665,19.8109,0.0149501,36.5911,0.0147058,27.3379,0.0148832,44.0817,0.0174309
