time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,P02R10_in_b_T,P02R10_in_b_Q,P02R10_out_b_T,P02R10_out_b_Q,P02R10_in_m_T,P02R10_in_m_Q,P02R10_out_m_T,P02R10_out_m_Q,P02R10_in_t_T,P02R10_in_t_Q,P02R10_out_t_T,P02R10_out_t_Q,P02R08_in_b_T,P02R08_in_b_Q,P02R08_out_b_T,P02R08_out_b_Q,P02R08_in_m_T,P02R08_in_m_Q,P02R08_out_m_T,P02R08_out_m_Q,P02R08_in_t_T,P02R08_in_t_Q,P02R08_out_t_T,P02R08_out_t_Q,P02R01_in_b_T,P02R01_in_b_Q,P02R01_out_b_T,P02R01_out_b_Q,P02R01_in_m_T,P02R01_in_m_Q,P02R01_out_m_T,P02R01_out_m_Q,P02R01_in_t_T,P02R01_in_t_Q,P02R01_out_t_T,P02R01_out_t_Q,P02R06_in_b_T,P02R06_in_b_Q,P02R06_out_b_T,P02R06_out_b_Q,P02R06_in_m_T,P02R06_in_m_Q,P02R06_out_m_T,P02R06_out_m_Q,P02R06_in_t_T,P02R06_in_t_Q,P02R06_out_t_T,P02R06_out_t_Q,P02R07_in_b_T,P02R07_in_b_Q,P02R07_out_b_T,P02R07_out_b_Q,P02R07_in_m_T,P02R07_in_m_Q,P02R07_out_m_T,P02R07_out_m_Q,P02R07_in_t_T,P02R07_in_t_Q,P02R07_out_t_T,P02R07_out_t_Q,P02R04_in_b_T,P02R04_in_b_Q,P02R04_out_b_T,P02R04_out_b_Q,P02R04_in_m_T,P02R04_in_m_Q,P02R04_out_m_T,P02R04_out_m_Q,P02R04_in_t_T,P02R04_in_t_Q,P02R04_out_t_T,P02R04_out_t_Q,P02R05_in_b_T,P02R05_in_b_Q,P02R05_out_b_T,P02R05_out_b_Q,P02R05_in_m_T,P02R05_in_m_Q,P02R05_out_m_T,P02R05_out_m_Q,P02R05_in_t_T,P02R05_in_t_Q,P02R05_out_t_T,P02R05_out_t_Q,P02R02_in_b_T,P02R02_in_b_Q,P02R02_out_b_T,P02R02_out_b_Q,P02R02_in_m_T,P02R02_in_m_Q,P02R02_out_m_T,P02R02_out_m_Q,P02R02_in_t_T,P02R02_in_t_Q,P02R02_out_t_T,P02R02_out_t_Q,P02R09_in_b_T,P02R09_in_b_Q,P02R09_out_b_T,P02R09_out_b_Q,P02R09_in_m_T,P02R09_in_m_Q,P02R09_out_m_T,P02R09_out_m_Q,P02R09_in_t_T,P02R09_in_t_Q,P02R09_out_t_T,P02R09_out_t_Q,P02R03_in_b_T,P02R03_in_b_Q,P02R03_out_b_T,P02R03_out_b_Q,P02R03_in_m_T,P02R03_in_m_Q,P02R03_out_m_T,P02R03_out_m_Q,P02R03_in_t_T,P02R03_in_t_Q,P02R03_out_t_T,P02R03_out_t_Q
23-Jan-2018 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan-2018 10:01:00,18.8324,0.926898,28.1679,0.86846,18.4218,0.806182,29.3786,0.751522,18.2865,0.699511,28.9997,0.664711,19.1218,1.04106,28.3923,1.00127,18.3307,0.0146235,31.0422,0.00993555,18.5777,0.0138669,31.7901,0.0152683,21.1292,0.0093212,33.5868,0.0336863,18.3338,0.00534338,32.4308,0.00554062,18.5582,0.00744842,33.0296,0.00903438,21.8115,0.0103803,35.5445,0.0221517,18.2279,0.0342892,35.3885,0.0487567,19.6381,0.0345445,36.5212,0.0421954,25.1015,0.0361819,42.2861,0.0484382,18.3006,0.0155672,29.8035,0.0166019,19.8164,0.0191935,31.0534,0.0138469,25.4318,0.0108095,36.4385,0.017271,18.3159,0.0129199,28.3667,0.016623,18.4878,0.014178,28.3362,0.0140487,24.0653,0.0107456,33.7049,0.0179393,19.0354,0.0116919,31.9934,0.0141573,19.0038,0.0121309,31.9,0.0108489,21.8913,0.0153061,34.7413,0.015342,18.9012,0.0195489,28.6615,0.0169406,19.4568,0.0224235,29.0194,0.014279,23.6964,0.0110369,33.21,0.0168699,18.6509,0.0130749,35.4859,0.0134816,18.6568,0.0134264,35.75,0.0116043,20.9564,0.0120804,37.9278,0.0177012,18.3807,0.00670205,32.7369,0.00768022,18.4173,0.00692384,32.905,0.00909047,20.5564,0.00717728,34.6368,0.0187852,18.8861,0.0208877,35.6587,0.0298706,19.0555,0.0208857,35.6142,0.0244542,22.7838,0.0200502,39.3999,0.029063
23-Jan-2018 10:02:00,18.8709,0.928988,33.2616,0.8777,18.4631,0.808618,33.1416,0.75081,18.3287,0.704266,33.8122,0.666196,19.1511,1.04173,31.9019,1.00475,18.4482,0.0182747,31.9894,0.0117819,19.641,0.018364,33.2624,0.0156166,26.8178,0.00765337,37.7776,0.0337636,18.4522,0.0125215,32.6479,0.00635628,19.28,0.0133697,33.7951,0.0084827,25.3857,0.00929917,38.3794,0.0233605,18.876,0.0383052,36.0429,0.0493504,21.2635,0.0345779,38.1796,0.0425304,31.3963,0.0363061,48.7297,0.0488215,18.3308,0.0160818,29.8352,0.0164681,21.235,0.0200627,32.4829,0.0137458,29.4551,0.0123115,40.5503,0.0173409,18.3731,0.0128673,28.5249,0.0166358,18.9296,0.0148551,28.8345,0.0142259,27.9114,0.0131514,37.5614,0.0177625,19.1165,0.0114026,32.2622,0.0141391,19.0832,0.0128222,32.0808,0.0106751,25.5865,0.0156477,38.3135,0.0155687,18.9982,0.0201061,28.8491,0.0170698,20.4629,0.0245038,30.0537,0.0143209,27.0225,0.0113499,36.6225,0.0168282,18.7732,0.0125128,35.76,0.0136572,18.7724,0.0141924,36.0006,0.0117564,25.5576,0.01106,42.1214,0.0184226,18.5582,0.00904193,33.1018,0.00773974,18.9729,0.00901579,33.4747,0.008489,24.7641,0.0084746,38.0705,0.0192139,19.0287,0.024419,35.9207,0.0303491,19.4491,0.023118,36.0414,0.0249422,27.358,0.0233653,43.8578,0.0291272
23-Jan-2018 10:03:00,18.8758,0.929594,34.0964,0.876306,18.4644,0.808034,33.499,0.749779,18.3392,0.704753,34.2819,0.662796,19.153,1.04186,32.1841,1.00716,18.4496,0.0189826,32.1141,0.0123694,19.9313,0.0189326,33.475,0.0153445,27.4191,0.00951434,38.183,0.0342311,18.4468,0.0123943,32.7539,0.00737017,19.4959,0.0130606,33.9623,0.00955959,26.268,0.0121379,39.1097,0.024716,18.8713,0.0386028,36.0722,0.049478,21.6102,0.034437,38.4976,0.0426504,32.9644,0.0370347,50.2119,0.0489093,18.3316,0.0159928,29.8428,0.0164279,22.0006,0.0191674,33.2241,0.0137634,30.1386,0.0153228,41.2134,0.01741,18.367,0.0127163,28.5112,0.0167592,19.2699,0.0149991,29.1745,0.0142761,29.1685,0.0142866,38.8602,0.0180577,19.1157,0.0114068,32.2443,0.0142627,19.1,0.0129501,32.0787,0.0108109,25.8539,0.0149356,38.6435,0.0156104,18.9947,0.0198646,28.8434,0.0171208,20.4984,0.0248439,30.0914,0.0141895,27.619,0.0117075,37.1918,0.0168758,18.7848,0.012655,35.8681,0.0135031,18.776,0.0142673,35.9823,0.0117353,26.3263,0.0122212,42.8993,0.0181816,18.5325,0.0109777,33.1215,0.00782986,19.3175,0.00900789,33.7703,0.00881053,25.0591,0.00845942,38.3896,0.0191158,19.0226,0.0242625,35.8826,0.0305683,19.4756,0.0234472,36.0722,0.0248882,28.2784,0.0217771,44.6738,0.0292135
23-Jan-2018 10:04:00,19.0256,0.92773,34.0279,0.874355,18.4643,0.808545,33.5313,0.74973,18.3392,0.704759,34.4697,0.662983,19.2454,1.06674,32.2633,1.02782,18.4331,0.0186868,32.1871,0.0109065,19.8953,0.0186385,33.6307,0.0162248,27.1853,0.0106758,37.9817,0.0334589,18.4516,0.0128406,32.7308,0.00663575,19.4901,0.0127326,33.9198,0.00985298,25.9534,0.00965877,38.7888,0.0244378,18.9862,0.038744,36.1649,0.0495118,21.6588,0.0340904,38.5354,0.042748,32.5564,0.0362291,49.8376,0.0489804,18.3194,0.0159719,29.8206,0.0164437,21.7178,0.0199413,32.941,0.0137519,30.3403,0.0109677,41.4344,0.0174141,18.3691,0.0127074,28.4917,0.0166839,19.096,0.0150471,29.0074,0.0142186,28.8045,0.0117261,38.4832,0.0180549,19.1966,0.0114542,32.3532,0.0142722,19.1841,0.0129746,32.1834,0.0108092,25.8705,0.0144221,38.5755,0.0156948,19.0836,0.0204786,28.9432,0.0171012,20.6477,0.0244654,30.2373,0.0142069,27.4103,0.0112894,37.0067,0.016896,18.9149,0.0125765,35.947,0.0139139,18.9534,0.0142021,36.1621,0.0115906,26.9528,0.0110835,43.423,0.0182182,18.5528,0.010241,33.1258,0.00780205,19.26,0.00913607,33.7087,0.00908713,25.304,0.0092248,38.6065,0.019129,19.1366,0.0253972,35.9427,0.030479,19.5084,0.0240538,36.1084,0.0249818,27.7574,0.02287,44.2761,0.0291614
23-Jan-2018 10:05:00,19.0282,0.928418,34.0247,0.873471,18.5638,0.815052,33.4294,0.756087,18.4304,0.719998,34.3608,0.678986,19.3388,1.08803,32.1852,1.04809,18.5413,0.0190315,32.1093,0.00973888,19.7621,0.0189207,33.5057,0.0161443,26.8194,0.0112552,37.9006,0.0347293,18.5232,0.0126086,32.8217,0.00688511,19.4324,0.0132797,33.9962,0.00876196,25.9187,0.0110757,38.803,0.0242389,19.007,0.0386972,36.1982,0.0496201,21.7492,0.0340669,38.6186,0.0428023,32.7233,0.0362902,49.9775,0.0490012,18.4155,0.0158964,29.9127,0.0164578,21.5108,0.0200451,32.7486,0.0138025,30.2951,0.0132215,41.3563,0.0174764,18.4383,0.0127166,28.5777,0.0166483,19.1117,0.0150264,28.99,0.014116,28.6762,0.0133575,38.3314,0.0180035,19.3019,0.0115131,32.4045,0.0142233,19.2552,0.0128788,32.2128,0.0107901,25.267,0.0160014,38.0263,0.0153946,19.1745,0.0208709,28.9883,0.0171364,20.575,0.0254052,30.1437,0.0142527,27.3046,0.0122039,36.817,0.0167509,18.9335,0.0125976,35.9874,0.0134493,18.9285,0.0142322,36.1428,0.0116768,26.5524,0.0108718,43.0923,0.018552,18.6156,0.00965049,33.1084,0.00785947,19.2146,0.00889869,33.5725,0.00899612,25.0175,0.00846675,38.3123,0.0192179,19.2184,0.0258808,36.0354,0.0308394,19.585,0.0242931,36.1765,0.0253112,27.2887,0.0236785,43.9018,0.0296185
23-Jan-2018 10:06:00,19.1714,0.936078,34.0606,0.885724,18.5624,0.808098,33.4935,0.751028,18.4245,0.728621,34.2003,0.684983,19.4331,1.09943,32.1977,1.05315,18.5539,0.018828,32.4223,0.0128961,19.7144,0.0188661,33.6326,0.0164464,27.2205,0.00945586,38.1428,0.0352846,18.5686,0.011194,33.0024,0.00790726,19.4553,0.0120236,34.1097,0.00924843,26.2344,0.0117025,39.0579,0.0237477,19.1771,0.0388832,36.3571,0.0497477,21.5093,0.0342893,38.4445,0.0429841,32.8741,0.0368684,50.0904,0.0494006,18.416,0.0162226,29.9849,0.0165124,21.7549,0.0196762,33.0055,0.0138325,30.4086,0.0140064,41.5052,0.01758,18.4528,0.01277,28.5997,0.0166137,19.243,0.0150843,29.1616,0.0141706,28.9946,0.0134933,38.7339,0.0180985,19.3926,0.0114875,32.5152,0.0141294,19.353,0.012882,32.3439,0.0106005,25.3402,0.0148362,38.0527,0.015681,19.2667,0.020642,29.0993,0.017182,20.6559,0.0250972,30.217,0.0144347,27.2592,0.0124733,36.7592,0.0169984,19.0537,0.0125654,36.0853,0.0133986,19.064,0.0141169,36.3438,0.0117102,26.3924,0.011676,42.9036,0.0188866,18.6423,0.0101239,33.1876,0.0077874,19.1839,0.00929331,33.5935,0.00895394,25.407,0.00990018,38.5128,0.0194069,19.3072,0.0265093,36.1503,0.0312239,19.6862,0.0243332,36.2802,0.0255825,27.4958,0.0220707,43.9706,0.0298006
23-Jan-2018 10:07:00,19.2664,0.95588,34.1287,0.896878,18.577,0.800768,33.6024,0.745467,18.5343,0.712816,34.5048,0.667384,19.5718,1.11801,31.9663,1.0742,18.6321,0.0186624,32.3852,0.011651,19.9609,0.0186363,33.6254,0.0149413,27.0078,0.0100801,38.1529,0.0341595,18.5724,0.012287,32.9098,0.00642528,19.6069,0.0130082,34.0994,0.00888075,25.7953,0.00946504,38.8445,0.0240108,19.206,0.0389538,36.3945,0.0499151,21.6876,0.0341903,38.5732,0.0431058,33.004,0.0375863,50.245,0.0494972,18.4445,0.0158214,29.9645,0.0165505,21.8538,0.0193605,33.0694,0.0138292,29.7909,0.0113732,40.8535,0.0174619,18.463,0.0127438,28.5554,0.0167669,19.2918,0.0152018,29.1651,0.0142681,28.6916,0.0150987,38.2981,0.0180692,19.5435,0.0116487,32.6305,0.0143201,19.489,0.0127843,32.4469,0.0108017,24.8186,0.016066,37.6006,0.0155143,19.3972,0.0218262,29.2195,0.0171038,20.4765,0.0259909,30.039,0.0142746,27.0092,0.0117744,36.4875,0.0169374,19.154,0.0126769,36.2716,0.0141327,19.1526,0.0141767,36.3834,0.0114784,25.971,0.0115747,42.5135,0.0188033,18.7175,0.0094695,33.2691,0.00785362,19.3039,0.00898936,33.7604,0.009185,25.0118,0.00631972,38.3664,0.0191284,19.4688,0.0267795,36.3078,0.0310954,19.7715,0.0248139,36.364,0.0254869,27.59,0.0211774,44.0645,0.0300175
23-Jan-2018 10:08:00,19.3649,0.929167,34.2551,0.876659,18.669,0.818823,33.6127,0.758371,18.6333,0.708391,34.7085,0.667968,19.7193,1.12947,32.035,1.07979,18.7013,0.0187363,32.4253,0.00960372,20.194,0.0188159,33.8478,0.0162301,27.2584,0.0108608,38.4005,0.0347628,18.6457,0.013148,32.8229,0.00758872,19.5656,0.0137143,34.0184,0.00910219,25.9953,0.0101287,38.8064,0.024386,19.3154,0.0387833,36.4871,0.0497781,21.9612,0.0342333,38.8524,0.0431369,33.0996,0.0372206,50.3104,0.0494868,18.5396,0.0160643,30.0358,0.0164267,21.7228,0.0198041,32.9483,0.0138358,29.4367,0.0115389,40.5256,0.0174217,18.5571,0.0127356,28.6703,0.0167576,19.174,0.0151736,29.0568,0.0142567,28.9659,0.0136432,38.5544,0.0180771,19.6771,0.0116766,32.7875,0.0143541,19.6325,0.0127631,32.5988,0.0108479,24.7696,0.0155689,37.5008,0.0155983,19.5524,0.021839,29.348,0.0172532,20.7452,0.0258439,30.2829,0.0143644,27.1041,0.0125616,36.5436,0.0168872,19.2535,0.0125907,36.2965,0.0137035,19.2682,0.0141742,36.5191,0.0115123,26.6069,0.0116883,43.0599,0.0187356,18.7844,0.0108488,33.3523,0.00784439,19.5187,0.00923541,33.9184,0.00869562,25.5929,0.00767056,38.8324,0.0195424,19.5997,0.0270969,36.4438,0.0311942,19.9153,0.0249482,36.495,0.0255527,27.3925,0.0227226,43.9056,0.0299095
23-Jan-2018 10:09:00,19.4618,0.946353,34.2249,0.893919,18.7471,0.842584,33.507,0.780544,18.6212,0.717095,34.5139,0.676383,19.8629,1.14088,32.0183,1.08954,18.7559,0.0192668,32.6206,0.0108464,19.8225,0.0190408,33.6957,0.0162799,27.381,0.00877261,38.2527,0.034819,18.732,0.0131288,32.9029,0.00762799,19.516,0.0132674,33.9638,0.00840367,25.3793,0.0102141,38.4055,0.0233264,19.424,0.0389152,36.6224,0.0499757,21.9516,0.0342859,38.8258,0.0432677,33.5553,0.0377445,50.7407,0.0494397,18.6074,0.016292,30.1268,0.0164945,21.7075,0.020604,32.9233,0.0137968,29.8766,0.00945543,40.9647,0.0174299,18.6339,0.0128125,28.7252,0.0166924,19.1789,0.0149697,29.0369,0.0140893,28.5648,0.0131494,38.1446,0.0180532,19.8268,0.0117771,32.9317,0.0142273,19.7594,0.0126442,32.6928,0.0107093,24.4086,0.0165888,37.1504,0.0156226,19.7023,0.0222905,29.4843,0.017249,20.7441,0.0264466,30.2824,0.0144458,27.2158,0.0123086,36.6507,0.0170119,19.358,0.0126398,36.4339,0.0136803,19.3396,0.0141484,36.5757,0.0114405,26.34,0.0114641,42.8608,0.0189759,18.8373,0.010127,33.3398,0.00795589,19.4079,0.00947942,33.7943,0.00911492,25.201,0.00785687,38.4126,0.018931,19.7386,0.027369,36.5897,0.0313604,20.047,0.0253428,36.6208,0.0256578,27.2685,0.0220653,43.8491,0.030168
