time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,P02R10_in_b_T,P02R10_in_b_Q,P02R10_out_b_T,P02R10_out_b_Q,P02R10_in_m_T,P02R10_in_m_Q,P02R10_out_m_T,P02R10_out_m_Q,P02R10_in_t_T,P02R10_in_t_Q,P02R10_out_t_T,P02R10_out_t_Q,P02R08_in_b_T,P02R08_in_b_Q,P02R08_out_b_T,P02R08_out_b_Q,P02R08_in_m_T,P02R08_in_m_Q,P02R08_out_m_T,P02R08_out_m_Q,P02R08_in_t_T,P02R08_in_t_Q,P02R08_out_t_T,P02R08_out_t_Q,P02R01_in_b_T,P02R01_in_b_Q,P02R01_out_b_T,P02R01_out_b_Q,P02R01_in_m_T,P02R01_in_m_Q,P02R01_out_m_T,P02R01_out_m_Q,P02R01_in_t_T,P02R01_in_t_Q,P02R01_out_t_T,P02R01_out_t_Q,P02R06_in_b_T,P02R06_in_b_Q,P02R06_out_b_T,P02R06_out_b_Q,P02R06_in_m_T,P02R06_in_m_Q,P02R06_out_m_T,P02R06_out_m_Q,P02R06_in_t_T,P02R06_in_t_Q,P02R06_out_t_T,P02R06_out_t_Q,P02R07_in_b_T,P02R07_in_b_Q,P02R07_out_b_T,P02R07_out_b_Q,P02R07_in_m_T,P02R07_in_m_Q,P02R07_out_m_T,P02R07_out_m_Q,P02R07_in_t_T,P02R07_in_t_Q,P02R07_out_t_T,P02R07_out_t_Q,P02R04_in_b_T,P02R04_in_b_Q,P02R04_out_b_T,P02R04_out_b_Q,P02R04_in_m_T,P02R04_in_m_Q,P02R04_out_m_T,P02R04_out_m_Q,P02R04_in_t_T,P02R04_in_t_Q,P02R04_out_t_T,P02R04_out_t_Q,P02R05_in_b_T,P02R05_in_b_Q,P02R05_out_b_T,P02R05_out_b_Q,P02R05_in_m_T,P02R05_in_m_Q,P02R05_out_m_T,P02R05_out_m_Q,P02R05_in_t_T,P02R05_in_t_Q,P02R05_out_t_T,P02R05_out_t_Q,P02R02_in_b_T,P02R02_in_b_Q,P02R02_out_b_T,P02R02_out_b_Q,P02R02_in_m_T,P02R02_in_m_Q,P02R02_out_m_T,P02R02_out_m_Q,P02R02_in_t_T,P02R02_in_t_Q,P02R02_out_t_T,P02R02_out_t_Q,P02R09_in_b_T,P02R09_in_b_Q,P02R09_out_b_T,P02R09_out_b_Q,P02R09_in_m_T,P02R09_in_m_Q,P02R09_out_m_T,P02R09_out_m_Q,P02R09_in_t_T,P02R09_in_t_Q,P02R09_out_t_T,P02R09_out_t_Q,P02R03_in_b_T,P02R03_in_b_Q,P02R03_out_b_T,P02R03_out_b_Q,P02R03_in_m_T,P02R03_in_m_Q,P02R03_out_m_T,P02R03_out_m_Q,P02R03_in_t_T,P02R03_in_t_Q,P02R03_out_t_T,P02R03_out_t_Q
23-Jan-2018 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan-2018 10:01:00,18.8074,0.914132,28.3369,0.921469,18.3616,0.797607,29.8495,0.819743,18.2594,0.69,29.392,0.721469,19.0947,1.02977,28.6107,1.0631,18.2893,0.00712348,30.6129,0.00261439,18.3708,0.0068042,30.8963,0.00353933,21.7049,0.00367621,33.2959,0.00993841,18.3404,0.00355874,32.2403,0.00288319,18.363,0.00402057,32.6644,0.00297591,21.3124,0.00474093,35.1963,0.00724596,18.0223,0.0196188,35.6915,0.023655,18.9942,0.018467,36.0739,0.0211608,24.7111,0.0210068,42.0105,0.0239214,18.2916,0.00865757,29.7371,0.00875955,19.3811,0.0100193,30.6491,0.00791218,26.566,0.00540634,37.641,0.00897562,18.321,0.00694856,28.4148,0.0082807,18.3668,0.0071729,28.255,0.00728984,24.1699,0.00584363,33.9674,0.00833122,19.0446,0.00616967,31.9633,0.00715004,19.0761,0.00622372,31.9779,0.00638931,21.3396,0.00695128,34.1646,0.00751491,18.9527,0.0106361,28.7659,0.00886917,19.3521,0.0114779,29.0446,0.00800734,24.6382,0.00611753,34.081,0.00919157,18.7632,0.00688577,35.4702,0.00837149,18.8319,0.00691003,35.7341,0.00710622,20.9464,0.00594189,37.8378,0.00840794,18.3499,0.00333919,32.7315,0.00332799,18.3135,0.00338374,32.6956,0.00301953,20.7269,0.00319029,35.0641,0.0064977,18.8722,0.0129479,36.2988,0.0147294,18.9174,0.0120298,35.9573,0.0129904,23.2289,0.0125965,40.3866,0.0151381
23-Jan-2018 10:02:00,18.8167,0.916494,33.9157,0.931093,18.3772,0.799486,33.6407,0.819942,18.2721,0.693699,34.6271,0.718108,19.1051,1.03053,32.2806,1.06701,18.338,0.00895316,31.34,0.00330104,18.8067,0.00906755,31.6728,0.00345834,29.0654,0.00291733,39.1693,0.0105072,18.3727,0.00622971,32.4593,0.00295881,18.7815,0.00626741,32.9894,0.00292714,26.2423,0.00550124,39.3411,0.00747131,18.6551,0.0209035,36.3305,0.0240229,20.0493,0.0186452,37.1577,0.0213326,32.8661,0.0212937,50.3043,0.0239906,18.3071,0.00866082,29.8404,0.00877399,20.9164,0.0108874,32.1898,0.00793248,30.6422,0.00624317,41.6915,0.00891665,18.3782,0.0066632,28.565,0.00829945,18.5211,0.00753568,28.462,0.00728686,29.2157,0.0079252,39.099,0.00824207,19.1264,0.00622218,32.2026,0.00716575,19.1204,0.00636446,32.0647,0.00638661,24.9316,0.00830108,37.8578,0.00754286,19.0868,0.0111697,28.9995,0.00899572,20.0314,0.012509,29.7552,0.00802397,28.2825,0.00677447,37.7599,0.00909929,18.8584,0.00688696,35.6915,0.00850155,18.8629,0.00701146,35.8179,0.00715259,26.8342,0.00601033,43.6026,0.00861506,18.4112,0.0047504,32.8731,0.00331432,18.5694,0.00422627,32.8179,0.00292576,26.3979,0.00407556,39.8834,0.00676578,18.9698,0.0135109,36.4728,0.0149267,19.0899,0.0126451,36.1554,0.0131343,28.3219,0.0131604,45.5341,0.0152835
23-Jan-2018 10:03:00,18.8175,0.916948,34.6388,0.935215,18.378,0.799945,33.9832,0.818509,18.277,0.694163,35.293,0.716226,19.106,1.03062,32.6509,1.06747,18.3005,0.00937121,31.156,0.00295194,19.0183,0.00916504,31.8123,0.00362839,28.7099,0.0043704,38.813,0.0105212,18.3597,0.00647529,32.5564,0.00297025,18.8905,0.00654967,33.1893,0.00279001,26.3876,0.00402739,39.5585,0.00775765,18.6966,0.0208947,36.35,0.024108,19.98,0.0187269,37.0939,0.0213279,33.6066,0.0207339,51.0969,0.0240329,18.2781,0.00874931,29.8576,0.00889088,20.7517,0.0110215,32.0547,0.00793077,31.3034,0.00633212,42.3875,0.00893798,18.3782,0.00664314,28.5864,0.00829214,18.5292,0.00753838,28.4715,0.00727221,29.133,0.00895917,39.0661,0.00826166,19.1261,0.0062073,32.185,0.00717619,19.1203,0.00641371,32.0468,0.00639173,25.4143,0.00836736,38.4137,0.00755693,19.0788,0.011096,28.9731,0.00897986,20.1678,0.0125527,29.8932,0.0080879,28.5084,0.00683908,37.9863,0.00913801,18.8584,0.00692171,35.6992,0.00834539,18.859,0.00707032,35.8124,0.00715145,28.35,0.00614414,45.0731,0.00862667,18.399,0.0056507,32.9011,0.0032842,18.671,0.00419133,32.9391,0.00298633,26.5762,0.00408071,40.1794,0.00677224,18.9795,0.0137335,36.4497,0.0150138,19.1268,0.0127488,36.2147,0.013209,29.0114,0.0132207,46.2373,0.0153404
23-Jan-2018 10:04:00,18.9668,0.914894,34.8513,0.937351,18.3776,0.799692,33.9961,0.817371,18.2773,0.694092,35.5293,0.71455,19.1975,1.05572,32.537,1.08909,18.3178,0.00924476,31.3365,0.00297662,18.9652,0.00917527,31.8416,0.00361933,27.5775,0.00473819,38.0501,0.0105445,18.3666,0.00663182,32.581,0.0028746,18.8924,0.00683774,33.1739,0.00293841,26.5014,0.00446178,39.736,0.00778458,18.8021,0.02099,36.4847,0.0240458,19.951,0.0191563,37.0539,0.0214046,34.3749,0.021288,51.8835,0.024107,18.3061,0.00881694,29.8346,0.00884824,20.7482,0.011086,32.0412,0.00793604,31.0055,0.00624741,42.0398,0.00894791,18.3772,0.00669011,28.5613,0.00829546,18.5723,0.00753103,28.4933,0.00728231,29.2326,0.00840181,39.1509,0.00825241,19.2367,0.00623991,32.2497,0.00714975,19.2196,0.00638432,32.2149,0.00639152,25.0014,0.00837361,37.936,0.00754343,19.1446,0.0113718,29.0825,0.00894727,20.0295,0.0128101,29.7562,0.00804236,28.541,0.00614524,38.0256,0.00912464,18.9934,0.00685394,35.8659,0.00848609,18.9922,0.00710405,35.9827,0.00718463,28.242,0.00579219,45.0505,0.00866976,18.3933,0.00595141,32.8736,0.00331594,18.7206,0.00426745,32.9705,0.00295126,26.5873,0.00438631,40.0967,0.00684848,19.0843,0.0140324,36.5858,0.0151482,19.195,0.0131173,36.2706,0.0132365,28.445,0.0126505,45.62,0.0153951
23-Jan-2018 10:05:00,18.968,0.915313,34.8049,0.935515,18.4671,0.806152,33.9414,0.82724,18.3786,0.709112,35.4624,0.729575,19.2913,1.07679,32.4263,1.11067,18.4209,0.00901818,31.4721,0.00332797,18.8849,0.0091693,31.8295,0.00361869,27.7867,0.00494242,38.0307,0.0107718,18.4607,0.00623665,32.5517,0.00312831,18.8654,0.00666132,33.1138,0.00285069,26.1407,0.00432215,39.3532,0.00749309,18.8225,0.0209577,36.4992,0.0241789,20.1855,0.0188241,37.296,0.0214005,34.1463,0.0214455,51.6606,0.0241936,18.3771,0.00874451,29.9781,0.00874932,20.4881,0.0113105,31.767,0.00792835,31.1797,0.00603726,42.2165,0.00893054,18.4738,0.00669073,28.653,0.00833853,18.5793,0.00750333,28.5097,0.00729218,29.5141,0.00856839,39.4093,0.00826337,19.3352,0.00625552,32.2869,0.00717041,19.2749,0.00633945,32.2426,0.00636373,24.2829,0.00918233,37.1874,0.00754244,19.2458,0.0116089,29.1567,0.00900786,20.1104,0.0127484,29.8108,0.00804497,27.7676,0.00663518,37.1893,0.00913684,18.9978,0.00697835,35.8599,0.00838541,18.9963,0.00708861,35.9895,0.00713458,27.7019,0.00583496,44.4855,0.0086947,18.4786,0.00543129,32.8751,0.00331993,18.712,0.00424912,32.8688,0.00302856,26.9277,0.00456913,40.2423,0.00675798,19.1586,0.0141865,36.6535,0.0152165,19.2595,0.0135578,36.3102,0.0133802,28.0618,0.0147017,45.3678,0.0155503
23-Jan-2018 10:06:00,19.1129,0.923392,34.5705,0.940392,18.4709,0.799418,34.021,0.820024,18.3765,0.717925,35.3784,0.738199,19.3892,1.08822,32.4424,1.11879,18.4325,0.00931301,31.5359,0.0031245,18.8783,0.00934306,31.926,0.0036572,27.5576,0.00499097,38.0538,0.0108212,18.4647,0.00624504,32.6673,0.00290779,18.9104,0.00643982,33.2349,0.00293841,26.3624,0.00486841,39.5599,0.00754281,18.9472,0.0209905,36.6481,0.0241756,20.1328,0.0187668,37.2557,0.021524,33.6981,0.0215142,51.2128,0.0242807,18.392,0.00873493,29.9968,0.00886602,21.0447,0.0108194,32.3386,0.00789543,31.0525,0.00646669,42.1123,0.00893315,18.4867,0.00668928,28.6917,0.00827957,18.6397,0.00756873,28.5741,0.00730809,29.2774,0.00778293,39.2246,0.00826636,19.3964,0.00626594,32.4588,0.0072019,19.3796,0.00638073,32.3469,0.00637239,24.4213,0.00867233,37.3496,0.00756524,19.3605,0.0117729,29.2264,0.00897962,20.1344,0.0129877,29.8151,0.00809629,28.1138,0.00666768,37.5233,0.0091615,19.1205,0.0068937,35.9765,0.00850734,19.123,0.00704358,36.1194,0.00713874,27.5343,0.0064662,44.2416,0.0086861,18.5048,0.00542756,32.9111,0.00332853,18.7197,0.00419434,32.8728,0.00297066,27.2938,0.00428667,40.5947,0.00685167,19.2462,0.0142364,36.7484,0.0152764,19.3662,0.0132877,36.4368,0.0134631,27.4734,0.0136362,44.7561,0.0157004
23-Jan-2018 10:07:00,19.2061,0.943216,34.7165,0.962454,18.4726,0.791506,34.0773,0.811501,18.4725,0.701833,35.4463,0.721516,19.5319,1.1071,32.3885,1.13633,18.4951,0.00919107,31.5905,0.00329345,18.9864,0.0091942,32.024,0.00377099,28.4512,0.00500387,38.6782,0.010877,18.4837,0.00651617,32.639,0.00286459,19.0285,0.00679611,33.2903,0.00284438,26.8343,0.00494083,40.0217,0.00766273,19.0361,0.0210707,36.7117,0.0242387,20.1827,0.0189628,37.3061,0.021532,33.6897,0.0207512,51.1488,0.0242692,18.391,0.00874017,29.9596,0.00885515,21.2128,0.0108164,32.4691,0.00794209,31.3841,0.00685612,42.4296,0.00895809,18.4695,0.00674451,28.6468,0.00832732,18.7113,0.00759932,28.6105,0.00732927,29.1871,0.00839963,39.0783,0.00827478,19.5554,0.0063074,32.5235,0.00718023,19.5187,0.00635721,32.4885,0.0064038,23.8506,0.00847166,36.748,0.00756854,19.491,0.0119021,29.3142,0.00902394,20.1796,0.0132048,29.8545,0.00812307,28.243,0.00658095,37.6522,0.00916912,19.2391,0.0069448,36.1024,0.00849763,19.2346,0.00703572,36.2249,0.00719907,27.1663,0.00578286,43.9751,0.00880315,18.5648,0.00486851,32.9983,0.00332871,18.8339,0.00404391,33.0567,0.00298044,26.9297,0.0046418,40.3459,0.00683456,19.3886,0.0143251,36.8741,0.0152575,19.4866,0.0131867,36.5293,0.0134339,28.406,0.0135978,45.6072,0.0156676
23-Jan-2018 10:08:00,19.3085,0.916462,34.9555,0.937465,18.5653,0.809259,34.167,0.828035,18.5639,0.6975,35.4996,0.719792,19.6766,1.11838,32.4209,1.14758,18.5917,0.00921122,31.8612,0.00335607,19.1179,0.00921616,32.1778,0.00379412,28.7256,0.00498644,38.9721,0.0110989,18.5417,0.00663209,32.5763,0.00294308,19.0495,0.00682424,33.1814,0.0028248,26.8636,0.0056145,39.8819,0.00777575,19.1581,0.0209826,36.8273,0.0242506,20.4702,0.0187621,37.5815,0.0215103,33.877,0.0209849,51.3132,0.024261,18.4909,0.00879046,30.0027,0.00887173,21.3754,0.0111536,32.6207,0.0079333,31.6619,0.0064198,42.7267,0.00894764,18.5644,0.00672723,28.7351,0.00831666,18.7205,0.00763794,28.6111,0.00731047,29.7869,0.00802557,39.6904,0.00829965,19.7162,0.00633399,32.7023,0.00723982,19.6849,0.00637026,32.6303,0.00640742,23.801,0.0089763,36.652,0.00756309,19.6237,0.0120908,29.4803,0.0090479,20.2946,0.0131405,29.9575,0.00812894,27.6955,0.00641641,37.1025,0.00919721,19.3306,0.00697649,36.1892,0.00841104,19.3422,0.00707449,36.3004,0.00716264,27.6861,0.0058531,44.5256,0.00871027,18.6324,0.00591003,33.054,0.00331485,18.9744,0.00428895,33.1464,0.0029802,27.2623,0.00498816,40.6709,0.00689486,19.5445,0.0146933,37.0273,0.0153254,19.6381,0.0133458,36.7103,0.0134757,27.7515,0.0127758,44.9728,0.0156716
23-Jan-2018 10:09:00,19.4056,0.933507,34.942,0.955898,18.6621,0.833565,34.0138,0.849753,18.5605,0.706744,35.5796,0.729148,19.8207,1.1298,32.4122,1.16055,18.6082,0.0092981,31.6853,0.00319319,19.04,0.00925395,32.1173,0.003904,27.9256,0.00532898,38.2348,0.0108336,18.6273,0.00717485,32.6306,0.00299024,18.9717,0.00672413,33.112,0.00285693,26.3855,0.00495434,39.4504,0.0078745,19.2489,0.0211333,36.9316,0.0242942,20.236,0.0191295,37.3569,0.021587,34.3132,0.0212541,51.8023,0.0243725,18.5982,0.00896406,30.1212,0.00882951,20.6419,0.0113282,31.9058,0.00793517,31.0837,0.00631055,42.1034,0.00895253,18.6327,0.00682082,28.7689,0.00833493,18.7585,0.0074885,28.6288,0.00731568,29.0919,0.00805003,38.9627,0.00829297,19.8548,0.00636055,32.7871,0.00719599,19.8401,0.00636377,32.7397,0.00640162,23.5935,0.00898845,36.4167,0.00755532,19.7646,0.0121963,29.5906,0.00899754,20.3656,0.0134267,30.0039,0.00811579,27.6953,0.0063751,37.0957,0.00919105,19.434,0.00699844,36.2822,0.00850984,19.4059,0.00704864,36.4357,0.00718001,27.2355,0.00575723,44.0674,0.00869087,18.6675,0.00634115,33.0378,0.0033409,18.9109,0.00414977,33.0492,0.00295172,26.6347,0.00415899,40.0478,0.00683701,19.6983,0.0147195,37.1824,0.0154568,19.76,0.0136088,36.8069,0.0135336,27.1209,0.0133292,44.3856,0.015798
