time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top
23-Jan-2018 09:00:00,3672,3704,3704,19.63,22,26.66,27.75,29.415,29.03
23-Jan-2018 09:01:00,3712,3736,3760,19.595,22,26.75,28.285,30.665,29.155
23-Jan-2018 09:02:00,3744,3744,3792,19.63,21.99,26.78,29.285,32.395,29.595
23-Jan-2018 09:03:00,3744,3760,3792,19.66,22.01,26.91,30.53,33.91,30.095
23-Jan-2018 09:04:00,3776,3784,3848,19.69,22.07,27.095,31.685,35.06,30.69
23-Jan-2018 09:05:00,3800,3808,3880,19.845,22.16,27.19,32.405,35.99,31.315
23-Jan-2018 09:06:00,3800,3808,3880,19.94,22.24,27.28,32.63,36.75,31.815
23-Jan-2018 09:07:00,3800,3808,3904,20.06,22.265,27.345,32.78,37.335,32.375
23-Jan-2018 09:08:00,3824,3824,3920,20.22,22.345,27.47,32.88,37.835,32.72
23-Jan-2018 09:09:00,3824,3808,3912,20.28,22.425,27.5,32.94,38.24,33.125
23-Jan-2018 09:10:00,3824,3824,3904,20.47,22.525,27.5,33.03,38.64,33.535
23-Jan-2018 09:11:00,3824,3808,3904,20.47,22.615,27.595,33.16,38.975,33.875
23-Jan-2018 09:12:00,3824,3824,3912,20.53,22.605,27.69,33.16,39.22,34.125
23-Jan-2018 09:13:00,3832,3832,3928,20.56,22.615,27.78,33.31,39.44,34.44
23-Jan-2018 09:14:00,3832,3808,3928,20.63,22.69,27.845,33.38,39.635,34.69
23-Jan-2018 09:15:00,3832,3824,3928,20.69,22.745,27.91,33.44,39.805,34.845
23-Jan-2018 09:16:00,3832,3824,3936,20.66,22.73,27.97,33.53,39.93,34.97
23-Jan-2018 09:17:00,3832,3824,3920,20.72,22.84,28.06,33.63,40.05,35.095
23-Jan-2018 09:18:00,3832,3832,3928,20.81,22.815,28.095,33.53,40.15,35.22
23-Jan-2018 09:19:00,3848,3848,3968,20.81,22.81,27.97,33.595,40.225,35.375
23-Jan-2018 09:20:00,3880,3880,4032,20.845,22.82,27.94,33.595,40.32,35.56
23-Jan-2018 09:21:00,3880,3880,4032,20.845,22.895,27.845,33.44,40.395,35.66
23-Jan-2018 09:22:00,3880,3880,4032,20.94,22.99,27.75,33.315,40.465,35.875
23-Jan-2018 09:23:00,3872,3880,4032,21.03,23.03,27.5,33.22,40.55,36.095
23-Jan-2018 09:24:00,3872,3896,4032,21.06,23.015,27.22,33.22,40.6,36.25
23-Jan-2018 09:25:00,3872,3904,4032,21.13,22.99,26.875,33.22,40.705,36.38
23-Jan-2018 09:26:00,3872,3888,4032,21.19,23.005,26.565,33.25,40.775,36.5
23-Jan-2018 09:27:00,3872,3896,4032,21.25,22.98,26.315,33.28,40.845,36.66
23-Jan-2018 09:28:00,3872,3904,4032,21.25,22.96,26.19,33.25,40.89,36.75
23-Jan-2018 09:29:00,3872,3904,4032,21.28,22.975,26.03,33.28,40.95,36.69
23-Jan-2018 09:30:00,3872,3904,4032,21.25,23.005,25.91,33.31,40.995,36.78
23-Jan-2018 09:31:00,3872,3904,4032,21.375,23,25.815,33.345,41.015,36.88
23-Jan-2018 09:32:00,3872,3904,4032,21.345,22.975,25.69,33.38,41.04,36.91
23-Jan-2018 09:33:00,3872,3904,4032,21.41,22.98,25.66,33.38,41.08,36.94
23-Jan-2018 09:34:00,3872,3904,4032,21.41,22.97,25.595,33.44,41.125,37
23-Jan-2018 09:35:00,3872,3904,4032,21.44,22.98,25.56,33.47,41.17,37.095
23-Jan-2018 09:36:00,3872,3904,4032,21.5,22.985,25.5,33.5,41.16,37.25
23-Jan-2018 09:37:00,3872,3904,4032,21.56,22.945,25.44,33.53,41.2,37.31
23-Jan-2018 09:38:00,3872,3904,4032,21.56,22.925,25.38,33.53,41.2,37.31
23-Jan-2018 09:39:00,3872,3904,4032,21.56,22.89,25.28,33.56,41.235,37.345
23-Jan-2018 09:40:00,3872,3904,4032,21.63,22.82,25.16,33.56,41.22,37.47
23-Jan-2018 09:41:00,3872,3904,4032,21.75,22.71,25.095,33.63,41.2,37.595
23-Jan-2018 09:42:00,3872,3904,4032,21.94,22.61,25.03,33.625,41.145,37.69
23-Jan-2018 09:43:00,3872,3904,4032,22.06,22.5,24.97,33.66,41.13,37.69
23-Jan-2018 09:44:00,3872,3904,4032,22.25,22.395,25.06,33.69,41.12,37.72
23-Jan-2018 09:45:00,3872,3904,4032,22.25,22.4,25.06,33.75,41.1,37.75
23-Jan-2018 09:46:00,3872,3904,4032,22.13,22.38,25.16,33.81,41.085,37.75
23-Jan-2018 09:47:00,3872,3904,4032,22.13,22.415,25.28,33.845,41.07,37.845
23-Jan-2018 09:48:00,3872,3904,4032,22.22,22.485,25.41,33.875,41.08,37.75
23-Jan-2018 09:49:00,3872,3904,4032,22.19,22.52,25.47,33.94,41.06,37.72
23-Jan-2018 09:50:00,3872,3904,4032,22.22,22.55,25.56,33.91,41.08,37.75
23-Jan-2018 09:51:00,3872,3904,4032,22.22,22.565,25.595,34,41.11,37.75
23-Jan-2018 09:52:00,3888,3920,4032,22.19,22.595,25.63,33.97,41.11,37.75
23-Jan-2018 09:53:00,3872,3904,4048,22.28,22.635,25.63,34,41.12,37.72
23-Jan-2018 09:54:00,3872,3904,4032,22.44,22.665,25.63,34.095,41.135,37.69
23-Jan-2018 09:55:00,3872,3904,4032,22.44,22.725,25.75,34.16,41.17,37.815
23-Jan-2018 09:56:00,3872,3912,4040,22.47,22.76,25.72,34.19,41.17,37.815
23-Jan-2018 09:57:00,3872,3912,4040,22.44,22.785,25.72,34.16,41.205,37.78
23-Jan-2018 09:58:00,3872,3912,4048,22.565,22.805,25.72,34.28,41.215,37.81
23-Jan-2018 09:59:00,3872,3912,4040,22.5,22.835,25.72,34.31,41.23,37.78
23-Jan-2018 10:00:00,3880,3920,4040,22.44,22.84,25.72,34.28,41.24,37.94
23-Jan-2018 10:01:00,3880,3912,4040,22.41,22.84,25.72,34.31,41.275,37.91
23-Jan-2018 10:02:00,3880,3904,4032,22.41,22.81,25.69,34.31,41.28,37.91
23-Jan-2018 10:03:00,3880,3904,4040,22.375,22.79,25.69,34.345,41.26,38.03
23-Jan-2018 10:04:00,3880,3904,4040,22.31,22.775,25.72,34.345,41.265,38.03
23-Jan-2018 10:05:00,3888,3904,4048,22.315,22.77,25.69,34.31,41.255,37.97
23-Jan-2018 10:06:00,3872,3904,4032,22.28,22.75,25.75,34.25,41.28,37.97
23-Jan-2018 10:07:00,3872,3904,4048,22.16,22.71,25.72,34.31,41.275,38.03
23-Jan-2018 10:08:00,3872,3904,4040,22.22,22.71,25.69,34.31,41.285,38.06
23-Jan-2018 10:09:00,3872,3904,4040,22.22,22.685,25.69,34.28,41.26,38.06
23-Jan-2018 10:10:00,3872,3904,4032,22.345,22.71,25.72,34.25,41.265,38.06
23-Jan-2018 10:11:00,3872,3904,4032,22.38,22.71,25.75,34.31,41.27,38.03
23-Jan-2018 10:12:00,3872,3904,4040,22.345,22.71,25.75,34.28,41.285,38.095
23-Jan-2018 10:13:00,3880,3904,4048,22.44,22.74,25.78,34.31,41.315,38.06
23-Jan-2018 10:14:00,3880,3904,4032,22.44,22.77,25.81,34.31,41.3,38.06
23-Jan-2018 10:15:00,3880,3920,4048,22.41,22.815,25.78,34.345,41.3,37.97
23-Jan-2018 10:16:00,3880,3904,4032,22.44,22.815,25.78,34.38,41.3,38
23-Jan-2018 10:17:00,3880,3904,4048,22.53,22.84,25.78,34.44,41.305,37.94
23-Jan-2018 10:18:00,3880,3904,4032,22.535,22.875,25.75,34.44,41.33,37.94
23-Jan-2018 10:19:00,3888,3904,4032,22.5,22.88,25.75,34.5,41.365,38
