time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top,speed_rpm_server_fan_avg_srv01,speed_rpm_server_fan_avg_srv02,speed_rpm_server_fan_avg_srv03,speed_rpm_server_fan_avg_srv04,speed_rpm_server_fan_avg_srv05,speed_rpm_server_fan_avg_srv06,speed_rpm_server_fan_avg_srv07,speed_rpm_server_fan_avg_srv08,speed_rpm_server_fan_avg_srv09,speed_rpm_server_fan_avg_srv10,speed_rpm_server_fan_avg_srv11,speed_rpm_server_fan_avg_srv12,speed_rpm_server_fan_avg_srv13,speed_rpm_server_fan_avg_srv14,speed_rpm_server_fan_avg_srv15,speed_rpm_server_fan_avg_srv16
23-Jan-2018 09:00:00,566,642,854,19.72,19.94,27.03,28,28.65,29.66,2280,2328,2280,2280,2280,2328,2280,2328,2280,2304,2304,2304,2304,2328,2544,3000
23-Jan-2018 09:01:00,562.666666666667,636,844,19.72,19.925,27.095,28.095,28.79,29.815,2280,2328,2280,2280,2280,2376,2280,2328,2280,2304,2304,2328,2304,2316,2556,3000
23-Jan-2018 09:02:00,562.666666666667,640,848,19.72,19.925,27.13,28.655,29.07,30.155,2280,2304,2280,2280,2280,2328,2280,2352,2280,2304,2304,2304,2280,2316,2556,3000
23-Jan-2018 09:03:00,562.666666666667,640,848,19.72,19.96,27.16,29.5,29.34,30.595,2280,2328,2280,2280,2292,2352,2280,2304,2280,2304,2304,2304,2304,2340,2544,3024
23-Jan-2018 09:04:00,564,638,844,19.75,19.985,27.28,30.22,29.665,31.005,2280,2328,2280,2280,2304,2352,2280,2328,2304,2304,2328,2328,2280,2352,2556,3024
23-Jan-2018 09:05:00,566,642,848,19.81,20.015,27.41,31.095,30.245,31.435,2280,2352,2256,2280,2316,2352,2304,2304,2280,2304,2304,2304,2304,2352,2556,3000
23-Jan-2018 09:06:00,565.333333333333,642,850,19.845,20.03,27.41,31.785,30.965,31.935,2280,2352,2256,2280,2352,2352,2280,2376,2280,2304,2304,2304,2328,2328,2556,3000
23-Jan-2018 09:07:00,566,642,852,19.91,20.07,27.44,32.19,31.6,32.345,2304,2352,2280,2280,2376,2352,2304,2304,2280,2304,2328,2304,2520,2412,2568,3192
23-Jan-2018 09:08:00,568,644,850,19.97,20.11,27.44,32.655,32.215,32.785,2328,2328,2256,2280,2364,2328,2328,2328,2304,2316,2328,2280,2520,2520,2568,3168
23-Jan-2018 09:09:00,566,638,856,20,20.135,27.53,32.97,32.71,33.125,2328,2304,2304,2280,2352,2328,2280,2352,2280,2328,2328,2304,2520,2520,2568,3192
