time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top,speed_rpm_server_fan_avg_srv05,speed_rpm_server_fan_avg_srv06,speed_rpm_server_fan_avg_srv07,speed_rpm_server_fan_avg_srv08,speed_rpm_server_fan_avg_srv09,speed_rpm_server_fan_avg_srv10,speed_rpm_server_fan_avg_srv11,speed_rpm_server_fan_avg_srv12,speed_rpm_server_fan_avg_srv13,speed_rpm_server_fan_avg_srv14,speed_rpm_server_fan_avg_srv15,speed_rpm_server_fan_avg_srv16,speed_rpm_server_fan_avg_srv17,speed_rpm_server_fan_avg_srv18,speed_rpm_server_fan_avg_srv19,speed_rpm_server_fan_avg_srv20,speed_rpm_server_fan_avg_srv21,speed_rpm_server_fan_avg_srv22,speed_rpm_server_fan_avg_srv23,speed_rpm_server_fan_avg_srv24,speed_rpm_server_fan_avg_srv25,speed_rpm_server_fan_avg_srv26,speed_rpm_server_fan_avg_srv27,speed_rpm_server_fan_avg_srv28,speed_rpm_server_fan_avg_srv29,speed_rpm_server_fan_avg_srv30
23-Jan-2018 09:00:00,1176,1208,1728,20.44,20.44,25.595,27.81,27.395,28.91,7440,7210,7180,7220,7220,7200,7210,7190,7190,7180,7190,7200,7170,7150,7150,7210,7270,7320,7240,7300,7280,7310,7280,7320,7250,7460
23-Jan-2018 09:01:00,1176,1213.33333333333,1728,20.5,20.45,25.595,27.875,27.43,29,7440,7210,7180,7220,7220,7200,7210,7190,7190,7180,7190,7190,7170,7160,7140,7200,7260,7320,7240,7310,7280,7320,7285,7320,7250,7460
23-Jan-2018 09:02:00,1176,1208,1728,20.5,20.46,25.595,28.125,27.575,29.03,7445,7210,7170,7225,7220,7200,7205,7190,7190,7180,7190,7190,7170,7165,7140,7270,7270,7310,7240,7310,7280,7310,7285,7310,7250,7460
23-Jan-2018 09:03:00,1176,1216,1728,20.53,20.515,25.66,28.435,27.82,29.19,7450,7210,7170,7225,7220,7200,7205,7190,7190,7180,7190,7200,7180,7165,7150,7280,7270,7310,7260,7305,7280,7310,7285,7310,7260,7460
23-Jan-2018 09:04:00,1168,1212,1728,20.63,20.565,25.63,28.785,28.06,29.28,7450,7210,7180,7215,7220,7210,7210,7190,7190,7270,7190,7200,7170,7175,7140,7280,7270,7310,7250,7300,7270,7330,7290,7320,7230,7460
23-Jan-2018 09:05:00,1176,1212,1736,20.63,20.66,25.69,29.125,28.265,29.41,7445,7210,7180,7260,7220,7280,7255,7245,7180,7280,7190,7180,7170,7240,7230,7280,7280,7320,7260,7300,7280,7320,7290,7310,7260,7460
23-Jan-2018 09:06:00,1176,1212,1736,20.72,20.745,25.72,29.47,28.435,29.5,7445,7210,7250,7310,7220,7280,7310,7325,7180,7290,7225,7250,7170,7255,7230,7290,7280,7320,7250,7300,7280,7320,7280,7310,7240,7460
23-Jan-2018 09:07:00,1176,1212,1744,20.845,20.845,25.69,29.72,28.605,29.66,7450,7310,7260,7310,7280,7280,7320,7300,7310,7280,7265,7260,7170,7250,7230,7290,7280,7320,7260,7300,7270,7320,7280,7320,7250,7460
23-Jan-2018 09:08:00,1176,1212,1736,20.88,20.98,25.66,29.94,28.81,29.75,7450,7310,7260,7310,7345,7280,7315,7320,7310,7280,7270,7260,7220,7250,7230,7290,7280,7310,7250,7310,7280,7330,7280,7320,7250,7460
23-Jan-2018 09:09:00,1176,1208,1740,20.97,21.08,25.63,30.19,28.99,29.91,7450,7310,7260,7305,7340,7280,7315,7320,7310,7290,7280,7250,7240,7250,7230,7280,7280,7320,7250,7305,7280,7320,7280,7320,7260,7460
23-Jan-2018 09:10:00,1180,1216,1736,21.095,21.135,25.66,30.345,29.21,30.03,7450,7310,7260,7305,7330,7280,7320,7320,7310,7280,7280,7250,7240,7255,7230,7280,7280,7310,7260,7300,7270,7320,7280,7310,7260,7460
23-Jan-2018 09:11:00,1180,1216,1736,21.16,21.24,25.63,30.535,29.38,30.125,7445,7310,7260,7315,7330,7280,7315,7320,7310,7290,7270,7250,7240,7250,7230,7290,7280,7320,7250,7300,7280,7320,7280,7320,7250,7460
23-Jan-2018 09:12:00,1180,1216,1736,21.22,21.315,25.69,30.66,29.525,30.25,7445,7310,7270,7320,7335,7280,7310,7320,7320,7290,7265,7260,7240,7250,7250,7290,7280,7320,7250,7305,7280,7330,7280,7320,7260,7460
23-Jan-2018 09:13:00,1180,1216,1744,21.25,21.35,25.72,30.845,29.685,30.41,7450,7310,7260,7310,7330,7280,7315,7325,7310,7280,7260,7260,7240,7260,7240,7280,7290,7310,7250,7310,7280,7320,7280,7320,7270,7460
