time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,P02R10_in_b_T,P02R10_in_b_Q,P02R10_out_b_T,P02R10_out_b_Q,P02R10_in_m_T,P02R10_in_m_Q,P02R10_out_m_T,P02R10_out_m_Q,P02R10_in_t_T,P02R10_in_t_Q,P02R10_out_t_T,P02R10_out_t_Q,P02R08_in_b_T,P02R08_in_b_Q,P02R08_out_b_T,P02R08_out_b_Q,P02R08_in_m_T,P02R08_in_m_Q,P02R08_out_m_T,P02R08_out_m_Q,P02R08_in_t_T,P02R08_in_t_Q,P02R08_out_t_T,P02R08_out_t_Q,P02R01_in_b_T,P02R01_in_b_Q,P02R01_out_b_T,P02R01_out_b_Q,P02R01_in_m_T,P02R01_in_m_Q,P02R01_out_m_T,P02R01_out_m_Q,P02R01_in_t_T,P02R01_in_t_Q,P02R01_out_t_T,P02R01_out_t_Q,P02R06_in_b_T,P02R06_in_b_Q,P02R06_out_b_T,P02R06_out_b_Q,P02R06_in_m_T,P02R06_in_m_Q,P02R06_out_m_T,P02R06_out_m_Q,P02R06_in_t_T,P02R06_in_t_Q,P02R06_out_t_T,P02R06_out_t_Q,P02R07_in_b_T,P02R07_in_b_Q,P02R07_out_b_T,P02R07_out_b_Q,P02R07_in_m_T,P02R07_in_m_Q,P02R07_out_m_T,P02R07_out_m_Q,P02R07_in_t_T,P02R07_in_t_Q,P02R07_out_t_T,P02R07_out_t_Q,P02R04_in_b_T,P02R04_in_b_Q,P02R04_out_b_T,P02R04_out_b_Q,P02R04_in_m_T,P02R04_in_m_Q,P02R04_out_m_T,P02R04_out_m_Q,P02R04_in_t_T,P02R04_in_t_Q,P02R04_out_t_T,P02R04_out_t_Q,P02R05_in_b_T,P02R05_in_b_Q,P02R05_out_b_T,P02R05_out_b_Q,P02R05_in_m_T,P02R05_in_m_Q,P02R05_out_m_T,P02R05_out_m_Q,P02R05_in_t_T,P02R05_in_t_Q,P02R05_out_t_T,P02R05_out_t_Q,P02R02_in_b_T,P02R02_in_b_Q,P02R02_out_b_T,P02R02_out_b_Q,P02R02_in_m_T,P02R02_in_m_Q,P02R02_out_m_T,P02R02_out_m_Q,P02R02_in_t_T,P02R02_in_t_Q,P02R02_out_t_T,P02R02_out_t_Q,P02R09_in_b_T,P02R09_in_b_Q,P02R09_out_b_T,P02R09_out_b_Q,P02R09_in_m_T,P02R09_in_m_Q,P02R09_out_m_T,P02R09_out_m_Q,P02R09_in_t_T,P02R09_in_t_Q,P02R09_out_t_T,P02R09_out_t_Q,P02R03_in_b_T,P02R03_in_b_Q,P02R03_out_b_T,P02R03_out_b_Q,P02R03_in_m_T,P02R03_in_m_Q,P02R03_out_m_T,P02R03_out_m_Q,P02R03_in_t_T,P02R03_in_t_Q,P02R03_out_t_T,P02R03_out_t_Q
23-Jan-2018 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan-2018 10:01:00,18.8074,0.920396,28.1479,0.896955,18.3908,0.802683,29.5298,0.788341,18.258,0.694745,29.0627,0.698747,19.1147,1.03382,28.5196,1.03241,18.2733,0.0110858,30.6997,0.00540917,18.4294,0.0104486,31.2436,0.00770828,21.2715,0.00573244,33.2813,0.0195899,18.3161,0.00422482,32.1128,0.00457714,18.4201,0.00570646,32.8142,0.00531067,21.2809,0.0078131,35.0905,0.0127194,18.1421,0.027789,35.2555,0.037025,19.1318,0.0279605,35.3273,0.0320252,24.7843,0.0306036,41.0293,0.0379122,18.2472,0.0123522,29.7346,0.0125074,19.5191,0.0145182,30.8046,0.0113153,25.7946,0.00823834,36.855,0.0127694,18.3079,0.0106388,28.2223,0.0134139,18.423,0.0112893,28.2364,0.0119308,24.1099,0.00923213,33.6919,0.0131615,19.047,0.00901333,31.8654,0.0114248,19.1168,0.0101629,31.9204,0.0100588,21.4655,0.0109011,34.2579,0.0119176,18.9011,0.0145928,28.6834,0.0125383,19.5215,0.0164324,29.1476,0.0113756,23.73,0.00815816,33.1732,0.0128668,18.722,0.0101127,35.2726,0.0133483,18.8277,0.0110113,35.7242,0.012426,20.8289,0.00932114,37.7561,0.0134072,18.3049,0.00461411,32.6729,0.00513984,18.3299,0.00511385,32.7253,0.00569419,20.4918,0.00563213,34.7526,0.0116338,18.7693,0.0166044,35.9202,0.022178,18.9788,0.0167122,35.8115,0.0195444,22.1972,0.0156948,38.8103,0.0217512
23-Jan-2018 10:02:00,18.8225,0.922655,33.4722,0.911538,18.4171,0.804825,33.3336,0.786474,18.2801,0.698339,34.0022,0.692919,19.134,1.03474,32.0294,1.03417,18.3074,0.0137588,31.3623,0.00612046,19.1915,0.0138747,32.406,0.00830596,27.6773,0.00462513,38.0342,0.0200053,18.3877,0.0083865,32.4656,0.00489534,19.0559,0.00898943,33.431,0.00517537,25.2788,0.00871057,38.3459,0.0125384,18.7488,0.0304584,35.8697,0.0372422,20.8492,0.027992,37.0074,0.0322575,31.5186,0.0297443,47.6435,0.038175,18.2874,0.0124988,29.8665,0.0125991,20.7792,0.016317,32.0841,0.0113218,29.6625,0.00917974,40.7768,0.012837,18.3658,0.0104023,28.3623,0.0133775,18.8495,0.0117656,28.706,0.0119294,28.4847,0.0116723,38.159,0.0131515,19.1252,0.00900334,32.0627,0.0115301,19.2008,0.0103724,32.0259,0.0100308,25.2151,0.0113733,37.9369,0.0119876,19.0171,0.0153912,28.9314,0.0126005,20.1703,0.018407,29.8323,0.0114252,27.3136,0.00851784,36.772,0.0129071,18.8316,0.00972261,35.5479,0.0133837,18.9148,0.0111933,35.8247,0.0125972,25.5953,0.00975782,42.2349,0.0137487,18.3948,0.0074739,32.885,0.00518319,18.744,0.00685381,33.0551,0.00522703,24.4534,0.0050784,37.9892,0.0121248,18.8842,0.0188167,36.0775,0.0224844,19.2323,0.0179564,36.0996,0.0197372,27.628,0.017195,44.1136,0.0218621
23-Jan-2018 10:03:00,18.8283,0.923147,34.2436,0.912588,18.423,0.804639,33.6612,0.784714,18.286,0.698439,34.6022,0.690488,19.136,1.03491,32.4085,1.03868,18.2982,0.0143821,31.2934,0.00617199,19.265,0.0142555,32.4252,0.00795252,27.4245,0.00677973,37.8504,0.0202273,18.3692,0.00963619,32.5836,0.00441707,19.0887,0.00963146,33.5462,0.0054236,26.1398,0.00874019,39.0359,0.013028,18.7403,0.030644,35.8838,0.0372904,20.8652,0.0276606,37.0261,0.0322459,33.0216,0.0302374,49.1083,0.0382257,18.2889,0.0124846,29.8728,0.012682,21.4305,0.0159075,32.7547,0.0113353,30.5681,0.0103659,41.7638,0.0128179,18.3662,0.0104251,28.3921,0.0134314,18.9148,0.0119952,28.7697,0.0119789,29.0999,0.0108588,38.7253,0.0131824,19.1229,0.00895931,32.0609,0.0115549,19.1936,0.010499,32.0083,0.0100229,26.2324,0.00998279,38.9272,0.0120642,19.0076,0.0151342,28.883,0.0126934,20.4271,0.018458,30.0845,0.0114904,27.6098,0.00888878,37.1186,0.0129569,18.8348,0.009716,35.551,0.0133669,18.924,0.0112427,35.8513,0.012518,27.1067,0.00920165,43.7306,0.0138278,18.3694,0.0081962,32.8851,0.00516815,18.8542,0.00673379,33.1798,0.00546964,25.6723,0.00656131,38.9584,0.0120475,18.903,0.0193517,36.1133,0.0226493,19.2332,0.0184845,36.0995,0.0198714,28.1061,0.0177946,44.5579,0.0218956
23-Jan-2018 10:04:00,18.9753,0.921293,34.3418,0.912273,18.4257,0.804853,33.775,0.787226,18.2899,0.698574,34.7627,0.691817,19.2276,1.06009,32.3722,1.06423,18.2856,0.0144921,31.2151,0.00545658,19.3435,0.014177,32.5164,0.00788498,27.1733,0.00729826,37.7767,0.0203386,18.3868,0.00970174,32.5694,0.00471799,19.1701,0.00980212,33.5992,0.00524497,25.9402,0.00797486,38.9438,0.01309,18.88,0.030663,36.0516,0.0373023,20.7026,0.028454,36.8637,0.0322779,33.2249,0.0307936,49.2864,0.0381932,18.2938,0.0124295,29.8393,0.0126824,21.4286,0.0156977,32.7279,0.0113704,30.5611,0.00965296,41.7768,0.0129039,18.3663,0.0103424,28.3624,0.0133904,18.8275,0.0120007,28.671,0.0119366,29.3174,0.0114429,38.9353,0.0131959,19.2189,0.00901169,32.1901,0.0115857,19.272,0.0104674,32.1211,0.0100418,25.6989,0.0107937,38.4325,0.0120106,19.1095,0.0152935,28.9541,0.0127145,20.3199,0.0186523,29.9906,0.0115003,27.5621,0.00899815,37.0645,0.0129345,18.9759,0.00978498,35.6782,0.0134984,19.0729,0.0112139,35.9769,0.0127432,26.3968,0.00898471,43.1941,0.0139888,18.4048,0.00853915,32.907,0.00521963,18.9056,0.00667633,33.2245,0.00549689,25.5897,0.00564271,38.9352,0.0122585,19.0065,0.0199062,36.2424,0.0226311,19.3288,0.0184453,36.1917,0.0199105,27.445,0.0177341,44.0111,0.0220112
23-Jan-2018 10:05:00,18.9759,0.921676,34.311,0.909781,18.517,0.811598,33.6296,0.794007,18.3872,0.713854,34.7265,0.704945,19.3205,1.08092,32.2796,1.07756,18.4205,0.0143897,31.5701,0.005661,19.2484,0.0141817,32.4845,0.00795165,26.5501,0.00767522,37.367,0.0207903,18.461,0.00897436,32.5413,0.00478377,19.1355,0.0093658,33.5626,0.00532789,25.7623,0.00722897,38.7395,0.0129758,18.8836,0.0307301,35.9917,0.0374248,20.8427,0.0278748,36.9975,0.0323697,33.0553,0.0300756,49.149,0.0382729,18.3769,0.0125391,29.9339,0.0126841,21.1442,0.0163189,32.4501,0.0113353,29.9177,0.00970077,41.0998,0.0128482,18.4525,0.0103157,28.4544,0.0133718,18.8897,0.0118606,28.7244,0.0119601,28.8945,0.0121217,38.501,0.0132042,19.3193,0.00905851,32.2478,0.011552,19.3717,0.0104866,32.1682,0.0100422,25.3869,0.0108334,38.0717,0.0120489,19.2104,0.0157974,29.0082,0.0127277,20.2005,0.0189667,29.845,0.0114731,27.6769,0.00858982,37.0899,0.0129929,18.9888,0.00983514,35.707,0.0136364,19.0714,0.0112283,35.9811,0.0126589,26.7916,0.0087314,43.4664,0.0137714,18.4887,0.00752451,32.943,0.00524356,18.9186,0.00675129,33.1516,0.00537903,24.7398,0.00554937,38.209,0.0120472,19.1102,0.0201835,36.3231,0.0228777,19.3803,0.0193108,36.2426,0.0200727,27.1561,0.0183777,43.6984,0.0221449
23-Jan-2018 10:06:00,19.1179,0.929678,34.2539,0.920591,18.5206,0.804967,33.6451,0.789544,18.3848,0.722521,34.7503,0.708984,19.4146,1.09256,32.1628,1.08628,18.3823,0.0144272,31.3968,0.00568513,19.2176,0.0142909,32.59,0.00828756,26.2621,0.00817382,37.3056,0.0207057,18.4888,0.00817757,32.6493,0.00487351,19.1954,0.00906649,33.6203,0.0052262,25.9387,0.00883258,38.9952,0.0131173,19.0447,0.030863,36.1639,0.0377877,20.9523,0.0279898,37.1048,0.0325545,32.9531,0.0303328,49.0253,0.0384435,18.3841,0.012412,29.9487,0.012692,21.3263,0.0157789,32.6406,0.0113748,30.0404,0.00950347,41.1885,0.0127957,18.4609,0.0104841,28.4687,0.0134313,18.8629,0.0118715,28.6987,0.0119366,28.7765,0.0124389,38.3585,0.0132211,19.4056,0.00910553,32.3377,0.0116117,19.4844,0.0104403,32.2658,0.010045,24.8918,0.0119296,37.6332,0.0120231,19.3029,0.0160313,29.1166,0.0127582,20.378,0.0189317,30.0102,0.0115345,27.4296,0.00889435,36.8901,0.0129873,19.114,0.00984059,35.8143,0.0133878,19.2209,0.0111815,36.1208,0.0126083,26.7058,0.00898335,43.3381,0.0138994,18.5022,0.00751067,32.9072,0.00514387,18.9338,0.00675899,33.1616,0.00559712,25.3084,0.0057054,38.5933,0.0122373,19.2013,0.0204988,36.3581,0.0230872,19.4991,0.0190252,36.3536,0.020247,27.1545,0.0184013,43.6766,0.0223555
23-Jan-2018 10:07:00,19.213,0.949746,34.1002,0.933826,18.5238,0.797166,33.7785,0.779904,18.4855,0.706662,34.8288,0.697564,19.5569,1.11173,32.1916,1.10736,18.4659,0.0139964,31.6832,0.00543242,19.3802,0.0140613,32.6141,0.00775,26.7064,0.00697224,37.702,0.0214074,18.491,0.00931129,32.6534,0.00473622,19.2083,0.00963554,33.6462,0.00502196,26.0363,0.00805496,39.0435,0.0130644,19.1118,0.0309608,36.2765,0.0375764,21.1681,0.0279949,37.2982,0.0324886,32.6277,0.0299275,48.7238,0.0384667,18.3824,0.0124333,29.9242,0.0126967,21.457,0.0158451,32.7253,0.0113567,30.334,0.00987086,41.5245,0.0129488,18.4605,0.0103761,28.4264,0.013489,18.9421,0.011969,28.7643,0.0120026,29.6516,0.0117287,39.2431,0.0132565,19.5542,0.00914351,32.4719,0.0115893,19.6185,0.0104726,32.4001,0.0100855,24.1693,0.0116736,36.8549,0.0119751,19.4488,0.016353,29.2709,0.0127694,20.3049,0.0195841,29.9257,0.0115299,27.7451,0.0090885,37.1174,0.0130315,19.2164,0.00991264,35.8953,0.0135245,19.2923,0.0111398,36.1972,0.0127336,25.6433,0.00855339,42.2362,0.0139578,18.5395,0.00719995,33.035,0.00519092,18.9771,0.00675031,33.2697,0.00536114,25.3113,0.00549293,38.6537,0.0122974,19.3367,0.0205086,36.5222,0.023018,19.5896,0.0199166,36.4634,0.0202498,27.0704,0.0187325,43.6043,0.0223551
23-Jan-2018 10:08:00,19.3199,0.922664,34.3279,0.914275,18.6136,0.814813,33.8426,0.795375,18.5848,0.702092,34.9182,0.698166,19.7028,1.12238,32.3058,1.1123,18.5465,0.0146014,31.851,0.00581414,19.5295,0.0141228,32.8627,0.00828935,26.8947,0.00785229,37.8012,0.0209671,18.5655,0.00990729,32.6442,0.00471722,19.2881,0.00986776,33.6245,0.00500204,25.8457,0.00694021,38.7894,0.0128339,19.1915,0.0308046,36.3392,0.0375764,21.3625,0.0279154,37.4904,0.0324915,33.1178,0.0300478,49.1824,0.0384598,18.4846,0.0124125,30.0568,0.01261,21.3952,0.0160141,32.6525,0.0113307,30.541,0.0101729,41.7077,0.0129736,18.5421,0.010324,28.4947,0.0134525,19.0118,0.0119781,28.8357,0.0120311,29.4889,0.0116321,39.0445,0.0132442,19.7033,0.00921006,32.6053,0.011578,19.7496,0.0105177,32.5439,0.0101219,24.7182,0.0124464,37.4304,0.0119894,19.6008,0.0167362,29.4025,0.0127237,20.3569,0.0195864,29.9663,0.0114735,27.8694,0.00906979,37.2666,0.0130245,19.3164,0.00989576,36.0394,0.0135538,19.42,0.0112364,36.3305,0.0127643,26.2229,0.00926623,42.9487,0.0136475,18.6216,0.00898016,33.0761,0.00521334,19.1566,0.00681433,33.3988,0.00545207,24.9461,0.00554268,38.4749,0.0122407,19.4922,0.0209282,36.6981,0.0230835,19.7442,0.0193126,36.6083,0.0202887,26.5554,0.0176852,43.1385,0.0223937
23-Jan-2018 10:09:00,19.4134,0.939833,34.2586,0.925969,18.7067,0.839543,33.7406,0.818316,18.578,0.711504,34.8965,0.701383,19.8482,1.13394,32.2362,1.12358,18.5703,0.0140705,31.7605,0.00655772,19.5399,0.0142533,32.8237,0.00829886,27.2488,0.00776546,37.9585,0.0206106,18.6535,0.00995037,32.6061,0.004796,19.2015,0.00978887,33.561,0.00510668,25.5445,0.00771428,38.5685,0.0128086,19.3235,0.0309517,36.4604,0.0376164,21.0353,0.028313,37.1885,0.0325711,32.522,0.0301335,48.5593,0.038634,18.5768,0.0126549,30.1541,0.0125794,20.8338,0.0166197,32.1189,0.0113262,29.813,0.00899677,40.9242,0.0128848,18.6274,0.0103893,28.5446,0.0135187,18.8889,0.0118199,28.6796,0.0120136,28.881,0.0116601,38.4201,0.0132365,19.8578,0.00921794,32.7161,0.0116169,19.9028,0.0105204,32.6609,0.0100775,24.7394,0.0119129,37.4154,0.0120457,19.734,0.0164952,29.5048,0.0127393,20.5029,0.019503,30.1015,0.0114793,27.2332,0.00881369,36.5987,0.0130287,19.4029,0.00994219,36.1306,0.0137391,19.5029,0.0111361,36.4205,0.012764,26.4475,0.00884167,42.9188,0.0140349,18.6356,0.00874318,33.106,0.00529493,19.0671,0.00670124,33.3117,0.00528945,25.8945,0.0057307,39.0451,0.0122398,19.6074,0.0205601,36.8029,0.0230801,19.8366,0.0199151,36.6969,0.0204132,26.235,0.0183025,42.8508,0.0226031
