time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top,speed_rpm_server_fan_avg_srv01,speed_rpm_server_fan_avg_srv02,speed_rpm_server_fan_avg_srv03,speed_rpm_server_fan_avg_srv04,speed_rpm_server_fan_avg_srv05,speed_rpm_server_fan_avg_srv06,speed_rpm_server_fan_avg_srv07,speed_rpm_server_fan_avg_srv08,speed_rpm_server_fan_avg_srv09,speed_rpm_server_fan_avg_srv10,speed_rpm_server_fan_avg_srv11,speed_rpm_server_fan_avg_srv12,speed_rpm_server_fan_avg_srv13,speed_rpm_server_fan_avg_srv14,speed_rpm_server_fan_avg_srv15,speed_rpm_server_fan_avg_srv16,speed_rpm_server_fan_avg_srv17,speed_rpm_server_fan_avg_srv18,speed_rpm_server_fan_avg_srv19,speed_rpm_server_fan_avg_srv20,speed_rpm_server_fan_avg_srv21,speed_rpm_server_fan_avg_srv22,speed_rpm_server_fan_avg_srv23,speed_rpm_server_fan_avg_srv24,speed_rpm_server_fan_avg_srv25,speed_rpm_server_fan_avg_srv26,speed_rpm_server_fan_avg_srv27,speed_rpm_server_fan_avg_srv28,speed_rpm_server_fan_avg_srv29,speed_rpm_server_fan_avg_srv30
23-Jan-2018 09:00:00,910,1076,1632,19.845,19.725,26.81,30.19,28.885,29.78,7670,7260,7190,7200,7035,7170,6980,7180,7155,7185,7200,7195,7190,7140,7195,7190,7170,7150,7155,7200,7140,7180,7160,7190,7190,7280,7260,7280,7440,7470
23-Jan-2018 09:01:00,912,1076,1632,19.81,19.7,26.81,30.22,28.92,29.815,7675,7265,7190,7200,7030,7170,6975,7180,7155,7185,7200,7195,7190,7140,7200,7190,7170,7150,7155,7200,7140,7175,7160,7190,7235,7280,7260,7290,7440,7470
23-Jan-2018 09:02:00,916,1076,1632,19.75,19.71,26.78,30.31,29.015,30.03,7670,7270,7190,7200,7030,7170,6980,7180,7150,7185,7200,7205,7190,7140,7205,7190,7170,7150,7155,7200,7130,7170,7160,7200,7235,7290,7260,7480,7440,7470
23-Jan-2018 09:03:00,910,1076,1632,19.81,19.74,26.81,30.47,29.075,30.25,7650,7255,7190,7200,7030,7170,6980,7180,7150,7180,7210,7200,7190,7150,7205,7190,7170,7160,7150,7210,7130,7180,7160,7180,7190,7280,7260,7440,7440,7470
23-Jan-2018 09:04:00,904,1076,1632,19.81,19.775,26.78,30.53,29.13,30.5,7655,7255,7185,7200,7115,7170,6975,7180,7155,7180,7200,7190,7190,7150,7205,7190,7170,7150,7150,7200,7130,7180,7160,7190,7190,7290,7260,7290,7440,7480
23-Jan-2018 09:05:00,914,1076,1632,19.91,19.82,26.81,30.69,29.13,30.66,7710,7375,7235,7200,7195,7170,7040,7180,7155,7185,7210,7195,7190,7140,7210,7190,7170,7150,7155,7200,7130,7170,7160,7180,7235,7230,7260,7290,7440,7480
23-Jan-2018 09:06:00,912,1076,1632,19.94,19.855,26.88,30.75,29.21,30.66,7760,7495,7290,7200,7190,7170,7140,7180,7150,7185,7200,7195,7190,7140,7205,7200,7170,7150,7150,7200,7140,7175,7160,7280,7280,7290,7260,7290,7440,7480
23-Jan-2018 09:07:00,916,1076,1632,20.03,19.91,26.97,30.97,29.28,30.595,7770,7505,7290,7200,7190,7170,7185,7180,7155,7185,7200,7190,7190,7150,7205,7200,7170,7150,7140,7190,7140,7185,7280,7280,7285,7280,7260,7280,7440,7470
23-Jan-2018 09:08:00,910,1076,1632,20.065,19.98,27.06,31.19,29.34,30.595,7810,7535,7290,7200,7190,7170,7185,7170,7155,7185,7200,7185,7190,7140,7200,7190,7170,7160,7145,7190,7150,7185,7280,7270,7290,7290,7260,7400,7440,7480
23-Jan-2018 09:09:00,910,1072,1632,20.13,20.035,27.13,31.44,29.485,30.56,7855,7615,7290,7200,7190,7170,7180,7170,7155,7180,7210,7190,7190,7150,7220,7190,7170,7150,7155,7200,7280,7230,7280,7270,7290,7270,7260,7290,7440,7470
23-Jan-2018 09:10:00,912,1080,1636,20.22,20.075,27.19,31.565,29.565,30.56,7860,7660,7290,7250,7195,7170,7180,7180,7160,7185,7200,7190,7190,7150,7275,7190,7170,7150,7155,7270,7280,7280,7280,7280,7290,7290,7250,7290,7440,7470
23-Jan-2018 09:11:00,912,1080,1636,20.31,20.115,27.22,31.72,29.62,30.53,7860,7650,7290,7310,7195,7180,7185,7180,7165,7190,7200,7185,7190,7150,7300,7190,7175,7160,7145,7260,7290,7280,7280,7280,7290,7280,7260,7290,7440,7470
23-Jan-2018 09:12:00,910,1080,1636,20.315,20.165,27.22,31.78,29.705,30.5,7865,7640,7290,7320,7190,7180,7190,7170,7165,7190,7210,7185,7190,7140,7295,7190,7175,7150,7145,7260,7290,7280,7280,7280,7290,7280,7260,7290,7440,7470
23-Jan-2018 09:13:00,910,1080,1636,20.44,20.2,27.25,31.91,29.84,30.5,7910,7635,7290,7320,7195,7165,7185,7170,7160,7190,7200,7185,7190,7150,7300,7190,7175,7150,7190,7270,7280,7280,7280,7270,7290,7270,7260,7290,7440,7470
23-Jan-2018 09:14:00,912,1080,1636,20.47,20.255,27.28,32,29.89,30.56,7975,7635,7290,7320,7200,7170,7180,7180,7160,7185,7210,7185,7190,7150,7290,7190,7180,7150,7245,7270,7280,7280,7280,7280,7290,7290,7260,7280,7440,7470
23-Jan-2018 09:15:00,912,1076,1636,20.47,20.26,27.31,32.03,29.94,30.56,7995,7630,7275,7320,7200,7220,7185,7170,7160,7180,7210,7185,7235,7150,7285,7190,7175,7160,7255,7270,7280,7280,7280,7280,7290,7270,7260,7280,7440,7470
