time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top,speed_rpm_server_fan_avg_srv01,speed_rpm_server_fan_avg_srv02,speed_rpm_server_fan_avg_srv03,speed_rpm_server_fan_avg_srv04,speed_rpm_server_fan_avg_srv05,speed_rpm_server_fan_avg_srv06,speed_rpm_server_fan_avg_srv07,speed_rpm_server_fan_avg_srv08,speed_rpm_server_fan_avg_srv09,speed_rpm_server_fan_avg_srv10,speed_rpm_server_fan_avg_srv11,speed_rpm_server_fan_avg_srv12,speed_rpm_server_fan_avg_srv13,speed_rpm_server_fan_avg_srv14,speed_rpm_server_fan_avg_srv15,speed_rpm_server_fan_avg_srv16
23-Jan-2018 09:00:00,718,516,884,19.5,20.17,28.13,27.69,29.295,30.81,2280,2304,2280,2280,2280,2328,2328,2304,2376,2304,2280,2316,2304,2520,2520,3000
23-Jan-2018 09:01:00,704,508,874,19.5,20.165,28.06,27.97,29.24,30.875,2280,2304,2280,2280,2280,2340,2340,2304,2376,2304,2280,2316,2316,2520,2520,3000
23-Jan-2018 09:02:00,708,510,870,19.5,20.18,28.13,28.75,29.21,31.19,2280,2304,2280,2280,2280,2328,2328,2304,2364,2304,2280,2328,2316,2520,2520,3000
23-Jan-2018 09:03:00,708,506,872,19.53,20.245,28.13,29.72,29.23,31.535,2280,2304,2280,2280,2280,2304,2316,2304,2376,2304,2280,2328,2340,2520,2520,3012
23-Jan-2018 09:04:00,708,508,868,19.53,20.295,28.16,30.81,29.34,31.905,2280,2304,2280,2280,2328,2292,2316,2292,2388,2304,2280,2304,2448,2520,2592,3024
23-Jan-2018 09:05:00,708,506,872,19.595,20.335,28.25,31.625,29.59,32.345,2280,2304,2304,2280,2304,2292,2304,2292,2376,2292,2280,2316,2520,2520,2604,3024
23-Jan-2018 09:06:00,710,507.333333333333,872,19.72,20.365,28.31,32.155,29.85,32.655,2280,2304,2280,2280,2304,2304,2304,2304,2364,2292,2280,2316,2520,2520,2532,3012
23-Jan-2018 09:07:00,710,507.333333333333,872,19.845,20.42,28.41,32.5,30.09,33.005,2304,2304,2280,2280,2328,2304,2304,2304,2340,2328,2280,2304,2520,2520,2520,3084
23-Jan-2018 09:08:00,710,507.333333333333,872,19.97,20.46,28.5,32.75,30.385,33.28,2328,2292,2280,2280,2328,2304,2292,2304,2328,2340,2280,2304,2520,2520,2520,3180
23-Jan-2018 09:09:00,710,502,876,20.065,20.505,28.595,33.095,30.645,33.595,2328,2304,2280,2280,2328,2304,2280,2304,2328,2328,2292,2304,2520,2520,2520,3168
23-Jan-2018 09:10:00,712,508,872,20.13,20.53,28.69,33.095,30.925,33.845,2328,2316,2304,2280,2304,2304,2280,2304,2316,2328,2304,2328,2520,2520,2520,3180
23-Jan-2018 09:11:00,708,509.333333333333,876,20.25,20.58,28.78,33.22,31.16,34.065,2328,2316,2280,2280,2304,2304,2280,2328,2316,2328,2292,2316,2520,2520,2520,3204
23-Jan-2018 09:12:00,704,512,872,20.28,20.59,28.845,33.41,31.355,34.315,2352,2328,2304,2280,2352,2316,2292,2340,2340,2304,2292,2292,2520,2520,2520,3192
23-Jan-2018 09:13:00,712,508,876,20.38,20.635,28.97,33.53,31.51,34.595,2352,2340,2280,2280,2304,2328,2316,2316,2352,2292,2304,2316,2520,2520,2520,3180
23-Jan-2018 09:14:00,710,508,876,20.44,20.65,29.03,33.69,31.61,34.815,2352,2340,2304,2280,2304,2316,2316,2304,2340,2304,2304,2316,2520,2520,2520,3156
23-Jan-2018 09:15:00,708,509.333333333333,876,20.44,20.685,29.13,33.78,31.7,34.97,2352,2340,2328,2280,2328,2304,2304,2316,2340,2292,2292,2280,2520,2520,2520,3168
23-Jan-2018 09:16:00,710,507,880,20.53,20.7,29.22,33.845,31.835,35.16,2352,2352,2352,2280,2304,2316,2316,2328,2352,2280,2280,2280,2520,2520,2520,3180
23-Jan-2018 09:17:00,710,511,876,20.56,20.725,29.25,33.91,31.97,35.25,2352,2340,2352,2280,2280,2328,2316,2328,2340,2292,2280,2280,2520,2520,2520,3192
23-Jan-2018 09:18:00,710,511,876,20.595,20.755,29.28,34.03,32.155,35.25,2376,2340,2376,2280,2304,2304,2304,2328,2328,2292,2292,2280,2520,2520,2520,3240
23-Jan-2018 09:19:00,710,511,876,20.66,20.745,29.31,34.06,32.3,35.315,2352,2352,2352,2292,2280,2316,2304,2328,2328,2292,2292,2292,2520,2520,2520,3288
23-Jan-2018 09:20:00,712,508.666666666667,876,20.69,20.77,29.41,34.13,32.415,35.47,2376,2352,2352,2292,2304,2352,2316,2316,2328,2304,2280,2316,2520,2520,2520,3312
23-Jan-2018 09:21:00,710,510,876,20.72,20.76,29.38,34.16,32.69,35.5,2352,2352,2328,2280,2304,2328,2316,2316,2328,2304,2280,2316,2520,2520,2520,3312
23-Jan-2018 09:22:00,710,510,876,20.78,20.765,29.41,34.16,32.93,35.5,2328,2352,2328,2292,2304,2304,2292,2328,2316,2292,2280,2304,2520,2520,2520,3312
23-Jan-2018 09:23:00,710,508,880,20.845,20.775,29.44,34.19,33.195,35.38,2352,2352,2352,2304,2304,2316,2292,2316,2304,2280,2280,2316,2520,2520,2520,3312
23-Jan-2018 09:24:00,709.333333333333,510,876,20.81,20.75,29.38,34.095,33.415,35.25,2376,2340,2352,2292,2280,2340,2304,2304,2340,2292,2280,2316,2520,2520,2520,3312
23-Jan-2018 09:25:00,712,508,876,20.845,20.725,29.38,34.16,33.585,35.19,2376,2352,2328,2292,2304,2352,2304,2304,2364,2292,2292,2304,2520,2520,2520,3312
23-Jan-2018 09:26:00,708,510,878,20.845,20.75,29.44,34.19,33.7,35.16,2352,2376,2352,2304,2280,2352,2292,2304,2340,2280,2292,2316,2520,2520,2520,3300
23-Jan-2018 09:27:00,712,510,880,20.845,20.755,29.47,34.22,33.785,35.16,2400,2376,2352,2292,2304,2328,2292,2304,2352,2280,2280,2304,2520,2520,2520,3288
