time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top,speed_rpm_server_fan_avg_srv08,speed_rpm_server_fan_avg_srv10,speed_rpm_server_fan_avg_srv11,speed_rpm_server_fan_avg_srv12,speed_rpm_server_fan_avg_srv13,speed_rpm_server_fan_avg_srv14,speed_rpm_server_fan_avg_srv15,speed_rpm_server_fan_avg_srv16
23-Jan-2018 09:00:00,616,349,42.25,19.095,21.055,28.845,28,31.46,30.97,3096,2520,2520,2520,2664,2664,2664,3480
23-Jan-2018 09:01:00,624,348,42.25,19.095,21.01,28.78,28.315,31.89,31.125,3096,2520,2520,2520,2676,2664,2664,3480
23-Jan-2018 09:02:00,618.666666666667,345,43.1666666666667,19.06,21.005,28.845,28.91,32.645,31.565,3000,2520,2520,2520,2688,2688,2676,3504
23-Jan-2018 09:03:00,620,349,43,19.06,20.955,28.88,29.72,33.38,32.155,3024,2520,2520,2520,2676,2664,2700,3504
23-Jan-2018 09:04:00,620,348,41.75,19.13,20.915,28.91,30.56,34.06,32.94,2916,2520,2520,2520,2676,2664,2712,3504
23-Jan-2018 09:05:00,622,351,42,19.13,20.79,28.88,31.22,34.61,33.655,2784,2520,2520,2712,2664,2664,2676,3504
23-Jan-2018 09:06:00,620,347.333333333333,42.9166666666667,19.19,20.725,28.88,31.875,35.21,34.285,2784,2520,2520,2520,2676,2664,2676,3480
23-Jan-2018 09:07:00,620,348,41.375,19.25,20.705,28.845,32.315,35.665,34.935,2784,2520,2520,2520,2676,2688,2700,3480
23-Jan-2018 09:08:00,620,347,42.625,19.345,20.66,28.845,32.625,36.06,35.47,2784,2520,2520,2520,2652,2688,2676,3648
23-Jan-2018 09:09:00,620,342,43.125,19.38,20.65,28.845,32.91,36.395,35.905,2784,2520,2520,2520,2676,2688,2676,3600
23-Jan-2018 09:10:00,618,351,43,19.41,20.645,28.72,33.125,36.63,36.285,2784,2520,2520,2520,2664,2664,2700,3648
23-Jan-2018 09:11:00,622.666666666667,347.333333333333,43.375,19.47,20.63,28.63,33.285,36.86,36.655,2784,2520,2520,2520,2640,2640,2688,3648
23-Jan-2018 09:12:00,624,350,41.375,19.44,20.61,28.595,33.47,37.065,36.94,2784,2520,2520,2520,2664,2664,2664,3648
23-Jan-2018 09:13:00,614,346,43.25,19.47,20.605,28.75,33.625,37.25,37.25,2784,2520,2520,2520,2688,2640,2652,3648
23-Jan-2018 09:14:00,628,346,41.375,19.47,20.595,28.88,33.78,37.395,37.47,2772,2520,2520,2520,2676,2688,2664,3624
23-Jan-2018 09:15:00,617.333333333333,348,41.9166666666667,19.53,20.615,28.97,33.91,37.54,37.69,2772,2520,2520,2520,2652,2688,2688,3624
23-Jan-2018 09:16:00,626,346,42.625,19.595,20.615,29.095,33.97,37.645,37.875,2784,2520,2520,2520,2640,2640,2664,3624
23-Jan-2018 09:17:00,614,348,41.625,19.53,20.615,29.16,34.13,37.73,38.03,2784,2520,2520,2520,2652,2664,2652,4032
23-Jan-2018 09:18:00,614,346,43.375,19.63,20.61,29.16,34.13,37.805,38.16,2784,2520,2520,2520,2688,2664,2664,3624
23-Jan-2018 09:19:00,622.666666666667,347.333333333333,42.75,19.595,20.615,29.19,34.22,37.85,38.28,2784,2520,2520,2520,2700,2688,2676,3600
23-Jan-2018 09:20:00,622,347,42.25,19.625,20.625,29.16,34.28,37.925,38.41,2784,2520,2520,2520,2688,2664,2688,4032
23-Jan-2018 09:21:00,622,349,43.125,19.63,20.615,29.13,34.375,37.83,38.53,2784,2520,2520,2520,2664,2664,2688,4032
23-Jan-2018 09:22:00,614,349,42.5,19.63,20.62,29.13,34.345,37.805,38.625,2784,2520,2520,2520,2676,2640,2700,3624
23-Jan-2018 09:23:00,622,348,43.75,19.69,20.645,29.06,34.41,37.745,38.78,2784,2520,2520,2520,2676,2664,2712,3648
23-Jan-2018 09:24:00,620,347.333333333333,42.1666666666667,19.66,20.645,28.97,34.41,37.74,38.91,2784,2520,2520,2520,2652,2712,2712,3672
23-Jan-2018 09:25:00,620,351,42.25,19.69,20.65,28.88,34.44,37.73,38.97,2784,2520,2520,2520,2676,2664,2688,3624
23-Jan-2018 09:26:00,616,345,42.125,19.69,20.65,28.94,34.5,37.765,39.03,2784,2520,2520,2520,2688,2712,2664,3600
23-Jan-2018 09:27:00,624,349,41.875,19.72,20.655,29,34.5,37.815,39.095,2784,2520,2520,2520,2676,2688,2652,3672
23-Jan-2018 09:28:00,622,347,42,19.72,20.66,29.095,34.5,37.83,39.13,2784,2520,2520,2520,2652,2712,2652,4008
23-Jan-2018 09:29:00,618.666666666667,348,40.9166666666667,19.75,20.66,29.065,34.595,37.875,39.22,2784,2520,2520,2520,2652,2712,2700,3648
23-Jan-2018 09:30:00,620,351,42.625,19.69,20.675,29.03,34.595,37.99,39.19,2784,2520,2520,2520,2652,2664,2712,3672
23-Jan-2018 09:31:00,616,351,40,19.75,20.68,28.94,34.66,38,39.25,2772,2520,2520,2520,2640,2664,2664,3600
23-Jan-2018 09:32:00,630,352,42.375,19.75,20.7,28.97,34.66,38.025,39.25,2772,2520,2520,2520,2652,2664,2676,3672
23-Jan-2018 09:33:00,616,348,42,19.81,20.7,28.94,34.63,38.14,39.31,2784,2520,2520,2520,2664,2688,2676,3600
23-Jan-2018 09:34:00,624,349,42.875,19.78,20.71,28.94,34.66,38.175,39.38,2784,2520,2520,2520,2664,2664,2652,3648
23-Jan-2018 09:35:00,614,349,41.75,19.81,20.75,28.91,34.72,38.165,39.41,2784,2520,2520,2520,2664,2688,2664,3624
23-Jan-2018 09:36:00,626,346,43.125,19.81,20.77,28.845,34.75,38.275,39.38,2784,2520,2520,2520,2688,2664,2652,3648
23-Jan-2018 09:37:00,626,351,41.875,19.78,20.8,28.75,34.72,38.255,39.44,2784,2520,2520,2520,2712,2688,2652,3624
23-Jan-2018 09:38:00,618.666666666667,347.333333333333,41.3333333333333,19.81,20.805,28.845,34.845,38.2,39.53,2784,2520,2520,2520,2676,2664,2664,3648
23-Jan-2018 09:39:00,626,350,42.5,19.845,20.79,28.845,34.845,38.065,39.47,2784,2520,2520,2520,2640,2736,2688,3648
23-Jan-2018 09:40:00,618,351,43.625,19.81,20.77,28.91,34.94,37.985,39.5,2784,2520,2520,2520,2664,2712,2724,3624
23-Jan-2018 09:41:00,628,347,42,19.845,20.78,28.845,35,37.885,39.5,2784,2520,2520,2520,2652,2640,2700,3648
23-Jan-2018 09:42:00,618.666666666667,348,40.3333333333333,19.845,20.78,29.065,35.125,37.73,39.44,2784,2520,2520,2520,2616,2664,2664,3624
23-Jan-2018 09:43:00,622,349,42.25,19.88,20.755,29.315,35.06,37.67,39.38,2784,2520,2520,2520,2664,2664,2676,4008
23-Jan-2018 09:44:00,622,347,43.125,19.845,20.725,29.5,35.06,37.565,39.28,2784,2544,2520,2520,2676,2712,2688,3624
23-Jan-2018 09:45:00,616,349,43.125,19.75,20.665,29.69,35.155,37.535,39.19,2784,2520,2520,2520,2652,2640,2688,3672
23-Jan-2018 09:46:00,622,346.666666666667,42.75,19.69,20.645,29.845,35.16,37.5,39.13,2784,2520,2520,2520,2652,2688,2688,3960
23-Jan-2018 09:47:00,624,348,43,19.69,20.63,30.125,35.28,37.52,39.095,2784,2520,2520,2520,2664,2688,2688,3960
23-Jan-2018 09:48:00,620,348,40.125,19.72,20.665,30.25,35.28,37.58,39.06,2784,2520,2520,2520,2688,2640,2664,3960
23-Jan-2018 09:49:00,622,350,43.125,19.75,20.68,30.25,35.315,37.685,38.94,2784,2520,2520,2520,2688,2688,2664,4056
23-Jan-2018 09:50:00,624,352,43.625,19.75,20.68,30.22,35.44,37.755,38.91,2784,2520,2520,2520,2676,2640,2664,3696
23-Jan-2018 09:51:00,617.333333333333,348,42.75,19.81,20.67,30.28,35.345,37.905,38.94,2784,2520,2520,2520,2652,2712,2640,4008
23-Jan-2018 09:52:00,620,348,41.875,19.78,20.695,30.19,35.41,38.005,38.94,2796,2520,2520,2520,2640,2664,2664,4008
23-Jan-2018 09:53:00,620,348,41.625,19.78,20.735,30.19,35.41,37.98,38.94,2808,2520,2520,2520,2640,2688,2676,3984
23-Jan-2018 09:54:00,624,347,41.625,19.88,20.765,30.31,35.44,37.99,38.91,2796,2520,2520,2520,2664,2664,2676,3984
23-Jan-2018 09:55:00,618,351,42.625,19.94,20.8,30.22,35.44,37.96,38.97,2784,2520,2520,2520,2676,2712,2676,3984
23-Jan-2018 09:56:00,622.666666666667,349.333333333333,42.125,19.94,20.82,30.125,35.5,37.94,38.97,2784,2520,2520,2544,2652,2688,2688,4008
