"Time";"temperature_0";"temperature_1";"temperature_2";"temperature_3";"temperature_4"
"2019-10-01T08:00:01+02:00";25.625;null;null;null;null
"2019-10-01T08:00:01+02:00";null;26.563;null;null;null
"2019-10-01T08:00:01+02:00";null;null;25.688;null;null
"2019-10-01T08:00:01+02:00";null;null;null;25.75;null
"2019-10-01T08:00:01+02:00";null;null;null;null;24.563
"2019-10-01T08:00:06+02:00";null;26.563;null;null;null
"2019-10-01T08:00:06+02:00";null;null;25.688;null;null
"2019-10-01T08:00:06+02:00";null;null;null;null;24.563
"2019-10-01T08:00:07+02:00";25.563;null;null;null;null
"2019-10-01T08:00:07+02:00";null;null;null;25.75;null
"2019-10-01T08:00:11+02:00";null;null;null;25.75;null
"2019-10-01T08:00:11+02:00";null;26.563;null;null;null
"2019-10-01T08:00:11+02:00";null;null;25.688;null;null
"2019-10-01T08:00:11+02:00";null;null;null;null;24.563
"2019-10-01T08:00:11+02:00";25.563;null;null;null;null
"2019-10-01T08:00:17+02:00";null;null;null;null;24.563
"2019-10-01T08:00:17+02:00";null;null;25.688;null;null
"2019-10-01T08:00:17+02:00";null;null;null;25.75;null
"2019-10-01T08:00:17+02:00";null;26.563;null;null;null
"2019-10-01T08:00:17+02:00";25.563;null;null;null;null
"2019-10-01T08:00:21+02:00";null;null;null;25.75;null
"2019-10-01T08:00:21+02:00";null;26.563;null;null;null
"2019-10-01T08:00:21+02:00";25.563;null;null;null;null
"2019-10-01T08:00:21+02:00";null;null;null;null;24.563
"2019-10-01T08:00:21+02:00";null;null;25.688;null;null
"2019-10-01T08:00:26+02:00";25.625;null;null;null;null
"2019-10-01T08:00:26+02:00";null;null;null;null;24.563
"2019-10-01T08:00:26+02:00";null;null;25.625;null;null
"2019-10-01T08:00:26+02:00";null;26.563;null;null;null
"2019-10-01T08:00:26+02:00";null;null;null;25.75;null
"2019-10-01T08:00:31+02:00";null;null;null;null;24.563
"2019-10-01T08:00:31+02:00";null;null;25.688;null;null
"2019-10-01T08:00:31+02:00";null;26.563;null;null;null
"2019-10-01T08:00:31+02:00";25.563;null;null;null;null
"2019-10-01T08:00:31+02:00";null;null;null;25.688;null
"2019-10-01T08:00:36+02:00";null;null;null;null;24.563
"2019-10-01T08:00:36+02:00";null;null;25.688;null;null
"2019-10-01T08:00:36+02:00";null;26.563;null;null;null
"2019-10-01T08:00:36+02:00";null;null;null;25.688;null
"2019-10-01T08:00:36+02:00";25.563;null;null;null;null
"2019-10-01T08:00:41+02:00";25.625;null;null;null;null
"2019-10-01T08:00:42+02:00";null;null;null;25.75;null
"2019-10-01T08:00:42+02:00";null;null;null;null;24.563
"2019-10-01T08:00:42+02:00";null;null;25.688;null;null
"2019-10-01T08:00:42+02:00";null;26.625;null;null;null
"2019-10-01T08:00:46+02:00";null;null;25.688;null;null
"2019-10-01T08:00:46+02:00";null;null;null;null;24.563
"2019-10-01T08:00:46+02:00";25.625;null;null;null;null
"2019-10-01T08:00:46+02:00";null;null;null;25.75;null
"2019-10-01T08:00:46+02:00";null;26.625;null;null;null
"2019-10-01T08:00:51+02:00";25.563;null;null;null;null
"2019-10-01T08:00:51+02:00";null;null;null;25.688;null
"2019-10-01T08:00:51+02:00";null;26.625;null;null;null
"2019-10-01T08:00:51+02:00";null;null;25.625;null;null
"2019-10-01T08:00:51+02:00";null;null;null;null;24.563
"2019-10-01T08:00:56+02:00";null;null;null;25.688;null
"2019-10-01T08:00:56+02:00";25.563;null;null;null;null
"2019-10-01T08:00:56+02:00";null;26.563;null;null;null
"2019-10-01T08:00:56+02:00";null;null;null;null;24.563
"2019-10-01T08:00:56+02:00";null;null;25.688;null;null
"2019-10-01T08:01:01+02:00";null;null;null;null;24.563
"2019-10-01T08:01:01+02:00";null;null;null;25.75;null
"2019-10-01T08:01:01+02:00";25.563;null;null;null;null
"2019-10-01T08:01:01+02:00";null;26.563;null;null;null
"2019-10-01T08:01:01+02:00";null;null;25.625;null;null
"2019-10-01T08:01:06+02:00";null;null;null;null;24.563
"2019-10-01T08:01:06+02:00";null;null;null;25.75;null
"2019-10-01T08:01:06+02:00";25.625;null;null;null;null
"2019-10-01T08:01:06+02:00";null;26.563;null;null;null
"2019-10-01T08:01:06+02:00";null;null;25.625;null;null
"2019-10-01T08:01:11+02:00";null;null;null;25.75;null
"2019-10-01T08:01:11+02:00";25.625;null;null;null;null
"2019-10-01T08:01:11+02:00";null;null;null;null;24.563
"2019-10-01T08:01:11+02:00";null;null;25.625;null;null
"2019-10-01T08:01:11+02:00";null;26.563;null;null;null
"2019-10-01T08:01:17+02:00";null;null;null;25.813;null
"2019-10-01T08:01:17+02:00";null;26.563;null;null;null
"2019-10-01T08:01:17+02:00";null;null;25.625;null;null
"2019-10-01T08:01:17+02:00";null;null;null;null;24.563
"2019-10-01T08:01:17+02:00";25.625;null;null;null;null
"2019-10-01T08:01:21+02:00";25.625;null;null;null;null
"2019-10-01T08:01:21+02:00";null;null;null;null;24.563
"2019-10-01T08:01:21+02:00";null;null;25.625;null;null
"2019-10-01T08:01:21+02:00";null;null;null;25.813;null
"2019-10-01T08:01:21+02:00";null;26.563;null;null;null
"2019-10-01T08:01:26+02:00";null;null;null;null;24.563
"2019-10-01T08:01:26+02:00";null;null;25.688;null;null
"2019-10-01T08:01:26+02:00";25.563;null;null;null;null
"2019-10-01T08:01:26+02:00";null;null;null;25.625;null
"2019-10-01T08:01:26+02:00";null;26.563;null;null;null
"2019-10-01T08:01:31+02:00";null;null;25.625;null;null
"2019-10-01T08:01:31+02:00";25.563;null;null;null;null
"2019-10-01T08:01:31+02:00";null;null;null;25.688;null
"2019-10-01T08:01:31+02:00";null;null;null;null;24.563
"2019-10-01T08:01:31+02:00";null;26.563;null;null;null
"2019-10-01T08:01:36+02:00";null;null;25.625;null;null
"2019-10-01T08:01:36+02:00";25.563;null;null;null;null
