"Time";"Room setpoint";"Room Temp";"return";"return";"discharge"
"2019-10-01T08:00:17+02:00";23;null;null;null;null
"2019-10-01T08:00:18+02:00";null;23;24.6;24.6;17.3
"2019-10-01T08:00:47+02:00";23;null;null;null;null
"2019-10-01T08:00:48+02:00";null;23;24.6;24.6;17.2
"2019-10-01T08:01:17+02:00";23;null;null;null;null
"2019-10-01T08:01:18+02:00";null;22.9;24.6;24.6;17.2
"2019-10-01T08:01:47+02:00";23;null;null;null;null
"2019-10-01T08:01:48+02:00";null;23;24.6;24.6;17.2
"2019-10-01T08:02:17+02:00";23;null;null;null;null
"2019-10-01T08:02:18+02:00";null;23;24.6;24.6;17.3
"2019-10-01T08:02:47+02:00";23;null;null;null;null
"2019-10-01T08:02:48+02:00";null;23;24.6;24.7;17.2
"2019-10-01T08:03:17+02:00";23;null;null;null;null
"2019-10-01T08:03:18+02:00";null;23;24.6;24.7;17.2
"2019-10-01T08:03:47+02:00";23;null;null;null;null
"2019-10-01T08:03:48+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:04:17+02:00";23;null;null;null;null
"2019-10-01T08:04:18+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:04:47+02:00";23;null;null;null;null
"2019-10-01T08:04:48+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:05:17+02:00";23;null;null;null;null
"2019-10-01T08:05:18+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:05:47+02:00";23;null;null;null;null
"2019-10-01T08:05:48+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:06:17+02:00";23;null;null;null;null
"2019-10-01T08:06:18+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:06:47+02:00";23;null;null;null;null
"2019-10-01T08:06:48+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:07:17+02:00";23;null;null;null;null
"2019-10-01T08:07:18+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:07:47+02:00";23;null;null;null;null
"2019-10-01T08:07:48+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:08:17+02:00";23;null;null;null;null
"2019-10-01T08:08:18+02:00";null;23;24.6;24.7;17.3
"2019-10-01T08:08:47+02:00";23;null;null;null;null
"2019-10-01T08:08:48+02:00";null;22.9;24.6;24.7;17.3
"2019-10-01T08:09:17+02:00";23;null;null;null;null
"2019-10-01T08:09:18+02:00";null;22.9;24.6;24.7;17.3
"2019-10-01T08:09:47+02:00";23;null;null;null;null
"2019-10-01T08:09:48+02:00";null;22.9;24.6;24.7;17.3
