"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-01T08:00:07+02:00";null;null;2168.4165;null;null;null;null;null;null;null;null
"2019-10-01T08:00:13+02:00";null;null;null;null;null;null;null;null;null;null;2570.187
"2019-10-01T08:00:19+02:00";null;null;null;null;null;null;null;null;2539.5613;null;null
"2019-10-01T08:00:30+02:00";null;null;null;null;null;2432.2649;null;null;null;null;null
"2019-10-01T08:00:31+02:00";null;null;null;2554.6709;null;null;null;null;null;null;null
"2019-10-01T08:00:40+02:00";null;1966.0344;null;null;null;null;null;null;null;null;null
"2019-10-01T08:00:46+02:00";null;null;null;null;null;null;null;null;null;2100.9275;null
"2019-10-01T08:00:50+02:00";null;null;null;null;null;null;2154.8821;null;null;null;null
"2019-10-01T08:00:52+02:00";null;null;null;null;null;null;null;2127.1536;null;null;null
"2019-10-01T08:00:58+02:00";null;null;null;null;2069.1919;null;null;null;null;null;null
"2019-10-01T08:00:59+02:00";4827.3979;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:07+02:00";null;null;2099.5251;null;null;null;null;null;null;null;null
"2019-10-01T08:01:13+02:00";null;null;null;null;null;null;null;null;null;null;2408.3906
"2019-10-01T08:01:19+02:00";null;null;null;null;null;null;null;null;2473.5894;null;null
"2019-10-01T08:01:30+02:00";null;null;null;null;null;2620.9011;null;null;null;null;null
"2019-10-01T08:01:31+02:00";null;null;null;2488.2244;null;null;null;null;null;null;null
"2019-10-01T08:01:40+02:00";null;2005.1357;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:46+02:00";null;null;null;null;null;null;null;null;null;2012.6121;null
"2019-10-01T08:01:50+02:00";null;null;null;null;null;null;2214.1213;null;null;null;null
"2019-10-01T08:01:52+02:00";null;null;null;null;null;null;null;2176.5469;null;null;null
"2019-10-01T08:01:58+02:00";null;null;null;null;1991.4934;null;null;null;null;null;null
"2019-10-01T08:01:59+02:00";4634.9087;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:02:07+02:00";null;null;2139.5293;null;null;null;null;null;null;null;null
"2019-10-01T08:02:13+02:00";null;null;null;null;null;null;null;null;null;null;2603.6477
"2019-10-01T08:02:19+02:00";null;null;null;null;null;null;null;null;2511.6699;null;null
"2019-10-01T08:02:30+02:00";null;null;null;null;null;2547.5366;null;null;null;null;null
"2019-10-01T08:02:31+02:00";null;null;null;2502.6235;null;null;null;null;null;null;null
"2019-10-01T08:02:40+02:00";null;2091.7122;null;null;null;null;null;null;null;null;null
"2019-10-01T08:02:46+02:00";null;null;null;null;null;null;null;null;null;2086.2412;null
"2019-10-01T08:02:50+02:00";null;null;null;null;null;null;2157.0068;null;null;null;null
"2019-10-01T08:02:52+02:00";null;null;null;null;null;null;null;2235.0701;null;null;null
"2019-10-01T08:02:58+02:00";null;null;null;null;2195.9951;null;null;null;null;null;null
"2019-10-01T08:02:59+02:00";4526.6826;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:07+02:00";null;null;2093.8101;null;null;null;null;null;null;null;null
"2019-10-01T08:03:13+02:00";null;null;null;null;null;null;null;null;null;null;2594.9556
"2019-10-01T08:03:19+02:00";null;null;null;null;null;null;null;null;2480.5273;null;null
"2019-10-01T08:03:30+02:00";null;null;null;null;null;2582.8145;null;null;null;null;null
"2019-10-01T08:03:31+02:00";null;null;null;2488.2051;null;null;null;null;null;null;null
"2019-10-01T08:03:40+02:00";null;2180.5222;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:46+02:00";null;null;null;null;null;null;null;null;null;2080.4739;null
"2019-10-01T08:03:50+02:00";null;null;null;null;null;null;2164.0066;null;null;null;null
"2019-10-01T08:03:52+02:00";null;null;null;null;null;null;null;2121.2119;null;null;null
"2019-10-01T08:03:58+02:00";null;null;null;null;2039.5732;null;null;null;null;null;null
"2019-10-01T08:03:59+02:00";4749.314;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:04:07+02:00";null;null;2087.501;null;null;null;null;null;null;null;null
"2019-10-01T08:04:13+02:00";null;null;null;null;null;null;null;null;null;null;2444.1987
"2019-10-01T08:04:19+02:00";null;null;null;null;null;null;null;null;2547.5122;null;null
"2019-10-01T08:04:30+02:00";null;null;null;null;null;2510.9292;null;null;null;null;null
"2019-10-01T08:04:31+02:00";null;null;null;2568.5098;null;null;null;null;null;null;null
"2019-10-01T08:04:40+02:00";null;2044.0697;null;null;null;null;null;null;null;null;null
"2019-10-01T08:04:46+02:00";null;null;null;null;null;null;null;null;null;2037.8755;null
"2019-10-01T08:04:50+02:00";null;null;null;null;null;null;2147.8147;null;null;null;null
"2019-10-01T08:04:52+02:00";null;null;null;null;null;null;null;2133.4214;null;null;null
"2019-10-01T08:04:58+02:00";null;null;null;null;1994.0576;null;null;null;null;null;null
"2019-10-01T08:04:59+02:00";4729.4155;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:07+02:00";null;null;2113.3142;null;null;null;null;null;null;null;null
"2019-10-01T08:05:13+02:00";null;null;null;null;null;null;null;null;null;null;2576.457
"2019-10-01T08:05:19+02:00";null;null;null;null;null;null;null;null;2614.6794;null;null
"2019-10-01T08:05:30+02:00";null;null;null;null;null;2575.8899;null;null;null;null;null
"2019-10-01T08:05:31+02:00";null;null;null;2552.5054;null;null;null;null;null;null;null
"2019-10-01T08:05:40+02:00";null;1943.6589;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:46+02:00";null;null;null;null;null;null;null;null;null;2092.499;null
"2019-10-01T08:05:50+02:00";null;null;null;null;null;null;2166.9746;null;null;null;null
"2019-10-01T08:05:52+02:00";null;null;null;null;null;null;null;2205.6704;null;null;null
"2019-10-01T08:05:58+02:00";null;null;null;null;2127.8782;null;null;null;null;null;null
"2019-10-01T08:05:59+02:00";4658.6787;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:06:07+02:00";null;null;2103.6465;null;null;null;null;null;null;null;null
"2019-10-01T08:06:13+02:00";null;null;null;null;null;null;null;null;null;null;2577.1956
"2019-10-01T08:06:19+02:00";null;null;null;null;null;null;null;null;2568.1038;null;null
"2019-10-01T08:06:30+02:00";null;null;null;null;null;2507.8311;null;null;null;null;null
"2019-10-01T08:06:31+02:00";null;null;null;2690.98;null;null;null;null;null;null;null
"2019-10-01T08:06:40+02:00";null;2011.6902;null;null;null;null;null;null;null;null;null
"2019-10-01T08:06:46+02:00";null;null;null;null;null;null;null;null;null;2063.7571;null
"2019-10-01T08:06:50+02:00";null;null;null;null;null;null;2137.3154;null;null;null;null
"2019-10-01T08:06:52+02:00";null;null;null;null;null;null;null;2069.1584;null;null;null
"2019-10-01T08:06:58+02:00";null;null;null;null;2089.5181;null;null;null;null;null;null
"2019-10-01T08:06:59+02:00";4697.0371;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:07+02:00";null;null;2204.8594;null;null;null;null;null;null;null;null
"2019-10-01T08:07:13+02:00";null;null;null;null;null;null;null;null;null;null;2547.4143
"2019-10-01T08:07:19+02:00";null;null;null;null;null;null;null;null;2549.2561;null;null
"2019-10-01T08:07:30+02:00";null;null;null;null;null;2571.4727;null;null;null;null;null
"2019-10-01T08:07:31+02:00";null;null;null;2619.115;null;null;null;null;null;null;null
"2019-10-01T08:07:40+02:00";null;2041.0801;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:46+02:00";null;null;null;null;null;null;null;null;null;2125.6567;null
"2019-10-01T08:07:50+02:00";null;null;null;null;null;null;2165.4326;null;null;null;null
"2019-10-01T08:07:52+02:00";null;null;null;null;null;null;null;2091.3794;null;null;null
"2019-10-01T08:07:58+02:00";null;null;null;null;2057.6858;null;null;null;null;null;null
"2019-10-01T08:07:59+02:00";4743.1445;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:08:07+02:00";null;null;2138.1958;null;null;null;null;null;null;null;null
"2019-10-01T08:08:13+02:00";null;null;null;null;null;null;null;null;null;null;2496.811
"2019-10-01T08:08:19+02:00";null;null;null;null;null;null;null;null;2566.7402;null;null
"2019-10-01T08:08:30+02:00";null;null;null;null;null;2463.1543;null;null;null;null;null
"2019-10-01T08:08:31+02:00";null;null;null;2364.1169;null;null;null;null;null;null;null
"2019-10-01T08:08:40+02:00";null;2109.9431;null;null;null;null;null;null;null;null;null
"2019-10-01T08:08:46+02:00";null;null;null;null;null;null;null;null;null;2020.7063;null
"2019-10-01T08:08:50+02:00";null;null;null;null;null;null;2179.4087;null;null;null;null
"2019-10-01T08:08:52+02:00";null;null;null;null;null;null;null;2186.0491;null;null;null
"2019-10-01T08:08:58+02:00";null;null;null;null;2064.9854;null;null;null;null;null;null
"2019-10-01T08:08:59+02:00";4718.5195;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:09:07+02:00";null;null;2105.7009;null;null;null;null;null;null;null;null
"2019-10-01T08:09:13+02:00";null;null;null;null;null;null;null;null;null;null;2518.6809
"2019-10-01T08:09:19+02:00";null;null;null;null;null;null;null;null;2582.071;null;null
"2019-10-01T08:09:30+02:00";null;null;null;null;null;2646.9648;null;null;null;null;null
"2019-10-01T08:09:31+02:00";null;null;null;2457.7258;null;null;null;null;null;null;null
"2019-10-01T08:09:40+02:00";null;2076.2522;null;null;null;null;null;null;null;null;null
"2019-10-01T08:09:46+02:00";null;null;null;null;null;null;null;null;null;2020.3475;null
"2019-10-01T08:09:50+02:00";null;null;null;null;null;null;2170.3921;null;null;null;null
"2019-10-01T08:09:52+02:00";null;null;null;null;null;null;null;2190.9858;null;null;null
"2019-10-01T08:09:58+02:00";null;null;null;null;2136.0217;null;null;null;null;null;null
"2019-10-01T08:09:59+02:00";4831.7119;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:10:07+02:00";null;null;2084.9434;null;null;null;null;null;null;null;null
"2019-10-01T08:10:13+02:00";null;null;null;null;null;null;null;null;null;null;2497.6416
"2019-10-01T08:10:19+02:00";null;null;null;null;null;null;null;null;2567.062;null;null
"2019-10-01T08:10:30+02:00";null;null;null;null;null;2458.2739;null;null;null;null;null
"2019-10-01T08:10:31+02:00";null;null;null;2584.1726;null;null;null;null;null;null;null
"2019-10-01T08:10:40+02:00";null;2165.3215;null;null;null;null;null;null;null;null;null
"2019-10-01T08:10:46+02:00";null;null;null;null;null;null;null;null;null;2062.5293;null
"2019-10-01T08:10:50+02:00";null;null;null;null;null;null;2150.4063;null;null;null;null
"2019-10-01T08:10:52+02:00";null;null;null;null;null;null;null;2171.3865;null;null;null
"2019-10-01T08:10:58+02:00";null;null;null;null;2160.6667;null;null;null;null;null;null
"2019-10-01T08:10:59+02:00";4686.105;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:11:07+02:00";null;null;2122.3511;null;null;null;null;null;null;null;null
"2019-10-01T08:11:13+02:00";null;null;null;null;null;null;null;null;null;null;2508.4626
"2019-10-01T08:11:19+02:00";null;null;null;null;null;null;null;null;2540.4429;null;null
"2019-10-01T08:11:30+02:00";null;null;null;null;null;2644.3279;null;null;null;null;null
"2019-10-01T08:11:31+02:00";null;null;null;2509.4023;null;null;null;null;null;null;null
"2019-10-01T08:11:40+02:00";null;2066.9255;null;null;null;null;null;null;null;null;null
"2019-10-01T08:11:46+02:00";null;null;null;null;null;null;null;null;null;2088.4561;null
"2019-10-01T08:11:50+02:00";null;null;null;null;null;null;2146.3271;null;null;null;null
"2019-10-01T08:11:58+02:00";null;null;null;null;2054.4434;null;null;null;null;null;null
"2019-10-01T08:11:59+02:00";4655.2578;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:12:07+02:00";null;null;2095.146;null;null;null;null;null;null;null;null
"2019-10-01T08:12:13+02:00";null;null;null;null;null;null;null;null;null;null;2577.1536
"2019-10-01T08:12:19+02:00";null;null;null;null;null;null;null;null;2580.5527;null;null
"2019-10-01T08:12:30+02:00";null;null;null;null;null;2525.9248;null;null;null;null;null
