"Time";"power_p02r05c01srv01";"power_p02r05c01srv02";"power_p02r05c01srv03";"power_p02r05c02srv01";"power_p02r05c02srv02";"power_p02r05c02srv03";"power_p02r05c03srv01";"power_p02r05c03srv02";"power_p02r05c03srv03";"power_p02r05c04srv01";"power_p02r05c04srv02";"power_p02r05c04srv03";"power_p02r05c05srv01";"power_p02r05c05srv02";"power_p02r05c05srv03";"power_p02r05c06srv01";"power_p02r05c06srv02";"power_p02r05c06srv03";"power_p02r05c07srv01";"power_p02r05c07srv02";"power_p02r05c07srv03";"power_p02r05c08srv01";"power_p02r05c08srv02";"power_p02r05c08srv03";"power_p02r05c09srv01";"power_p02r05c09srv02";"power_p02r05c09srv03";"power_p02r05c10srv01";"power_p02r05c10srv02";"power_p02r05c10srv03"
"2019-10-01T08:00:51+02:00";null;null;null;null;null;null;null;null;42;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:00:52+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:00:53+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;45;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:00:54+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;63;null;null;null;null;null
"2019-10-01T08:00:55+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;42;null;null;null
"2019-10-01T08:00:55+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null
"2019-10-01T08:00:56+02:00";null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:00:56+02:00";null;null;null;42;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:00:58+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null;null
"2019-10-01T08:00:58+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null
"2019-10-01T08:00:59+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;45;null;null;null;null;null;null;null;null
"2019-10-01T08:01:00+02:00";60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:00+02:00";null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:01+02:00";null;null;null;null;null;null;null;null;null;null;null;null;69;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:01+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:01+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:01+02:00";null;null;null;null;null;null;null;42;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:02+02:00";null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:03+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null
"2019-10-01T08:01:03+02:00";null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:03+02:00";null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:07+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:09+02:00";null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:10+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:12+02:00";null;null;39;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:13+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:14+02:00";null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:15+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:15+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;39;null;null;null;null;null;null
"2019-10-01T08:01:24+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;60
