"Time";"Thermal power (out)";"Electrical power (in)";"Electrical IT power"
"2019-10-02T09:00:03+02:00";27900;null;null
"2019-10-02T09:00:10+02:00";null;null;27558
"2019-10-02T09:00:29+02:00";null;29273;null
"2019-10-02T09:00:33+02:00";27900;null;null
"2019-10-02T09:00:40+02:00";null;null;27446
"2019-10-02T09:00:59+02:00";null;30266;null
"2019-10-02T09:01:03+02:00";28200.001;null;null
"2019-10-02T09:01:10+02:00";null;null;27328
"2019-10-02T09:01:29+02:00";null;29758;null
"2019-10-02T09:01:33+02:00";28000;null;null
"2019-10-02T09:01:40+02:00";null;null;27194
"2019-10-02T09:01:59+02:00";null;29961;null
"2019-10-02T09:02:03+02:00";27800.001;null;null
"2019-10-02T09:02:10+02:00";null;null;27045
"2019-10-02T09:02:29+02:00";null;30570;null
"2019-10-02T09:02:33+02:00";28000;null;null
"2019-10-02T09:02:40+02:00";null;null;27254
"2019-10-02T09:02:59+02:00";null;29527;null
"2019-10-02T09:03:03+02:00";28200.001;null;null
"2019-10-02T09:03:10+02:00";null;null;27781
"2019-10-02T09:03:29+02:00";null;30451;null
"2019-10-02T09:03:33+02:00";28000;null;null
"2019-10-02T09:03:40+02:00";null;null;27776
"2019-10-02T09:03:59+02:00";null;30482;null
"2019-10-02T09:04:03+02:00";28000;null;null
"2019-10-02T09:04:10+02:00";null;null;27627
"2019-10-02T09:04:29+02:00";null;30396;null
"2019-10-02T09:04:33+02:00";28200.001;null;null
"2019-10-02T09:04:40+02:00";null;null;27869
"2019-10-02T09:04:59+02:00";null;30277;null
"2019-10-02T09:05:03+02:00";28300.001;null;null
"2019-10-02T09:05:10+02:00";null;null;27699
"2019-10-02T09:05:29+02:00";null;29921;null
"2019-10-02T09:05:33+02:00";27900;null;null
"2019-10-02T09:05:40+02:00";null;null;27267
"2019-10-02T09:05:59+02:00";null;30456;null
"2019-10-02T09:06:03+02:00";27900;null;null
"2019-10-02T09:06:10+02:00";null;null;27420
"2019-10-02T09:06:29+02:00";null;30458;null
"2019-10-02T09:06:33+02:00";28000;null;null
"2019-10-02T09:06:40+02:00";null;null;27521
"2019-10-02T09:06:59+02:00";null;30477;null
"2019-10-02T09:07:03+02:00";28200.001;null;null
"2019-10-02T09:07:10+02:00";null;null;27458
"2019-10-02T09:07:29+02:00";null;30348;null
"2019-10-02T09:07:33+02:00";28200.001;null;null
"2019-10-02T09:07:40+02:00";null;null;27566
"2019-10-02T09:07:59+02:00";null;29817;null
"2019-10-02T09:08:03+02:00";27900;null;null
"2019-10-02T09:08:10+02:00";null;null;27507
"2019-10-02T09:08:29+02:00";null;30757;null
"2019-10-02T09:08:33+02:00";27700.001;null;null
"2019-10-02T09:08:40+02:00";null;null;27313
"2019-10-02T09:08:59+02:00";null;30076;null
"2019-10-02T09:09:03+02:00";28000;null;null
"2019-10-02T09:09:10+02:00";null;null;27417
"2019-10-02T09:09:29+02:00";null;28892;null
"2019-10-02T09:09:33+02:00";28100;null;null
"2019-10-02T09:09:40+02:00";null;null;27188
"2019-10-02T09:09:59+02:00";null;31068;null
"2019-10-02T09:10:03+02:00";28000;null;null
"2019-10-02T09:10:10+02:00";null;null;26968
"2019-10-02T09:10:29+02:00";null;30200;null
"2019-10-02T09:10:33+02:00";28000;null;null
"2019-10-02T09:10:40+02:00";null;null;27269
"2019-10-02T09:10:59+02:00";null;31032;null
"2019-10-02T09:11:03+02:00";28000;null;null
"2019-10-02T09:11:10+02:00";null;null;27532
"2019-10-02T09:11:29+02:00";null;29859;null
"2019-10-02T09:11:33+02:00";28200.001;null;null
"2019-10-02T09:11:40+02:00";null;null;27712
"2019-10-02T09:11:59+02:00";null;29957;null
"2019-10-02T09:12:03+02:00";27800.001;null;null
"2019-10-02T09:12:10+02:00";null;null;27698
"2019-10-02T09:12:29+02:00";null;29275;null
"2019-10-02T09:12:33+02:00";27800.001;null;null
"2019-10-02T09:12:40+02:00";null;null;27680
"2019-10-02T09:12:59+02:00";null;30069;null
"2019-10-02T09:13:03+02:00";28100;null;null
"2019-10-02T09:13:10+02:00";null;null;27683
"2019-10-02T09:13:29+02:00";null;28988;null
"2019-10-02T09:13:33+02:00";27700.001;null;null
"2019-10-02T09:13:40+02:00";null;null;27269
"2019-10-02T09:13:59+02:00";null;30110;null
"2019-10-02T09:14:03+02:00";27700.001;null;null
"2019-10-02T09:14:10+02:00";null;null;27070
"2019-10-02T09:14:29+02:00";null;29945;null
"2019-10-02T09:14:33+02:00";28100;null;null
"2019-10-02T09:14:40+02:00";null;null;27604
"2019-10-02T09:14:59+02:00";null;30095;null
"2019-10-02T09:15:03+02:00";27800.001;null;null
"2019-10-02T09:15:10+02:00";null;null;27856
"2019-10-02T09:15:29+02:00";null;31130;null
"2019-10-02T09:15:33+02:00";27800.001;null;null
"2019-10-02T09:15:40+02:00";null;null;27775
"2019-10-02T09:15:59+02:00";null;29016;null
"2019-10-02T09:16:03+02:00";27800.001;null;null
"2019-10-02T09:16:10+02:00";null;null;27676
"2019-10-02T09:16:29+02:00";null;29156;null
"2019-10-02T09:16:33+02:00";28000;null;null
"2019-10-02T09:16:40+02:00";null;null;27499
"2019-10-02T09:16:59+02:00";null;30608;null
"2019-10-02T09:17:03+02:00";27800.001;null;null
"2019-10-02T09:17:10+02:00";null;null;27463
"2019-10-02T09:17:29+02:00";null;29474;null
"2019-10-02T09:17:33+02:00";27900;null;null
"2019-10-02T09:17:40+02:00";null;null;27328
"2019-10-02T09:17:59+02:00";null;30191;null
"2019-10-02T09:18:03+02:00";28100;null;null
"2019-10-02T09:18:10+02:00";null;null;27516
"2019-10-02T09:18:29+02:00";null;28970;null
"2019-10-02T09:18:33+02:00";28100;null;null
"2019-10-02T09:18:40+02:00";null;null;28094
"2019-10-02T09:18:59+02:00";null;31035;null
"2019-10-02T09:19:03+02:00";27900;null;null
"2019-10-02T09:19:10+02:00";null;null;27873
"2019-10-02T09:19:29+02:00";null;31195;null
"2019-10-02T09:19:33+02:00";27800.001;null;null
"2019-10-02T09:19:40+02:00";null;null;27448
"2019-10-02T09:19:59+02:00";null;31085;null
"2019-10-02T09:20:03+02:00";27800.001;null;null
"2019-10-02T09:20:10+02:00";null;null;27458
"2019-10-02T09:20:29+02:00";null;29443;null
"2019-10-02T09:20:33+02:00";27900;null;null
"2019-10-02T09:20:40+02:00";null;null;27362
"2019-10-02T09:20:59+02:00";null;31360;null
"2019-10-02T09:21:03+02:00";27700.001;null;null
"2019-10-02T09:21:10+02:00";null;null;27440
"2019-10-02T09:21:29+02:00";null;30377;null
"2019-10-02T09:21:33+02:00";27700.001;null;null
"2019-10-02T09:21:40+02:00";null;null;27527
"2019-10-02T09:21:59+02:00";null;30506;null
"2019-10-02T09:22:03+02:00";27700.001;null;null
"2019-10-02T09:22:10+02:00";null;null;27445
"2019-10-02T09:22:29+02:00";null;30810;null
"2019-10-02T09:22:33+02:00";27800.001;null;null
"2019-10-02T09:22:40+02:00";null;null;27741
"2019-10-02T09:22:59+02:00";null;29718;null
"2019-10-02T09:23:03+02:00";27900;null;null
"2019-10-02T09:23:10+02:00";null;null;27616
"2019-10-02T09:23:29+02:00";null;29367;null
"2019-10-02T09:23:33+02:00";28200.001;null;null
"2019-10-02T09:23:40+02:00";null;null;27292
"2019-10-02T09:23:59+02:00";null;29998;null
"2019-10-02T09:24:03+02:00";28200.001;null;null
"2019-10-02T09:24:10+02:00";null;null;27168
"2019-10-02T09:24:29+02:00";null;30528;null
"2019-10-02T09:24:33+02:00";27800.001;null;null
"2019-10-02T09:24:40+02:00";null;null;27276
"2019-10-02T09:24:59+02:00";null;31359;null
"2019-10-02T09:25:03+02:00";27900;null;null
"2019-10-02T09:25:10+02:00";null;null;27701
"2019-10-02T09:25:29+02:00";null;30754;null
"2019-10-02T09:25:33+02:00";27900;null;null
"2019-10-02T09:25:40+02:00";null;null;27647
"2019-10-02T09:25:59+02:00";null;30110;null
"2019-10-02T09:26:03+02:00";27800.001;null;null
"2019-10-02T09:26:10+02:00";null;null;27374
"2019-10-02T09:26:29+02:00";null;29659;null
"2019-10-02T09:26:33+02:00";28000;null;null
"2019-10-02T09:26:40+02:00";null;null;27283
"2019-10-02T09:26:59+02:00";null;30325;null
"2019-10-02T09:27:03+02:00";28100;null;null
"2019-10-02T09:27:10+02:00";null;null;27683
"2019-10-02T09:27:29+02:00";null;30036;null
"2019-10-02T09:27:33+02:00";27900;null;null
"2019-10-02T09:27:40+02:00";null;null;27550
"2019-10-02T09:27:59+02:00";null;31174;null
"2019-10-02T09:28:03+02:00";28300.001;null;null
"2019-10-02T09:28:10+02:00";null;null;27180
"2019-10-02T09:28:29+02:00";null;29913;null
"2019-10-02T09:28:33+02:00";28100;null;null
"2019-10-02T09:28:40+02:00";null;null;27444
"2019-10-02T09:28:59+02:00";null;30694;null
"2019-10-02T09:29:03+02:00";28000;null;null
"2019-10-02T09:29:10+02:00";null;null;27568
"2019-10-02T09:29:29+02:00";null;30526;null
"2019-10-02T09:29:33+02:00";28200.001;null;null
