"Time";"temperature_front_bottom";"temperature_front_middle";"temperature_front_top";"temperature_rear_bottom";"temperature_rear_middle";"temperature_rear_top"
"2019-10-02T09:00:09+02:00";null;18.4;24.06;null;null;null
"2019-10-02T09:00:09+02:00";20;null;null;null;null;null
"2019-10-02T09:00:15+02:00";null;null;null;24.94;null;28
"2019-10-02T09:00:15+02:00";null;null;null;null;24.41;null
"2019-10-02T09:00:39+02:00";null;18.41;24;null;null;null
"2019-10-02T09:00:39+02:00";20;null;null;null;null;null
"2019-10-02T09:00:44+02:00";null;null;null;25;24.43;null
"2019-10-02T09:00:44+02:00";null;null;null;null;null;28.06
"2019-10-02T09:01:09+02:00";20;18.4;null;null;null;null
"2019-10-02T09:01:09+02:00";null;null;24;null;null;null
"2019-10-02T09:01:15+02:00";null;null;null;25.06;24.4;null
"2019-10-02T09:01:15+02:00";null;null;null;null;null;28
"2019-10-02T09:01:39+02:00";20;null;24.06;null;null;null
"2019-10-02T09:01:39+02:00";null;18.38;null;null;null;null
"2019-10-02T09:01:44+02:00";null;null;null;null;24.4;null
"2019-10-02T09:01:44+02:00";null;null;null;25.13;null;28.06
"2019-10-02T09:02:09+02:00";null;18.38;24.06;null;null;null
"2019-10-02T09:02:09+02:00";20;null;null;null;null;null
"2019-10-02T09:02:15+02:00";null;null;null;null;24.4;28
"2019-10-02T09:02:15+02:00";null;null;null;25.13;null;null
"2019-10-02T09:02:39+02:00";null;18.41;null;null;null;null
"2019-10-02T09:02:39+02:00";20.06;null;24.06;null;null;null
"2019-10-02T09:02:44+02:00";null;null;null;null;24.4;28
"2019-10-02T09:02:44+02:00";null;null;null;25.06;null;null
"2019-10-02T09:03:09+02:00";20;18.4;null;null;null;null
"2019-10-02T09:03:09+02:00";null;null;24.06;null;null;null
"2019-10-02T09:03:15+02:00";null;null;null;25;null;28
"2019-10-02T09:03:15+02:00";null;null;null;null;24.41;null
"2019-10-02T09:03:39+02:00";20.06;18.42;null;null;null;null
"2019-10-02T09:03:39+02:00";null;null;24.06;null;null;null
"2019-10-02T09:03:44+02:00";null;null;null;null;null;28
"2019-10-02T09:03:44+02:00";null;null;null;24.94;24.43;null
"2019-10-02T09:04:09+02:00";null;null;24.06;null;null;null
"2019-10-02T09:04:09+02:00";20.06;18.41;null;null;null;null
"2019-10-02T09:04:14+02:00";null;null;null;null;null;28.06
"2019-10-02T09:04:15+02:00";null;null;null;24.88;24.45;null
