t,sim,exp
1,0.493,0.911
2,0.853,0.911
3,0.882,0.911
4,0.883,0.91
5,0.881,0.91
6,0.881,0.918
7,0.889,0.938
8,0.908,0.911
9,0.883,0.929
10,0.898,0.947
11,0.916,0.945
12,0.915,0.937
13,0.907,0.93
14,0.9,0.95
15,0.919,0.93
16,0.9,0.94
17,0.909,0.958
18,0.926,0.954
19,0.923,0.985
20,0.952,0.986
21,0.954,0.984
22,0.953,1
23,0.968,1.04
24,1,1.09
25,1.06,1.11
26,1.07,1.11
27,1.07,1.11
28,1.07,1.11
29,1.08,1.1
30,1.07,1.1
31,1.06,1.1
32,1.07,1.11
33,1.07,1.11
34,1.08,1.11
35,1.08,1.11
36,1.07,1.12
37,1.09,1.13
38,1.09,1.14
39,1.11,1.17
40,1.13,1.2
41,1.16,1.24
42,1.2,1.31
43,1.27,1.38
44,1.34,1.5
45,1.44,1.62
46,1.56,1.8
47,1.73,1.97
48,1.9,2.02
49,1.95,2.01
50,1.94,2.01
51,1.94,1.99
52,1.92,1.99
53,1.92,2
54,1.93,2.01
55,1.94,1.99
56,1.93,2
57,1.93,1.98
58,1.91,1.99
59,1.92,2
60,1.93,1.99
61,1.92,2.01
62,1.94,2.01
63,1.94,2.01
64,1.94,2.01
65,1.94,2.01
66,1.94,2.01
67,1.94,2.01
68,1.94,2.01
69,1.94,2.01
70,1.94,2.01
71,1.94,2.01
72,1.94,2.01
73,1.94,2.01
74,1.94,2.01
75,1.94,2.01
76,1.94,2.01
77,1.94,2.01
78,1.94,2.01
79,1.94,2.01
80,1.94,2.01
81,1.94,2.01
82,1.94,2.01
83,1.94,2.01
84,1.94,2.01
85,1.94,2.01
86,1.94,2.01
87,1.94,2.01
88,1.94,2.01
89,1.94,2.01
90,1.94,2.01
91,1.94,2.01
92,1.94,2.01
93,1.94,2.01
94,1.94,2.01
95,1.94,2.01
96,1.94,2.01
97,1.94,2.01
98,1.94,2.01
99,1.94,2.01
100,1.94,2.01
101,1.94,2.01
102,1.94,2.01
103,1.94,2.01
104,1.94,2.03
105,1.96,2
106,1.93,2.01
107,1.94,2
108,1.93,2
109,1.93,1.99
110,1.92,1.99
111,1.92,2.01
112,1.94,2
113,1.93,2
114,1.93,2.02
115,1.95,1.97
116,1.9,1.98
117,1.91,1.99
118,1.92,2
119,1.93,1.97
120,1.9,2
121,1.93,1.99
122,1.93,2.02
123,1.95,2
124,1.94,1.99
125,1.92,2
126,1.93,2.02
127,1.95,1.99
128,1.92,1.99
129,1.92,2.02
130,1.95,1.98
131,1.91,2
132,1.93,2
133,1.93,2.01
134,1.94,2.01
135,1.94,2.01
136,1.94,2
137,1.93,2.02
138,1.95,2.01
139,1.94,1.98
140,1.91,2.02
141,1.95,2.01
142,1.94,2.01
143,1.94,1.98
144,1.91,2.01
145,1.94,1.98
146,1.92,2.01
147,1.94,2
148,1.93,1.98
149,1.91,2.01
150,1.93,1.99
151,1.92,2.02
152,1.95,2.01
153,1.94,1.98
154,1.91,1.99
155,1.92,1.99
156,1.92,2.03
157,1.96,2
158,1.93,1.99
159,1.92,2
160,1.93,1.99
161,1.92,1.99
162,1.92,2
163,1.93,1.99
164,1.92,1.98
165,1.91,2
166,1.93,1.98
167,1.91,2
168,1.93,2.01
