t,sim,exp
1,18.5,19.1
2,18.2,19.1
3,18.9,19.1
4,18.9,19.2
5,19,19.2
6,19.1,19.4
7,19.2,19.5
8,19.3,19.6
9,19.4,19.7
10,19.5,19.8
11,19.6,19.9
12,19.7,19.9
13,19.7,19.9
14,19.7,19.9
15,19.7,19.9
16,19.7,20
17,19.7,20
18,19.7,20
19,19.7,20.1
20,19.8,20.2
21,19.9,20.2
22,19.9,20.2
23,19.9,20.3
24,20,20.4
25,20.2,20.6
26,20.3,20.7
27,20.4,20.7
28,20.4,20.8
29,20.5,20.8
30,20.5,20.8
31,20.5,20.8
32,20.5,20.8
33,20.5,20.9
34,20.6,20.9
35,20.6,20.9
36,20.6,21
37,20.7,21
38,20.7,21
39,20.7,21.1
40,20.8,21.2
41,20.9,21.3
42,21,21.4
43,21,21.6
44,21.2,21.8
45,21.3,21.9
46,21.5,22.2
47,21.7,22.5
48,22,22.7
49,22.2,22.8
50,22.3,22.8
51,22.3,22.8
52,22.3,22.8
53,22.3,22.9
54,22.4,23
55,22.5,23
56,22.5,23.1
57,22.6,23.1
58,22.5,23.1
59,22.5,23.1
60,22.5,23
61,22.5,23.1
62,22.6,23.1
63,22.6,23.1
64,22.6,23.1
65,22.6,23.1
66,22.6,23.1
67,22.6,23.1
68,22.6,23.1
69,22.6,23.1
70,22.6,23.1
71,22.6,23.1
72,22.6,23.1
73,22.6,23.1
74,22.6,23.1
75,22.6,23.1
76,22.6,23.1
77,22.6,23.1
78,22.6,23.1
79,22.6,23.1
80,22.6,23.1
81,22.6,23.1
82,22.6,23.1
83,22.6,23.1
84,22.6,23.1
85,22.6,23.1
86,22.6,23.1
87,22.6,23.1
88,22.6,23.1
89,22.6,23.1
90,22.6,23.1
91,22.6,23.1
92,22.6,23.1
93,22.6,23.1
94,22.6,23.1
95,22.6,23.1
96,22.6,23.1
97,22.6,23.1
98,22.6,23.1
99,22.6,23.1
100,22.6,23.1
101,22.6,23.1
102,22.6,23.1
103,22.6,23.1
104,22.6,23.1
105,22.6,23.1
106,22.6,23.2
107,22.7,23.2
108,22.7,23.2
109,22.7,23.2
110,22.7,23.2
111,22.7,23.2
112,22.7,23.1
113,22.6,23.1
114,22.6,23.1
115,22.6,23
116,22.5,23
117,22.5,23
118,22.5,23
119,22.5,23
120,22.5,23.1
121,22.5,23.1
122,22.6,23.2
123,22.7,23.2
124,22.7,23.2
125,22.7,23.2
126,22.7,23.2
127,22.7,23.1
