t,sim,exp
1,0.566,0.802
2,0.799,0.802
3,0.826,0.802
4,0.824,0.802
5,0.825,0.809
6,0.83,0.802
7,0.823,0.794
8,0.813,0.812
9,0.831,0.836
10,0.857,0.844
11,0.866,0.84
12,0.862,0.838
13,0.856,0.83
14,0.85,0.836
15,0.856,0.832
16,0.853,0.847
17,0.87,0.843
18,0.863,0.828
19,0.849,0.85
20,0.866,0.856
21,0.874,0.834
22,0.855,0.813
23,0.836,0.818
24,0.839,0.823
25,0.846,0.832
26,0.854,0.836
27,0.854,0.825
28,0.845,0.836
29,0.857,0.836
30,0.857,0.832
31,0.854,0.836
32,0.858,0.825
33,0.847,0.823
34,0.846,0.842
35,0.864,0.855
36,0.875,0.838
37,0.859,0.853
38,0.874,0.843
39,0.867,0.836
40,0.856,0.839
41,0.863,0.841
42,0.862,0.814
43,0.836,0.804
44,0.828,0.812
45,0.836,0.842
46,0.864,0.85
47,0.873,0.847
48,0.871,0.826
49,0.852,0.811
50,0.838,0.797
51,0.824,0.796
52,0.825,0.813
53,0.835,0.82
54,0.848,0.83
55,0.855,0.826
56,0.853,0.819
57,0.844,0.829
58,0.856,0.834
59,0.86,0.855
60,0.881,0.858
61,0.883,0.848
62,0.874,0.848
63,0.872,0.848
64,0.873,0.848
65,0.873,0.848
66,0.87,0.848
67,0.874,0.848
68,0.872,0.848
69,0.873,0.848
70,0.872,0.848
71,0.873,0.848
72,0.874,0.848
73,0.876,0.848
74,0.872,0.848
75,0.875,0.848
76,0.873,0.848
77,0.873,0.848
78,0.874,0.848
79,0.874,0.848
80,0.877,0.848
81,0.874,0.848
82,0.876,0.848
83,0.874,0.848
84,0.872,0.848
85,0.872,0.848
86,0.874,0.848
87,0.874,0.848
88,0.873,0.848
89,0.873,0.848
90,0.871,0.848
91,0.874,0.848
92,0.874,0.848
93,0.873,0.848
94,0.871,0.848
95,0.872,0.848
96,0.873,0.848
97,0.874,0.848
98,0.873,0.848
99,0.873,0.848
100,0.875,0.848
101,0.873,0.848
102,0.876,0.848
103,0.87,0.848
104,0.871,0.848
105,0.875,0.833
106,0.858,0.83
107,0.855,0.848
108,0.87,0.845
109,0.87,0.843
110,0.868,0.836
111,0.862,0.816
112,0.845,0.803
113,0.83,0.81
114,0.836,0.82
115,0.847,0.831
116,0.856,0.809
117,0.836,0.822
118,0.848,0.814
119,0.841,0.81
120,0.837,0.83
121,0.856,0.83
122,0.855,0.806
123,0.832,0.803
124,0.831,0.813
125,0.839,0.806
126,0.833,0.806
127,0.831,0.813
128,0.84,0.828
129,0.854,0.821
130,0.848,0.821
131,0.85,0.833
132,0.859,0.826
133,0.855,0.838
134,0.863,0.824
135,0.854,0.838
136,0.862,0.833
137,0.858,0.833
138,0.86,0.815
139,0.839,0.828
140,0.852,0.83
141,0.856,0.81
142,0.834,0.827
143,0.851,0.827
144,0.852,0.81
145,0.84,0.804
146,0.83,0.807
147,0.832,0.815
148,0.84,0.822
149,0.847,0.825
150,0.85,0.833
151,0.86,0.82
152,0.847,0.82
153,0.846,0.806
154,0.834,0.818
155,0.842,0.825
156,0.85,0.83
157,0.855,0.82
158,0.845,0.823
159,0.848,0.836
160,0.863,0.83
161,0.858,0.832
162,0.857,0.814
163,0.842,0.804
164,0.833,0.804
165,0.828,0.801
166,0.828,0.817
167,0.845,0.808
168,0.836,0.803
169,0.83,0.813
170,0.843,0.833
171,0.857,0.84
172,0.862,0.816
173,0.846,0.816
174,0.843,0.815
175,0.841,0.826
176,0.852,0.831
177,0.857,0.83
178,0.855,0.822
179,0.848,0.812
180,0.839,0.827
181,0.855,0.804
182,0.831,0.804
183,0.829,0.804
184,0.83,0.814
185,0.842,0.826
186,0.854,0.823
187,0.849,0.823
188,0.851,0.82
189,0.846,0.835
190,0.864,0.835
191,0.861,0.838
192,0.863,0.831
193,0.858,0.818
194,0.847,0.826
195,0.853,0.815
196,0.843,0.822
197,0.848,0.832
198,0.855,0.806
199,0.833,0.801
200,0.83,0.817
201,0.843,0.811
202,0.838,0.804
203,0.833,0.818
204,0.844,0.83
205,0.856,0.816
206,0.847,0.816
207,0.84,0.815
208,0.843,0.84
209,0.865,0.825
210,0.85,0.826
211,0.852,0.806
212,0.831,0.8
213,0.828,0.81
214,0.837,0.804
215,0.833,0.832
216,0.856,0.832
217,0.859,0.815
218,0.842,0.814
219,0.842,0.817
220,0.843,0.814
221,0.841,0.806
222,0.834,0.809
223,0.836,0.827
224,0.854,0.833
225,0.858,0.83
226,0.856,0.82
227,0.846,0.828
228,0.857,0.828
229,0.855,0.821
230,0.846,0.821
231,0.849,0.816
232,0.844,0.81
233,0.836,0.831
234,0.855,0.818
235,0.847,0.818
236,0.844,0.818
237,0.846,0.822
238,0.848,0.807
239,0.834,0.823
240,0.848,0.82
241,0.848,0.817
242,0.84,0.82
243,0.845,0.817
244,0.843,0.823
245,0.848,0.803
246,0.831,0.817
247,0.844,0.84
248,0.866,0.85
249,0.878,0.847
250,0.874,0.844
251,0.87,0.834
252,0.864,0.833
253,0.862,0.833
254,0.863,0.825
255,0.854,0.84
256,0.867,0.845
257,0.869,0.837
258,0.863,0.815
259,0.844,0.81
260,0.838,0.813
261,0.841,0.81
262,0.835,0.829
263,0.858,0.834
264,0.857,0.832
265,0.857,0.821
266,0.849,0.818
267,0.847,0.822
268,0.847,0.822
269,0.85,0.823
270,0.851,0.836
271,0.862,0.842
272,0.868,0.835
273,0.861,0.844
274,0.872,0.844
275,0.87,0.824
276,0.852,0.818
277,0.847,0.858
278,0.882,0.85
279,0.873,0.834
280,0.858,0.837
281,0.863,0.847
282,0.873,0.855
283,0.883,0.879
