t,sim,exp
1,17.9,28
2,28.4,28.3
3,33.4,28.8
4,34,29.1
5,34,29.4
6,34,29.6
7,34.1,29.8
8,34.2,30
9,34.2,30.2
10,34.2,30.4
11,34.2,30.5
12,34.2,30.6
13,34.3,30.7
14,34.3,30.9
15,34.3,30.9
16,34.2,31.1
17,34.2,31.1
18,34.3,31.2
19,34.2,31.2
20,34.3,31.3
21,34.2,31.3
22,34.3,31.3
23,34.3,31.3
24,34.3,31.2
25,34.1,31.3
26,34.2,31.3
27,34.2,31.3
28,34.2,31.4
29,34.2,31.4
30,34.2,31.4
31,34.2,31.4
32,34.1,31.5
33,34.2,31.4
34,34.3,31.5
35,34.2,31.5
36,34.2,31.5
37,34.3,31.5
38,34.3,31.5
39,34.3,31.5
40,34.3,31.5
41,34.3,31.5
42,34.2,31.4
43,34.4,31.5
44,34.3,31.6
45,34.2,31.7
46,34.2,31.7
47,34.1,31.7
48,34.1,31.7
49,34.1,31.6
50,34.4,31.6
51,34.4,31.7
52,34.4,31.7
53,34.3,31.8
54,34.2,31.8
55,34.3,31.8
56,34.4,31.8
57,34.5,31.8
58,34.5,31.9
59,34.4,31.8
60,34.3,31.9
61,34.4,31.9
62,34.4,31.9
63,34.3,31.9
64,34.4,31.9
65,34.4,31.9
66,34.3,31.9
67,34.4,31.9
68,34.5,31.9
69,34.4,31.9
70,34.4,31.9
71,34.4,31.9
72,34.4,31.9
73,34.5,31.9
74,34.4,31.9
75,34.4,31.9
76,34.4,31.9
77,34.5,31.9
78,34.4,31.9
79,34.3,31.9
80,34.4,31.9
81,34.4,31.9
82,34.4,31.9
83,34.5,31.9
84,34.4,31.9
85,34.5,31.9
86,34.4,31.9
87,34.4,31.9
88,34.4,31.9
89,34.4,31.9
90,34.4,31.9
91,34.6,31.9
92,34.5,31.9
93,34.4,31.9
94,34.5,31.9
95,34.4,31.9
96,34.4,31.9
97,34.4,31.9
98,34.3,31.9
99,34.4,31.9
100,34.4,31.9
101,34.3,31.9
102,34.4,31.9
103,34.4,31.9
104,34.4,31.9
105,34.4,31.8
106,34.4,32
107,34.5,32
108,34.5,32
109,34.5,31.9
110,34.5,31.9
111,34.5,31.9
112,34.5,31.9
113,34.6,32
114,34.6,31.9
115,34.4,31.9
116,34.4,32
117,34.4,31.9
118,34.4,31.9
119,34.3,31.9
120,34.4,32
121,34.4,31.9
122,34.5,31.9
123,34.6,31.9
124,34.6,31.9
125,34.6,32
126,34.5,31.9
127,34.7,32
128,34.6,32
129,34.4,32
130,34.5,32
131,34.4,32
132,34.4,32
133,34.5,32
134,34.5,32
135,34.4,32
136,34.6,32
137,34.5,32
138,34.4,32
139,34.5,32
140,34.5,32
141,34.5,32
142,34.5,32
143,34.4,32
144,34.3,32
145,34.3,32
146,34.5,32
147,34.6,32
148,34.5,32
149,34.5,32
150,34.5,31.9
151,34.4,32
152,34.5,32
153,34.7,31.9
154,34.7,32.1
155,34.6,32.1
156,34.5,32
157,34.5,32
158,34.6,32.1
159,34.5,32.1
160,34.5,32.1
161,34.4,32.1
162,34.4,32
163,34.5,32
164,34.5,32
165,34.5,32
166,34.6,32
167,34.6,31.9
168,34.6,32
169,34.6,32
170,34.6,32
171,34.6,32
172,34.5,32
173,34.6,32
174,34.6,32
175,34.6,32
176,34.4,32.1
177,34.4,32.1
178,34.4,32.1
179,34.4,32.1
180,34.4,32
181,34.4,32.1
182,34.5,32.1
183,34.5,32
184,34.6,32
185,34.5,32
186,34.5,32
187,34.6,32
188,34.6,32
189,34.6,32.1
190,34.5,32.1
191,34.5,32.1
192,34.4,32.1
193,34.5,32.1
194,34.5,32
195,34.5,32.1
196,34.5,32.1
197,34.4,32.1
198,34.3,32.1
199,34.4,32.1
200,34.5,32.1
201,34.4,32
202,34.5,32.1
203,34.5,32.1
204,34.5,32
