t,sim,exp
1,0.077,1.02
2,0.83,1.03
3,0.833,1.03
4,0.84,1.04
5,0.828,1.04
6,0.835,1.04
7,0.832,1.04
8,0.829,1.04
9,0.842,1.05
10,0.834,1.05
11,0.824,1.04
12,0.827,1.04
13,0.824,1.04
14,0.834,1.04
15,0.827,1.04
16,0.84,1.04
17,0.836,1.04
18,0.828,1.04
19,0.828,1.04
20,0.832,1.04
21,0.824,1.04
22,0.826,1.04
23,0.823,1.04
24,0.833,1.04
25,0.815,1.04
26,0.816,1.05
27,0.826,1.04
28,0.815,1.04
29,0.812,1.04
30,0.817,1.04
31,0.809,1.04
32,0.823,1.04
33,0.824,1.04
34,0.816,1.04
35,0.815,1.04
36,0.819,1.04
37,0.814,1.04
38,0.818,1.04
39,0.817,1.04
40,0.825,1.04
41,0.815,1.04
42,0.832,1.04
43,0.833,1.04
44,0.862,1.04
45,0.919,1.04
46,0.979,1.04
47,1.07,1.03
48,1.14,1.03
49,1.16,1.03
50,1.16,1.03
51,1.15,1.03
52,1.15,1.03
53,1.15,1.03
54,1.16,1.03
55,1.16,1.03
56,1.15,1.03
57,1.15,1.03
58,1.15,1.03
59,1.15,1.03
60,1.16,1.03
61,1.15,1.03
62,1.16,1.03
63,1.16,1.03
64,1.15,1.03
65,1.16,1.03
66,1.15,1.03
67,1.16,1.03
68,1.16,1.03
69,1.16,1.03
70,1.16,1.03
71,1.16,1.03
72,1.16,1.03
73,1.16,1.03
74,1.16,1.03
75,1.16,1.03
76,1.16,1.03
77,1.16,1.03
78,1.16,1.03
79,1.16,1.03
80,1.16,1.03
81,1.16,1.03
82,1.16,1.03
83,1.16,1.03
84,1.16,1.03
85,1.16,1.03
86,1.16,1.03
87,1.16,1.03
88,1.16,1.03
89,1.16,1.03
90,1.16,1.03
91,1.15,1.03
92,1.16,1.03
93,1.16,1.03
94,1.15,1.03
95,1.15,1.03
96,1.15,1.03
97,1.16,1.03
98,1.16,1.03
99,1.16,1.03
100,1.16,1.03
101,1.16,1.03
102,1.16,1.03
103,1.16,1.03
104,1.16,1.03
105,1.16,1.03
106,1.15,1.03
107,1.16,1.03
108,1.15,1.04
109,1.16,1.03
110,1.15,1.03
111,1.15,1.03
112,1.16,1.03
113,1.15,1.03
114,1.16,1.03
115,1.16,1.03
116,1.14,1.03
117,1.15,1.03
118,1.15,1.03
119,1.15,1.03
120,1.14,1.03
121,1.16,1.03
122,1.15,1.03
123,1.16,1.03
124,1.16,1.03
125,1.15,1.03
126,1.15,1.03
127,1.16,1.03
128,1.15,1.03
129,1.15,1.03
130,1.16,1.03
131,1.15,1.03
132,1.16,1.03
133,1.16,1.03
134,1.15,1.03
135,1.15,1.03
136,1.16,1.03
137,1.15,1.03
138,1.16,1.03
139,1.16,1.03
140,1.15,1.03
141,1.16,1.03
142,1.16,1.03
143,1.16,1.03
144,1.15,1.03
145,1.16,1.03
146,1.14,1.03
147,1.16,1.03
148,1.15,1.03
149,1.15,1.03
150,1.16,1.03
151,1.14,1.03
152,1.16,1.04
153,1.16,1.04
154,1.15,1.04
155,1.15,1.03
156,1.15,1.03
157,1.16,1.03
158,1.15,1.03
159,1.15,1.03
160,1.15,1.03
161,1.15,1.03
162,1.15,1.03
163,1.15,1.03
164,1.15,1.03
165,1.15,1.03
166,1.15,1.03
167,1.14,1.03
168,1.15,1.03
169,1.16,1.03
170,1.16,1.03
171,1.16,1.03
172,1.16,1.03
173,1.15,1.03
174,1.15,1.03
175,1.16,1.03
176,1.15,1.03
177,1.15,1.03
178,1.15,1.03
179,1.14,1.03
180,1.15,1.03
181,1.15,1.03
182,1.14,1.03
183,1.15,1.03
184,1.16,1.03
185,1.15,1.03
186,1.16,1.03
187,1.15,1.03
188,1.15,1.04
189,1.15,1.03
190,1.14,1.03
191,1.14,1.03
192,1.15,1.03
193,1.15,1.03
194,1.16,1.03
195,1.16,1.03
196,1.15,1.03
197,1.15,1.03
198,1.14,1.03
199,1.14,1.03
200,1.16,1.03
201,1.16,1.03
202,1.15,1.03
203,1.15,1.03
204,1.15,1.03
205,1.15,1.03
206,1.15,1.04
207,1.15,1.04
208,1.14,1.03
209,1.15,1.03
210,1.14,1.03
211,1.15,1.04
212,1.16,1.03
213,1.16,1.04
214,1.15,1.03
215,1.14,1.04
216,1.14,1.04
217,1.16,1.04
218,1.14,1.04
219,1.13,1.04
220,1.16,1.03
221,1.15,1.03
222,1.15,1.04
223,1.16,1.03
224,1.16,1.03
225,1.16,1.04
226,1.15,1.04
227,1.16,1.04
228,1.16,1.04
229,1.15,1.03
230,1.16,1.04
231,1.16,1.04
232,1.17,1.03
233,1.15,1.04
234,1.16,1.04
235,1.16,1.04
236,1.16,1.04
237,1.16,1.03
238,1.14,1.03
239,1.14,1.03
240,1.15,1.03
241,1.14,1.03
242,1.15,1.04
243,1.14,1.04
244,1.16,1.04
245,1.16,1.04
246,1.16,1.04
247,1.16,1.04
248,1.15,1.04
249,1.15,1.03
250,1.15,1.03
251,1.14,1.04
252,1.14,1.04
253,1.15,1.04
254,1.15,1.03
255,1.16,1.03
256,1.14,1.03
257,1.15,1.03
258,1.15,1.03
259,1.15,1.03
260,1.16,1.03
261,1.16,1.03
262,1.15,1.03
263,1.15,1.03
264,1.16,1.04
265,1.16,1.04
266,1.16,1.04
267,1.15,1.04
268,1.16,1.04
269,1.16,1.04
270,1.15,1.04
271,1.15,1.04
272,1.15,1.04
273,1.15,1.03
274,1.14,1.04
275,1.16,1.03
276,1.14,1.03
277,1.15,1.04
278,1.14,1.03
279,1.16,1.03
280,1.15,1.03
281,1.15,1.03
282,1.15,1.03
283,1.16,1.03
284,1.15,1.03
285,1.16,1.03
286,1.16,1.03
287,1.15,1.03
288,1.15,1.03
289,1.14,1.03
290,1.15,1.03
291,1.15,1.03
292,1.16,1.03
293,1.15,1.03
294,1.13,1.03
295,1.14,1.03
296,1.14,1.04
297,1.15,1.04
298,1.14,1.04
299,1.13,1.03
300,1.13,1.04
301,1.15,1.04
302,1.14,1.04
303,1.15,1.04
304,1.15,1.04
305,1.14,1.04
306,1.15,1.04
307,1.15,1.04
308,1.15,1.04
309,1.14,1.04
310,1.13,1.04
311,1.14,1.04
312,1.14,1.04
313,1.13,1.04
314,1.14,1.04
315,1.14,1.04
316,1.13,1.04
317,1.14,1.04
318,1.15,1.04
319,1.15,1.04
320,1.15,1.04
321,1.14,1.04
322,1.14,1.04
323,1.15,1.03
324,1.15,1.03
325,1.15,1.04
326,1.15,1.03
327,1.13,1.04
328,1.15,1.04
329,1.14,1.04
330,1.15,1.04
331,1.13,1.04
332,1.14,1.04
333,1.14,1.04
334,1.14,1.04
335,1.14,1.04
336,1.15,1.04
337,1.14,1.04
338,1.14,1.04
339,1.14,1.04
