t,sim,exp
1,0.0952,1.02
2,0.997,1.03
3,1.04,1.03
4,1.04,1.04
5,1.04,1.04
6,1.04,1.04
7,1.05,1.04
8,1.05,1.04
9,1.05,1.05
10,1.05,1.05
11,1.05,1.04
12,1.05,1.04
13,1.05,1.04
14,1.05,1.04
15,1.05,1.04
16,1.05,1.04
17,1.05,1.04
18,1.05,1.04
19,1.05,1.04
20,1.05,1.04
21,1.05,1.04
22,1.05,1.04
23,1.05,1.04
24,1.05,1.04
25,1.05,1.04
26,1.05,1.05
27,1.05,1.04
28,1.05,1.04
29,1.05,1.04
30,1.05,1.04
31,1.05,1.04
32,1.05,1.04
33,1.05,1.04
34,1.05,1.04
35,1.05,1.04
36,1.05,1.04
37,1.05,1.04
38,1.05,1.04
39,1.05,1.04
40,1.05,1.04
41,1.05,1.04
42,1.05,1.04
43,1.04,1.04
44,1.04,1.04
45,1.04,1.04
46,1.04,1.04
47,1.04,1.03
48,1.03,1.03
49,1.03,1.03
50,1.03,1.03
51,1.03,1.03
52,1.03,1.03
53,1.03,1.03
54,1.03,1.03
55,1.03,1.03
56,1.03,1.03
57,1.03,1.03
58,1.03,1.03
59,1.03,1.03
60,1.03,1.03
61,1.03,1.03
62,1.03,1.03
63,1.03,1.03
64,1.03,1.03
65,1.03,1.03
66,1.03,1.03
67,1.03,1.03
68,1.03,1.03
69,1.03,1.03
70,1.03,1.03
71,1.03,1.03
72,1.03,1.03
73,1.03,1.03
74,1.03,1.03
75,1.03,1.03
76,1.03,1.03
77,1.03,1.03
78,1.03,1.03
79,1.03,1.03
80,1.03,1.03
81,1.03,1.03
82,1.03,1.03
83,1.03,1.03
84,1.03,1.03
85,1.03,1.03
86,1.03,1.03
87,1.03,1.03
88,1.03,1.03
89,1.03,1.03
90,1.03,1.03
91,1.03,1.03
92,1.03,1.03
93,1.03,1.03
94,1.03,1.03
95,1.03,1.03
96,1.03,1.03
97,1.03,1.03
98,1.03,1.03
99,1.03,1.03
100,1.03,1.03
101,1.03,1.03
102,1.03,1.03
103,1.03,1.03
104,1.03,1.03
105,1.03,1.03
106,1.03,1.03
107,1.03,1.03
108,1.03,1.04
109,1.03,1.03
110,1.03,1.03
111,1.03,1.03
112,1.03,1.03
113,1.03,1.03
114,1.03,1.03
115,1.03,1.03
116,1.03,1.03
117,1.03,1.03
118,1.03,1.03
119,1.03,1.03
120,1.03,1.03
121,1.03,1.03
122,1.03,1.03
123,1.03,1.03
124,1.03,1.03
125,1.03,1.03
126,1.03,1.03
127,1.03,1.03
128,1.03,1.03
129,1.03,1.03
130,1.03,1.03
131,1.03,1.03
132,1.03,1.03
133,1.03,1.03
134,1.03,1.03
135,1.03,1.03
136,1.03,1.03
137,1.03,1.03
138,1.03,1.03
139,1.03,1.03
140,1.03,1.03
141,1.03,1.03
142,1.03,1.03
143,1.03,1.03
144,1.03,1.03
145,1.03,1.03
146,1.03,1.03
147,1.03,1.03
148,1.03,1.03
149,1.03,1.03
150,1.03,1.03
151,1.03,1.03
152,1.03,1.04
153,1.03,1.04
154,1.03,1.04
155,1.03,1.03
156,1.03,1.03
157,1.03,1.03
158,1.03,1.03
159,1.03,1.03
160,1.03,1.03
161,1.03,1.03
162,1.03,1.03
163,1.03,1.03
164,1.03,1.03
165,1.03,1.03
166,1.03,1.03
167,1.03,1.03
168,1.03,1.03
169,1.03,1.03
170,1.03,1.03
171,1.03,1.03
172,1.03,1.03
173,1.03,1.03
174,1.03,1.03
175,1.03,1.03
176,1.03,1.03
177,1.03,1.03
178,1.03,1.03
179,1.03,1.03
180,1.03,1.03
181,1.03,1.03
182,1.03,1.03
183,1.03,1.03
184,1.03,1.03
185,1.03,1.03
186,1.03,1.03
187,1.03,1.03
188,1.03,1.04
189,1.03,1.03
190,1.03,1.03
191,1.03,1.03
192,1.03,1.03
193,1.03,1.03
194,1.03,1.03
195,1.03,1.03
196,1.03,1.03
197,1.03,1.03
198,1.03,1.03
199,1.03,1.03
200,1.03,1.03
201,1.03,1.03
202,1.03,1.03
203,1.03,1.03
204,1.03,1.03
205,1.03,1.03
206,1.03,1.04
207,1.03,1.04
208,1.03,1.03
209,1.03,1.03
210,1.03,1.03
211,1.03,1.04
212,1.03,1.03
213,1.03,1.04
214,1.03,1.03
215,1.03,1.04
216,1.03,1.04
217,1.03,1.04
218,1.03,1.04
219,1.03,1.04
220,1.03,1.03
221,1.03,1.03
222,1.03,1.04
223,1.03,1.03
224,1.03,1.03
225,1.03,1.04
226,1.03,1.04
227,1.03,1.04
228,1.03,1.04
229,1.03,1.03
230,1.03,1.04
231,1.03,1.04
232,1.03,1.03
233,1.03,1.04
234,1.03,1.04
235,1.03,1.04
236,1.03,1.04
237,1.03,1.03
238,1.03,1.03
239,1.03,1.03
240,1.03,1.03
241,1.03,1.03
242,1.03,1.04
243,1.03,1.04
244,1.03,1.04
245,1.03,1.04
246,1.03,1.04
247,1.03,1.04
248,1.03,1.04
249,1.03,1.03
250,1.03,1.03
251,1.03,1.04
252,1.03,1.04
253,1.03,1.04
254,1.04,1.03
255,1.03,1.03
256,1.03,1.03
257,1.03,1.03
258,1.03,1.03
259,1.03,1.03
260,1.03,1.03
261,1.03,1.03
262,1.03,1.03
263,1.03,1.03
264,1.03,1.04
265,1.03,1.04
266,1.03,1.04
267,1.03,1.04
268,1.03,1.04
269,1.03,1.04
270,1.04,1.04
271,1.03,1.04
272,1.03,1.04
273,1.03,1.03
274,1.03,1.04
275,1.03,1.03
276,1.03,1.03
277,1.03,1.04
278,1.03,1.03
279,1.03,1.03
280,1.03,1.03
281,1.03,1.03
282,1.03,1.03
283,1.03,1.03
284,1.03,1.03
285,1.03,1.03
286,1.03,1.03
287,1.03,1.03
288,1.03,1.03
289,1.03,1.03
290,1.03,1.03
291,1.03,1.03
292,1.03,1.03
293,1.03,1.03
294,1.03,1.03
295,1.03,1.03
296,1.03,1.04
297,1.03,1.04
298,1.03,1.04
299,1.03,1.03
300,1.03,1.04
301,1.03,1.04
