t,sim,exp
1,18,22
2,18.2,22
3,19.2,22
4,19.3,22
5,19.4,22.1
6,19.4,22.2
7,19.5,22.2
8,19.6,22.3
9,19.7,22.3
10,19.9,22.4
11,19.9,22.5
12,20,22.6
13,20,22.6
14,20,22.6
15,20,22.7
16,20.1,22.7
17,20.1,22.7
18,20.1,22.8
19,20.1,22.8
20,20.1,22.8
21,20.1,22.8
22,20.2,22.9
23,20.1,23
24,20.2,23
25,20.2,23
26,20.2,23
27,20.3,23
28,20.2,23
29,20.3,23
30,20.3,23
31,20.3,23
32,20.3,23
33,20.3,23
34,20.3,23
35,20.3,23
36,20.4,23
37,20.4,23
38,20.4,22.9
39,20.4,22.9
40,20.4,22.9
41,20.5,22.8
42,20.5,22.7
43,20.6,22.6
44,20.6,22.5
45,20.8,22.4
46,20.9,22.4
47,21.1,22.4
48,21.3,22.4
49,21.5,22.5
50,21.6,22.5
51,21.5,22.6
52,21.5,22.6
53,21.6,22.6
54,21.6,22.6
55,21.7,22.7
56,21.7,22.7
57,21.8,22.8
58,21.8,22.8
59,21.8,22.8
60,21.8,22.8
61,21.8,22.8
62,21.9,22.8
63,21.9,22.8
64,21.8,22.8
65,21.8,22.8
66,21.8,22.8
67,21.9,22.8
68,21.9,22.7
69,21.9,22.7
70,21.9,22.7
71,21.8,22.7
72,21.9,22.7
73,21.9,22.7
74,21.9,22.7
75,21.9,22.8
76,21.9,22.8
77,21.9,22.8
78,21.9,22.8
79,21.9,22.9
80,21.9,22.9
81,21.8,22.9
82,21.9,22.8
83,21.9,22.9
84,21.8,22.9
85,21.9,22.9
86,21.9,22.9
87,21.8,22.9
88,21.9,22.8
89,21.9,22.8
90,21.8,22.8
91,21.8,22.8
92,21.9,22.8
93,21.8,22.8
94,21.9,22.8
95,21.9,22.8
96,21.8,22.9
97,21.9,22.9
98,21.9,22.9
99,21.8,22.9
100,21.9,22.9
101,21.8,22.9
102,21.9,22.9
103,21.9,22.9
104,21.8,22.9
105,21.8,22.9
106,21.9,22.9
107,21.9,22.9
108,21.9,23
109,21.9,23
110,21.9,23
111,21.9,23
112,21.9,23
113,21.9,23
114,21.8,23
115,21.8,23
116,21.7,22.9
117,21.7,22.9
118,21.7,22.9
119,21.7,22.9
120,21.7,22.9
121,21.8,22.9
122,21.8,22.9
123,22,22.9
124,22,23
125,21.9,23
126,21.9,23
127,22,23
128,21.9,23
129,21.8,23
130,21.8,23
131,21.8,23
132,21.9,23
133,21.9,23
134,22,23
135,22,23
136,22,23
137,21.9,23
138,21.9,23
139,21.8,23
140,21.8,23
141,21.8,23
142,21.8,22.9
143,21.8,22.9
144,21.8,22.9
145,21.7,22.9
146,21.8,22.9
147,21.9,22.9
148,21.8,22.9
149,21.8,22.9
150,21.9,23
151,21.9,23
152,22,23
153,22,23
154,22,23
155,22,23
156,22,23
157,21.9,23
158,21.9,23
159,21.8,23
160,21.8,22.9
161,21.8,22.9
162,21.7,22.9
163,21.7,22.9
164,21.7,22.9
165,21.7,22.9
166,21.8,22.9
167,21.8,22.9
168,21.9,22.9
169,21.9,23
170,22,23
171,22,23
172,22,23
173,22,23
174,21.9,23
175,22,23
176,21.9,23
177,21.8,23
178,21.8,23
179,21.8,22.9
180,21.7,22.9
181,21.7,22.9
182,21.7,22.9
183,21.7,22.9
184,21.8,22.9
185,21.8,22.9
186,21.9,23
187,21.9,23
188,22.1,23
189,22.1,23
190,21.9,23
191,21.9,23.1
192,21.9,23
193,22,23
194,21.9,23
195,21.8,23
196,21.8,23
197,21.8,23
198,21.7,23
199,21.6,23
200,21.7,22.9
201,21.7,22.9
202,21.8,22.9
203,21.8,22.9
204,21.9,22.9
205,21.9,22.9
206,22,22.9
207,22,22.9
208,21.9,23.1
209,22,23.1
210,22.1,23.1
211,22.1,23
212,22,23.1
213,22,23.1
214,21.9,23
215,21.9,23
216,21.8,22.9
217,21.9,22.9
218,21.8,22.9
219,21.8,22.9
220,21.8,22.8
221,21.7,22.8
222,21.8,22.9
223,21.9,22.9
224,21.8,22.9
225,21.9,22.9
226,21.9,22.9
227,22.1,23
228,22.1,23
229,22,23
230,21.9,23
231,22,23
232,22,23
233,21.9,22.9
234,21.9,22.9
235,21.9,22.9
236,21.8,22.9
237,21.8,22.9
238,21.8,22.9
239,21.7,22.9
240,21.8,22.9
241,21.7,22.8
242,21.7,22.8
243,21.7,22.8
244,21.8,22.9
245,21.9,22.9
246,21.9,22.9
247,21.9,22.9
248,22,22.9
249,22,23.1
250,22,23.1
251,22,23.1
252,22,23.1
253,22,23.1
254,22,23.1
255,21.9,23.1
256,21.9,23.1
257,21.9,23
258,21.8,22.9
259,21.9,22.9
260,21.8,22.9
261,21.8,22.9
262,21.7,22.8
263,21.7,22.8
264,21.7,22.8
265,21.7,22.8
266,21.8,22.8
267,21.8,22.8
268,21.9,22.8
269,22,22.9
270,21.9,22.9
271,22,22.9
272,22,23
273,21.9,23
274,21.9,23
275,21.9,23
276,21.9,23
277,21.9,22.9
278,21.9,22.9
279,21.8,22.9
280,21.8,22.8
281,21.7,22.8
282,21.8,22.8
283,21.9,22.9
284,21.9,22.9
285,21.8,22.9
286,21.9,22.9
287,21.7,22.9
288,21.8,22.9
289,21.9,23
290,21.9,23
291,21.9,23
292,21.9,23
293,22,23
294,21.9,23
295,21.9,23
296,22,23
297,22.1,23
298,22.1,23
299,22.1,23
300,22.1,23
301,22,23
302,22,23
303,21.9,22.9
304,21.9,22.9
305,21.8,22.9
306,21.9,22.9
307,21.8,22.9
308,22,22.9
309,22,22.9
310,22,23.1
311,22.1,23.1
312,22.2,23.1
313,22.2,23.1
314,22.1,23.1
315,22.1,23.1
316,22.1,23.1
317,22.1,23.1
318,22,23
319,22,23
320,22,23
321,21.9,23
322,21.9,23
323,22,23
324,22,23
325,21.9,23
326,21.9,23
327,21.9,23
328,22.1,23
329,22.1,23
330,22.1,23.1
331,22.1,23.1
332,22.1,23.1
333,22,23.1
334,22.1,23.1
335,22.2,23.1
336,22,23.1
337,22,23.1
338,22,23
339,21.9,23
340,21.9,23
341,21.9,23
342,21.9,22.9
343,21.9,22.9
344,21.9,22.9
345,21.8,22.9
346,22,23
347,22,23
348,22.1,23.1
349,22.2,23.1
350,22.1,23.1
351,22,23.1
352,22,23.1
353,22.1,23.1
354,22,23.1
355,21.9,23.1
356,22,23
357,21.9,23
358,22,23
359,22,23.1
360,22,23.1
361,22,23.1
362,22.1,23.1
363,22,23.1
364,22.1,23.1
365,21.9,23.1
366,21.9,23
367,21.9,23
368,21.9,23
369,22,23
370,22,23
371,21.9,23
372,22,23
373,21.9,23
374,21.9,22.9
375,21.9,22.9
376,21.9,22.9
377,21.9,22.9
378,21.8,22.9
379,21.9,22.9
380,22,22.9
381,22.1,22.9
382,22,23
383,22,23
384,21.9,23
385,22,23
386,21.9,23
387,21.9,23
388,21.9,23
389,21.9,23
390,22,23
391,21.9,22.9
392,22,23
393,21.9,22.9
394,21.9,22.9
395,21.8,22.9
396,21.8,22.9
397,21.8,22.9
398,21.8,22.9
399,21.8,22.9
400,21.8,22.9
401,21.8,22.9
402,21.9,22.9
403,22,22.9
404,21.8,22.9
405,22,22.9
406,22,23
407,21.9,23
408,22,23
409,22,23
410,21.9,23
411,21.9,23
412,21.9,23
413,21.9,22.9
414,22,22.9
415,21.8,22.9
416,21.8,22.9
417,21.8,22.9
418,21.8,22.9
419,21.8,22.9
420,21.8,22.9
421,21.9,22.9
422,21.8,22.9
423,21.8,22.9
424,21.8,22.9
425,21.8,22.9
426,21.9,22.9
427,22,22.9
428,22,23
429,22,23
430,22,23
431,22,23
432,22,23
433,21.9,23
434,21.9,23
435,21.9,22.9
436,21.8,22.9
437,21.8,22.9
438,21.8,22.9
439,21.8,22.9
440,21.7,22.9
441,21.7,22.8
442,21.7,22.8
443,21.8,22.8
444,21.7,22.8
445,21.9,22.9
446,21.8,22.9
447,22,22.9
448,21.9,22.9
449,22,22.9
450,21.8,22.9
451,21.8,23
452,21.9,23
453,22,23
454,21.8,22.9
455,21.9,22.9
456,21.8,22.9
457,21.8,22.9
458,21.8,22.9
459,22,22.9
460,21.8,22.9
