t,sim,exp
1,0.0687,0.31
2,0.253,0.31
3,0.26,0.31
4,0.258,0.31
5,0.26,0.31
6,0.262,0.311
7,0.263,0.312
8,0.266,0.312
9,0.266,0.312
10,0.268,0.313
11,0.269,0.312
12,0.268,0.312
13,0.269,0.313
14,0.269,0.313
15,0.27,0.313
16,0.269,0.313
17,0.27,0.313
18,0.27,0.313
19,0.269,0.313
20,0.271,0.313
21,0.268,0.313
22,0.271,0.313
23,0.271,0.313
24,0.27,0.313
25,0.268,0.313
26,0.268,0.313
27,0.267,0.313
28,0.266,0.313
29,0.267,0.313
30,0.265,0.313
31,0.268,0.313
32,0.267,0.313
33,0.264,0.313
34,0.264,0.313
35,0.266,0.313
36,0.269,0.313
37,0.266,0.314
38,0.266,0.314
39,0.267,0.314
40,0.267,0.314
41,0.267,0.314
42,0.267,0.314
43,0.266,0.314
44,0.265,0.313
45,0.263,0.313
46,0.257,0.313
47,0.251,0.313
48,0.273,0.313
49,0.321,0.313
50,0.263,0.313
51,0.271,0.313
52,0.273,0.313
53,0.303,0.313
54,0.255,0.313
55,0.278,0.313
56,0.27,0.314
57,0.297,0.314
58,0.266,0.314
59,0.256,0.314
60,0.266,0.314
61,0.281,0.314
62,0.264,0.314
63,0.27,0.314
64,0.273,0.314
65,0.266,0.314
66,0.274,0.313
67,0.27,0.313
68,0.287,0.313
69,0.278,0.313
70,0.277,0.313
71,0.276,0.313
72,0.273,0.314
73,0.282,0.314
74,0.297,0.314
75,0.28,0.314
76,0.267,0.314
77,0.275,0.314
78,0.287,0.314
79,0.279,0.314
80,0.294,0.314
81,0.293,0.314
82,0.276,0.314
83,0.284,0.314
84,0.285,0.314
85,0.31,0.314
86,0.29,0.314
87,0.299,0.314
88,0.263,0.313
89,0.295,0.313
90,0.298,0.313
91,0.276,0.313
92,0.279,0.313
93,0.312,0.314
94,0.282,0.313
95,0.269,0.314
96,0.289,0.314
97,0.285,0.314
98,0.261,0.314
99,0.289,0.314
100,0.293,0.314
101,0.274,0.314
102,0.282,0.314
103,0.278,0.314
104,0.31,0.314
105,0.289,0.314
106,0.274,0.314
107,0.286,0.314
108,0.283,0.314
109,0.297,0.314
110,0.267,0.314
111,0.262,0.314
112,0.269,0.314
113,0.279,0.314
114,0.268,0.314
115,0.28,0.314
116,0.253,0.314
117,0.272,0.314
118,0.287,0.313
119,0.264,0.313
120,0.253,0.314
121,0.264,0.314
122,0.261,0.314
123,0.284,0.314
124,0.279,0.314
125,0.264,0.314
126,0.276,0.314
127,0.285,0.314
128,0.271,0.314
129,0.277,0.314
130,0.277,0.314
131,0.258,0.314
132,0.271,0.314
133,0.271,0.314
134,0.287,0.314
135,0.291,0.315
136,0.282,0.314
137,0.288,0.314
138,0.282,0.314
139,0.267,0.314
140,0.275,0.314
141,0.276,0.314
142,0.264,0.314
143,0.275,0.314
144,0.264,0.314
145,0.274,0.314
146,0.278,0.314
147,0.257,0.314
148,0.29,0.314
149,0.252,0.314
150,0.265,0.314
151,0.259,0.314
152,0.278,0.314
153,0.261,0.314
154,0.285,0.314
155,0.272,0.315
156,0.259,0.314
157,0.293,0.314
158,0.277,0.314
159,0.285,0.314
160,0.268,0.314
161,0.266,0.314
162,0.27,0.313
163,0.262,0.313
164,0.263,0.314
165,0.256,0.314
166,0.275,0.314
167,0.266,0.314
168,0.262,0.314
169,0.279,0.314
170,0.264,0.314
171,0.264,0.315
172,0.263,0.315
173,0.273,0.314
174,0.261,0.314
175,0.27,0.314
176,0.264,0.314
177,0.303,0.314
178,0.265,0.314
179,0.252,0.314
180,0.263,0.314
181,0.272,0.314
182,0.257,0.314
183,0.265,0.314
184,0.283,0.314
185,0.26,0.314
186,0.282,0.314
187,0.268,0.315
188,0.286,0.314
189,0.265,0.314
190,0.263,0.315
191,0.263,0.314
192,0.264,0.315
193,0.267,0.314
194,0.282,0.314
195,0.279,0.314
196,0.265,0.314
197,0.263,0.314
198,0.251,0.314
199,0.249,0.314
200,0.254,0.314
201,0.278,0.314
202,0.291,0.314
203,0.268,0.315
204,0.259,0.314
205,0.283,0.315
206,0.268,0.314
207,0.255,0.315
208,0.261,0.315
209,0.258,0.315
210,0.257,0.315
211,0.266,0.315
212,0.254,0.314
213,0.247,0.314
214,0.254,0.314
215,0.247,0.314
216,0.258,0.315
217,0.27,0.314
218,0.258,0.314
219,0.255,0.314
220,0.273,0.314
221,0.276,0.314
222,0.254,0.314
223,0.262,0.314
224,0.297,0.314
225,0.29,0.314
226,0.259,0.315
227,0.259,0.314
228,0.27,0.315
229,0.262,0.315
230,0.253,0.315
231,0.261,0.315
232,0.288,0.315
233,0.257,0.315
234,0.26,0.314
235,0.278,0.315
236,0.262,0.314
237,0.271,0.315
238,0.258,0.314
239,0.251,0.314
240,0.273,0.314
241,0.268,0.314
242,0.261,0.314
243,0.283,0.314
244,0.268,0.314
245,0.26,0.314
246,0.276,0.314
247,0.272,0.314
248,0.256,0.315
249,0.262,0.315
250,0.254,0.315
251,0.257,0.315
252,0.262,0.315
253,0.26,0.315
254,0.259,0.315
255,0.255,0.315
256,0.254,0.315
257,0.265,0.315
258,0.257,0.315
259,0.262,0.314
260,0.265,0.314
261,0.294,0.314
262,0.275,0.314
263,0.261,0.314
264,0.28,0.314
265,0.258,0.314
266,0.298,0.315
267,0.25,0.314
268,0.253,0.314
269,0.266,0.314
270,0.252,0.315
271,0.257,0.315
272,0.256,0.315
273,0.27,0.315
274,0.26,0.315
275,0.257,0.315
276,0.256,0.315
277,0.264,0.314
278,0.25,0.314
279,0.279,0.314
280,0.265,0.314
281,0.282,0.314
282,0.262,0.314
283,0.264,0.314
284,0.285,0.314
285,0.265,0.314
286,0.266,0.314
287,0.267,0.314
288,0.254,0.315
289,0.261,0.314
290,0.261,0.315
291,0.259,0.315
292,0.266,0.316
293,0.28,0.316
294,0.295,0.318
295,0.305,0.319
296,0.308,0.32
297,0.316,0.32
298,0.327,0.32
299,0.312,0.32
300,0.319,0.32
301,0.316,0.32
302,0.323,0.32
303,0.316,0.32
304,0.324,0.32
305,0.321,0.32
306,0.324,0.32
307,0.318,0.32
308,0.324,0.32
309,0.318,0.32
310,0.317,0.32
311,0.312,0.32
312,0.314,0.32
313,0.313,0.32
314,0.321,0.32
315,0.312,0.32
316,0.323,0.32
317,0.319,0.32
318,0.316,0.32
319,0.316,0.32
320,0.317,0.32
321,0.321,0.32
322,0.319,0.32
323,0.312,0.319
324,0.321,0.319
325,0.32,0.319
326,0.317,0.319
327,0.321,0.32
328,0.311,0.32
329,0.316,0.32
330,0.316,0.32
331,0.32,0.32
332,0.312,0.32
333,0.318,0.32
334,0.318,0.32
335,0.319,0.32
336,0.313,0.32
337,0.317,0.32
338,0.318,0.32
339,0.318,0.319
340,0.32,0.319
341,0.312,0.319
342,0.321,0.318
343,0.322,0.318
344,0.322,0.319
345,0.318,0.319
346,0.319,0.32
347,0.318,0.32
348,0.319,0.32
349,0.317,0.32
350,0.317,0.32
351,0.312,0.32
352,0.316,0.32
353,0.322,0.32
354,0.319,0.32
355,0.329,0.32
356,0.313,0.32
357,0.317,0.32
358,0.324,0.32
359,0.319,0.32
360,0.322,0.32
361,0.318,0.32
362,0.324,0.32
363,0.324,0.32
364,0.321,0.32
365,0.309,0.32
366,0.324,0.319
367,0.317,0.319
368,0.316,0.319
369,0.32,0.32
370,0.324,0.32
371,0.318,0.32
372,0.317,0.32
373,0.329,0.319
374,0.316,0.319
375,0.317,0.319
376,0.314,0.318
377,0.316,0.318
378,0.319,0.319
379,0.322,0.319
380,0.317,0.32
381,0.323,0.32
382,0.323,0.32
383,0.324,0.32
384,0.312,0.32
385,0.319,0.32
386,0.314,0.319
387,0.312,0.319
388,0.322,0.319
389,0.318,0.319
390,0.322,0.319
391,0.325,0.319
392,0.319,0.319
393,0.319,0.319
394,0.32,0.318
395,0.325,0.318
396,0.317,0.318
397,0.318,0.318
398,0.32,0.318
399,0.321,0.318
400,0.316,0.318
401,0.316,0.318
402,0.315,0.318
403,0.316,0.319
404,0.31,0.319
405,0.316,0.319
406,0.317,0.32
407,0.314,0.32
408,0.315,0.32
409,0.316,0.319
410,0.314,0.319
411,0.322,0.319
412,0.316,0.319
413,0.319,0.319
414,0.314,0.318
415,0.317,0.318
416,0.314,0.318
417,0.315,0.318
418,0.322,0.318
419,0.318,0.318
420,0.315,0.317
421,0.326,0.318
422,0.319,0.317
423,0.316,0.317
424,0.32,0.318
425,0.323,0.318
426,0.318,0.319
427,0.314,0.32
428,0.328,0.32
429,0.327,0.32
430,0.336,0.32
431,0.323,0.32
432,0.316,0.32
433,0.324,0.319
434,0.323,0.319
435,0.314,0.318
436,0.315,0.318
437,0.322,0.318
438,0.318,0.318
439,0.326,0.318
440,0.317,0.317
441,0.315,0.317
442,0.32,0.317
443,0.314,0.317
444,0.316,0.318
445,0.318,0.318
446,0.315,0.319
447,0.315,0.319
448,0.314,0.32
449,0.314,0.32
450,0.315,0.32
451,0.315,0.319
452,0.315,0.319
453,0.322,0.319
454,0.317,0.318
455,0.316,0.318
456,0.32,0.318
457,0.313,0.318
458,0.319,0.318
459,0.321,0.318
460,0.312,0.318
461,0.316,0.318
462,0.329,0.318
463,0.317,0.318
464,0.315,0.318
465,0.315,0.318
466,0.319,0.318
467,0.315,0.318
468,0.316,0.318
469,0.317,0.319
470,0.321,0.319
471,0.317,0.32
472,0.322,0.32
473,0.325,0.32
474,0.316,0.32
475,0.321,0.32
476,0.318,0.32
477,0.327,0.32
478,0.323,0.319
479,0.322,0.318
480,0.316,0.318
481,0.325,0.318
482,0.315,0.318
483,0.318,0.318
484,0.311,0.317
485,0.311,0.317
486,0.31,0.317
487,0.308,0.317
488,0.318,0.317
489,0.32,0.318
490,0.311,0.318
491,0.316,0.319
492,0.314,0.32
493,0.329,0.32
494,0.313,0.32
495,0.323,0.32
496,0.321,0.32
497,0.309,0.319
498,0.322,0.319
499,0.311,0.318
500,0.317,0.318
501,0.316,0.318
502,0.312,0.317
503,0.315,0.318
504,0.314,0.317
505,0.319,0.317
506,0.316,0.317
507,0.317,0.317
508,0.331,0.318
509,0.314,0.319
510,0.32,0.319
511,0.322,0.32
512,0.328,0.32
513,0.318,0.319
514,0.318,0.319
515,0.324,0.319
516,0.311,0.319
517,0.323,0.318
518,0.316,0.318
519,0.321,0.318
520,0.321,0.319
521,0.317,0.319
522,0.313,0.319
523,0.316,0.319
524,0.32,0.319
525,0.32,0.319
526,0.322,0.319
527,0.321,0.319
528,0.32,0.318
529,0.321,0.318
530,0.328,0.318
531,0.322,0.318
532,0.309,0.317
533,0.311,0.317
534,0.323,0.317
535,0.316,0.317
536,0.318,0.318
537,0.317,0.319
538,0.326,0.319
539,0.318,0.32
540,0.322,0.32
541,0.315,0.32
542,0.317,0.32
543,0.321,0.32
544,0.31,0.319
545,0.319,0.319
546,0.319,0.319
547,0.32,0.318
548,0.324,0.318
549,0.321,0.318
550,0.319,0.318
551,0.318,0.317
552,0.315,0.317
553,0.327,0.317
554,0.318,0.317
555,0.325,0.318
556,0.319,0.319
557,0.315,0.319
558,0.32,0.32
559,0.318,0.32
560,0.316,0.32
561,0.313,0.32
562,0.313,0.32
563,0.315,0.32
564,0.327,0.319
565,0.324,0.318
566,0.311,0.319
567,0.329,0.318
568,0.308,0.318
569,0.328,0.318
570,0.328,0.318
571,0.316,0.318
572,0.32,0.317
573,0.316,0.317
574,0.321,0.317
575,0.317,0.317
576,0.325,0.317
577,0.313,0.318
578,0.326,0.319
579,0.311,0.319
580,0.312,0.319
581,0.312,0.319
582,0.316,0.319
583,0.324,0.319
584,0.326,0.319
585,0.331,0.319
586,0.313,0.319
587,0.316,0.319
588,0.319,0.319
589,0.321,0.319
590,0.314,0.319
591,0.32,0.319
592,0.325,0.319
593,0.325,0.319
594,0.323,0.319
595,0.321,0.319
596,0.318,0.318
597,0.316,0.318
598,0.327,0.318
599,0.318,0.318
600,0.319,0.318
601,0.309,0.317
602,0.313,0.317
603,0.31,0.317
604,0.327,0.317
605,0.315,0.318
606,0.317,0.318
607,0.325,0.318
608,0.318,0.319
609,0.309,0.32
610,0.318,0.32
611,0.324,0.32
612,0.318,0.319
613,0.319,0.319
614,0.319,0.319
615,0.328,0.318
616,0.318,0.318
617,0.319,0.319
618,0.325,0.319
619,0.313,0.319
620,0.317,0.318
621,0.321,0.319
622,0.313,0.319
623,0.315,0.319
624,0.321,0.319
625,0.314,0.319
626,0.313,0.318
627,0.313,0.318
628,0.326,0.318
629,0.316,0.318
630,0.317,0.317
631,0.312,0.317
632,0.31,0.317
633,0.309,0.317
634,0.325,0.318
635,0.318,0.318
636,0.314,0.319
637,0.321,0.319
638,0.318,0.32
639,0.321,0.32
640,0.317,0.32
641,0.319,0.32
642,0.314,0.32
643,0.318,0.319
644,0.317,0.319
645,0.323,0.319
646,0.321,0.318
647,0.323,0.318
648,0.318,0.318
649,0.317,0.317
650,0.315,0.317
651,0.32,0.317
652,0.32,0.317
653,0.319,0.317
654,0.312,0.318
655,0.319,0.319
656,0.319,0.319
657,0.314,0.319
658,0.323,0.319
659,0.312,0.319
660,0.32,0.319
661,0.319,0.319
662,0.309,0.318
663,0.327,0.318
664,0.317,0.319
665,0.309,0.319
666,0.322,0.319
667,0.318,0.318
668,0.321,0.318
669,0.317,0.319
670,0.319,0.318
671,0.318,0.318
672,0.321,0.318
673,0.325,0.318
674,0.319,0.318
675,0.311,0.317
676,0.32,0.317
677,0.313,0.317
678,0.317,0.316
679,0.329,0.317
680,0.313,0.318
681,0.31,0.318
682,0.314,0.318
683,0.32,0.319
684,0.327,0.319
685,0.32,0.319
686,0.314,0.319
687,0.313,0.319
688,0.313,0.318
689,0.314,0.318
690,0.318,0.318
691,0.313,0.318
692,0.32,0.319
693,0.324,0.319
694,0.319,0.319
695,0.315,0.319
696,0.317,0.319
697,0.317,0.319
698,0.312,0.318
699,0.31,0.318
700,0.317,0.317
701,0.318,0.317
702,0.309,0.317
703,0.317,0.316
704,0.317,0.316
705,0.307,0.317
706,0.311,0.318
707,0.326,0.318
708,0.319,0.319
709,0.313,0.319
710,0.318,0.319
711,0.319,0.319
712,0.316,0.319
713,0.326,0.318
714,0.314,0.318
715,0.316,0.318
716,0.315,0.318
717,0.322,0.318
718,0.315,0.319
719,0.318,0.318
720,0.317,0.318
721,0.315,0.318
722,0.326,0.318
723,0.321,0.317
724,0.316,0.317
725,0.317,0.317
726,0.329,0.318
727,0.321,0.318
728,0.331,0.318
729,0.324,0.318
730,0.324,0.317
731,0.324,0.317
732,0.328,0.317
733,0.32,0.317
734,0.324,0.316
735,0.322,0.316
736,0.318,0.316
737,0.322,0.316
738,0.321,0.316
739,0.32,0.316
740,0.32,0.316
741,0.324,0.316
742,0.326,0.317
743,0.323,0.317
744,0.324,0.317
745,0.324,0.318
746,0.325,0.318
747,0.318,0.318
748,0.315,0.317
749,0.32,0.317
750,0.32,0.316
751,0.326,0.317
752,0.323,0.316
753,0.319,0.316
754,0.325,0.316
755,0.319,0.316
756,0.32,0.316
757,0.314,0.316
758,0.321,0.316
759,0.318,0.316
760,0.326,0.316
761,0.332,0.316
762,0.324,0.316
763,0.318,0.316
764,0.316,0.317
765,0.328,0.317
766,0.324,0.317
767,0.325,0.317
768,0.321,0.317
769,0.328,0.317
770,0.322,0.317
771,0.333,0.317
772,0.327,0.316
773,0.325,0.316
774,0.313,0.316
775,0.313,0.316
776,0.32,0.316
777,0.318,0.316
778,0.321,0.316
779,0.317,0.316
780,0.324,0.316
781,0.322,0.316
782,0.322,0.316
783,0.317,0.316
784,0.328,0.316
785,0.32,0.317
786,0.319,0.316
787,0.315,0.316
788,0.327,0.316
789,0.322,0.316
790,0.325,0.316
791,0.318,0.316
792,0.315,0.316
793,0.321,0.316
794,0.317,0.316
795,0.307,0.316
796,0.316,0.316
797,0.321,0.316
798,0.315,0.316
799,0.319,0.316
800,0.321,0.316
801,0.316,0.316
802,0.313,0.316
803,0.309,0.316
804,0.316,0.316
805,0.315,0.316
806,0.309,0.315
807,0.304,0.315
808,0.314,0.315
809,0.309,0.315
810,0.304,0.315
811,0.309,0.315
812,0.306,0.315
813,0.304,0.316
814,0.303,0.316
815,0.306,0.316
816,0.304,0.316
817,0.31,0.316
818,0.311,0.316
819,0.299,0.316
820,0.311,0.316
821,0.304,0.315
822,0.306,0.315
823,0.31,0.315
824,0.302,0.316
825,0.303,0.316
826,0.301,0.316
827,0.307,0.316
828,0.306,0.316
829,0.307,0.316
830,0.307,0.316
831,0.304,0.315
832,0.308,0.315
833,0.301,0.315
834,0.297,0.315
835,0.299,0.315
836,0.299,0.315
837,0.304,0.316
838,0.306,0.316
839,0.306,0.316
840,0.302,0.316
841,0.298,0.316
842,0.305,0.315
843,0.303,0.315
844,0.305,0.315
845,0.303,0.315
846,0.304,0.315
847,0.302,0.315
848,0.299,0.315
849,0.292,0.315
850,0.296,0.315
851,0.3,0.315
852,0.293,0.315
853,0.293,0.315
854,0.286,0.314
855,0.284,0.314
856,0.288,0.315
857,0.284,0.315
858,0.285,0.315
859,0.28,0.315
860,0.273,0.314
861,0.266,0.314
862,0.268,0.313
863,0.282,0.313
864,0.28,0.313
865,0.307,0.313
866,0.381,0.313
867,0.346,0.313
868,0.377,0.313
869,0.407,0.313
870,0.411,0.313
871,0.38,0.313
872,0.396,0.313
873,0.366,0.313
874,0.38,0.313
875,0.4,0.313
876,0.396,0.313
877,0.441,0.313
878,0.402,0.313
879,0.398,0.313
880,0.431,0.313
881,0.381,0.313
882,0.414,0.313
883,0.373,0.313
884,0.368,0.313
885,0.325,0.313
886,0.399,0.313
887,0.359,0.313
888,0.343,0.313
889,0.403,0.314
890,0.411,0.314
891,0.416,0.313
892,0.379,0.313
893,0.36,0.313
894,0.396,0.313
895,0.366,0.313
896,0.366,0.313
897,0.366,0.313
898,0.367,0.313
899,0.349,0.313
900,0.38,0.313
901,0.356,0.313
902,0.399,0.313
903,0.405,0.313
904,0.375,0.313
905,0.364,0.313
906,0.408,0.313
907,0.38,0.313
908,0.352,0.313
909,0.425,0.313
910,0.333,0.313
911,0.422,0.313
