t,sim,exp
1,0.103,0.31
2,0.258,0.31
3,0.263,0.31
4,0.292,0.31
5,0.295,0.31
6,0.297,0.311
7,0.276,0.312
8,0.319,0.312
9,0.299,0.312
10,0.287,0.313
11,0.333,0.312
12,0.287,0.312
13,0.288,0.313
14,0.294,0.313
15,0.304,0.313
16,0.309,0.313
17,0.321,0.313
18,0.319,0.313
19,0.326,0.313
20,0.327,0.313
21,0.279,0.313
22,0.3,0.313
23,0.309,0.313
24,0.327,0.313
25,0.281,0.313
26,0.289,0.313
27,0.304,0.313
28,0.302,0.313
29,0.309,0.313
30,0.313,0.313
31,0.311,0.313
32,0.302,0.313
33,0.27,0.313
34,0.304,0.313
35,0.311,0.313
36,0.297,0.313
37,0.309,0.314
38,0.29,0.314
39,0.318,0.314
40,0.3,0.314
41,0.298,0.314
42,0.294,0.314
43,0.291,0.314
44,0.292,0.313
45,0.255,0.313
46,0.274,0.313
47,0.251,0.313
48,0.236,0.313
49,0.229,0.313
50,0.228,0.313
51,0.231,0.313
52,0.233,0.313
53,0.234,0.313
54,0.226,0.313
55,0.232,0.313
56,0.236,0.314
57,0.235,0.314
58,0.233,0.314
59,0.23,0.314
60,0.228,0.314
61,0.227,0.314
62,0.227,0.314
63,0.228,0.314
64,0.233,0.314
65,0.242,0.314
66,0.22,0.313
67,0.232,0.313
68,0.251,0.313
69,0.227,0.313
70,0.231,0.313
71,0.226,0.313
72,0.24,0.314
73,0.223,0.314
74,0.23,0.314
75,0.226,0.314
76,0.238,0.314
77,0.238,0.314
78,0.238,0.314
79,0.248,0.314
80,0.238,0.314
81,0.221,0.314
82,0.224,0.314
83,0.229,0.314
84,0.23,0.314
85,0.235,0.314
86,0.238,0.314
87,0.223,0.314
88,0.222,0.313
89,0.227,0.313
90,0.223,0.313
91,0.226,0.313
92,0.243,0.313
93,0.221,0.314
94,0.228,0.313
95,0.223,0.314
96,0.236,0.314
97,0.235,0.314
98,0.247,0.314
99,0.236,0.314
100,0.224,0.314
101,0.227,0.314
102,0.225,0.314
103,0.232,0.314
104,0.236,0.314
105,0.233,0.314
106,0.228,0.314
107,0.234,0.314
108,0.236,0.314
109,0.227,0.314
110,0.232,0.314
111,0.233,0.314
112,0.24,0.314
113,0.237,0.314
114,0.228,0.314
115,0.222,0.314
116,0.239,0.314
117,0.234,0.314
118,0.231,0.313
119,0.233,0.313
120,0.218,0.314
121,0.241,0.314
122,0.232,0.314
123,0.24,0.314
124,0.233,0.314
125,0.242,0.314
126,0.222,0.314
127,0.244,0.314
128,0.225,0.314
129,0.233,0.314
130,0.221,0.314
131,0.226,0.314
132,0.227,0.314
133,0.226,0.314
134,0.246,0.314
135,0.23,0.315
136,0.223,0.314
137,0.216,0.314
138,0.224,0.314
139,0.245,0.314
140,0.229,0.314
141,0.233,0.314
142,0.222,0.314
143,0.23,0.314
144,0.218,0.314
145,0.233,0.314
146,0.222,0.314
147,0.219,0.314
148,0.217,0.314
149,0.243,0.314
150,0.231,0.314
151,0.239,0.314
152,0.222,0.314
153,0.242,0.314
154,0.228,0.314
155,0.228,0.315
156,0.23,0.314
157,0.223,0.314
158,0.237,0.314
159,0.226,0.314
160,0.226,0.314
161,0.228,0.314
162,0.238,0.313
163,0.225,0.313
164,0.23,0.314
165,0.222,0.314
166,0.22,0.314
167,0.234,0.314
168,0.232,0.314
169,0.235,0.314
170,0.217,0.314
171,0.232,0.315
172,0.229,0.315
173,0.236,0.314
174,0.232,0.314
175,0.234,0.314
176,0.242,0.314
177,0.244,0.314
178,0.231,0.314
179,0.246,0.314
180,0.226,0.314
181,0.244,0.314
182,0.236,0.314
183,0.225,0.314
184,0.214,0.314
185,0.215,0.314
186,0.219,0.314
187,0.24,0.315
188,0.232,0.314
189,0.225,0.314
190,0.216,0.315
191,0.214,0.314
192,0.224,0.315
193,0.227,0.314
194,0.237,0.314
195,0.235,0.314
196,0.234,0.314
197,0.235,0.314
198,0.228,0.314
199,0.232,0.314
200,0.237,0.314
201,0.223,0.314
202,0.223,0.314
203,0.234,0.315
204,0.231,0.314
205,0.234,0.315
206,0.235,0.314
207,0.234,0.315
208,0.217,0.315
209,0.24,0.315
210,0.225,0.315
211,0.228,0.315
212,0.224,0.314
213,0.23,0.314
214,0.236,0.314
215,0.238,0.314
216,0.23,0.315
217,0.226,0.314
218,0.23,0.314
219,0.229,0.314
220,0.24,0.314
221,0.223,0.314
222,0.224,0.314
223,0.227,0.314
224,0.226,0.314
225,0.244,0.314
226,0.237,0.315
227,0.246,0.314
228,0.229,0.315
229,0.241,0.315
230,0.233,0.315
231,0.243,0.315
232,0.228,0.315
233,0.243,0.315
234,0.228,0.314
235,0.235,0.315
236,0.222,0.314
237,0.232,0.315
238,0.222,0.314
239,0.232,0.314
240,0.229,0.314
241,0.236,0.314
242,0.238,0.314
243,0.239,0.314
244,0.247,0.314
245,0.22,0.314
246,0.228,0.314
247,0.234,0.314
248,0.229,0.315
249,0.229,0.315
250,0.243,0.315
251,0.239,0.315
252,0.229,0.315
253,0.241,0.315
254,0.229,0.315
255,0.229,0.315
256,0.234,0.315
257,0.229,0.315
258,0.233,0.315
259,0.242,0.314
260,0.23,0.314
261,0.235,0.314
262,0.22,0.314
263,0.235,0.314
264,0.228,0.314
265,0.227,0.314
266,0.241,0.315
267,0.24,0.314
268,0.229,0.314
269,0.245,0.314
270,0.239,0.315
271,0.233,0.315
272,0.228,0.315
273,0.226,0.315
274,0.227,0.315
275,0.241,0.315
276,0.235,0.315
277,0.229,0.314
278,0.228,0.314
279,0.234,0.314
280,0.232,0.314
281,0.24,0.314
282,0.233,0.314
283,0.241,0.314
284,0.228,0.314
285,0.225,0.314
286,0.231,0.314
287,0.225,0.314
288,0.225,0.315
289,0.226,0.314
290,0.237,0.315
291,0.242,0.315
292,0.257,0.316
293,0.289,0.316
294,0.339,0.318
295,0.406,0.319
296,0.444,0.32
297,0.477,0.32
298,0.498,0.32
299,0.5,0.32
300,0.489,0.32
301,0.487,0.32
302,0.489,0.32
303,0.482,0.32
304,0.476,0.32
305,0.478,0.32
306,0.499,0.32
307,0.489,0.32
308,0.484,0.32
309,0.478,0.32
310,0.491,0.32
311,0.482,0.32
312,0.492,0.32
313,0.492,0.32
314,0.482,0.32
315,0.502,0.32
316,0.487,0.32
317,0.49,0.32
318,0.488,0.32
319,0.485,0.32
320,0.475,0.32
321,0.491,0.32
322,0.484,0.32
323,0.494,0.319
324,0.48,0.319
325,0.476,0.319
326,0.49,0.319
327,0.494,0.32
328,0.484,0.32
329,0.493,0.32
330,0.487,0.32
331,0.49,0.32
