t,sim,exp
1,29.4,28.9
2,31.6,28.9
3,36.8,29
4,37.4,29.1
5,37.2,29.3
6,37.2,29.5
7,36.8,29.7
8,37,29.9
9,37.1,30.2
10,36.6,30.4
11,36.4,30.7
12,36.7,30.8
13,37.1,31.1
14,36.6,31.2
15,36.7,31.3
16,36.7,31.4
17,36.7,31.5
18,36.5,31.7
19,36.8,31.8
20,36.1,31.9
21,36.3,31.9
22,36.6,32.1
23,36.5,32.1
24,36.8,32.2
25,36.7,32.3
26,36.5,32.4
27,36.5,32.5
28,36.6,32.5
29,36.2,32.6
30,36.3,32.7
31,36.6,32.7
32,36.4,32.7
33,36.9,32.8
34,36.7,32.8
35,37,32.8
36,36.6,32.8
37,36.4,32.8
38,36.3,32.9
39,36.1,32.9
40,36.7,32.9
41,36.1,32.9
42,36.3,33
43,36.5,33
44,35.8,33
45,36.1,33
46,36.2,33.1
47,36.2,33.1
48,36.3,33.1
49,36,33.1
50,36.5,33.1
51,35.9,33.1
52,36.4,33
53,36.2,33.1
54,36.5,33.1
55,36.4,33.2
56,35.9,33.2
57,36.3,33.2
58,36.3,33.2
59,36,33.2
60,36.3,33.2
61,36.2,33.3
62,36,33.2
63,36.5,33.2
64,36.2,33.3
65,36.8,33.3
66,36.3,33.3
67,36.4,33.3
68,36.2,33.3
69,36.4,33.3
70,36.1,33.3
71,36.4,33.4
72,36.3,33.3
73,36,33.4
74,36.1,33.4
75,36.3,33.4
76,36.3,33.3
77,36.1,33.4
78,36,33.4
79,36.4,33.4
80,36.2,33.4
81,36.1,33.4
82,36.9,33.4
83,36.3,33.4
84,36.6,33.4
85,36,33.4
86,36.4,33.4
87,35.9,33.4
88,36.4,33.4
89,35.9,33.4
90,36.1,33.4
91,36.2,33.4
92,36.6,33.3
93,36.1,33.4
94,36.3,33.4
95,36.1,33.4
96,36,33.4
97,36,33.4
98,36.3,33.4
99,36.2,33.4
100,36.2,33.4
101,36.7,33.4
102,36.4,33.4
103,36.5,33.4
104,36.5,33.4
105,36.1,33.4
106,35.9,33.4
107,36.6,33.4
108,36.1,33.5
109,36.7,33.4
110,36.4,33.4
111,36.1,33.4
112,36.2,33.5
113,36.4,33.4
114,36.3,33.4
115,36.6,33.4
116,36.1,33.4
117,36,33.5
118,36.2,33.5
119,36.3,33.5
120,36.2,33.4
121,36,33.5
122,35.9,33.5
123,36.5,33.5
124,36.4,33.5
125,35.9,33.4
126,36.3,33.5
127,36.1,33.5
128,36.1,33.4
129,36,33.5
130,36.4,33.5
131,36.4,33.5
132,36.6,33.5
133,36.1,33.5
134,37,33.5
135,36.3,33.5
136,36.4,33.5
137,36.2,33.5
138,36.3,33.5
139,36.5,33.5
140,36.3,33.5
141,36.2,33.5
142,35.8,33.5
143,36.1,33.5
144,36.1,33.5
145,36,33.5
146,36.2,33.5
147,36.5,33.6
148,36.2,33.5
149,36.8,33.5
150,36.4,33.5
151,36.2,33.5
152,36.5,33.4
153,36.3,33.5
154,35.9,33.5
155,36.8,33.5
156,36.4,33.5
157,36.5,33.5
158,36.4,33.5
