t,sim,exp
1,24.1,28
2,29.5,28.1
3,31.6,28.3
4,32.2,28.6
5,32.3,28.9
6,32.1,29.2
7,32.3,29.5
8,32.8,29.7
9,32.8,29.9
10,32.5,30.1
11,32.4,30.3
12,32.4,30.4
13,32.1,30.5
14,33,30.6
15,32.4,30.8
16,32.5,30.8
17,31.8,30.9
18,32.7,31
19,32.5,31.1
20,32.3,31.1
21,32.4,31.2
22,32.4,31.2
23,32.6,31.2
24,32.8,31.3
25,32.3,31.3
26,32.4,31.4
27,32.4,31.4
28,32.4,31.4
29,32.4,31.4
30,32.3,31.4
31,32.4,31.5
32,32.2,31.5
33,32.5,31.5
34,32.8,31.5
35,32.2,31.6
36,32.6,31.6
37,32.5,31.6
38,32.2,31.6
39,32.5,31.6
40,32.5,31.7
41,32.4,31.7
42,32.2,31.7
43,32.7,31.7
44,32.3,31.7
45,32.4,31.7
46,32.4,31.7
47,32.3,31.7
48,31.8,31.7
49,31.9,31.8
50,32.6,31.8
51,32.7,31.7
52,32,31.7
53,32.6,31.7
54,32.3,31.7
55,32.3,31.7
56,32.3,31.7
57,32.6,31.7
58,32.3,31.7
59,32.4,31.7
60,31.9,31.7
61,32.4,31.7
62,31.9,31.8
63,32.3,31.8
64,32.1,31.8
65,32.1,31.8
66,32.5,31.8
67,32.1,31.8
68,32.1,31.8
69,32.3,31.8
70,32.1,31.8
71,32.2,31.8
72,32.5,31.8
73,32.2,31.8
74,32.6,31.7
75,32.5,31.8
76,32.2,31.7
77,32.4,31.7
78,32.1,31.7
79,31.9,31.7
80,31.9,31.7
81,32,31.8
82,31.8,31.8
83,32.3,31.8
84,32.6,31.8
85,32.3,31.8
86,32,31.8
87,32.2,31.8
88,31.8,31.8
89,32.3,31.8
90,32.5,31.8
91,32.1,31.7
92,32.1,31.7
93,32.5,31.7
94,32.3,31.7
95,32.4,31.7
96,32.1,31.7
97,32.2,31.7
98,32.3,31.7
99,32,31.7
100,32.1,31.7
101,32.3,31.8
102,32.3,31.7
103,32.4,31.8
104,32.3,31.7
105,32.4,31.7
106,32.2,31.7
107,32.6,31.8
108,32.2,31.7
109,32.5,31.8
110,32.3,31.8
111,32.1,31.8
112,32.2,31.8
113,32.8,31.8
114,32.5,31.8
115,32.5,31.8
116,32.4,31.8
117,32.6,31.8
118,32.4,31.8
119,32.5,31.8
120,32.6,31.8
121,32.3,31.8
122,32.3,31.8
123,32.7,31.7
124,32.7,31.7
125,32.7,31.7
126,32.8,31.7
127,32.9,31.8
128,32.5,31.8
129,32.4,31.8
130,32.7,31.8
131,32.5,31.7
132,32.4,31.8
133,32.2,31.8
134,32.1,31.8
135,32.4,31.8
136,32.4,31.8
137,32.6,31.8
138,32.2,31.8
139,32.7,31.8
140,32.6,31.8
141,32.7,31.8
142,32.9,31.8
143,32.6,31.8
144,32.1,31.8
145,32.2,31.8
146,32.8,31.8
147,32.7,31.8
148,32.7,31.8
149,32.2,31.7
150,32.5,31.8
151,32,31.8
152,32.4,31.8
153,32.7,31.8
154,32.9,31.8
155,32.5,31.8
156,32.6,31.8
157,32.4,31.8
158,32.6,31.8
159,32.5,31.8
160,32,31.8
161,32.2,31.8
162,32.4,31.8
163,32.4,31.8
164,32.5,31.8
165,32.7,31.8
166,33.2,31.8
167,32.7,31.8
168,32.5,31.8
169,32.8,31.8
170,32.4,31.8
171,33,31.8
172,32.6,31.8
173,32.4,31.8
174,32.8,31.8
175,32.7,31.8
176,32.4,31.8
177,32.6,31.8
178,32.4,31.8
179,32.4,31.8
180,32.7,31.8
181,32.2,31.8
182,32.6,31.8
183,32.6,31.8
184,32.8,31.8
185,32.4,31.8
186,32.6,31.8
187,32.4,31.8
188,32.4,31.8
189,32.5,31.8
190,32,31.8
191,32.4,31.8
192,32.3,31.8
193,32.6,31.8
194,32.4,31.8
195,32.5,31.8
196,32.8,31.8
197,32.7,31.8
198,32.2,31.8
199,32.8,31.8
200,32.7,31.8
201,32.6,31.8
202,32.6,31.8
203,32.6,31.8
204,32.6,31.8
205,32.6,31.8
206,32.4,31.8
207,33.1,31.8
208,32.4,31.8
209,32.6,31.8
210,33,31.8
211,33,31.8
212,33,31.8
213,33,31.8
214,32.8,31.8
215,32.4,31.8
216,32.7,31.8
217,32.4,31.8
218,32.7,31.8
219,32.5,31.8
220,32.6,31.8
221,32.9,31.8
222,32.8,31.8
223,32.7,31.8
224,31.9,31.8
225,32.3,31.8
226,32.4,31.8
227,32.5,31.8
228,32.3,31.8
229,32.4,31.8
230,32.6,31.8
231,32.6,31.8
232,32.7,31.8
233,32.3,31.8
234,32.6,31.8
235,32.6,31.8
236,32.8,31.9
237,32.4,31.8
238,32.7,31.8
239,32.6,31.8
240,32.5,31.8
241,32.4,31.8
242,32.4,31.8
243,32.6,31.8
244,32.4,31.8
245,32.4,31.8
246,32.6,31.8
247,32.4,31.8
248,32.3,31.8
249,32.2,31.8
250,32.3,31.8
251,32.6,31.8
252,32.1,31.8
253,32.5,31.9
254,32,31.9
255,32.3,31.9
256,32.1,31.9
257,32.4,31.9
258,32.7,31.9
259,32.4,31.9
260,32.2,31.9
261,32.1,31.9
262,32.6,31.9
263,32,31.8
264,32.2,31.8
265,32.2,31.8
266,32.6,31.8
267,32.1,31.8
268,32.7,31.8
269,32.5,31.8
270,32.2,31.8
271,32.6,31.8
272,32.5,31.8
273,32.8,31.8
274,32.1,31.8
275,32.5,31.8
276,32.2,31.9
277,32.4,31.9
278,32.1,31.9
279,32.4,31.9
280,32.6,31.9
281,32.2,31.9
282,32,31.9
283,31.8,31.9
284,31.4,31.9
285,31.8,31.9
286,32.1,31.9
287,32.6,32
288,32,32
289,31.8,32
290,32.4,32
291,32.1,31.9
292,32.5,32
293,32.5,31.9
294,32.5,32
295,32.4,32
296,32.9,32
297,32.6,32
298,32.8,32
299,32.4,32
300,32.3,32
301,33.2,32
302,33,32
303,32.8,32
304,32.1,32
305,32.3,32.1
306,33,32.1
307,32.5,32
308,32.4,32
309,32.3,32
310,32.2,32
311,32.5,32
312,32.5,32
313,32.9,32
314,32.5,32
315,32.4,32
316,32.5,32
317,32.6,32
318,32.4,32
319,32.7,32
320,32.5,32
321,32.6,32
322,32.5,32.1
323,32.9,32.1
324,32.6,32.1
325,32.2,32.1
326,32.4,32.1
327,32.6,32.1
328,32.6,32.1
329,32.4,32.1
330,32.5,32.1
331,32.8,32.1
332,32.4,32.1
333,32.7,32.1
334,32.6,32.1
335,32.5,32.1
336,32.7,32.1
337,32.4,32.1
338,32.2,32.1
339,32.1,32.1
340,32.3,32.1
341,32.2,32.1
342,32.6,32.1
343,32.2,32.1
344,32.5,32.1
345,32.5,32.1
346,32.6,32.1
347,32.4,32.1
348,32.6,32.1
349,32.8,32.1
350,32.8,32.1
351,32.6,32.1
352,32.3,32.1
353,32.5,32.1
354,32.4,32.1
355,32.3,32.1
356,32.3,32.1
357,32.3,32.1
358,32.4,32.1
359,32.4,32.1
360,32.2,32.1
361,32.3,32.1
362,31.2,32.1
363,31.9,32
364,31.9,32
365,31.8,31.9
366,31.6,31.9
