t,pow,rpm
1,3.62,7.21e+03
2,3.62,7.22e+03
3,3.62,7.22e+03
4,3.62,7.22e+03
5,3.61,7.22e+03
6,3.62,7.23e+03
7,3.62,7.25e+03
8,3.62,7.25e+03
9,3.62,7.26e+03
10,3.61,7.26e+03
11,3.63,7.27e+03
12,3.63,7.28e+03
13,3.63,7.28e+03
14,3.63,7.28e+03
15,3.63,7.28e+03
16,3.62,7.29e+03
17,3.62,7.29e+03
18,3.62,7.29e+03
19,3.63,7.3e+03
20,3.62,7.3e+03
21,3.63,7.3e+03
22,3.63,7.3e+03
23,3.62,7.31e+03
24,3.62,7.3e+03
25,3.62,7.29e+03
26,3.63,7.29e+03
27,3.63,7.29e+03
28,3.62,7.3e+03
29,3.62,7.3e+03
30,3.62,7.31e+03
31,3.62,7.31e+03
32,3.62,7.31e+03
33,3.63,7.31e+03
34,3.63,7.31e+03
35,3.63,7.31e+03
36,3.62,7.32e+03
37,3.63,7.32e+03
38,3.62,7.32e+03
39,3.63,7.32e+03
40,3.62,7.32e+03
41,3.62,7.32e+03
42,3.62,7.32e+03
43,3.62,7.31e+03
44,3.63,7.32e+03
45,3.63,7.31e+03
46,3.62,7.3e+03
47,3.63,7.3e+03
48,3.63,7.31e+03
49,3.62,7.3e+03
50,3.63,7.3e+03
51,3.63,7.29e+03
52,3.63,7.29e+03
53,3.63,7.29e+03
54,3.63,7.29e+03
55,3.62,7.3e+03
56,3.62,7.31e+03
57,3.62,7.31e+03
58,3.62,7.32e+03
59,3.62,7.33e+03
60,3.62,7.34e+03
61,3.63,7.34e+03
62,3.62,7.33e+03
63,3.62,7.32e+03
64,3.62,7.32e+03
65,3.62,7.32e+03
66,3.62,7.32e+03
67,3.63,7.31e+03
68,3.62,7.3e+03
69,3.62,7.3e+03
70,3.62,7.3e+03
71,3.62,7.3e+03
72,3.62,7.3e+03
73,3.63,7.31e+03
74,3.62,7.31e+03
75,3.63,7.31e+03
76,3.62,7.32e+03
77,3.63,7.32e+03
78,3.62,7.32e+03
79,3.62,7.33e+03
80,3.62,7.32e+03
81,3.63,7.33e+03
82,3.62,7.32e+03
83,3.62,7.32e+03
84,3.62,7.32e+03
85,3.62,7.32e+03
86,3.63,7.31e+03
87,3.62,7.31e+03
88,3.62,7.3e+03
89,3.63,7.29e+03
90,3.63,7.3e+03
91,3.64,7.3e+03
92,3.63,7.29e+03
93,3.63,7.3e+03
94,3.62,7.3e+03
95,3.63,7.3e+03
96,3.62,7.31e+03
97,3.62,7.32e+03
98,3.63,7.32e+03
99,3.62,7.32e+03
100,3.62,7.32e+03
101,3.62,7.32e+03
102,3.62,7.32e+03
103,3.63,7.31e+03
104,3.62,7.3e+03
105,3.62,7.31e+03
106,3.62,7.32e+03
107,3.62,7.33e+03
108,3.62,7.33e+03
109,3.62,7.32e+03
110,3.62,7.32e+03
111,3.63,7.32e+03
112,3.62,7.33e+03
113,3.63,7.32e+03
114,3.63,7.31e+03
115,3.62,7.31e+03
116,3.63,7.3e+03
117,3.62,7.3e+03
118,3.62,7.29e+03
119,3.62,7.29e+03
120,3.62,7.29e+03
121,3.63,7.31e+03
122,3.62,7.31e+03
123,3.62,7.32e+03
124,3.62,7.32e+03
125,3.62,7.32e+03
126,3.62,7.32e+03
127,3.62,7.32e+03
128,3.62,7.32e+03
129,3.62,7.32e+03
130,3.62,7.32e+03
131,3.62,7.32e+03
132,3.63,7.32e+03
133,3.63,7.32e+03
134,3.63,7.32e+03
135,3.63,7.32e+03
136,3.63,7.32e+03
137,3.62,7.32e+03
138,3.63,7.32e+03
139,3.63,7.32e+03
140,3.63,7.32e+03
141,3.63,7.31e+03
142,3.62,7.31e+03
143,3.62,7.3e+03
144,3.62,7.3e+03
145,3.63,7.29e+03
146,3.62,7.3e+03
147,3.62,7.3e+03
148,3.63,7.31e+03
149,3.62,7.32e+03
150,3.62,7.32e+03
151,3.62,7.32e+03
152,3.63,7.33e+03
153,3.62,7.33e+03
154,3.62,7.32e+03
155,3.62,7.32e+03
156,3.63,7.32e+03
157,3.62,7.32e+03
158,3.62,7.32e+03
159,3.62,7.32e+03
160,3.62,7.32e+03
161,3.62,7.32e+03
162,3.63,7.3e+03
163,3.62,7.3e+03
164,3.62,7.3e+03
165,3.62,7.3e+03
166,3.63,7.3e+03
167,3.62,7.31e+03
168,3.62,7.31e+03
169,3.62,7.32e+03
170,3.62,7.33e+03
171,3.62,7.33e+03
172,3.62,7.33e+03
173,3.62,7.33e+03
174,3.62,7.32e+03
175,3.62,7.32e+03
176,3.62,7.32e+03
177,3.63,7.32e+03
178,3.63,7.31e+03
179,3.64,7.31e+03
180,3.62,7.31e+03
181,3.62,7.3e+03
182,3.61,7.3e+03
183,3.62,7.3e+03
184,3.62,7.3e+03
185,3.62,7.32e+03
186,3.62,7.32e+03
187,3.62,7.32e+03
188,3.63,7.33e+03
189,3.62,7.33e+03
190,3.62,7.33e+03
191,3.63,7.33e+03
192,3.62,7.33e+03
193,3.62,7.32e+03
194,3.62,7.32e+03
195,3.63,7.32e+03
196,3.62,7.32e+03
197,3.62,7.31e+03
198,3.62,7.29e+03
199,3.62,7.29e+03
200,3.62,7.3e+03
201,3.62,7.3e+03
202,3.63,7.3e+03
203,3.62,7.31e+03
204,3.62,7.32e+03
205,3.62,7.32e+03
206,3.62,7.33e+03
207,3.62,7.33e+03
208,3.62,7.33e+03
209,3.62,7.32e+03
210,3.62,7.33e+03
211,3.62,7.32e+03
212,3.62,7.32e+03
213,3.62,7.31e+03
214,3.62,7.32e+03
215,3.62,7.32e+03
216,3.62,7.31e+03
217,3.62,7.31e+03
218,3.62,7.31e+03
219,3.62,7.31e+03
220,3.61,7.31e+03
221,3.62,7.3e+03
222,3.63,7.3e+03
223,3.62,7.31e+03
224,3.63,7.32e+03
225,3.62,7.32e+03
226,3.62,7.32e+03
227,3.63,7.33e+03
228,3.62,7.33e+03
229,3.63,7.33e+03
230,3.62,7.33e+03
231,3.62,7.33e+03
232,3.62,7.33e+03
233,3.63,7.32e+03
234,3.62,7.31e+03
235,3.62,7.31e+03
236,3.63,7.32e+03
237,3.62,7.32e+03
238,3.62,7.31e+03
239,3.62,7.31e+03
240,3.62,7.31e+03
241,3.62,7.3e+03
242,3.62,7.3e+03
243,3.62,7.3e+03
244,3.62,7.3e+03
245,3.63,7.32e+03
246,3.62,7.32e+03
247,3.63,7.33e+03
248,3.63,7.33e+03
249,3.62,7.33e+03
250,3.62,7.33e+03
251,3.63,7.33e+03
252,3.63,7.33e+03
253,3.62,7.34e+03
254,3.61,7.34e+03
255,3.62,7.33e+03
256,3.62,7.33e+03
257,3.62,7.32e+03
258,3.61,7.31e+03
259,3.62,7.32e+03
260,3.61,7.31e+03
261,3.62,7.31e+03
262,3.62,7.3e+03
263,3.62,7.3e+03
264,3.62,7.3e+03
265,3.62,7.3e+03
266,3.63,7.32e+03
267,3.62,7.32e+03
268,3.62,7.32e+03
269,3.64,7.32e+03
270,3.62,7.33e+03
271,3.63,7.33e+03
272,3.62,7.33e+03
273,3.63,7.32e+03
274,3.62,7.33e+03
275,3.63,7.32e+03
276,3.62,7.32e+03
277,3.62,7.33e+03
278,3.62,7.33e+03
279,3.62,7.32e+03
280,3.62,7.32e+03
281,3.62,7.33e+03
282,3.62,7.33e+03
283,3.62,7.32e+03
284,3.62,7.32e+03
285,3.62,7.33e+03
286,3.62,7.32e+03
287,3.62,7.33e+03
288,3.62,7.33e+03
289,3.63,7.32e+03
290,3.63,7.33e+03
291,3.62,7.33e+03
292,3.63,7.33e+03
293,3.63,7.34e+03
294,3.62,7.34e+03
295,3.62,7.34e+03
296,3.62,7.34e+03
297,3.63,7.34e+03
298,3.62,7.34e+03
299,3.62,7.34e+03
300,3.62,7.33e+03
301,3.63,7.34e+03
302,3.63,7.33e+03
303,3.62,7.33e+03
304,3.62,7.33e+03
305,3.62,7.32e+03
306,3.62,7.32e+03
307,3.62,7.32e+03
308,3.62,7.32e+03
309,3.62,7.32e+03
310,3.63,7.33e+03
311,3.63,7.34e+03
312,3.62,7.34e+03
313,3.62,7.33e+03
314,3.62,7.34e+03
315,3.62,7.34e+03
316,3.62,7.34e+03
317,3.62,7.33e+03
318,3.62,7.33e+03
319,3.62,7.33e+03
320,3.62,7.34e+03
321,3.62,7.33e+03
322,3.62,7.33e+03
323,3.62,7.33e+03
324,3.62,7.33e+03
325,3.63,7.32e+03
326,3.62,7.32e+03
327,3.62,7.33e+03
328,3.62,7.33e+03
329,3.62,7.34e+03
330,3.62,7.34e+03
331,3.62,7.34e+03
332,3.63,7.34e+03
333,3.62,7.34e+03
334,3.62,7.33e+03
335,3.62,7.34e+03
336,3.62,7.34e+03
337,3.62,7.34e+03
338,3.62,7.34e+03
339,3.62,7.34e+03
340,3.62,7.33e+03
341,3.62,7.32e+03
342,3.63,7.32e+03
343,3.62,7.32e+03
344,3.62,7.32e+03
345,3.62,7.33e+03
346,3.62,7.33e+03
347,3.61,7.33e+03
348,3.62,7.33e+03
349,3.63,7.33e+03
350,3.62,7.34e+03
351,3.63,7.34e+03
352,3.63,7.34e+03
353,3.63,7.34e+03
354,3.63,7.34e+03
355,3.63,7.34e+03
356,3.63,7.33e+03
357,3.63,7.33e+03
358,3.63,7.34e+03
359,3.63,7.34e+03
360,3.62,7.34e+03
361,3.62,7.34e+03
362,3.62,7.33e+03
363,3.62,7.33e+03
364,3.62,7.34e+03
365,3.62,7.34e+03
366,3.62,7.34e+03
367,3.62,7.33e+03
368,3.62,7.33e+03
369,3.62,7.33e+03
370,3.62,7.34e+03
371,3.62,7.33e+03
372,3.62,7.34e+03
373,3.62,7.33e+03
374,3.62,7.33e+03
375,3.62,7.33e+03
376,3.62,7.33e+03
377,3.62,7.33e+03
378,3.62,7.33e+03
379,3.62,7.34e+03
380,3.62,7.33e+03
381,3.63,7.34e+03
382,3.63,7.34e+03
383,3.62,7.33e+03
384,3.62,7.33e+03
385,3.62,7.33e+03
386,3.62,7.33e+03
387,3.64,7.34e+03
388,3.63,7.34e+03
389,3.62,7.34e+03
390,3.61,7.34e+03
391,3.62,7.34e+03
392,3.62,7.33e+03
393,3.62,7.33e+03
394,3.62,7.33e+03
395,3.62,7.32e+03
396,3.62,7.32e+03
397,3.62,7.32e+03
398,3.62,7.33e+03
399,3.62,7.32e+03
400,3.62,7.32e+03
401,3.63,7.32e+03
402,3.62,7.32e+03
403,3.62,7.33e+03
404,3.63,7.34e+03
405,3.63,7.33e+03
406,3.62,7.33e+03
407,3.62,7.33e+03
408,3.62,7.33e+03
409,3.63,7.34e+03
410,3.62,7.34e+03
411,3.62,7.33e+03
412,3.62,7.34e+03
413,3.63,7.33e+03
414,3.61,7.33e+03
415,3.62,7.33e+03
416,3.63,7.33e+03
417,3.62,7.33e+03
418,3.64,7.33e+03
419,3.62,7.33e+03
420,3.64,7.32e+03
421,3.62,7.32e+03
422,3.62,7.32e+03
423,3.63,7.32e+03
424,3.62,7.32e+03
425,3.62,7.33e+03
426,3.63,7.34e+03
427,3.63,7.34e+03
428,3.62,7.34e+03
429,3.64,7.33e+03
430,3.63,7.34e+03
431,3.62,7.34e+03
432,3.63,7.34e+03
433,3.62,7.34e+03
434,3.62,7.33e+03
435,3.62,7.33e+03
436,3.62,7.32e+03
437,3.63,7.32e+03
438,3.62,7.33e+03
439,3.63,7.32e+03
440,3.62,7.32e+03
441,3.62,7.32e+03
442,3.62,7.32e+03
443,3.62,7.32e+03
444,3.62,7.32e+03
445,3.63,7.33e+03
446,3.63,7.34e+03
447,3.62,7.33e+03
448,3.63,7.33e+03
449,3.62,7.33e+03
450,3.63,7.33e+03
451,3.62,7.33e+03
452,3.63,7.34e+03
453,3.63,7.33e+03
