t,sim,exp
1,24.7,30.2
2,27,30.2
3,28,30.3
4,28,30.5
5,28,30.5
6,28.1,30.7
7,28.2,30.8
8,28.1,31
9,28.2,31.2
10,28.3,31.4
11,28.3,31.6
12,28.5,31.7
13,28.5,31.8
14,28.5,31.9
15,28.5,32
16,28.5,32
17,28.5,32.2
18,28.5,32.2
19,28.5,32.4
20,28.5,32.4
21,28.5,32.6
22,28.5,32.9
23,28.5,33
24,28.5,33.2
25,28.4,33.3
26,28.5,33.3
27,28.5,33.3
28,28.5,33.4
29,28.5,33.5
30,28.5,33.5
31,28.4,33.5
32,28.5,33.5
33,28.5,33.5
34,28.5,33.6
35,28.5,33.6
36,28.6,33.6
37,28.6,33.7
38,28.6,33.8
39,28.6,33.8
40,28.6,33.8
41,28.6,33.8
42,28.6,33.8
43,28.5,33.9
44,28.6,33.8
45,28.5,33.8
46,28.5,33.9
47,28.5,33.9
48,28.5,33.8
49,28.4,33.8
50,28.4,33.9
51,28.4,34
52,28.4,34
53,28.4,34
54,28.4,34
55,28.5,34
56,28.6,34.1
57,28.6,34
58,28.6,34
59,28.6,34.1
60,28.8,34.1
61,28.7,34.1
62,28.7,34.1
63,28.7,34.1
64,28.7,34.2
65,28.7,34.2
66,28.7,34.1
67,28.7,34.1
68,28.7,34.1
69,28.8,34.1
70,28.8,34.1
71,28.8,34.2
72,28.7,34.2
73,28.7,34.2
74,28.8,34.2
75,28.8,34.2
76,28.7,34.2
77,28.7,34.1
78,28.8,34.2
79,28.7,34.1
80,28.7,34.2
81,28.7,34.1
82,28.7,34.1
83,28.7,34.1
84,28.7,34.1
85,28.7,34.1
86,28.7,34.1
87,28.7,34.1
88,28.7,34.1
89,28.8,34.1
90,28.8,34
91,28.8,34.1
92,28.8,34
93,28.8,34
94,28.8,34
95,28.8,34
96,28.8,34
97,28.7,34
98,28.7,34.1
99,28.8,34
100,28.7,34.1
101,28.7,34.1
102,28.7,34.1
103,28.7,34.1
104,28.8,34.1
105,28.8,34.1
106,28.5,34.1
107,28.5,34.1
108,28.6,34.1
109,28.6,34.1
110,28.6,34.1
111,28.7,34.1
112,28.7,34.1
113,28.5,34.1
114,28.6,34.1
115,28.5,34.1
116,28.4,34.1
117,28.4,34.1
118,28.4,34
119,28.4,34
120,28.4,34
121,28.4,34
122,28.5,34
123,28.6,34
124,28.6,34
125,28.6,34
126,28.6,34
127,28.6,34
128,28.6,34.1
129,28.6,34.1
130,28.6,34.1
131,28.6,34
132,28.6,34
133,28.6,34.1
134,28.6,34.1
135,28.7,34.1
136,28.7,34.1
137,28.6,34.2
138,28.6,34.2
139,28.6,34.1
140,28.6,34.2
141,28.5,34.2
142,28.5,34.1
143,28.4,34.2
144,28.4,34.1
145,28.4,34.1
146,28.4,34.1
147,28.4,34.1
148,28.5,34.1
149,28.5,34
150,28.5,34
151,28.6,34
152,28.6,34.1
153,28.6,34.1
154,28.6,34
155,28.6,34.1
156,28.6,34.1
157,28.6,34.1
158,28.5,34.1
159,28.5,34.1
160,28.5,34.1
161,28.5,34.1
162,28.5,34.1
163,28.4,34.1
164,28.4,34.1
165,28.4,34.1
166,28.4,34.1
167,28.5,34.1
168,28.5,34.1
169,28.6,34.1
170,28.6,34.2
171,28.6,34.2
172,28.7,34.1
173,28.6,34.1
174,28.6,34.2
175,28.5,34.2
176,28.5,34.2
177,28.5,34.2
178,28.5,34.1
179,28.5,34.1
180,28.5,34.1
181,28.4,34.1
182,28.4,34
183,28.4,34.1
184,28.5,34
185,28.5,34.1
186,28.5,34.1
187,28.6,34.1
188,28.6,34.1
189,28.6,34.2
190,28.6,34.2
191,28.6,34.1
192,28.7,34.2
193,28.6,34.2
194,28.7,34.1
195,28.6,34.1
196,28.6,34.1
197,28.5,34.2
198,28.4,34.1
199,28.4,34.2
200,28.4,34.2
201,28.4,34.1
202,28.4,34.2
203,28.5,34.1
204,28.5,34.1
205,28.6,34.2
206,28.7,34.1
207,28.6,34.1
208,28.6,34.2
209,28.6,34.2
210,28.6,34.2
211,28.7,34.2
212,28.6,34.2
213,28.6,34.1
214,28.6,34.2
215,28.5,34.1
216,28.5,34.2
217,28.5,34.1
218,28.5,34.1
219,28.5,34.1
220,28.4,34.2
221,28.4,34.1
