t,sim,exp
1,17.9,28.1
2,19.7,28.1
3,25.3,28.1
4,25.9,28.1
5,26.7,28.2
6,26.8,28.2
7,25.7,28.3
8,27,28.4
9,26.3,28.5
10,26.6,28.6
11,25.5,28.7
12,26.4,28.8
13,25.8,28.8
14,26.9,29
15,26.1,29
16,26.5,29.1
17,25.7,29.2
18,25.8,29.2
19,25.8,29.3
20,26.9,29.3
21,25.5,29.4
22,25.9,29.4
23,26.8,29.4
24,26.1,29.4
25,26.1,29.4
26,26.2,29.4
27,25.8,29.4
28,25.8,29.5
29,26.4,29.5
30,25.9,29.6
31,26,29.5
32,25.9,29.5
33,26,29.5
34,26.4,29.6
35,25.9,29.6
36,26.2,29.5
37,26,29.5
38,25.2,29.5
39,26.4,29.5
40,26.4,29.6
41,26.1,29.7
42,25.6,29.6
43,26.4,29.6
44,26.1,29.8
45,25.8,29.8
46,26.1,30
47,26.4,30.1
48,25.9,30.2
49,25.9,30.2
50,26.2,30.2
51,25.8,30.1
52,26,30.2
53,25.6,30.2
54,26,30.2
55,25.2,30.2
56,25.3,30.3
57,25.9,30.3
58,25.5,30.4
59,25.3,30.4
60,25.4,30.4
61,25.1,30.5
62,25.3,30.5
63,25.6,30.5
64,24.8,30.4
65,25.2,30.4
66,25.9,30.5
67,25.1,30.4
68,25.2,30.4
69,25.4,30.3
70,25.3,30.3
71,25,30.3
72,25,30.3
73,25.1,30.3
74,25.4,30.2
75,26.1,30.2
76,25.5,30.2
77,25.2,30.2
78,25.7,30.2
79,25.6,30.2
80,25.5,30.2
81,25.1,30.2
82,25.7,30.1
83,24.8,30.1
84,25.5,30.1
85,25.4,30.1
86,25.8,30.1
87,24.8,30.1
88,25.4,30.2
89,26,30.2
90,25.2,30.2
91,24.8,30.2
92,25.2,30.3
93,26,30.2
94,25.3,30.2
95,25.4,30.2
96,25.4,30.3
97,25.4,30.3
98,25.4,30.3
99,25.8,30.3
100,25.5,30.3
101,24.9,30.3
102,24.9,30.3
103,25.1,30.2
104,26,30.2
105,25.5,30.2
106,25.4,30.2
107,25.7,30.2
108,25.4,30.2
109,25.3,30.2
110,25.1,30.2
111,25.9,30.2
112,25.8,30.3
113,25.9,30.3
114,26,30.3
115,25.2,30.3
