t,sim,exp
1,18,19.1
2,17.6,19.1
3,18.2,19.1
4,18.3,19.1
5,18.3,19.1
6,18.3,19.1
7,18.3,19.2
8,18.4,19.2
9,18.5,19.3
10,18.5,19.4
11,18.6,19.4
12,18.7,19.5
13,18.7,19.4
14,18.7,19.5
15,18.7,19.5
16,18.7,19.5
17,18.7,19.6
18,18.7,19.5
19,18.8,19.6
20,18.8,19.6
21,18.8,19.6
22,18.8,19.6
23,18.8,19.6
24,18.8,19.7
25,18.8,19.7
26,18.8,19.7
27,18.8,19.7
28,18.8,19.7
29,18.8,19.7
30,18.8,19.8
31,18.8,19.7
32,18.8,19.8
33,18.9,19.8
34,18.9,19.8
35,18.9,19.8
36,18.9,19.8
37,18.9,19.8
38,19,19.8
39,18.9,19.8
40,18.9,19.8
41,18.9,19.8
42,18.9,19.8
43,18.9,19.8
44,18.9,19.9
45,18.9,19.8
46,18.8,19.8
47,18.8,19.7
48,18.7,19.7
49,18.7,19.7
50,18.7,19.8
51,18.7,19.8
52,18.7,19.8
53,18.8,19.8
54,18.8,19.8
55,18.9,19.9
56,19,19.9
57,19,19.9
58,19.1,20
59,19.1,20
60,19.1,20
61,19.1,20
62,19.1,20
63,19.1,19.9
64,19.1,20
65,19.1,19.9
66,19.1,19.9
67,19.1,19.9
68,19.1,19.9
69,19.1,19.9
70,19.1,19.9
71,19.1,19.9
72,19.1,19.9
73,19.1,20
74,19.1,20
75,19.1,20
76,19.1,20
77,19.1,20.1
78,19.1,20.1
79,19.1,20.1
80,19.1,20.1
81,19.1,20.2
82,19.1,20.2
83,19.1,20.2
84,19.1,20.1
85,19.1,20.2
86,19.1,20.2
87,19.1,20.2
88,19.1,20.2
89,19.1,20.1
90,19.1,20.1
91,19.1,20.1
92,19.1,20.1
93,19.1,20.1
94,19.1,20.1
95,19.1,20.2
96,19.1,20.3
97,19.1,20.2
98,19.1,20.2
99,19.1,20.2
100,19.1,20.2
101,19.1,20.2
102,19.1,20.2
103,19.1,20.3
104,19.1,20.3
105,19.1,20.3
106,19,20.2
107,19,20.3
108,19.1,20.3
109,19.1,20.3
110,19.1,20.3
111,19.1,20.3
112,19.1,20.2
113,19.1,20.2
114,19,20.2
115,19,20.2
116,19,20.2
117,19,20.1
118,19,20.2
119,19,20.2
120,19,20.2
121,19,20.2
122,19.1,20.2
123,19.1,20.2
124,19.1,20.3
125,19.1,20.3
126,19,20.3
127,19.1,20.4
128,19.1,20.4
129,19.1,20.3
130,19.1,20.3
131,19.1,20.3
132,19.1,20.3
133,19.1,20.3
134,19.1,20.3
135,19.1,20.3
136,19.1,20.4
137,19.1,20.3
138,19.1,20.3
139,19.1,20.3
140,19.1,20.3
141,19,20.3
142,19,20.3
143,19,20.3
144,19,20.2
145,19,20.2
146,19,20.2
147,19,20.2
148,19,20.3
149,19,20.3
150,19,20.3
151,19.1,20.4
152,19.1,20.3
153,19.1,20.4
154,19.1,20.4
155,19.1,20.4
156,19.1,20.4
157,19.1,20.3
158,19,20.4
159,19,20.3
160,19.1,20.3
161,19,20.2
162,19,20.2
163,19,20.2
164,19,20.2
165,19,20.2
166,19,20.2
167,19,20.2
168,19.1,20.3
169,19.1,20.4
170,19.1,20.4
171,19.1,20.5
172,19.1,20.5
173,19.1,20.5
174,19.1,20.5
175,19,20.4
176,19.1,20.4
177,19,20.4
178,19,20.3
179,19,20.3
180,19,20.2
181,19,20.2
182,19,20.2
183,19,20.2
184,19,20.2
185,19,20.2
186,19.1,20.3
187,19.1,20.4
188,19.1,20.4
189,19.1,20.4
190,19.1,20.4
191,19.1,20.4
192,19.1,20.4
193,19.1,20.4
194,19.1,20.4
195,19,20.4
196,19,20.3
197,19,20.3
198,19,20.2
199,19,20.2
200,19,20.2
201,19,20.3
202,19,20.3
203,19,20.3
204,19,20.3
205,19.1,20.4
206,19.1,20.4
207,19.1,20.4
208,19.1,20.4
209,19.1,20.4
210,19.1,20.4
211,19.1,20.4
212,19.1,20.4
213,19.1,20.4
214,19,20.4
215,19,20.3
216,19,20.3
217,19,20.3
218,19,20.3
219,19,20.3
220,19,20.2
221,19,20.2
222,19,20.2
223,19,20.2
224,19,20.3
225,19.1,20.4
226,19.1,20.4
227,19.1,20.4
228,19.1,20.4
229,19.1,20.4
230,19.1,20.4
231,19.1,20.5
232,19.1,20.4
233,19.1,20.4
234,19.1,20.4
235,19,20.4
236,19.1,20.3
237,19.1,20.4
238,19.1,20.4
239,19.1,20.3
240,19,20.3
241,19,20.3
242,19,20.2
243,19,20.2
244,19,20.3
245,19,20.3
246,19,20.4
247,19.2,20.5
248,19.3,20.5
249,19.3,20.5
250,19.4,20.6
251,19.3,20.5
252,19.4,20.5
253,19.3,20.5
254,19.3,20.5
255,19.3,20.5
256,19.3,20.4
257,19.2,20.3
258,19.2,20.3
259,19.1,20.3
260,19.1,20.3
261,19,20.3
262,19,20.3
263,18.9,20.3
264,18.9,20.3
265,18.9,20.2
266,19,20.2
267,19.1,20.3
268,19.2,20.3
269,19.3,20.4
270,19.3,20.4
271,19.3,20.4
272,19.3,20.4
273,19.3,20.4
274,19.3,20.3
275,19.3,20.4
276,19.2,20.3
277,19.2,20.3
278,19.2,20.4
279,19.1,20.7
280,19.1,20.9
281,19.1,21.2
282,19.1,21.4
283,19.1,21.7
284,19.1,21.8
285,19,21.9
286,19.1,22
287,19.1,22.1
288,19.1,22.1
289,19.1,22.2
290,19.2,22.2
291,19.3,22.2
292,19.3,22.3
293,19.4,22.4
294,19.4,22.4
295,19.4,22.5
296,19.4,22.5
297,19.4,22.6
298,19.4,22.6
299,19.4,22.7
300,19.3,22.6
301,19.3,22.6
302,19.2,22.6
303,19.1,22.6
304,19.1,22.5
305,19.1,22.5
306,19,22.5
307,19,22.4
308,19,22.4
309,19.1,22.5
310,19.1,22.5
311,19.2,22.5
312,19.3,22.5
313,19.3,22.5
314,19.4,22.6
315,19.4,22.6
316,19.4,22.7
317,19.4,22.6
318,19.3,22.7
319,19.2,22.6
320,19.2,22.6
321,19.2,22.6
322,19.2,22.6
323,19.2,22.5
324,19.1,22.5
325,19,22.5
326,19,22.5
327,19.1,22.5
328,19.1,22.5
329,19.2,22.5
330,19.3,22.6
331,19.4,22.6
332,19.4,22.7
333,19.4,22.7
334,19.4,22.7
335,19.4,22.8
336,19.4,22.7
337,19.3,22.7
338,19.2,22.8
339,19.1,22.7
340,19.1,22.7
341,19.1,22.7
342,19.1,22.6
343,19.1,22.6
344,19.1,22.6
345,19.1,22.6
346,19.2,22.6
347,19.3,22.6
348,19.3,22.6
349,19.4,22.7
350,19.4,22.8
351,19.3,22.7
352,19.3,22.7
353,19.3,22.7
354,19.2,22.7
355,19.2,22.8
356,19.2,22.7
357,19.2,22.7
358,19.2,22.8
359,19.3,22.8
360,19.3,22.7
361,19.3,22.8
362,19.3,22.8
363,19.3,22.8
364,19.3,22.8
365,19.3,22.8
366,19.2,22.7
367,19.1,22.7
368,19.1,22.7
369,19.2,22.7
370,19.2,22.7
371,19.2,22.7
372,19.2,22.7
373,19.2,22.7
374,19.1,22.6
375,19.1,22.7
376,19.1,22.6
377,19.1,22.6
378,19.2,22.6
379,19.3,22.6
380,19.3,22.6
381,19.3,22.6
382,19.3,22.7
383,19.3,22.8
384,19.3,22.8
385,19.3,22.7
386,19.3,22.7
387,19.3,22.7
388,19.3,22.7
389,19.3,22.7
390,19.3,22.7
391,19.2,22.7
392,19.2,22.6
393,19.2,22.7
394,19.1,22.6
395,19.1,22.6
396,19.1,22.6
397,19.1,22.6
398,19.1,22.6
399,19,22.5
400,19.1,22.5
401,19.1,22.5
402,19.1,22.6
403,19.2,22.6
404,19.2,22.6
405,19.2,22.6
406,19.3,22.6
407,19.3,22.7
408,19.3,22.7
409,19.3,22.7
410,19.3,22.8
411,19.3,22.7
412,19.2,22.7
413,19.2,22.7
414,19.2,22.6
415,19.2,22.7
416,19.2,22.6
417,19.2,22.6
418,19.2,22.6
419,19.1,22.5
420,19.1,22.5
421,19.1,22.5
422,19,22.5
423,19,22.5
424,19.1,22.5
425,19.2,22.6
426,19.2,22.6
427,19.3,22.6
428,19.3,22.7
429,19.3,22.7
430,19.3,22.7
431,19.3,22.8
432,19.3,22.7
433,19.3,22.8
434,19.2,22.7
435,19.1,22.7
436,19.1,22.6
437,19.1,22.6
438,19.1,22.6
439,19.1,22.6
440,19.1,22.6
441,19.1,22.5
442,19,22.5
443,19,22.5
444,19.1,22.5
445,19.1,22.5
446,19.1,22.6
447,19.2,22.6
448,19.3,22.6
449,19.3,22.7
450,19.3,22.7
451,19.3,22.7
452,19.2,22.7
453,19.2,22.6
454,19.2,22.6
455,19.1,22.6
456,19.1,22.6
457,19.1,22.6
458,19.1,22.6
459,19.1,22.5
460,19.1,22.6
461,19.1,22.5
462,19.2,22.5
463,19.2,22.5
464,19.1,22.5
465,19.1,22.5
466,19.1,22.5
467,19.1,22.6
468,19.1,22.6
469,19.1,22.6
470,19.2,22.6
471,19.3,22.7
472,19.3,22.7
473,19.3,22.7
474,19.3,22.7
475,19.3,22.7
476,19.3,22.7
