time,CRAC01_T_in,CRAC01_T_out,CRAC02_T_in,CRAC02_T_out,CRAC03_T_in,CRAC03_T_out,CRAC04_T_in,CRAC04_T_out,P02R01_T_in_b,P02R01_T_in_m,P02R01_T_in_t,P02R01_T_out_b,P02R01_T_out_m,P02R01_T_out_t,P02R02_T_in_b,P02R02_T_in_m,P02R02_T_in_t,P02R02_T_out_b,P02R02_T_out_m,P02R02_T_out_t,P02R03_T_in_b,P02R03_T_in_m,P02R03_T_in_t,P02R03_T_out_b,P02R03_T_out_m,P02R03_T_out_t,P02R04_T_in_b,P02R04_T_in_m,P02R04_T_in_t,P02R04_T_out_b,P02R04_T_out_m,P02R04_T_out_t,P02R05_T_in_b,P02R05_T_in_m,P02R05_T_in_t,P02R05_T_out_b,P02R05_T_out_m,P02R05_T_out_t,P02R06_T_in_b,P02R06_T_in_m,P02R06_T_in_t,P02R06_T_out_b,P02R06_T_out_m,P02R06_T_out_t,P02R07_T_in_b,P02R07_T_in_m,P02R07_T_in_t,P02R07_T_out_b,P02R07_T_out_m,P02R07_T_out_t,P02R08_T_in_b,P02R08_T_in_m,P02R08_T_in_t,P02R08_T_out_b,P02R08_T_out_m,P02R08_T_out_t,P02R09_T_in_b,P02R09_T_in_m,P02R09_T_in_t,P02R09_T_out_b,P02R09_T_out_m,P02R09_T_out_t,P02R10_T_in_b,P02R10_T_in_m,P02R10_T_in_t,P02R10_T_out_b,P02R10_T_out_m,P02R10_T_out_t
1516694400,30.2832,18.9782,30.2397,19.1154,30.2148,19.5913,30.2621,19.4634,30.1208,30.1204,29.928,38.0928,40.536,39.6285,29.9839,30.0844,29.775,44.1197,47.5198,46.2159,30.0782,30.1066,29.7378,40.6046,43.8848,42.8783,30.04,30.0936,29.7034,38.0142,40.4698,39.6007,30.1081,30.0913,29.7519,37.9869,40.4561,39.6067,29.9898,30.0854,29.7748,34.2688,38.1504,37.4671,29.9463,30.0823,29.6757,36.109,41.8424,40.8676,29.9762,30.0928,29.8196,34.2433,38.1312,37.393,29.8691,30.0796,29.5281,39.2443,46.5572,45.5376,29.9418,30.0589,29.814,34.1712,38.1061,37.5681
1516694460,34.9143,19.1856,33.9647,19.4809,34.2012,19.0886,34.2745,18.8287,19.6139,24.8282,31.741,36.011,39.4383,45.9727,20.6197,19.6272,28.1709,41.5533,40.906,47.389,21.0303,20.3635,27.1428,42.9363,41.4791,46.9492,20.6106,19.8969,25.3282,34.5438,32.6865,37.2053,20.9067,22.1168,28.5937,31.471,31.1394,36.9864,21.3282,22.1342,30.1497,32.6413,33.0952,39.9068,20.9265,20.0841,29.0098,31.2195,29.9738,37.2494,21.7862,20.5655,27.159,33.6306,33.3543,36.5625,22.8359,20.35,26.7877,34.1957,33.9948,37.0791,22.3476,21.6228,29.1015,32.9736,35.1138,37.9389
1516694520,37.0095,20.0195,35.4825,20.3348,35.7675,19.9192,36.5208,19.6482,20.1218,22.8322,34.5314,37.3272,38.1772,49.3502,20.8642,20.0673,28.6491,42.8673,42.3063,48.6951,21.5549,20.5875,27.7973,44.4668,42.7278,48.5169,21.1438,20.469,25.1401,35.8135,33.8388,37.6302,21.3431,22.893,29.3907,32.4886,32.2779,38.2277,21.7351,22.1554,31.0051,33.6072,33.7075,40.8959,21.2894,20.1847,30.207,32.2389,30.5515,38.6802,22.148,20.569,28.1683,34.6189,34.0132,37.7183,23.3475,20.2946,26.7935,35.6037,34.6374,37.3032,23.102,21.161,29.5817,34.3447,35.4783,37.8064
1516694580,36.8979,20.0153,35.5313,20.3307,35.7661,19.899,36.437,19.631,20.1159,22.7443,34.0293,37.3117,38.12,48.7895,20.8876,20.0641,29.1678,42.874,42.309,49.2648,21.6106,20.5835,27.5306,44.5723,42.7083,48.3042,21.1357,20.4641,25.157,35.7838,33.8025,37.6347,21.308,22.7735,29.3776,32.4576,32.169,38.174,21.7145,22.1189,31.1825,33.6061,33.6878,41.1897,21.3112,20.1757,30.1701,32.2667,30.5396,38.7456,22.0306,20.5186,28.1002,34.541,34.159,37.814,23.1587,20.2164,27.2121,35.4133,34.5908,37.3451,23.0102,21.0742,29.0035,34.1803,35.4917,37.8675
1516694640,36.9378,20.1706,35.4259,20.4196,35.7645,19.9071,36.3628,19.6496,20.2569,22.7772,34.2543,37.4026,38.1397,49.1025,20.9983,20.2032,29.1343,42.9515,42.3981,49.1322,21.4757,20.6753,27.2848,44.4601,42.787,48.1205,21.2196,20.5612,24.9146,35.8425,33.9277,37.3895,21.4032,22.8397,29.729,32.5474,32.2603,38.4783,21.7493,22.0731,30.8392,33.639,33.6452,40.7349,21.3203,20.1576,29.7681,32.2079,30.5146,38.2425,22.0103,20.6369,27.8157,34.5462,34.1607,37.5589,23.3375,20.298,27.2082,35.5517,34.6683,37.3824,23.1362,21.2259,29.1651,34.3109,35.2903,37.8658
1516694700,36.938,20.1718,35.2987,20.5207,35.8518,19.995,36.2731,19.7144,20.2763,22.7342,34.2639,37.4453,38.1352,49.3799,21.0904,20.2046,28.692,43.0983,42.4442,48.6841,21.5473,20.7444,27.1917,44.579,42.8494,47.9174,21.2908,20.6601,24.7332,35.8552,33.9822,37.2487,21.3914,22.7373,29.2851,32.4885,32.0729,37.9762,21.8523,22.3337,31.233,33.7145,33.8847,41.1996,21.4061,20.258,29.7752,32.32,30.604,38.2503,22.2558,20.6468,28.3469,34.6959,34.0074,37.8327,23.2409,20.381,27.208,35.4358,34.5229,37.2674,23.0776,21.0828,29.1974,34.6571,35.2962,37.6698
1516694760,36.9387,20.3227,35.2366,20.6165,35.8273,19.991,36.415,19.7296,20.3929,22.923,34.3948,37.5224,38.2806,49.2407,21.2164,20.3369,28.6773,43.0502,42.5528,48.4893,21.6464,20.8282,27.1987,44.6166,42.9477,47.9844,21.3976,20.763,24.1079,35.988,34.0958,36.7906,21.5019,22.7867,29.1463,32.5762,32.1569,37.8462,21.8404,22.0981,30.9886,33.757,33.6889,40.9942,21.4232,20.224,29.8821,32.3402,30.5676,38.4474,22.1923,20.6119,27.5855,34.7725,34.2075,37.7094,23.44,20.2835,27.1069,35.5885,34.6797,37.4085,23.0337,20.9696,28.9622,34.4884,35.5907,37.9243
1516694820,36.8588,20.4215,35.2455,20.7609,35.9622,20.0471,36.4424,19.8483,20.5019,22.901,33.8778,37.6647,38.2705,48.8894,21.3321,20.4322,28.0909,43.2354,42.6558,48.0435,21.7486,20.9449,26.7019,44.739,43.0492,47.45,21.5228,20.9178,23.9092,36.057,34.2142,36.5986,21.6205,22.865,29.091,32.6906,32.2306,37.7364,21.8691,22.4228,31.261,33.7384,33.9365,41.1027,21.4121,20.3076,30.0959,32.2937,30.6607,38.439,22.3178,20.7469,27.9742,34.8104,34.103,37.9291,23.1928,20.4441,27.4874,35.6289,34.8477,37.5364,23.1196,21.2833,29.2281,34.5845,35.5731,37.9258
1516694880,37.1318,20.5285,35.3611,20.9121,36.0052,20.1173,36.5101,19.9549,20.6106,23.0196,34.4902,37.6576,38.3915,49.4737,21.517,20.5497,28.5997,43.41,42.7987,48.5576,21.7642,21.0938,27.3071,44.7425,43.191,47.9535,21.6849,21.0761,23.7716,36.2264,34.3683,36.5306,21.7475,23.1755,29.1802,32.8255,32.4504,37.7889,21.9285,22.2909,31.2698,33.7969,33.8334,41.0916,21.5149,20.4277,30.2359,32.4265,30.7447,38.8677,22.1661,20.8139,28.2961,34.6818,34.3166,38.09,23.363,20.5284,26.9942,35.6994,34.8737,37.4171,23.2802,21.4031,29.0644,34.5991,35.6648,37.8504
1516694940,37.0838,20.6297,35.1814,21.0668,35.9655,20.176,36.508,19.9475,20.7141,23.0929,34.0983,37.8602,38.4635,49.1219,21.577,20.6382,28.3071,43.4066,42.8365,48.3517,21.9383,21.1871,26.9137,44.92,43.3067,47.6744,21.8208,21.2323,24.0627,36.3178,34.4724,36.7337,21.8096,22.9123,29.334,32.8141,32.2415,37.937,21.9919,22.2703,31.0627,33.8375,33.8275,40.8833,21.5968,20.3975,29.8519,32.4888,30.7055,38.1751,22.2791,20.7591,28.1148,34.738,34.3752,37.8986,23.5142,20.5024,27.072,35.7395,34.8414,37.43,23.2877,21.1376,29.7272,34.7458,35.7313,37.9581
