time,CRAC01_T_in,CRAC01_T_out,CRAC02_T_in,CRAC02_T_out,CRAC03_T_in,CRAC03_T_out,CRAC04_T_in,CRAC04_T_out,P02R01_T_in_b,P02R01_T_in_m,P02R01_T_in_t,P02R01_T_out_b,P02R01_T_out_m,P02R01_T_out_t,P02R02_T_in_b,P02R02_T_in_m,P02R02_T_in_t,P02R02_T_out_b,P02R02_T_out_m,P02R02_T_out_t,P02R03_T_in_b,P02R03_T_in_m,P02R03_T_in_t,P02R03_T_out_b,P02R03_T_out_m,P02R03_T_out_t,P02R04_T_in_b,P02R04_T_in_m,P02R04_T_in_t,P02R04_T_out_b,P02R04_T_out_m,P02R04_T_out_t,P02R05_T_in_b,P02R05_T_in_m,P02R05_T_in_t,P02R05_T_out_b,P02R05_T_out_m,P02R05_T_out_t,P02R06_T_in_b,P02R06_T_in_m,P02R06_T_in_t,P02R06_T_out_b,P02R06_T_out_m,P02R06_T_out_t,P02R07_T_in_b,P02R07_T_in_m,P02R07_T_in_t,P02R07_T_out_b,P02R07_T_out_m,P02R07_T_out_t,P02R08_T_in_b,P02R08_T_in_m,P02R08_T_in_t,P02R08_T_out_b,P02R08_T_out_m,P02R08_T_out_t,P02R09_T_in_b,P02R09_T_in_m,P02R09_T_in_t,P02R09_T_out_b,P02R09_T_out_m,P02R09_T_out_t,P02R10_T_in_b,P02R10_T_in_m,P02R10_T_in_t,P02R10_T_out_b,P02R10_T_out_m,P02R10_T_out_t
1516694400,29.195,19.1,27.7,19.4,27.9833333333333,18.6,29.125,18.5,19.69,24.805,28.75,33.5,32.01,30.78,20.13,20.15,26.78,28.19,28.875,29.31,19.63,22,26.66,27.75,29.415,29.03,20.44,20.44,25.595,27.81,27.395,28.91,19.88,20.695,25,28.06,27.98,28.88,19.19,19.975,26.345,26.97,28,30.94,19.845,19.725,26.81,30.19,28.885,29.78,19.72,19.94,27.03,28,28.65,29.66,19.5,20.17,28.13,27.69,29.295,30.81,19.095,21.055,28.845,28,31.46,30.97
1516694460,29.705,19.1,27.925,19.4,28.3,18.6,29.425,18.5,19.78,24.83,28.75,33.595,33.29,30.97,20.22,20.165,26.81,28.38,30.305,29.345,19.595,22,26.75,28.285,30.665,29.155,20.5,20.45,25.595,27.875,27.43,29,19.88,20.7,25,28.22,28.04,28.94,19.16,19.975,26.38,27,28.1,31,19.81,19.7,26.81,30.22,28.92,29.815,19.72,19.925,27.095,28.095,28.79,29.815,19.5,20.165,28.06,27.97,29.24,30.875,19.095,21.01,28.78,28.315,31.89,31.125
1516694520,30.3785714285714,19.1,28.35,19.4,28.775,18.6,29.9583333333333,18.5,19.94,24.9,28.81,33.78,34.7,31.375,20.125,20.185,26.88,28.875,31.875,29.595,19.63,21.99,26.78,29.285,32.395,29.595,20.5,20.46,25.595,28.125,27.575,29.03,19.88,20.69,25.03,28.315,28.15,29,19.19,20,26.47,27.065,28.32,31.22,19.75,19.71,26.78,30.31,29.015,30.03,19.72,19.925,27.13,28.655,29.07,30.155,19.5,20.18,28.13,28.75,29.21,31.19,19.06,21.005,28.845,28.91,32.645,31.565
1516694580,31.125,19.25,28.8,19.5,29.125,18.6,30.5,18.5,20.095,25.065,28.97,33.72,35.96,31.935,20.41,20.245,26.94,29.5,33.16,29.905,19.66,22.01,26.91,30.53,33.91,30.095,20.53,20.515,25.66,28.435,27.82,29.19,19.94,20.79,25.06,28.47,28.33,29.13,19.19,19.965,26.625,27.28,28.635,31.44,19.81,19.74,26.81,30.47,29.075,30.25,19.72,19.96,27.16,29.5,29.34,30.595,19.53,20.245,28.13,29.72,29.23,31.535,19.06,20.955,28.88,29.72,33.38,32.155
1516694640,31.675,19.25,29.225,19.6,29.3916666666667,18.7,30.9,18.6,20.22,25.22,29.19,33.565,36.92,32.595,20.25,20.335,27.03,30.22,34.225,30.375,19.69,22.07,27.095,31.685,35.06,30.69,20.63,20.565,25.63,28.785,28.06,29.28,20,20.825,25.095,28.655,28.565,29.345,19.25,19.96,26.78,27.38,28.95,31.75,19.81,19.775,26.78,30.53,29.13,30.5,19.75,19.985,27.28,30.22,29.665,31.005,19.53,20.295,28.16,30.81,29.34,31.905,19.13,20.915,28.91,30.56,34.06,32.94
1516694700,32.075,19.4,29.65,19.7,29.6083333333333,18.7,31.3,18.6,20.28,25.27,29.5,33.815,37.615,33.22,20.41,20.43,27.13,30.97,35.175,31.035,19.845,22.16,27.19,32.405,35.99,31.315,20.63,20.66,25.69,29.125,28.265,29.41,20.06,20.93,25.16,28.94,28.89,29.5,19.25,19.97,26.91,27.595,29.24,32,19.91,19.82,26.81,30.69,29.13,30.66,19.81,20.015,27.41,31.095,30.245,31.435,19.595,20.335,28.25,31.625,29.59,32.345,19.13,20.79,28.88,31.22,34.61,33.655
1516694760,32.375,19.5,29.95,19.85,29.825,18.7,31.65,18.7,20.38,25.295,29.75,33.97,38.205,33.845,20.285,20.51,27.16,31.505,35.905,31.655,19.94,22.24,27.28,32.63,36.75,31.815,20.72,20.745,25.72,29.47,28.435,29.5,20.19,21.005,25.28,29.28,29.26,29.69,19.28,19.975,26.94,27.69,29.47,32.25,19.94,19.855,26.88,30.75,29.21,30.66,19.845,20.03,27.41,31.785,30.965,31.935,19.72,20.365,28.31,32.155,29.85,32.655,19.19,20.725,28.88,31.875,35.21,34.285
1516694820,32.65,19.6,30.175,20,30.025,18.8,31.925,18.8,20.44,25.41,30.155,34.095,38.67,34.375,20.405,20.595,27.25,32.155,36.445,32.345,20.06,22.265,27.345,32.78,37.335,32.375,20.845,20.845,25.69,29.72,28.605,29.66,20.345,21.105,25.375,29.625,29.595,29.94,19.28,20.025,27,27.815,29.715,32.5,20.03,19.91,26.97,30.97,29.28,30.595,19.91,20.07,27.44,32.19,31.6,32.345,19.845,20.42,28.41,32.5,30.09,33.005,19.25,20.705,28.845,32.315,35.665,34.935
1516694880,32.875,19.7,30.375,20.15,30.225,18.9,32.175,18.8,20.56,25.46,30.47,34.28,39.06,34.905,20.595,20.71,27.375,32.655,36.92,32.905,20.22,22.345,27.47,32.88,37.835,32.72,20.88,20.98,25.66,29.94,28.81,29.75,20.44,21.19,25.44,29.905,29.925,30.19,19.38,20.03,27.06,28.125,29.915,32.69,20.065,19.98,27.06,31.19,29.34,30.595,19.97,20.11,27.44,32.655,32.215,32.785,19.97,20.46,28.5,32.75,30.385,33.28,19.345,20.66,28.845,32.625,36.06,35.47
1516694940,33.0666666666667,19.8,30.5083333333333,20.3,30.35,19,32.375,18.9,20.595,25.615,30.845,34.41,39.34,35.285,20.595,20.785,27.47,32.97,37.31,33.47,20.28,22.425,27.5,32.94,38.24,33.125,20.97,21.08,25.63,30.19,28.99,29.91,20.565,21.285,25.5,30.155,30.215,30.41,19.38,20.06,27.06,28.28,30.1,32.94,20.13,20.035,27.13,31.44,29.485,30.56,20,20.135,27.53,32.97,32.71,33.125,20.065,20.505,28.595,33.095,30.645,33.595,19.38,20.65,28.845,32.91,36.395,35.905
