t,sim,exp
1,1.52e+09,1.52e+09
2,1.52e+09,1.52e+09
3,1.52e+09,1.52e+09
4,1.52e+09,1.52e+09
5,1.52e+09,1.52e+09
6,1.52e+09,1.52e+09
7,1.52e+09,1.52e+09
8,1.52e+09,1.52e+09
9,1.52e+09,1.52e+09
10,1.52e+09,1.52e+09
11,1.52e+09,1.52e+09
12,1.52e+09,1.52e+09
13,1.52e+09,1.52e+09
14,1.52e+09,1.52e+09
15,1.52e+09,1.52e+09
16,1.52e+09,1.52e+09
17,1.52e+09,1.52e+09
18,1.52e+09,1.52e+09
19,1.52e+09,1.52e+09
20,1.52e+09,1.52e+09
21,1.52e+09,1.52e+09
22,1.52e+09,1.52e+09
23,1.52e+09,1.52e+09
24,1.52e+09,1.52e+09
25,1.52e+09,1.52e+09
26,1.52e+09,1.52e+09
27,1.52e+09,1.52e+09
28,1.52e+09,1.52e+09
29,1.52e+09,1.52e+09
30,1.52e+09,1.52e+09
31,1.52e+09,1.52e+09
32,1.52e+09,1.52e+09
33,1.52e+09,1.52e+09
34,1.52e+09,1.52e+09
35,1.52e+09,1.52e+09
36,1.52e+09,1.52e+09
37,1.52e+09,1.52e+09
38,1.52e+09,1.52e+09
39,1.52e+09,1.52e+09
40,1.52e+09,1.52e+09
41,1.52e+09,1.52e+09
42,1.52e+09,1.52e+09
43,1.52e+09,1.52e+09
44,1.52e+09,1.52e+09
45,1.52e+09,1.52e+09
46,1.52e+09,1.52e+09
47,1.52e+09,1.52e+09
48,1.52e+09,1.52e+09
49,1.52e+09,1.52e+09
50,1.52e+09,1.52e+09
51,1.52e+09,1.52e+09
52,1.52e+09,1.52e+09
53,1.52e+09,1.52e+09
54,1.52e+09,1.52e+09
55,1.52e+09,1.52e+09
56,1.52e+09,1.52e+09
57,1.52e+09,1.52e+09
58,1.52e+09,1.52e+09
59,1.52e+09,1.52e+09
60,1.52e+09,1.52e+09
61,1.52e+09,1.52e+09
62,1.52e+09,1.52e+09
63,1.52e+09,1.52e+09
64,1.52e+09,1.52e+09
65,1.52e+09,1.52e+09
66,1.52e+09,1.52e+09
67,1.52e+09,1.52e+09
68,1.52e+09,1.52e+09
69,1.52e+09,1.52e+09
70,1.52e+09,1.52e+09
71,1.52e+09,1.52e+09
72,1.52e+09,1.52e+09
73,1.52e+09,1.52e+09
74,1.52e+09,1.52e+09
75,1.52e+09,1.52e+09
76,1.52e+09,1.52e+09
77,1.52e+09,1.52e+09
78,1.52e+09,1.52e+09
79,1.52e+09,1.52e+09
80,1.52e+09,1.52e+09
81,1.52e+09,1.52e+09
82,1.52e+09,1.52e+09
83,1.52e+09,1.52e+09
84,1.52e+09,1.52e+09
85,1.52e+09,1.52e+09
86,1.52e+09,1.52e+09
87,1.52e+09,1.52e+09
88,1.52e+09,1.52e+09
89,1.52e+09,1.52e+09
90,1.52e+09,1.52e+09
91,1.52e+09,1.52e+09
92,1.52e+09,1.52e+09
93,1.52e+09,1.52e+09
94,1.52e+09,1.52e+09
95,1.52e+09,1.52e+09
96,1.52e+09,1.52e+09
97,1.52e+09,1.52e+09
98,1.52e+09,1.52e+09
99,1.52e+09,1.52e+09
100,1.52e+09,1.52e+09
101,1.52e+09,1.52e+09
102,1.52e+09,1.52e+09
103,1.52e+09,1.52e+09
104,1.52e+09,1.52e+09
105,1.52e+09,1.52e+09
106,1.52e+09,1.52e+09
107,1.52e+09,1.52e+09
108,1.52e+09,1.52e+09
109,1.52e+09,1.52e+09
110,1.52e+09,1.52e+09
111,1.52e+09,1.52e+09
112,1.52e+09,1.52e+09
113,1.52e+09,1.52e+09
114,1.52e+09,1.52e+09
115,1.52e+09,1.52e+09
116,1.52e+09,1.52e+09
117,1.52e+09,1.52e+09
118,1.52e+09,1.52e+09
119,1.52e+09,1.52e+09
120,1.52e+09,1.52e+09
121,1.52e+09,1.52e+09
122,1.52e+09,1.52e+09
123,1.52e+09,1.52e+09
124,1.52e+09,1.52e+09
125,1.52e+09,1.52e+09
126,1.52e+09,1.52e+09
127,1.52e+09,1.52e+09
128,1.52e+09,1.52e+09
129,1.52e+09,1.52e+09
130,1.52e+09,1.52e+09
131,1.52e+09,1.52e+09
132,1.52e+09,1.52e+09
133,1.52e+09,1.52e+09
134,1.52e+09,1.52e+09
135,1.52e+09,1.52e+09
136,1.52e+09,1.52e+09
137,1.52e+09,1.52e+09
138,1.52e+09,1.52e+09
139,1.52e+09,1.52e+09
140,1.52e+09,1.52e+09
141,1.52e+09,1.52e+09
142,1.52e+09,1.52e+09
143,1.52e+09,1.52e+09
144,1.52e+09,1.52e+09
145,1.52e+09,1.52e+09
146,1.52e+09,1.52e+09
147,1.52e+09,1.52e+09
148,1.52e+09,1.52e+09
149,1.52e+09,1.52e+09
150,1.52e+09,1.52e+09
151,1.52e+09,1.52e+09
152,1.52e+09,1.52e+09
153,1.52e+09,1.52e+09
154,1.52e+09,1.52e+09
155,1.52e+09,1.52e+09
156,1.52e+09,1.52e+09
157,1.52e+09,1.52e+09
158,1.52e+09,1.52e+09
159,1.52e+09,1.52e+09
160,1.52e+09,1.52e+09
161,1.52e+09,1.52e+09
162,1.52e+09,1.52e+09
163,1.52e+09,1.52e+09
164,1.52e+09,1.52e+09
165,1.52e+09,1.52e+09
